Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82992,01/01/2014,0000,,33,,10.8,6.2,26.16,63,5.766667,
82992,01/01/2014,1200,0,,20.8,,,,,,
82992,02/01/2014,0000,,33.8,,10.4,2.3,26.44,60.75,4.266667,
82992,02/01/2014,1200,0,,21.2,,,,,,
82992,03/01/2014,0000,,33.6,,11.9,6.7,26,60,5.066667,
82992,03/01/2014,1200,0,,20.4,,,,,,
82992,04/01/2014,0000,,33.7,,12,7,25.96,60.75,4.2,
82992,04/01/2014,1200,0,,20.1,,,,,,
82992,05/01/2014,0000,,33.3,,10.8,6.9,26.28,60.75,3.3,
82992,05/01/2014,1200,0,,20.4,,,,,,
82992,06/01/2014,0000,,31.7,,3.7,6.4,25.48,66.25,2.633333,
82992,06/01/2014,1200,0,,21.6,,,,,,
82992,07/01/2014,0000,,32.1,,9.8,5.4,26.18,57.75,2.8,
82992,07/01/2014,1200,0,,21.8,,,,,,
82992,08/01/2014,0000,,31.4,,6.2,6.1,25.22,66,3.3,
82992,08/01/2014,1200,0,,20.4,,,,,,
82992,09/01/2014,0000,,33.9,,9.2,5.6,26.9,55.25,4.333333,
82992,09/01/2014,1200,0,,20.7,,,,,,
82992,10/01/2014,0000,,33.5,,2.4,6,26.98,66.75,4.533333,
82992,10/01/2014,1200,0,,23.6,,,,,,
82992,11/01/2014,0000,,33.4,,9.3,5.4,25.42,44.5,3.3,
82992,11/01/2014,1200,0,,19.6,,,,,,
82992,12/01/2014,0000,,33.8,,9.5,5.1,25.94,64.25,3.566667,
82992,12/01/2014,1200,0.4,,18.7,,,,,,
82992,13/01/2014,0000,,31.8,,6.4,5.9,25.28,72.5,3.9,
82992,13/01/2014,1200,0,,20.8,,,,,,
82992,14/01/2014,0000,,31.1,,4.5,4.6,25.08,78,4.866667,
82992,14/01/2014,1200,0,,20.3,,,,,,
82992,15/01/2014,0000,,32.5,,10.1,3.4,26.18,63.25,3.566667,
82992,15/01/2014,1200,0.8,,20.6,,,,,,
82992,16/01/2014,0000,,33.7,,11.4,5.6,26.96,59.5,3.7,
82992,16/01/2014,1200,0,,20.4,,,,,,
82992,17/01/2014,0000,,35.9,,11.5,6,27.48,59,3.766667,
82992,17/01/2014,1200,0,,20.3,,,,,,
82992,18/01/2014,0000,,35.4,,9.4,6.5,27.52,63,4.866667,
82992,18/01/2014,1200,0,,21.4,,,,,,
82992,19/01/2014,0000,,34.1,,10,5.6,27.34,58,4.4,
82992,19/01/2014,1200,0,,22.2,,,,,,
82992,20/01/2014,0000,,35.3,,10.6,7,27.7,50.5,4.8,
82992,20/01/2014,1200,0,,22.1,,,,,,
82992,21/01/2014,0000,,34,,7.7,7.9,27.06,58,5.033333,
82992,21/01/2014,1200,0,,22.2,,,,,,
82992,22/01/2014,0000,,34.4,,9.9,6.4,26.64,60.75,4.7,
82992,22/01/2014,1200,0,,21.3,,,,,,
82992,23/01/2014,0000,,34.3,,11.5,5.8,26.14,61,3.733333,
82992,23/01/2014,1200,0,,19.8,,,,,,
82992,24/01/2014,0000,,34.4,,11.1,9.8,26.76,60,4.633333,
82992,24/01/2014,1200,0,,21.6,,,,,,
82992,25/01/2014,0000,,34.1,,9.8,5.9,26.54,60.5,5,
82992,25/01/2014,1200,0,,20.4,,,,,,
82992,26/01/2014,0000,,34,,11.1,6.5,26.9,63.5,2.566667,
82992,26/01/2014,1200,0,,22.1,,,,,,
82992,27/01/2014,0000,,30.6,,4.6,6,25.6,73.75,4.133333,
82992,27/01/2014,1200,0,,21.6,,,,,,
82992,28/01/2014,0000,,29.1,,2.7,3.1,24.62,72.25,3.066667,
82992,28/01/2014,1200,1.6,,19.3,,,,,,
82992,29/01/2014,0000,,33.2,,10.6,3.5,25.46,65.75,3.566667,
82992,29/01/2014,1200,0.4,,17.4,,,,,,
82992,30/01/2014,0000,,32.5,,6.6,5.7,25.6,74.75,3.7,
82992,30/01/2014,1200,10.1,,22,,,,,,
82992,31/01/2014,0000,,32.6,,10.2,4.8,25.94,63.75,3.7,
82992,31/01/2014,1200,0.3,,21.5,,,,,,
82992,01/02/2014,0000,,33.7,,11.7,6.5,26.22,68,3.5,
82992,01/02/2014,1200,0,,19.8,,,,,,
82992,02/02/2014,0000,,33.5,,10.7,6.3,26.5,74,2.4,
82992,02/02/2014,1200,0,,21.3,,,,,,
82992,03/02/2014,0000,,31.8,,6.4,5.4,26.1,76,2.7,
82992,03/02/2014,1200,1.2,,22.3,,,,,,
82992,04/02/2014,0000,,32.5,,7.6,4.2,25.28,81,2.2,
82992,04/02/2014,1200,0,,20.6,,,,,,
82992,05/02/2014,0000,,32.9,,10.1,8.6,26.02,69,3.45,
82992,05/02/2014,1200,0,,20.8,,,,,,
82992,06/02/2014,0000,,27.3,,0.2,5.8,22.3,94,3.3,
82992,06/02/2014,1200,8.4,,19.6,,,,,,
82992,07/02/2014,0000,,31.6,,7.5,1,24.86,80,2.35,
82992,07/02/2014,1200,11,,18.6,,,,,,
82992,08/02/2014,0000,,32.2,,8.1,3.7,24.92,77,3.1,
82992,08/02/2014,1200,0,,17.8,,,,,,
82992,09/02/2014,0000,,31.2,,2.6,3.8,25.54,76,2.4,
82992,09/02/2014,1200,0,,21.4,,,,,,
82992,10/02/2014,0000,,31.5,,4.7,3.5,25.58,76,2.8,
82992,10/02/2014,1200,0.5,,21.5,,,,,,
82992,11/02/2014,0000,,31.8,,3.8,3,25.82,74,2.65,
82992,11/02/2014,1200,0,,22,,,,,,
82992,12/02/2014,0000,,32.4,,9.8,3.3,25.74,69,3.55,
82992,12/02/2014,1200,0,,21.6,,,,,,
82992,13/02/2014,0000,,33.8,,11.3,3,26.24,70,4.55,
82992,13/02/2014,1200,0,,20.3,,,,,,
82992,14/02/2014,0000,,34.8,,10.6,5.7,27.1,71,3.55,
82992,14/02/2014,1200,0,,21.7,,,,,,
82992,15/02/2014,0000,,34.7,,7.7,5.6,27.5,76,2.9,
82992,15/02/2014,1200,0,,22.8,,,,,,
82992,16/02/2014,0000,,32.3,,8.6,4.7,26.5,74,4.15,
82992,16/02/2014,1200,20.8,,22.6,,,,,,
82992,17/02/2014,0000,,31.6,,9.2,4.1,25.88,75,3.5,
82992,17/02/2014,1200,0.2,,21.6,,,,,,
82992,18/02/2014,0000,,32.8,,10.9,4.4,26,72,4.15,
82992,18/02/2014,1200,0,,20.4,,,,,,
82992,19/02/2014,0000,,32.4,,7.1,5.9,26.28,73,4.3,
82992,19/02/2014,1200,0,,20.2,,,,,,
82992,20/02/2014,0000,,32.8,,5.5,5.4,26.58,73,4.65,
82992,20/02/2014,1200,0,,21.9,,,,,,
82992,21/02/2014,0000,,31.8,,2,5.2,26.34,74,4.15,
82992,21/02/2014,1200,0,,23,,,,,,
82992,22/02/2014,0000,,32,,4.7,3.8,25.06,90,2.85,
