Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82113,01/01/2014,0000,,33,,6.3,4.6,27.76,86,1.2,
82113,01/01/2014,1200,0,,24.6,,,,,,
82113,02/01/2014,0000,,32.6,,3.2,3.9,27.4,91,1.15,
82113,02/01/2014,1200,7.5,,24.6,,,,,,
82113,03/01/2014,0000,,34.5,,8.5,3.8,28.04,83,1.75,
82113,03/01/2014,1200,0.7,,23.3,,,,,,
82113,04/01/2014,0000,,35,,8.1,7,27.86,88,0.6,
82113,04/01/2014,1200,0,,23.9,,,,,,
82113,05/01/2014,0000,,33.8,,5.6,6.2,28.1,83,0,
82113,05/01/2014,1200,6.2,,24.9,,,,,,
82113,06/01/2014,0000,,30.7,,0.8,5.8,26.66,94,1.75,
82113,06/01/2014,1200,1,,24.4,,,,,,
82113,07/01/2014,0000,,29,,0,1.6,25.3,95,1.15,
82113,07/01/2014,1200,23.5,,22.7,,,,,,
82113,08/01/2014,0000,,29.3,,0.6,1.5,25.32,94,1.15,
82113,08/01/2014,1200,17,,22.5,,,,,,
82113,09/01/2014,0000,,31.3,,1.3,2.1,26.08,91,0.6,
82113,09/01/2014,1200,7.2,,22.9,,,,,,
82113,10/01/2014,0000,,32.6,,3.9,3.5,26.84,89,0.6,
82113,10/01/2014,1200,0,,24.4,,,,,,
82113,11/01/2014,0000,,32.5,,3.1,4,26.64,90,0.6,
82113,11/01/2014,1200,0,,23.5,,,,,,
82113,12/01/2014,0000,,30.7,,0.4,4.1,26.04,91,0,
82113,12/01/2014,1200,0.2,,23.9,,,,,,
82113,13/01/2014,0000,,29.5,,0,2.9,25.12,96,0.6,
82113,13/01/2014,1200,0,,23.3,,,,,,
82113,14/01/2014,0000,,31.7,,2,1.4,26.44,93,1,
82113,14/01/2014,1200,22.8,,23.1,,,,,,
82113,15/01/2014,0000,,31.6,,4.1,3.3,25.9,93,1.2,
82113,15/01/2014,1200,2.5,,22.3,,,,,,
82113,16/01/2014,0000,,33.5,,6.6,2.3,27.08,90,1,
82113,16/01/2014,1200,16.1,,22.7,,,,,,
82113,17/01/2014,0000,,31.4,,0.5,3.3,25.5,97,0,
82113,17/01/2014,1200,15.3,,23.1,,,,,,
82113,18/01/2014,0000,,26.3,,0,2,24.08,97,1,
82113,18/01/2014,1200,2.9,,22.5,,,,,,
