Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82425,01/01/2014,0000,,32.6,,,1.3,28.74,72.5,1,
82425,01/01/2014,1200,43,,23.9,,,,,,
82425,02/01/2014,0000,,35.8,,,2,30.26,63,1.5,
82425,02/01/2014,1200,0,,25.5,,,,,,
82425,03/01/2014,0000,,33.2,,,2,29.34,74,1.166667,
82425,03/01/2014,1200,0,,26.5,,,,,,
82425,04/01/2014,0000,,30,,,1,26.7,85.5,1.333333,
82425,04/01/2014,1200,1,,24.1,,,,,,
82425,05/01/2014,0000,,30,,,3,26.1,88.75,0.333333,
82425,05/01/2014,1200,8,,24.3,,,,,,
82425,06/01/2014,0000,,31,,,1,26.34,81.5,0.666667,
82425,06/01/2014,1200,15.4,,24.1,,,,,,
82425,07/01/2014,0000,,33.2,,,2,26.22,66.5,2.166667,
82425,07/01/2014,1200,1,,24.1,,,,,,
82425,08/01/2014,0000,,30.6,,,2.6,26.74,80.5,1,
82425,08/01/2014,1200,5,,23.5,,,,,,
82425,09/01/2014,0000,,32.2,,,2.4,27.78,74.75,1.166667,
82425,09/01/2014,1200,1.4,,23.7,,,,,,
82425,10/01/2014,0000,,29.4,,,3,25.74,88,1,
82425,10/01/2014,1200,9,,24.3,,,,,,
82425,11/01/2014,0000,,33,,,1,27.62,79.5,0.333333,
82425,11/01/2014,1200,32,,23.5,,,,,,
82425,12/01/2014,0000,,29.6,,,3,26.38,84.75,0.833333,
82425,12/01/2014,1200,5,,24.1,,,,,,
82425,13/01/2014,0000,,29.2,,,1.4,25.3,89.5,1.666667,
82425,13/01/2014,1200,21.3,,23.7,,,,,,
82425,14/01/2014,0000,,32,,,1.6,26.18,83,0.533333,
82425,14/01/2014,1200,16.2,,23.7,,,,,,
82425,15/01/2014,0000,,32.6,,,1.8,27.66,77.75,1,
82425,15/01/2014,1200,0,,24.3,,,,,,
82425,16/01/2014,0000,,32.6,,,3,27.38,83,1.166667,
82425,16/01/2014,1200,4.4,,24.1,,,,,,
82425,17/01/2014,0000,,34.2,,,2.3,28.1,74.5,1.5,
82425,17/01/2014,1200,2.6,,24.7,,,,,,
82425,18/01/2014,0000,,34.6,,,3.9,27.94,74.75,1.166667,
82425,18/01/2014,1200,0,,25.5,,,,,,
82425,19/01/2014,0000,,30.4,,,2,25.82,88.25,0.333333,
82425,19/01/2014,1200,0,,23.1,,,,,,
82425,20/01/2014,0000,,33.2,,,2,28.82,69.5,0.666667,
82425,20/01/2014,1200,4.3,,24.9,,,,,,
82425,21/01/2014,0000,,30.2,,,2,27.74,73.25,0.933333,
82425,21/01/2014,1200,0,,23.9,,,,,,
82425,22/01/2014,0000,,33.4,,,4,29.34,67.75,1.166667,
82425,22/01/2014,1200,0,,25.5,,,,,,
82425,23/01/2014,0000,,30.2,,,4.5,26.9,85.25,1.333333,
82425,23/01/2014,1200,0,,23.5,,,,,,
82425,24/01/2014,0000,,33.8,,,1.3,27.38,77.25,1,
82425,24/01/2014,1200,20,,23.7,,,,,,
82425,25/01/2014,0000,,34.2,,,3.2,29.18,71,1.666667,
82425,25/01/2014,1200,0,,25.1,,,,,,
82425,26/01/2014,0000,,32.6,,,3.3,28.62,70,2.166667,
82425,26/01/2014,1200,4.5,,25.7,,,,,,
82425,27/01/2014,0000,,34,,,3.9,29.34,70.25,1.833333,
82425,27/01/2014,1200,0,,25.1,,,,,,
82425,28/01/2014,0000,,33.6,,,4.3,28.02,74.75,1.833333,
82425,28/01/2014,1200,0,,24.9,,,,,,
82425,29/01/2014,0000,,32.2,,,2.5,27.5,75,1.166667,
82425,29/01/2014,1200,0,,24.5,,,,,,
82425,30/01/2014,0000,,33.2,,,3,28.62,75.75,1.666667,
82425,30/01/2014,1200,0,,25.5,,,,,,
82425,31/01/2014,0000,,32.8,,,4,28.62,68.25,1.166667,
82425,31/01/2014,1200,2.7,,24.5,,,,,,
