Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82336,01/01/2014,0000,,33.6,,8.9,5.5,28.5,77.75,1.333333,
82336,01/01/2014,1200,0,,24.5,,,,,,
82336,02/01/2014,0000,,33.2,,9.6,6.7,29.06,73,1.333333,
82336,02/01/2014,1200,0,,25.1,,,,,,
82336,03/01/2014,0000,,32.7,,9.3,7.4,28.7,73.25,1.333333,
82336,03/01/2014,1200,0,,25.6,,,,,,
82336,04/01/2014,0000,,33.7,,10.3,7.9,29.32,71.75,1.333333,
82336,04/01/2014,1200,0,,25.7,,,,,,
82336,05/01/2014,0000,,32.1,,6.7,7.5,28.44,81.25,1.333333,
82336,05/01/2014,1200,0,,25.9,,,,,,
82336,06/01/2014,0000,,32.6,,4.4,5.6,28.44,79.25,1.333333,
82336,06/01/2014,1200,0,,26,,,,,,
82336,07/01/2014,0000,,28.8,,5.6,4.2,24.6,92.5,1,
82336,07/01/2014,1200,1.2,,22.6,,,,,,
82336,08/01/2014,0000,,27.2,,0,0.6,24.94,93,0.666667,
82336,08/01/2014,1200,17.2,,22.5,,,,,,
82336,09/01/2014,0000,,31.2,,3,1.6,26.78,81.5,0.333333,
82336,09/01/2014,1200,6.6,,22.5,,,,,,
82336,10/01/2014,0000,,30,,2.5,3.5,25.7,91.25,1.333333,
82336,10/01/2014,1200,0,,23.5,,,,,,
82336,11/01/2014,0000,,29.4,,1.8,1.9,25.82,84,0.666667,
82336,11/01/2014,1200,15,,22.7,,,,,,
82336,12/01/2014,0000,,32.2,,7.7,0.3,26.74,82.25,0.333333,
82336,12/01/2014,1200,0,,23.1,,,,,,
82336,13/01/2014,0000,,28.2,,0,4,25.62,85.5,1.666667,
82336,13/01/2014,1200,18.5,,23.9,,,,,,
82336,14/01/2014,0000,,31,,7.8,2.4,26.56,84.25,1.333333,
82336,14/01/2014,1200,0,,23.6,,,,,,
82336,15/01/2014,0000,,31.5,,4.9,3.9,27.5,84.5,1,
82336,15/01/2014,1200,1,,25,,,,,,
82336,16/01/2014,0000,,32.2,,8.8,3.6,28.12,76.75,1.666667,
82336,16/01/2014,1200,4,,24,,,,,,
82336,17/01/2014,0000,,31.6,,7.8,4.6,28.36,81,2,
82336,17/01/2014,1200,0,,25.6,,,,,,
82336,18/01/2014,0000,,31,,5.4,4.9,27.72,81.25,1.333333,
82336,18/01/2014,1200,0,,25,,,,,,
82336,19/01/2014,0000,,30.9,,4.4,4.6,27.1,85,1,
82336,19/01/2014,1200,34.6,,23.8,,,,,,
82336,20/01/2014,0000,,31.2,,1.9,3.6,27.5,80.5,0.666667,
82336,20/01/2014,1200,7.4,,24.7,,,,,,
82336,21/01/2014,0000,,32.6,,7.1,3.3,27.94,74.5,0,
82336,21/01/2014,1200,0,,24.7,,,,,,
82336,22/01/2014,0000,,29.2,,2,6,26.9,87,1,
82336,22/01/2014,1200,0,,25.5,,,,,,
82336,23/01/2014,0000,,32.2,,6.3,3,28.5,77,0.666667,
82336,23/01/2014,1200,6,,25.1,,,,,,
82336,24/01/2014,0000,,32.8,,9.7,4.5,27.94,80.25,0.666667,
82336,24/01/2014,1200,0,,24.3,,,,,,
82336,25/01/2014,0000,,31.8,,9.7,5.7,27.22,83,0.433333,
82336,25/01/2014,1200,0,,25.5,,,,,,
82336,26/01/2014,0000,,29.2,,0.7,5.8,25.84,86.5,2,
82336,26/01/2014,1200,10.2,,23.2,,,,,,
82336,27/01/2014,0000,,30.4,,7.1,3.1,26.84,82.25,0.333333,
82336,27/01/2014,1200,0.2,,23.8,,,,,,
82336,28/01/2014,0000,,29.6,,1.9,4.8,26.74,85.75,0.666667,
82336,28/01/2014,1200,1.9,,24.3,,,,,,
82336,29/01/2014,0000,,29.2,,3.2,2.9,25.72,85.75,1.666667,
82336,29/01/2014,1200,26.5,,23.6,,,,,,
82336,30/01/2014,0000,,30.8,,4.8,3.9,26.7,82.5,1.666667,
82336,30/01/2014,1200,0,,24.3,,,,,,
82336,31/01/2014,0000,,32,,4.8,4.5,27.76,79.5,0.666667,
82336,31/01/2014,1200,0,,25,,,,,,
82336,01/02/2014,0000,,32,,3.4,4.1,27.5,82,1,
82336,01/02/2014,1200,2.7,,25.1,,,,,,
82336,02/02/2014,0000,,32.9,,6.4,4.6,27.64,83,0.666667,
82336,02/02/2014,1200,0,,24.5,,,,,,
82336,03/02/2014,0000,,32.4,,4.4,5.2,27.86,74.75,1.333333,
82336,03/02/2014,1200,11.2,,23.5,,,,,,
82336,04/02/2014,0000,,30.4,,4.5,6,27.2,79.75,1.666667,
82336,04/02/2014,1200,0.2,,24.2,,,,,,
82336,05/02/2014,0000,,31.6,,5.1,3.5,25.82,88.5,0,
82336,05/02/2014,1200,0,,23.3,,,,,,
82336,06/02/2014,0000,,31,,4.5,1.8,26.9,78.75,0.666667,
82336,06/02/2014,1200,30.6,,23.3,,,,,,
82336,07/02/2014,0000,,28.4,,0.4,3.7,24.72,95.25,0,
82336,07/02/2014,1200,0,,23,,,,,,
82336,08/02/2014,0000,,31.2,,6.6,1,26.26,83.75,0.666667,
82336,08/02/2014,1200,99.2,,23.1,,,,,,
82336,09/02/2014,0000,,31.6,,7.9,1.8,27.58,79.25,1.333333,
82336,09/02/2014,1200,0,,24.5,,,,,,
82336,10/02/2014,0000,,29,,0.5,1.7,25.86,88.25,0.333333,
82336,10/02/2014,1200,37.1,,23.7,,,,,,
82336,11/02/2014,0000,,28.6,,0.2,1.1,25.62,89.5,0.666667,
82336,11/02/2014,1200,28.5,,23.5,,,,,,
82336,12/02/2014,0000,,27.6,,0.5,1.2,25.28,92.5,0.333333,
82336,12/02/2014,1200,2.7,,23.6,,,,,,
82336,13/02/2014,0000,,31.1,,7.8,0.9,27.24,83.75,1,
82336,13/02/2014,1200,7.4,,24.1,,,,,,
82336,14/02/2014,0000,,30.8,,6,2.2,26.22,86.5,1.333333,
82336,14/02/2014,1200,0,,24.5,,,,,,
