Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82240,01/01/2014,0000,,30,,,4.2,28.54,69.75,0,
82240,01/01/2014,1200,0,,24.6,,,,,,
82240,02/01/2014,0000,,33.8,,,3.6,29.46,73.75,0,
82240,02/01/2014,1200,0,,26.2,,,,,,
82240,03/01/2014,0000,,33.2,,,4,29.14,72.25,0,
82240,03/01/2014,1200,0,,26.1,,,,,,
82240,04/01/2014,0000,,33.4,,,3.8,29.3,72,0,
82240,04/01/2014,1200,0,,26.2,,,,,,
82240,05/01/2014,0000,,33.2,,,3.9,29,71.25,0,
82240,05/01/2014,1200,0,,25.8,,,,,,
82240,06/01/2014,0000,,33.1,,,3.7,29.02,72.25,0,
82240,06/01/2014,1200,0,,26.3,,,,,,
82240,07/01/2014,0000,,33.5,,,3.4,27.78,77.25,0,
82240,07/01/2014,1200,0,,25.7,,,,,,
82240,08/01/2014,0000,,27.4,,,2.8,26.28,83,0,
82240,08/01/2014,1200,3.4,,25.5,,,,,,
82240,09/01/2014,0000,,32.2,,,1.5,27.56,80.5,0,
82240,09/01/2014,1200,1.1,,25,,,,,,
82240,10/01/2014,0000,,29.8,,,2.9,26.24,86,0,
82240,10/01/2014,1200,0,,24.7,,,,,,
82240,11/01/2014,0000,,31.1,,,1.4,26.24,82.25,0,
82240,11/01/2014,1200,82.1,,23.1,,,,,,
82240,12/01/2014,0000,,28.5,,,2,26.04,88,0,
82240,12/01/2014,1200,1.9,,24.6,,,,,,
82240,13/01/2014,0000,,29.6,,,1.4,25.96,81.5,0,
82240,13/01/2014,1200,6.7,,23.6,,,,,,
82240,14/01/2014,0000,,30.1,,,2,25.98,87.75,0,
82240,14/01/2014,1200,3,,23.2,,,,,,
82240,15/01/2014,0000,,32.8,,,1.7,28.72,73.75,0,
82240,15/01/2014,1200,2.1,,26.3,,,,,,
82240,16/01/2014,0000,,32.4,,,2.9,27.74,83.75,0,
82240,16/01/2014,1200,0,,24.3,,,,,,
82240,17/01/2014,0000,,32.5,,,2.5,28.16,80,0,
82240,17/01/2014,1200,1.2,,24.8,,,,,,
82240,18/01/2014,0000,,32.1,,,3,28.74,78.5,0,
82240,18/01/2014,1200,0,,26.2,,,,,,
82240,19/01/2014,0000,,32.8,,,2.7,28.54,73.5,0,
82240,19/01/2014,1200,0,,25.1,,,,,,
82240,20/01/2014,0000,,30.7,,,3.7,26.7,84.25,0,
82240,20/01/2014,1200,7.5,,23.5,,,,,,
82240,21/01/2014,0000,,32.6,,,1.7,28.22,76,0,
82240,21/01/2014,1200,1.7,,24.5,,,,,,
82240,22/01/2014,0000,,31.1,,,3.7,26.8,83.5,0,
