Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82106,01/01/2014,0000,,33.2,,6,0.4,26.4,96,0,
82106,01/01/2014,1200,8.4,,23.2,,,,,,
82106,02/01/2014,0000,,30.4,,1.1,1.6,26.2,93,0.5,
82106,02/01/2014,1200,0,,23.7,,,,,,
82106,03/01/2014,0000,,33.6,,6.7,1.3,26.84,94,0,
82106,03/01/2014,1200,10.4,,23.2,,,,,,
82106,04/01/2014,0000,,34.6,,7.3,1.8,27.68,94,0.5,
82106,04/01/2014,1200,0,,23.3,,,,,,
82106,05/01/2014,0000,,35.3,,6.8,2.3,27.7,92,2,
82106,05/01/2014,1200,0.8,,24.4,,,,,,
82106,06/01/2014,0000,,27.1,,0,1.7,24.48,92,0,
82106,06/01/2014,1200,57.4,,22.5,,,,,,
82106,07/01/2014,0000,,34.1,,5.1,0.4,25.72,98,0.5,
82106,07/01/2014,1200,2.2,,23,,,,,,
82106,08/01/2014,0000,,31.9,,2.5,0.5,25.9,93,1,
82106,08/01/2014,1200,56,,22.6,,,,,,
82106,09/01/2014,0000,,32.6,,4.4,1.4,25.9,93,1,
82106,09/01/2014,1200,5.4,,21.9,,,,,,
82106,10/01/2014,0000,,30.7,,1.9,1.4,26.1,94,1,
82106,10/01/2014,1200,11.2,,21.1,,,,,,
82106,11/01/2014,0000,,29.8,,0,0.5,25.38,89,0.5,
82106,11/01/2014,1200,43.6,,22.1,,,,,,
82106,12/01/2014,0000,,32.3,,2.5,0.5,25.36,97,1,
82106,12/01/2014,1200,16.2,,23.2,,,,,,
82106,13/01/2014,0000,,25.6,,0,0.8,23.4,96,0.5,
82106,13/01/2014,1200,47.6,,22.6,,,,,,
82106,14/01/2014,0000,,31.4,,2.6,1,25.26,92,0,
82106,14/01/2014,1200,86.2,,22.1,,,,,,
82106,15/01/2014,0000,,33.5,,5.5,0.5,26.02,91,1,
82106,15/01/2014,1200,0,,22.8,,,,,,
82106,16/01/2014,0000,,34.3,,8.7,2,27.1,90,1,
82106,16/01/2014,1200,0,,22.6,,,,,,
82106,17/01/2014,0000,,33.8,,4.6,2.9,26.62,94,2,
82106,17/01/2014,1200,0,,23.6,,,,,,
82106,18/01/2014,0000,,31,,1,0.4,26.08,95,2,
82106,18/01/2014,1200,0,,24,,,,,,
82106,19/01/2014,0000,,32.9,,3.6,1,26.78,93,1,
82106,19/01/2014,1200,12.6,,23.2,,,,,,
82106,20/01/2014,0000,,33.8,,7.1,2,26.86,92,1,
82106,20/01/2014,1200,0,,22.4,,,,,,
82106,21/01/2014,0000,,34.7,,8.9,3,27.44,88,0,
82106,21/01/2014,1200,0,,22.8,,,,,,
82106,22/01/2014,0000,,36.3,,9.9,3.4,27.72,90,0,
82106,22/01/2014,1200,0,,22.4,,,,,,
82106,23/01/2014,0000,,36.7,,9.7,4.6,28.02,89,0,
82106,23/01/2014,1200,0.6,,22.8,,,,,,
82106,24/01/2014,0000,,35.7,,7.5,4.5,26.64,95,1,
82106,24/01/2014,1200,0,,23,,,,,,
82106,25/01/2014,0000,,35.3,,7.6,1.5,27.74,91,0,
82106,25/01/2014,1200,7.4,,23.4,,,,,,
82106,26/01/2014,0000,,36.3,,8.8,2.6,28.14,93,1.5,
82106,26/01/2014,1200,0,,23.6,,,,,,
82106,27/01/2014,0000,,36.1,,6.5,4.5,27.88,95,1.5,
82106,27/01/2014,1200,0,,24.6,,,,,,
82106,28/01/2014,0000,,28.9,,0.9,4,25.4,95,1,
82106,28/01/2014,1200,0,,23.9,,,,,,
82106,29/01/2014,0000,,30.7,,2.7,3.9,26,94,1,
82106,29/01/2014,1200,0,,24.1,,,,,,
82106,30/01/2014,0000,,34.2,,8.9,1.8,27.68,86,2,
82106,30/01/2014,1200,2.7,,24.1,,,,,,
82106,31/01/2014,0000,,35.1,,7.2,3.4,28.34,85,1,
82106,31/01/2014,1200,0,,24.1,,,,,,
82106,01/02/2014,0000,,35.1,,4,0.8,26.32,97,0.5,
82106,01/02/2014,1200,3.2,,23.6,,,,,,
82106,02/02/2014,0000,,25.8,,0,1,24.02,98,1,
82106,02/02/2014,1200,19.4,,23.2,,,,,,
82106,03/02/2014,0000,,33.6,,5,1,26.8,92,0,
82106,03/02/2014,1200,12.7,,23.2,,,,,,
82106,04/02/2014,0000,,32.6,,3.5,0.5,25.94,35,1,
82106,04/02/2014,1200,0,,22.1,,,,,,
82106,05/02/2014,0000,,34.5,,8.8,1.3,26.9,92,0,
82106,05/02/2014,1200,24.6,,23.3,,,,,,
82106,06/02/2014,0000,,32.1,,3.7,1.9,24.6,92,1,
82106,06/02/2014,1200,0,,22.1,,,,,,
82106,07/02/2014,0000,,33.1,,3.6,0.8,25.84,92,0,
82106,07/02/2014,1200,37.6,,21.1,,,,,,
82106,08/02/2014,0000,,34.1,,8.1,1.9,27.02,89,0.5,
82106,08/02/2014,1200,0,,22.6,,,,,,
82106,09/02/2014,0000,,32.4,,3.3,2.3,26.76,92,0.5,
82106,09/02/2014,1200,0,,23.8,,,,,,
82106,10/02/2014,0000,,31.5,,1.5,1.6,25,96,1,
82106,10/02/2014,1200,35,,22.1,,,,,,
82106,11/02/2014,0000,,28.9,,0.2,1.4,24.5,97,1,
82106,11/02/2014,1200,1.5,,23,,,,,,
82106,12/02/2014,0000,,32.7,,0,0.6,25.74,97,0.5,
82106,12/02/2014,1200,12,,22.6,,,,,,
82106,13/02/2014,0000,,32.3,,2.8,1.6,26.1,94,0,
82106,13/02/2014,1200,35.3,,22,,,,,,
82106,14/02/2014,0000,,35,,6.8,1.3,27.84,90,0,
82106,14/02/2014,1200,0,,23.2,,,,,,
82106,15/02/2014,0000,,36.1,,9.9,2.5,28.5,87,0.5,
82106,15/02/2014,1200,0,,24,,,,,,
82106,16/02/2014,0000,,35.8,,7.1,4,27.32,93,0.5,
82106,16/02/2014,1200,0,,23.7,,,,,,
82106,17/02/2014,0000,,34.6,,5,2.5,25.92,97,1,
82106,17/02/2014,1200,9.5,,23.4,,,,,,
82106,18/02/2014,0000,,31.6,,4.1,1.9,25.34,98,0.6,
