Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83179,01/01/2014,0000,,34.1,,10.8,,27.72,,1.5,
83179,01/01/2014,1200,0,,20.2,,,,,,
83179,02/01/2014,0000,,34.9,,11.2,,28.46,,1.25,
83179,02/01/2014,1200,0,,20.6,,,,,,
83179,03/01/2014,0000,,33.6,,1.1,,26.68,,2.05,
83179,03/01/2014,1200,0,,21.1,,,,,,
83179,04/01/2014,0000,,34,,11.5,,28.24,,1.1,
83179,04/01/2014,1200,4,,23.2,,,,,,
83179,05/01/2014,0000,,34,,10.3,,26.54,,0.8,
83179,05/01/2014,1200,0,,21.7,,,,,,
83179,06/01/2014,0000,,33.6,,10.2,,27.3,,0.75,
83179,06/01/2014,1200,1.3,,19,,,,,,
83179,07/01/2014,0000,,34.1,,11.6,,27.04,,1.3,
83179,07/01/2014,1200,0,,18.6,,,,,,
83179,08/01/2014,0000,,33.8,,10.7,,26.42,,0.75,
83179,08/01/2014,1200,0,,20.7,,,,,,
83179,09/01/2014,0000,,33.2,,11.5,,26.96,,1.6,
83179,09/01/2014,1200,6.6,,20.2,,,,,,
83179,10/01/2014,0000,,32.6,,9.6,,27,,1.8,
83179,10/01/2014,1200,0,,21,,,,,,
83179,11/01/2014,0000,,33.1,,8.1,,28.32,,1.95,
83179,11/01/2014,1200,0,,21.8,,,,,,
83179,12/01/2014,0000,,32.6,,6.4,,27.62,,1.7,
83179,12/01/2014,1200,0,,22.9,,,,,,
83179,13/01/2014,0000,,32.5,,2.8,,27.6,,0.85,
83179,13/01/2014,1200,0,,23,,,,,,
83179,14/01/2014,0000,,33.1,,8.6,,27.92,,1.25,
83179,14/01/2014,1200,0,,21.6,,,,,,
83179,15/01/2014,0000,,33.3,,6.4,,26.2,,1.1,
83179,15/01/2014,1200,0,,22.9,,,,,,
83179,16/01/2014,0000,,34.6,,11.3,,28.14,,1.65,
83179,16/01/2014,1200,1.1,,20.3,,,,,,
83179,17/01/2014,0000,,34.6,,11,,27.98,,3.2,
83179,17/01/2014,1200,0,,21.6,,,,,,
83179,18/01/2014,0000,,35.1,,10.9,,28.04,,1.7,
83179,18/01/2014,1200,0,,22.1,,,,,,
83179,19/01/2014,0000,,34.6,,9.8,,28.56,,1.05,
83179,19/01/2014,1200,0,,22.3,,,,,,
83179,20/01/2014,0000,,34,,8,,28.46,,4.25,
83179,20/01/2014,1200,0,,23,,,,,,
83179,21/01/2014,0000,,31,,3.1,,27.18,,2.05,
83179,21/01/2014,1200,4.2,,23.2,,,,,,
83179,22/01/2014,0000,,34.2,,9.8,,27.72,,1.5,
83179,22/01/2014,1200,0,,21.4,,,,,,
83179,23/01/2014,0000,,34,,7.4,,27.5,,1,
83179,23/01/2014,1200,0,,20.9,,,,,,
83179,24/01/2014,0000,,33.3,,7.2,,27.68,,1,
83179,24/01/2014,1200,0,,22.9,,,,,,
83179,25/01/2014,0000,,33.6,,7.9,,26.74,,1.45,
83179,25/01/2014,1200,0,,23.4,,,,,,
83179,26/01/2014,0000,,33.1,,10.2,,27.52,,2.8,
83179,26/01/2014,1200,13.4,,22.6,,,,,,
83179,27/01/2014,0000,,34.2,,10.5,,27.78,,4.05,
83179,27/01/2014,1200,0,,21.5,,,,,,
83179,28/01/2014,0000,,33.5,,9.2,,27.3,,1.15,
83179,28/01/2014,1200,0,,21.6,,,,,,
83179,29/01/2014,0000,,34.4,,8.6,,28.22,,1.9,
83179,29/01/2014,1200,0,,22.3,,,,,,
83179,30/01/2014,0000,,34.8,,9.9,,28.02,,0.6,
83179,30/01/2014,1200,0,,21.2,,,,,,
83179,31/01/2014,0000,,33.8,,9.6,,27.72,,1.15,
83179,31/01/2014,1200,0,,21.3,,,,,,
83179,01/02/2014,0000,,33.8,,9.8,,27.24,,1.4,
83179,01/02/2014,1200,0,,20.7,,,,,,
83179,02/02/2014,0000,,35.2,,11,,28.28,,1.1,
83179,02/02/2014,1200,0,,20.6,,,,,,
83179,03/02/2014,0000,,35.2,,11,,28.74,,1.4,
83179,03/02/2014,1200,0,,21.5,,,,,,
83179,04/02/2014,0000,,36,,9.8,,28.18,,1.6,
83179,04/02/2014,1200,0,,20.2,,,,,,
83179,05/02/2014,0000,,33.2,,7.2,,27.68,,2.35,
83179,05/02/2014,1200,0,,22.6,,,,,,
83179,06/02/2014,0000,,33.8,,10.3,,27.82,,2.05,
83179,06/02/2014,1200,2.4,,21,,,,,,
83179,07/02/2014,0000,,34,,7.8,,27.46,,2.8,
83179,07/02/2014,1200,0,,20.2,,,,,,
83179,08/02/2014,0000,,34,,9.5,,28.64,,1.2,
83179,08/02/2014,1200,0,,23.5,,,,,,
83179,09/02/2014,0000,,33.7,,9.1,,27.96,,1.5,
83179,09/02/2014,1200,0,,23.2,,,,,,
83179,10/02/2014,0000,,35.2,,10.2,,28.42,,1.95,
83179,10/02/2014,1200,0,,19.7,,,,,,
83179,11/02/2014,0000,,35.5,,10.3,,28.36,,1.4,
83179,11/02/2014,1200,0,,21.4,,,,,,
83179,12/02/2014,0000,,35.9,,10.4,,28.94,,1.95,
83179,12/02/2014,1200,0,,21.8,,,,,,
83179,13/02/2014,0000,,34.8,,9.1,,29.52,,0.95,
83179,13/02/2014,1200,0,,24,,,,,,
83179,14/02/2014,0000,,34.8,,8.2,,29.3,,2.75,
83179,14/02/2014,1200,0,,24.6,,,,,,
83179,15/02/2014,0000,,30,,1.4,,25.68,,1.5,
83179,15/02/2014,1200,0,,23.3,,,,,,
83179,16/02/2014,0000,,28.6,,0,,24.56,,,
83179,16/02/2014,1200,19.4,,22.8,,,,,,
83179,17/02/2014,0000,,29.9,,2.3,,23.98,,,
83179,17/02/2014,1200,13,,19.4,,,,,,
83179,18/02/2014,0000,,30,,0.7,,24.02,,,
83179,18/02/2014,1200,7.8,,17.9,,,,,,
83179,19/02/2014,0000,,27.6,,1.3,,24.28,,,
83179,19/02/2014,1200,8.3,,21.6,,,,,,
83179,20/02/2014,0000,,31.5,,2.6,,25.5,,,
83179,20/02/2014,1200,0,,21.8,,,,,,
83179,21/02/2014,0000,,33.3,,7,,26.4,,,
83179,21/02/2014,1200,0,,23,,,,,,
83179,22/02/2014,0000,,32.7,,6.8,,27.46,,,
83179,22/02/2014,1200,1.3,,22.4,,,,,,
83179,23/02/2014,0000,,33.8,,10.5,,27.38,,,
83179,23/02/2014,1200,0,,21.6,,,,,,
83179,24/02/2014,0000,,35,,10.4,,26.92,,,
83179,24/02/2014,1200,0,,20.3,,,,,,
83179,25/02/2014,0000,,33.9,,10.6,,27.46,,,
83179,25/02/2014,1200,1,,20.7,,,,,,
83179,26/02/2014,0000,,33.2,,9.7,,27.52,,,
83179,26/02/2014,1200,0,,22.2,,,,,,
83179,27/02/2014,0000,,28.4,,1.3,,25.46,,,
83179,27/02/2014,1200,0,,22.9,,,,,,
83179,28/02/2014,0000,,33.2,,6,,25.1,,,
83179,28/02/2014,1200,0,,21.8,,,,,,
83179,31/03/2014,0000,,34.6,,,,27.54,,,
83179,31/03/2014,1200,0,,19.2,,,,,,
83179,01/04/2014,0000,,34.8,,10.5,,27.56,,,
83179,01/04/2014,1200,0,,21.5,,,,,,
83179,02/04/2014,0000,,33.4,,10.5,,28.26,,,
83179,02/04/2014,1200,0,,22.1,,,,,,
83179,03/04/2014,0000,,34.4,,10.5,,28.6,,,
83179,03/04/2014,1200,0,,22.6,,,,,,
