Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83339,01/01/2014,0000,,29.3,,12,5.4,23.4,60.25,,
83339,01/01/2014,1200,0,,18.2,,,,,,
83339,02/01/2014,0000,,29,,12,5,23.64,56.5,,
83339,02/01/2014,1200,0,,18.5,,,,,,
83339,03/01/2014,0000,,28.8,,10.5,6.1,22.94,65.75,,
83339,03/01/2014,1200,0,,17.6,,,,,,
83339,04/01/2014,0000,,29.8,,9.5,4.9,23.22,62.5,,
83339,04/01/2014,1200,0,,17.9,,,,,,
83339,05/01/2014,0000,,28.4,,11.7,5.5,22.92,67,,
83339,05/01/2014,1200,0,,18.4,,,,,,
83339,06/01/2014,0000,,28,,11.9,10.8,22.5,56.5,,
83339,06/01/2014,1200,0,,18,,,,,,
83339,07/01/2014,0000,,27.8,,10.6,2.7,21.98,69.75,,
83339,07/01/2014,1200,0,,18.4,,,,,,
83339,08/01/2014,0000,,28.2,,9.7,4.2,21.9,67.75,,
83339,08/01/2014,1200,0.4,,18,,,,,,
83339,09/01/2014,0000,,27.4,,5.5,4.2,22.26,61.25,,
83339,09/01/2014,1200,0,,18.6,,,,,,
83339,10/01/2014,0000,,28.6,,9.5,4.1,22.86,63.5,,
83339,10/01/2014,1200,0,,18.4,,,,,,
83339,11/01/2014,0000,,28,,6.9,4.5,22.26,78.75,,
83339,11/01/2014,1200,0,,19.2,,,,,,
83339,12/01/2014,0000,,27,,5.6,3.5,22.46,71.75,,
83339,12/01/2014,1200,0,,18.6,,,,,,
83339,13/01/2014,0000,,28.8,,7.3,3.4,23,70.75,,
83339,13/01/2014,1200,0,,19.3,,,,,,
83339,14/01/2014,0000,,27.8,,9.7,4.3,23.2,65.5,,
83339,14/01/2014,1200,0,,18.8,,,,,,
83339,15/01/2014,0000,,26.2,,1.6,4.4,22.16,77,,
83339,15/01/2014,1200,0,,19.4,,,,,,
83339,16/01/2014,0000,,30,,8,2.4,24.1,68.5,,
83339,16/01/2014,1200,0,,19.4,,,,,,
83339,17/01/2014,0000,,29.3,,8.3,4.7,23.38,68,0,
83339,17/01/2014,1200,0,,18.9,,,,,,
83339,18/01/2014,0000,,29.6,,7.7,4.5,23.54,70.25,0,
83339,18/01/2014,1200,0,,18.6,,,,,,
83339,19/01/2014,0000,,27.9,,4.1,4.2,23.54,74.75,,
83339,19/01/2014,1200,0,,19.9,,,,,,
83339,20/01/2014,0000,,29.2,,4,4.2,23.78,72.5,,
83339,20/01/2014,1200,0,,20.6,,,,,,
83339,21/01/2014,0000,,29.6,,7,3.6,23.22,64.75,,
83339,21/01/2014,1200,0,,19.8,,,,,,
83339,22/01/2014,0000,,29.8,,10.4,1.7,23.34,70,,
83339,22/01/2014,1200,0,,18.8,,,,,,
83339,23/01/2014,0000,,29.6,,9.1,4.6,23.5,60,,
83339,23/01/2014,1200,0,,19.2,,,,,,
83339,24/01/2014,0000,,27.2,,7,5.1,21.94,53.75,,
83339,24/01/2014,1200,0,,19.2,,,,,,
83339,25/01/2014,0000,,30,,9.3,5.5,21.94,72.5,,
83339,25/01/2014,1200,0,,16.8,,,,,,
83339,26/01/2014,0000,,29,,8.7,4.5,23.16,58,,
83339,26/01/2014,1200,6.2,,18.6,,,,,,
83339,27/01/2014,0000,,28.8,,11.7,6.3,22.62,61.75,,
83339,27/01/2014,1200,0,,18.4,,,,,,
83339,28/01/2014,0000,,27.6,,10.7,3.7,21.82,70.5,,
83339,28/01/2014,1200,0,,19,,,,,,
83339,29/01/2014,0000,,26.6,,7.2,4.3,21.1,79.5,,
83339,29/01/2014,1200,0.4,,17.2,,,,,,
83339,30/01/2014,0000,,26.4,,9.1,3.2,21.38,73.5,,
83339,30/01/2014,1200,3.2,,18.2,,,,,,
83339,31/01/2014,0000,,26.6,,8.3,4,21.16,67,,
83339,31/01/2014,1200,0,,17,,,,,,
83339,01/02/2014,0000,,27.4,,9,5.1,22.06,66,,
83339,01/02/2014,1200,0,,17.8,,,,,,
83339,02/02/2014,0000,,29,,11.5,4.5,22.66,53.25,,
83339,02/02/2014,1200,0,,17.6,,,,,,
83339,03/02/2014,0000,,29,,10,6.1,22.7,47.25,,
83339,03/02/2014,1200,0,,17.4,,,,,,
83339,04/02/2014,0000,,29.5,,8.3,2.5,23.44,64,,
83339,04/02/2014,1200,0,,18.8,,,,,,
83339,05/02/2014,0000,,28.6,,8.4,5,22.18,73,,
83339,05/02/2014,1200,0.6,,18.8,,,,,,
83339,06/02/2014,0000,,28.6,,9.6,4.5,22.66,60.25,,
83339,06/02/2014,1200,0.8,,18.4,,,,,,
83339,07/02/2014,0000,,28.2,,9.9,5.6,22.62,64.75,,
83339,07/02/2014,1200,0,,18.4,,,,,,
83339,08/02/2014,0000,,29.4,,10.2,5,23.54,52.75,,
83339,08/02/2014,1200,0,,18.8,,,,,,
