Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83498,01/01/2014,0000,,30.4,,,3.5,26.18,80,3.4,
83498,01/01/2014,1200,0,,22.9,,,,,,
83498,02/01/2014,0000,,29.8,,,3.6,25.86,84.75,3.866667,
83498,02/01/2014,1200,0,,22.9,,,,,,
83498,03/01/2014,0000,,30.1,,,3.7,26.12,78.25,1.633333,
83498,03/01/2014,1200,0,,22.2,,,,,,
83498,04/01/2014,0000,,30.8,,,3.5,26.4,81.75,3.566667,
83498,04/01/2014,1200,0,,23,,,,,,
83498,05/01/2014,0000,,30.2,,,4.4,26.1,80.75,1.8,
83498,05/01/2014,1200,0,,23.1,,,,,,
83498,06/01/2014,0000,,29.4,,,3.6,26.38,70,2.333333,
83498,06/01/2014,1200,0,,21.5,,,,,,
83498,07/01/2014,0000,,29.2,,,4.1,25.98,79.25,2.133333,
83498,07/01/2014,1200,0.2,,23,,,,,,
83498,08/01/2014,0000,,27.8,,,3,25.52,92.75,1.566667,
83498,08/01/2014,1200,6.5,,22.8,,,,,,
83498,09/01/2014,0000,,29.5,,,1.5,25.82,83.75,1.566667,
83498,09/01/2014,1200,10.2,,23.6,,,,,,
83498,10/01/2014,0000,,29.7,,,2.4,26.04,85.5,2.266667,
83498,10/01/2014,1200,10.6,,22.5,,,,,,
83498,11/01/2014,0000,,29.9,,,2.4,26.58,80.75,2.6,
83498,11/01/2014,1200,0,,23.3,,,,,,
83498,12/01/2014,0000,,30.5,,,2.8,26.84,82,2.066667,
83498,12/01/2014,1200,0,,24,,,,,,
83498,13/01/2014,0000,,30,,,2.6,26.2,85.5,1.7,
83498,13/01/2014,1200,7.8,,23.6,,,,,,
83498,14/01/2014,0000,,29.5,,,2.8,26.1,84,2.566667,
83498,14/01/2014,1200,0,,23.5,,,,,,
83498,15/01/2014,0000,,30.1,,,2.6,26.4,76,1.6,
83498,15/01/2014,1200,0.1,,22.9,,,,,,
83498,16/01/2014,0000,,30.5,,,2.7,26.32,74,3,
83498,16/01/2014,1200,0,,22.8,,,,,,
83498,17/01/2014,0000,,30.5,,,4.4,26.48,78.5,2.466667,
83498,17/01/2014,1200,0,,22.4,,,,,,
83498,18/01/2014,0000,,30.6,,,3.9,26.68,84.75,2.6,
83498,18/01/2014,1200,0,,24.1,,,,,,
83498,19/01/2014,0000,,29.2,,,3.3,25.66,89,0.933333,
83498,19/01/2014,1200,0,,24,,,,,,
83498,20/01/2014,0000,,30.3,,,1.6,26.24,88.5,0.966667,
83498,20/01/2014,1200,0.1,,23.2,,,,,,
83498,21/01/2014,0000,,29.9,,,2.3,26.3,85.75,2.1,
83498,21/01/2014,1200,0,,24.3,,,,,,
83498,22/01/2014,0000,,29.5,,,2.8,26.5,87.75,1.066667,
83498,22/01/2014,1200,0,,24.3,,,,,,
83498,23/01/2014,0000,,30.1,,,1.3,26.1,85.25,2.466667,
83498,23/01/2014,1200,0,,24.3,,,,,,
83498,24/01/2014,0000,,30.4,,,3,25.22,85,1.433333,
83498,24/01/2014,1200,4,,22.6,,,,,,
83498,25/01/2014,0000,,30.4,,,2.3,26.72,82,2.2,
83498,25/01/2014,1200,13.8,,22.7,,,,,,
83498,26/01/2014,0000,,30.9,,,3.7,26.88,84.5,2.066667,
83498,26/01/2014,1200,0,,23,,,,,,
83498,27/01/2014,0000,,30.3,,,3.6,26.58,84.75,2.3,
83498,27/01/2014,1200,0,,23.2,,,,,,
83498,28/01/2014,0000,,29.5,,,2.8,26.46,82.25,2.133333,
83498,28/01/2014,1200,4.7,,23.5,,,,,,
83498,29/01/2014,0000,,29.6,,,2.9,26.74,81.75,2.133333,
83498,29/01/2014,1200,6.8,,23.4,,,,,,
83498,30/01/2014,0000,,29.7,,,3.2,26.54,86.5,1.933333,
83498,30/01/2014,1200,0.3,,24.1,,,,,,
83498,31/01/2014,0000,,30.1,,,3.1,26.86,86,1.466667,
83498,31/01/2014,1200,0,,23.7,,,,,,
83498,01/02/2014,0000,,30.2,,,4,26.72,83.75,2.633333,
83498,01/02/2014,1200,0,,23.3,,,,,,
83498,02/02/2014,0000,,30.6,,,3.4,26.26,90.25,1.133333,
