Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83408,01/01/2014,0000,,33.6,,,5.5,26.86,,2.2,
83408,01/01/2014,1200,0,,20.3,,,,,,
83408,02/01/2014,0000,,32.4,,,5.6,25.76,,1.45,
83408,02/01/2014,1200,0,,20.5,,,,,,
83408,03/01/2014,0000,,32.6,,,6.2,25.84,,0.85,
83408,03/01/2014,1200,0,,19.3,,,,,,
83408,04/01/2014,0000,,32.4,,,5.3,25.96,,2.15,
83408,04/01/2014,1200,0,,19.3,,,,,,
83408,05/01/2014,0000,,32.1,,,5.2,25.86,,2.65,
83408,05/01/2014,1200,0,,20.4,,,,,,
83408,06/01/2014,0000,,31.6,,,5.9,25.96,,2.05,
83408,06/01/2014,1200,0,,20.8,,,,,,
83408,07/01/2014,0000,,31.2,,,6,25.58,,2.05,
83408,07/01/2014,1200,0,,21.3,,,,,,
83408,08/01/2014,0000,,31.2,,,6.8,25.88,,1.9,
83408,08/01/2014,1200,0,,20.1,,,,,,
83408,09/01/2014,0000,,30.3,,,5.3,25.38,,2.7,
83408,09/01/2014,1200,0,,22.6,,,,,,
83408,10/01/2014,0000,,32,,,3.4,26.06,,3.1,
83408,10/01/2014,1200,0,,20.6,,,,,,
83408,11/01/2014,0000,,32,,,5.4,26.04,,2.3,
83408,11/01/2014,1200,0,,21.1,,,,,,
83408,12/01/2014,0000,,31,,,5.4,25.76,,2.05,
83408,12/01/2014,1200,0,,21.5,,,,,,
83408,13/01/2014,0000,,32.2,,,5,26.38,,1.8,
83408,13/01/2014,1200,0,,21.5,,,,,,
83408,14/01/2014,0000,,32.5,,,5.4,25.36,,1.85,
83408,14/01/2014,1200,0,,19.8,,,,,,
83408,15/01/2014,0000,,32.9,,,5.3,25.12,,1.6,
83408,15/01/2014,1200,0,,21.3,,,,,,
83408,16/01/2014,0000,,32.4,,,4.3,26.74,,1.2,
83408,16/01/2014,1200,0,,20.8,,,,,,
83408,17/01/2014,0000,,33.2,,,4.4,27.22,,2.3,
83408,17/01/2014,1200,0,,22.2,,,,,,
83408,18/01/2014,0000,,32.8,,,3.8,26.6,,2.35,
83408,18/01/2014,1200,0,,22.7,,,,,,
83408,19/01/2014,0000,,32,,,4.7,26.72,,1.55,
83408,19/01/2014,1200,0,,22.4,,,,,,
83408,20/01/2014,0000,,30.4,,,5,26.46,,1.65,
83408,20/01/2014,1200,0,,23,,,,,,
83408,21/01/2014,0000,,33.3,,,7.9,27.76,,1.9,
83408,21/01/2014,1200,0,,23.1,,,,,,
83408,22/01/2014,0000,,34.7,,,5.9,27.8,,2.8,
83408,22/01/2014,1200,0,,22.4,,,,,,
83408,23/01/2014,0000,,34.6,,,7,27.46,,1.8,
83408,23/01/2014,1200,0,,23.5,,,,,,
83408,24/01/2014,0000,,33.5,,,4.8,26.2,,2.55,
83408,24/01/2014,1200,0,,21.1,,,,,,
83408,25/01/2014,0000,,33.7,,,7.7,26.54,,1.55,
83408,25/01/2014,1200,0,,18.6,,,,,,
83408,26/01/2014,0000,,33.4,,,7.1,27,,2.05,
83408,26/01/2014,1200,0,,20.8,,,,,,
83408,27/01/2014,0000,,33.8,,,5.5,26.06,,2.3,
83408,27/01/2014,1200,0,,19.5,,,,,,
83408,28/01/2014,0000,,33.4,,,8.6,26.52,,3.2,
83408,28/01/2014,1200,0,,19.9,,,,,,
83408,29/01/2014,0000,,32.2,,,8.8,25.4,,3.3,
83408,29/01/2014,1200,0,,20.6,,,,,,
83408,30/01/2014,0000,,31.9,,,7.9,26.36,,3.2,
