Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83222,01/01/2014,0000,,,,9.9,5.2,,,,
83222,01/01/2014,1200,0,,22.3,,,,,,
83222,02/01/2014,0000,,,,11.7,5.9,,,,
83222,02/01/2014,1200,0,,21.7,,,,,,
83222,03/01/2014,0000,,,,10.9,5.8,,,,
83222,03/01/2014,1200,0,,21.5,,,,,,
83222,04/01/2014,0000,,,,11.9,5.7,,,,
83222,04/01/2014,1200,0,,21.3,,,,,,
83222,05/01/2014,0000,,,,11.9,6.6,,,,
83222,05/01/2014,1200,0,,21,,,,,,
83222,06/01/2014,0000,,,,3.9,7,,,,
83222,06/01/2014,1200,0,,21.7,,,,,,
83222,07/01/2014,0000,,,,7.4,3,,,,
83222,07/01/2014,1200,0.1,,20.8,,,,,,
83222,08/01/2014,0000,,,,11,4.8,,,,
83222,08/01/2014,1200,3.6,,20.9,,,,,,
83222,09/01/2014,0000,,,,9.9,5.1,,,,
83222,09/01/2014,1200,3.8,,20.8,,,,,,
83222,10/01/2014,0000,,,,,4.5,,,,
83222,10/01/2014,1200,0,,22,,,,,,
83222,11/01/2014,0000,,,,7.2,3.7,,,,
83222,11/01/2014,1200,0,,22.6,,,,,,
83222,12/01/2014,0000,,,,9.4,5.1,,,,
83222,12/01/2014,1200,2.9,,22,,,,,,
83222,13/01/2014,0000,,,,8.2,5,,,,
83222,13/01/2014,1200,0.5,,22.3,,,,,,
83222,14/01/2014,0000,,,,8.5,4.9,,,,
83222,14/01/2014,1200,0,,21.9,,,,,,
83222,15/01/2014,0000,,,,5.5,5.5,,,,
83222,15/01/2014,1200,0,,22.1,,,,,,
83222,16/01/2014,0000,,,,6.8,4.3,,,,
83222,16/01/2014,1200,0,,21.7,,,,,,
83222,17/01/2014,0000,,,,10.6,5,,,,
83222,17/01/2014,1200,0,,19.9,,,,,,
83222,18/01/2014,0000,,,,10.1,4.8,,,,
83222,18/01/2014,1200,0,,21.9,,,,,,
83222,19/01/2014,0000,,,,4.7,5.1,,,,
83222,19/01/2014,1200,0,,22.5,,,,,,
83222,20/01/2014,0000,,,,3.5,5.2,,,,
83222,20/01/2014,1200,0,,23.3,,,,,,
83222,21/01/2014,0000,,,,2.8,5.3,,,,
83222,21/01/2014,1200,0.4,,22.5,,,,,,
83222,22/01/2014,0000,,,,2,3.1,,,,
83222,22/01/2014,1200,3.3,,22.5,,,,,,
83222,23/01/2014,0000,,,,4.2,4.7,,,,
83222,23/01/2014,1200,0,,21.9,,,,,,
83222,24/01/2014,0000,,,,7.3,5.2,,,,
83222,24/01/2014,1200,0,,19.7,,,,,,
83222,25/01/2014,0000,,,,9.6,5.5,,,,
83222,25/01/2014,1200,0,,23.1,,,,,,
83222,26/01/2014,0000,,,,10.4,7.4,,,,
83222,26/01/2014,1200,0,,21.1,,,,,,
83222,27/01/2014,0000,,,,6.8,6.8,,,,
83222,27/01/2014,1200,5,,23.3,,,,,,
83222,28/01/2014,0000,,,,5.6,3.6,,,,
83222,28/01/2014,1200,9,,21.4,,,,,,
83222,29/01/2014,0000,,,,7.5,3.8,,,,
83222,29/01/2014,1200,3.7,,20.9,,,,,,
83222,30/01/2014,0000,,,,10.5,5,,,,
83222,30/01/2014,1200,0,,22.1,,,,,,
83222,31/01/2014,0000,,,,9.1,4.3,,,,
83222,31/01/2014,1200,0,,21.3,,,,,,
83222,01/02/2014,0000,,,,,3.6,,,,
83222,01/02/2014,1200,4.2,,21.3,,,,,,
83222,02/02/2014,0000,,,,3.6,4.4,,,,
83222,02/02/2014,1200,0,,21.3,,,,,,
83222,03/02/2014,0000,,,,8.8,5,,,,
83222,03/02/2014,1200,0,,21.5,,,,,,
83222,04/02/2014,0000,,,,6.3,6.1,,,,
83222,04/02/2014,1200,47.5,,22.5,,,,,,
83222,05/02/2014,0000,,,,7.2,2.8,,,,
83222,05/02/2014,1200,9.8,,22.3,,,,,,
