Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83221,01/01/2014,0000,,33.2,,2.3,3.7,26.18,62.25,2.866667,
83221,01/01/2014,1200,0,,20,,,,,,
83221,02/01/2014,0000,,33.8,,3.8,4.8,,66,4,
83221,02/01/2014,1200,0,,20,,,,,,
83221,03/01/2014,0000,,33.8,,2.5,4.1,26.3,69.25,3.6,
83221,03/01/2014,1200,0,,20,,,,,,
83221,04/01/2014,0000,,35,,4.2,4.6,25.98,62.25,3.733333,
83221,04/01/2014,1200,0,,18.6,,,,,,
83221,05/01/2014,0000,,34.8,,3.4,7.5,25.94,71.5,2.8,
83221,05/01/2014,1200,0,,18.6,,,,,,
83221,06/01/2014,0000,,34.4,,2.3,5.6,26.42,78,3.933333,
83221,06/01/2014,1200,0,,18.2,,,,,,
83221,07/01/2014,0000,,32.6,,2.1,3.5,25.66,71.5,4.8,
83221,07/01/2014,1200,0,,18.4,,,,,,
83221,08/01/2014,0000,,32.2,,3.6,3.9,25.7,71.25,3.4,
83221,08/01/2014,1200,0.2,,18,,,,,,
83221,09/01/2014,0000,,33.4,,1.9,4.4,26.1,74.75,3.766667,
83221,09/01/2014,1200,0,,18.6,,,,,,
83221,10/01/2014,0000,,33.2,,0.1,4.7,26.34,73,3.833333,
83221,10/01/2014,1200,0,,19.4,,,,,,
83221,11/01/2014,0000,,34.2,,1.2,0.8,26.9,80.5,4.3,
83221,11/01/2014,1200,0,,19.8,,,,,,
83221,12/01/2014,0000,,32.6,,2.8,5.5,26.98,74,4.1,
83221,12/01/2014,1200,2.3,,20,,,,,,
83221,13/01/2014,0000,,31,,0.7,4.3,26.22,74.75,3.733333,
83221,13/01/2014,1200,0,,20.2,,,,,,
83221,14/01/2014,0000,,33,,0.7,3.4,26.18,76.75,5.133333,
83221,14/01/2014,1200,0.6,,19.2,,,,,,
83221,15/01/2014,0000,,32.8,,3.3,4.7,25.98,68.5,3.6,
83221,15/01/2014,1200,0,,19.8,,,,,,
83221,16/01/2014,0000,,32.8,,1.8,4.3,25.58,70.75,2.6,
83221,16/01/2014,1200,0,,19.2,,,,,,
83221,17/01/2014,0000,,34.4,,3.9,4.7,26.54,74.75,3.7,
83221,17/01/2014,1200,0,,18.8,,,,,,
83221,18/01/2014,0000,,35.4,,4.4,5.1,26.98,63,2.666667,
83221,18/01/2014,1200,0,,19.8,,,,,,
83221,19/01/2014,0000,,32.8,,2.9,6.2,26.9,62.5,4.133333,
83221,19/01/2014,1200,0,,21.8,,,,,,
83221,20/01/2014,0000,,35,,2.9,6.7,27.68,68.25,3.766667,
83221,20/01/2014,1200,0,,21.6,,,,,,
83221,21/01/2014,0000,,31,,0,3.7,26.34,75.25,3.233333,
83221,21/01/2014,1200,0,,21.4,,,,,,
83221,22/01/2014,0000,,33.8,,2.9,1.4,26.38,67,3.966667,
