Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83182,01/01/2014,0000,,30.7,,10.6,,23.82,62.5,,
83182,01/01/2014,1200,0,,16.6,,,,,,
83182,02/01/2014,0000,,30.9,,10.5,,23.98,56.25,,
83182,02/01/2014,1200,0,,17.9,,,,,,
83182,03/01/2014,0000,,31,,10.8,,23.78,56.25,,
83182,03/01/2014,1200,0,,16.6,,,,,,
83182,04/01/2014,0000,,32.4,,10.6,,24.3,53.5,,
83182,04/01/2014,1200,0,,17,,,,,,
83182,05/01/2014,0000,,30.4,,10.7,,23.36,53,,
83182,05/01/2014,1200,0,,16.8,,,,,,
83182,06/01/2014,0000,,30.7,,10.4,,23.32,58.5,,
83182,06/01/2014,1200,0,,16.1,,,,,,
83182,07/01/2014,0000,,30.4,,10.5,,23.1,63,,
83182,07/01/2014,1200,0,,16.5,,,,,,
83182,08/01/2014,0000,,30.5,,10.2,,23.24,64,,
83182,08/01/2014,1200,0,,16.1,,,,,,
83182,09/01/2014,0000,,31.7,,10.3,,24.78,57.75,,
83182,09/01/2014,1200,0,,16.4,,,,,,
83182,10/01/2014,0000,,31.3,,9,,24.56,65.25,,
83182,10/01/2014,1200,0,,17.8,,,,,,
83182,11/01/2014,0000,,31,,8,,24.56,70.5,,
83182,11/01/2014,1200,0,,19.2,,,,,,
83182,12/01/2014,0000,,28.3,,4.4,,23,74.75,,
83182,12/01/2014,1200,0,,17.2,,,,,,
83182,13/01/2014,0000,,30.1,,7.9,,23.42,69.5,,
83182,13/01/2014,1200,0.7,,17.2,,,,,,
83182,14/01/2014,0000,,30.8,,6.4,,23.64,61,,
83182,14/01/2014,1200,0,,18.2,,,,,,
83182,15/01/2014,0000,,31.1,,6.6,,23.8,67.25,,
83182,15/01/2014,1200,0,,17.4,,,,,,
83182,16/01/2014,0000,,33.1,,10.6,,24.72,59.75,,
83182,16/01/2014,1200,0,,17,,,,,,
83182,17/01/2014,0000,,33.4,,10.7,,25.18,50.75,,
83182,17/01/2014,1200,0,,16.9,,,,,,
83182,18/01/2014,0000,,33.2,,8.6,,25.5,57.75,,
83182,18/01/2014,1200,0,,18.1,,,,,,
83182,19/01/2014,0000,,33,,9.3,,25.46,58,,
83182,19/01/2014,1200,0,,19,,,,,,
83182,20/01/2014,0000,,33.4,,8.8,,25.14,63.25,,
83182,20/01/2014,1200,0,,19.6,,,,,,
83182,21/01/2014,0000,,31.1,,5.9,,24.6,69,,
83182,21/01/2014,1200,0,,19.2,,,,,,
83182,22/01/2014,0000,,33,,10,,25.36,60.25,,
83182,22/01/2014,1200,0,,19.1,,,,,,
