Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83244,01/01/2014,0000,,33.2,,9.8,,26.08,69,,
83244,01/01/2014,1200,0,,18.2,,,,,,
83244,02/01/2014,0000,,34,,9.5,,26.24,67,,
83244,02/01/2014,1200,0,,18.4,,,,,,
83244,03/01/2014,0000,,32.8,,9.8,,26,71,,
83244,03/01/2014,1200,0,,18.6,,,,,,
83244,04/01/2014,0000,,33,,11.9,,26.04,67,,
83244,04/01/2014,1200,0,,18.2,,,,,,
83244,05/01/2014,0000,,33.6,,11.4,,26.16,65.5,,
83244,05/01/2014,1200,0,,19,,,,,,
83244,06/01/2014,0000,,33,,8.5,,25.68,69,,
83244,06/01/2014,1200,0,,18.4,,,,,,
83244,07/01/2014,0000,,32.4,,10.8,,25.48,69.5,,
83244,07/01/2014,1200,0,,18.6,,,,,,
83244,08/01/2014,0000,,33.2,,11.5,,26.4,64.75,,
83244,08/01/2014,1200,0,,18.2,,,,,,
83244,09/01/2014,0000,,32.4,,9,,25.96,70,,
83244,09/01/2014,1200,0,,19.4,,,,,,
83244,10/01/2014,0000,,34,,10.2,,26.48,65.25,,
83244,10/01/2014,1200,0,,18.4,,,,,,
83244,11/01/2014,0000,,32.8,,7.9,,26.24,66.25,,
83244,11/01/2014,1200,0.6,,20,,,,,,
83244,12/01/2014,0000,,32.2,,4.8,,25.6,72.25,,
83244,12/01/2014,1200,2,,18.8,,,,,,
83244,13/01/2014,0000,,33.2,,6.6,,25.84,70,,
83244,13/01/2014,1200,1.7,,19,,,,,,
83244,14/01/2014,0000,,33.8,,9.2,,26.8,63.25,,
83244,14/01/2014,1200,0,,19.4,,,,,,
83244,15/01/2014,0000,,32.2,,6.9,,25.76,70,,
83244,15/01/2014,1200,0,,19.4,,,,,,
83244,16/01/2014,0000,,33.2,,6.1,,25.84,70.25,,
83244,16/01/2014,1200,0,,19.2,,,,,,
83244,17/01/2014,0000,,34.4,,11.9,,26.52,65.5,,
83244,17/01/2014,1200,0,,18,,,,,,
83244,18/01/2014,0000,,35.2,,8.7,,27.36,63.25,,
83244,18/01/2014,1200,0,,19.8,,,,,,
83244,19/01/2014,0000,,34.6,,4.9,,27.12,68,,
83244,19/01/2014,1200,0,,20.6,,,,,,
83244,20/01/2014,0000,,32.2,,3.5,,26.68,67.25,,
83244,20/01/2014,1200,0,,20,,,,,,
83244,21/01/2014,0000,,33,,2.8,,26.52,74.5,,
83244,21/01/2014,1200,0,,20.4,,,,,,
83244,22/01/2014,0000,,31.2,,1.6,,25.72,72,,
83244,22/01/2014,1200,1.5,,18.8,,,,,,
83244,23/01/2014,0000,,31.4,,3.8,,25.52,75.25,,
83244,23/01/2014,1200,0.3,,18.8,,,,,,
83244,24/01/2014,0000,,33.4,,10.1,,25.8,67.25,,
83244,24/01/2014,1200,0,,17.2,,,,,,
83244,25/01/2014,0000,,34.2,,6.7,,26.68,71,,
