Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83242,01/01/2014,0000,,31,,7.9,3.7,23.86,69.25,1.1,
83242,01/01/2014,1200,0,,16.7,,,,,,
83242,02/01/2014,0000,,31.7,,9.2,4.6,24.86,63.25,1.333333,
83242,02/01/2014,1200,0,,18,,,,,,
83242,03/01/2014,0000,,31.5,,9.3,5.4,24.58,62,1.6,
83242,03/01/2014,1200,0,,17.3,,,,,,
83242,04/01/2014,0000,,32.2,,10.1,5,25.2,58.5,1.3,
83242,04/01/2014,1200,0.1,,18.9,,,,,,
83242,05/01/2014,0000,,31.2,,9.4,6.3,24.8,65,1.166667,
83242,05/01/2014,1200,0.1,,18.3,,,,,,
83242,06/01/2014,0000,,31.4,,10.5,6,24.36,59.25,1.966667,
83242,06/01/2014,1200,0.1,,16.7,,,,,,
83242,07/01/2014,0000,,30.8,,9.4,6.7,25.12,63.25,1.7,
83242,07/01/2014,1200,0.2,,18.1,,,,,,
83242,08/01/2014,0000,,31.6,,10.7,6,25.16,60.5,1.466667,
83242,08/01/2014,1200,0,,18.1,,,,,,
83242,09/01/2014,0000,,30.9,,4.5,10.7,24.2,70.75,1.233333,
83242,09/01/2014,1200,0.1,,18,,,,,,
83242,10/01/2014,0000,,31.3,,8.2,5.9,25.12,67,1.1,
83242,10/01/2014,1200,2.3,,18.6,,,,,,
83242,11/01/2014,0000,,29.4,,3.5,5.9,24.2,78.25,1.666667,
83242,11/01/2014,1200,1.2,,18.3,,,,,,
83242,12/01/2014,0000,,29.8,,3.5,2.8,23.8,83.75,1.533333,
83242,12/01/2014,1200,3.7,,17.3,,,,,,
83242,13/01/2014,0000,,31,,7,2.6,24.84,70.5,1.566667,
83242,13/01/2014,1200,1.4,,17.3,,,,,,
83242,14/01/2014,0000,,31.5,,8.2,8,24.98,64,1.933333,
83242,14/01/2014,1200,0,,18.5,,,,,,
83242,15/01/2014,0000,,29.7,,4.7,9.9,24.3,75.75,1.3,
83242,15/01/2014,1200,0,,18.7,,,,,,
83242,16/01/2014,0000,,31.4,,7.1,6.6,24.68,73.25,1.4,
83242,16/01/2014,1200,0.1,,17.7,,,,,,
83242,17/01/2014,0000,,31.2,,7.2,5,24.86,66.5,1.7,
83242,17/01/2014,1200,0,,18.5,,,,,,
83242,18/01/2014,0000,,31.6,,4.3,4.8,25.48,66,2.266667,
83242,18/01/2014,1200,0,,18.7,,,,,,
83242,19/01/2014,0000,,32.4,,6.2,4.2,25.68,68.25,1.7,
83242,19/01/2014,1200,0,,19.9,,,,,,
83242,20/01/2014,0000,,31.1,,6.9,4.7,23.88,71.75,1.7,
83242,20/01/2014,1200,0,,19.6,,,,,,
83242,21/01/2014,0000,,30.9,,4.2,4.3,25.14,69.75,1.5,
83242,21/01/2014,1200,0.1,,18.8,,,,,,
83242,22/01/2014,0000,,30.6,,5.6,4,24.76,74.25,1.266667,
83242,22/01/2014,1200,1.4,,18.7,,,,,,
83242,23/01/2014,0000,,32.3,,5.9,4,25.66,65.5,1.1,
83242,23/01/2014,1200,0,,19.2,,,,,,
83242,24/01/2014,0000,,30.8,,9.9,6.9,24.26,64.5,1.766667,
83242,24/01/2014,1200,0,,17.8,,,,,,
83242,25/01/2014,0000,,31,,7.5,7.7,24.86,71,1,
83242,25/01/2014,1200,0,,17.9,,,,,,
83242,26/01/2014,0000,,31.6,,7.8,6.7,24.56,64,1.5,
83242,26/01/2014,1200,0,,17.4,,,,,,
83242,27/01/2014,0000,,31.2,,7.6,7.2,24.1,79.5,2.233333,
83242,27/01/2014,1200,0,,17.3,,,,,,
83242,28/01/2014,0000,,29.7,,6.4,3.5,24,70,2.033333,
83242,28/01/2014,1200,6.8,,16.1,,,,,,
83242,29/01/2014,0000,,31.4,,5.7,4.8,24.14,72.75,2.666667,
83242,29/01/2014,1200,0.3,,16,,,,,,
83242,30/01/2014,0000,,30.8,,8.5,4.7,24.4,75.5,2.333333,
83242,30/01/2014,1200,2.7,,17.9,,,,,,
83242,31/01/2014,0000,,31.6,,7.8,5,24.6,68.25,2.733333,
83242,31/01/2014,1200,0.4,,16.5,,,,,,
83242,01/02/2014,0000,,26.1,,2.1,6.4,22.28,85.5,0.833333,
83242,01/02/2014,1200,5.6,,16.7,,,,,,
83242,02/02/2014,0000,,31.6,,10.7,1.9,24.36,68,1.566667,
83242,02/02/2014,1200,0.2,,16.1,,,,,,
83242,03/02/2014,0000,,32.4,,9.7,5.1,25.32,63,1.966667,
83242,03/02/2014,1200,0,,17.8,,,,,,
83242,04/02/2014,0000,,30.4,,7,5.9,22.76,81.5,1.7,
83242,04/02/2014,1200,0,,16.3,,,,,,
83242,05/02/2014,0000,,29.2,,7,3.8,22.62,86.25,1.466667,
83242,05/02/2014,1200,12.9,,17.3,,,,,,
83242,06/02/2014,0000,,27,,4.1,4.1,21.76,90,1.333333,
83242,06/02/2014,1200,4.1,,16.5,,,,,,
83242,07/02/2014,0000,,28.2,,2.8,0.7,22.34,89,1.366667,
83242,07/02/2014,1200,2.6,,17.2,,,,,,
83242,08/02/2014,0000,,31.2,,6.8,1.8,23.42,79.75,1.266667,
83242,08/02/2014,1200,3.5,,16.7,,,,,,
83242,09/02/2014,0000,,30.9,,9.9,3.7,25.14,64.75,1.7,
83242,09/02/2014,1200,0.5,,17.7,,,,,,
83242,10/02/2014,0000,,29.6,,6.3,5.8,24.36,69,1.7,
83242,10/02/2014,1200,0,,17.7,,,,,,
83242,11/02/2014,0000,,31.3,,7.5,4.5,25.16,65,1.966667,
83242,11/02/2014,1200,0,,18.2,,,,,,
83242,12/02/2014,0000,,30.7,,7.1,5.4,24.24,71.75,1,
83242,12/02/2014,1200,6,,16.7,,,,,,
83242,13/02/2014,0000,,32.5,,9.3,4.6,25.38,61.5,1.166667,
83242,13/02/2014,1200,0,,17.7,,,,,,
83242,14/02/2014,0000,,32.5,,8.2,6.4,25.9,64.25,0.666667,
83242,14/02/2014,1200,0,,18.7,,,,,,
83242,15/02/2014,0000,,32.6,,6.6,4.9,26.24,64.25,1.233333,
83242,15/02/2014,1200,0.5,,15.3,,,,,,
83242,16/02/2014,0000,,30.6,,6.1,4.9,23.96,72.25,0.8,
83242,16/02/2014,1200,4.5,,15.1,,,,,,
83242,17/02/2014,0000,,32.8,,11.1,4.4,25.7,62.25,1.566667,
83242,17/02/2014,1200,1.2,,18,,,,,,
