Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83090,01/01/2014,0000,,32.9,,9.9,4,26.4,68.25,2.2,
83090,01/01/2014,1200,1,,21.2,,,,,,
83090,02/01/2014,0000,,31.9,,6.9,3.8,25.7,67.25,1.966667,
83090,02/01/2014,1200,0,,20.2,,,,,,
83090,03/01/2014,0000,,32.5,,10.1,5,25.72,71.5,2.666667,
83090,03/01/2014,1200,0,,20.7,,,,,,
83090,04/01/2014,0000,,34.1,,11.1,7.8,26.6,65,2.066667,
83090,04/01/2014,1200,0,,20.7,,,,,,
83090,05/01/2014,0000,,33.9,,11,2.5,26.48,63.5,2.233333,
83090,05/01/2014,1200,0,,20.3,,,,,,
83090,06/01/2014,0000,,32.2,,7.5,5.5,24.54,78.5,2.633333,
83090,06/01/2014,1200,0,,19.9,,,,,,
83090,07/01/2014,0000,,33.7,,10.2,2.8,25.96,64.5,2.866667,
83090,07/01/2014,1200,0,,19.8,,,,,,
83090,08/01/2014,0000,,32.9,,9.6,1.4,25.64,69,2.866667,
83090,08/01/2014,1200,0,,19.9,,,,,,
83090,09/01/2014,0000,,35.1,,10.2,4.5,26.86,65,2.5,
83090,09/01/2014,1200,0,,19.7,,,,,,
83090,10/01/2014,0000,,32.7,,8.2,4.8,27.22,64.75,3,
83090,10/01/2014,1200,0,,22,,,,,,
83090,11/01/2014,0000,,34.1,,10.5,4.2,26.8,68.75,,
83090,11/01/2014,1200,1.1,,21.7,,,,,,
83090,12/01/2014,0000,,32.9,,7.9,5.1,25.7,75,,
83090,12/01/2014,1200,1.6,,21.3,,,,,,
83090,13/01/2014,0000,,33.7,,9.1,1.3,26.42,66,,
83090,13/01/2014,1200,0,,20.9,,,,,,
83090,14/01/2014,0000,,33.3,,8,4.7,25.72,67.5,,
83090,14/01/2014,1200,0.4,,18.1,,,,,,
83090,15/01/2014,0000,,34.7,,6.8,3.7,27.08,65.75,,
83090,15/01/2014,1200,0,,21.7,,,,,,
83090,16/01/2014,0000,,35.1,,9.1,4.5,27.16,64.5,,
83090,16/01/2014,1200,0,,21.7,,,,,,
83090,17/01/2014,0000,,35.9,,10,4.4,28.28,56.5,,
83090,17/01/2014,1200,0,,20.9,,,,,,
83090,18/01/2014,0000,,35.5,,9.6,2.7,28.18,55.25,,
83090,18/01/2014,1200,0,,21.3,,,,,,
83090,19/01/2014,0000,,35.5,,8.9,5.2,28.12,59,,
83090,19/01/2014,1200,0,,22,,,,,,
83090,20/01/2014,0000,,35.4,,9.8,4.8,27.56,60,,
83090,20/01/2014,1200,0,,22.2,,,,,,
83090,21/01/2014,0000,,33.2,,7.6,5.6,27.08,55.5,,
83090,21/01/2014,1200,0,,21.1,,,,,,
83090,22/01/2014,0000,,35.2,,9.8,6,27.18,58.25,,
83090,22/01/2014,1200,0,,21.6,,,,,,
83090,23/01/2014,0000,,35.8,,10.2,5.4,27.52,54.5,,
83090,23/01/2014,1200,0,,21.4,,,,,,
83090,24/01/2014,0000,,34.8,,10.2,5.8,27.72,55.25,,
83090,24/01/2014,1200,0,,21.7,,,,,,
83090,25/01/2014,0000,,33.9,,9,5.8,26.98,55.25,,
83090,25/01/2014,1200,0,,21.6,,,,,,
83090,26/01/2014,0000,,34.2,,8.4,6.6,26.96,57,,
83090,26/01/2014,1200,0,,20.9,,,,,,
83090,27/01/2014,0000,,34.8,,8.2,5.7,26.82,61.75,,
83090,27/01/2014,1200,0,,21.9,,,,,,
83090,28/01/2014,0000,,32.6,,6,4,26.08,58.5,,
83090,28/01/2014,1200,0,,21,,,,,,
83090,29/01/2014,0000,,34,,8.4,4,26.56,62.75,,
83090,29/01/2014,1200,0.3,,21.3,,,,,,
83090,30/01/2014,0000,,34.1,,9.4,3.9,26.32,61.25,,
83090,30/01/2014,1200,0,,21,,,,,,
83090,31/01/2014,0000,,33.8,,8.1,5,26.32,57,,
83090,31/01/2014,1200,0,,20.6,,,,,,
83090,01/02/2014,0000,,33.8,,8.8,5.6,26,64.5,,
83090,01/02/2014,1200,1,,20.5,,,,,,
83090,02/02/2014,0000,,32.9,,9.7,5.4,25.84,66,,
83090,02/02/2014,1200,0,,21,,,,,,
83090,03/02/2014,0000,,34,,6,5,26.12,64.75,,
83090,03/02/2014,1200,0.2,,20.7,,,,,,
83090,04/02/2014,0000,,33.2,,8.4,5,26.74,57.5,,
83090,04/02/2014,1200,0,,21,,,,,,
83090,05/02/2014,0000,,31.6,,6.5,4,26.3,63.25,,
83090,05/02/2014,1200,0,,21,,,,,,
83090,06/02/2014,0000,,31.8,,7.1,4.4,26.3,55,,
83090,06/02/2014,1200,0,,20.2,,,,,,
83090,07/02/2014,0000,,30.4,,0.4,4.2,25.14,72.5,,
83090,07/02/2014,1200,5,,21.6,,,,,,
83090,08/02/2014,0000,,33.5,,8,3,26.88,59.5,,
83090,08/02/2014,1200,0,,21,,,,,,
83090,09/02/2014,0000,,33.8,,8.9,3.8,26.72,66.25,,
83090,09/02/2014,1200,0.4,,21.4,,,,,,
83090,10/02/2014,0000,,33.7,,4.7,4.2,26.24,65,,
83090,10/02/2014,1200,1,,21.4,,,,,,
83090,11/02/2014,0000,,34.1,,8.4,4,26.22,65.5,,
83090,11/02/2014,1200,0,,21.6,,,,,,
83090,12/02/2014,0000,,34.3,,9.1,5,26.98,60,,
83090,12/02/2014,1200,0,,21.8,,,,,,
83090,13/02/2014,0000,,35.2,,9.7,6,27.12,55,,
83090,13/02/2014,1200,0,,20.8,,,,,,
83090,14/02/2014,0000,,34.4,,10.4,6,27.92,54.25,,
83090,14/02/2014,1200,0,,21.9,,,,,,
83090,15/02/2014,0000,,35,,8.5,6,27.96,57,,
83090,15/02/2014,1200,0,,22,,,,,,
83090,16/02/2014,0000,,34.2,,8.2,5.9,27.22,61.75,,
83090,16/02/2014,1200,0,,22.6,,,,,,
83090,17/02/2014,0000,,35,,9.4,4.7,27.42,56.25,,
83090,17/02/2014,1200,0,,21.8,,,,,,
83090,18/02/2014,0000,,35.8,,9.3,6,27.9,55.75,,
83090,18/02/2014,1200,0,,22.1,,,,,,
83090,19/02/2014,0000,,34.6,,8,7.2,27.34,55.5,,
83090,19/02/2014,1200,0,,21.4,,,,,,
83090,20/02/2014,0000,,34,,6.2,5.8,26.6,67.5,,
83090,20/02/2014,1200,0,,22.6,,,,,,
83090,21/02/2014,0000,,33.3,,6.1,3.2,26.22,68.25,,
83090,21/02/2014,1200,0.4,,22.4,,,,,,
83090,22/02/2014,0000,,32.9,,6,5,26.1,70,,
83090,22/02/2014,1200,0,,21.6,,,,,,
83090,23/02/2014,0000,,34.4,,7.4,3,26.68,64.75,,
83090,23/02/2014,1200,0.4,,21.6,,,,,,
83090,24/02/2014,0000,,34.8,,10,4.4,27.2,62,,
83090,24/02/2014,1200,0,,21,,,,,,
83090,25/02/2014,0000,,34.8,,8.9,5.6,27.18,62.75,,
83090,25/02/2014,1200,0,,22,,,,,,
83090,26/02/2014,0000,,34.2,,6.9,5.9,27.08,60.75,,
83090,26/02/2014,1200,0,,20.9,,,,,,
83090,27/02/2014,0000,,33.2,,0.7,5.2,26.24,70.25,,
83090,27/02/2014,1200,0,,22.2,,,,,,
83090,28/02/2014,0000,,33.2,,4.2,3,26.68,63.75,,
83090,28/02/2014,1200,0,,22.2,,,,,,
83090,01/03/2014,0000,,33.9,,2.5,3.9,26.1,70.75,,
83090,01/03/2014,1200,0,,20.9,,,,,,
83090,02/03/2014,0000,,32.1,,4.2,3.9,26,73.75,,
83090,02/03/2014,1200,0.3,,21.3,,,,,,
83090,03/03/2014,0000,,33.1,,5,2.9,26.04,74.75,,
83090,03/03/2014,1200,0.4,,21.5,,,,,,
83090,04/03/2014,0000,,33.2,,5.8,3.6,26.34,67.5,,
83090,04/03/2014,1200,0.1,,22.1,,,,,,
83090,05/03/2014,0000,,33.9,,5.9,4.3,25.76,69,,
83090,05/03/2014,1200,0.4,,20.3,,,,,,
83090,06/03/2014,0000,,34.5,,10.3,3.7,27.18,61.5,,
83090,06/03/2014,1200,0.1,,21.8,,,,,,
83090,07/03/2014,0000,,31.9,,3.9,1.6,26.76,63.25,,
83090,07/03/2014,1200,0,,21.9,,,,,,
83090,08/03/2014,0000,,34.1,,3.4,4.6,27.66,56.75,,
83090,08/03/2014,1200,0,,21.6,,,,,,
83090,09/03/2014,0000,,34.5,,8.8,4.6,27.9,60.25,,
83090,09/03/2014,1200,0,,21.7,,,,,,
83090,10/03/2014,0000,,34.7,,7.3,4.7,26.48,69,,
83090,10/03/2014,1200,0,,22,,,,,,
83090,11/03/2014,0000,,34.5,,8.6,2.6,27.28,60,,
83090,11/03/2014,1200,0,,22,,,,,,
83090,12/03/2014,0000,,33.2,,6.6,3.4,26.46,62.75,,
83090,12/03/2014,1200,0,,21.8,,,,,,
83090,13/03/2014,0000,,32.4,,5.5,6.8,26.8,62.25,,
83090,13/03/2014,1200,0,,22,,,,,,
83090,14/03/2014,0000,,34.2,,9.2,3.1,27.3,59.75,,
83090,14/03/2014,1200,0,,21.6,,,,,,
83090,15/03/2014,0000,,34.7,,7.5,4.5,27.32,65.75,,
83090,15/03/2014,1200,0,,22,,,,,,
83090,16/03/2014,0000,,31.5,,3.2,5.8,24.6,83,,
83090,16/03/2014,1200,0.3,,22.3,,,,,,
83090,17/03/2014,0000,,32,,5.8,1.7,25.86,76.5,,
83090,17/03/2014,1200,8,,21,,,,,,
83090,18/03/2014,0000,,32.4,,8.7,2.3,25.54,73.5,,
83090,18/03/2014,1200,2.3,,22,,,,,,
83090,19/03/2014,0000,,33.9,,9.8,3.2,26.56,66.25,,
83090,19/03/2014,1200,0,,21,,,,,,
83090,20/03/2014,0000,,34.4,,8.7,4.1,27.36,62.5,,
83090,20/03/2014,1200,0,,21.8,,,,,,
83090,21/03/2014,0000,,35,,9.8,5,28.26,57.5,,
83090,21/03/2014,1200,0,,22.6,,,,,,
83090,22/03/2014,0000,,35.6,,9.2,5,27.78,58.25,,
83090,22/03/2014,1200,0,,22.6,,,,,,
83090,23/03/2014,0000,,35.2,,9.4,6,28.28,53.5,,
83090,23/03/2014,1200,0,,22,,,,,,
83090,24/03/2014,0000,,34.8,,10,6,27.82,58.5,,
83090,24/03/2014,1200,0,,22,,,,,,
83090,25/03/2014,0000,,34.8,,9.1,6,27.68,53.75,,
83090,25/03/2014,1200,0,,21.7,,,,,,
83090,26/03/2014,0000,,36.5,,7.4,5,27.94,59.75,,
83090,26/03/2014,1200,0,,21.9,,,,,,
83090,27/03/2014,0000,,33.7,,7.8,6.7,28.06,62,,
83090,27/03/2014,1200,0,,23.3,,,,,,
83090,28/03/2014,0000,,35.4,,9.8,3,27.54,62.5,,
83090,28/03/2014,1200,0,,21.7,,,,,,
83090,29/03/2014,0000,,35,,4.8,6,27.52,63.5,,
83090,29/03/2014,1200,0,,23,,,,,,
83090,30/03/2014,0000,,34.2,,8.1,4.3,28.28,53,0,
83090,30/03/2014,1200,0,,22.3,,,,,,
83090,31/03/2014,0000,,35,,8,5.6,27.74,57,,
83090,31/03/2014,1200,0,,21.8,,,,,,
83090,01/04/2014,0000,,34.8,,8.7,5.1,27.68,58.5,,
83090,01/04/2014,1200,0,,22.6,,,,,,
83090,02/04/2014,0000,,35.5,,9.5,6.7,27.3,61.25,,
83090,02/04/2014,1200,0,,22.2,,,,,,
83090,03/04/2014,0000,,34.2,,4.6,5.9,27.42,60.5,,
83090,03/04/2014,1200,0,,22.7,,,,,,
83090,04/04/2014,0000,,33.1,,5.9,4.8,27.48,59,,
83090,04/04/2014,1200,0,,21.7,,,,,,
83090,05/04/2014,0000,,35.7,,8.6,4.1,29.2,54.75,,
83090,05/04/2014,1200,0,,22.7,,,,,,
83090,06/04/2014,0000,,35.1,,8,4.8,27.98,55.25,,
83090,06/04/2014,1200,0,,21.6,,,,,,
83090,07/04/2014,0000,,36.2,,8.9,5.6,29.2,53.75,0,
83090,07/04/2014,1200,0,,22.8,,,,,,
83090,08/04/2014,0000,,33.4,,6.8,4.3,27.62,58.5,,
83090,08/04/2014,1200,3.2,,22,,,,,,
83090,09/04/2014,0000,,34.2,,6.6,3.8,27.44,63.75,,
83090,09/04/2014,1200,0,,23,,,,,,
83090,10/04/2014,0000,,31.2,,3.3,6.7,25.84,72,,
83090,10/04/2014,1200,1.2,,21.9,,,,,,
83090,11/04/2014,0000,,34.1,,7.3,3.4,26.76,72.5,,
83090,11/04/2014,1200,1.2,,21.7,,,,,,
83090,12/04/2014,0000,,33.2,,7.8,4.4,27.54,60.25,,
83090,12/04/2014,1200,0,,23.3,,,,,,
83090,13/04/2014,0000,,34.8,,8.2,4.5,27.64,64,,
83090,13/04/2014,1200,0,,22.5,,,,,,
83090,14/04/2014,0000,,33.8,,8,3.7,26.88,69,,
83090,14/04/2014,1200,2,,22.1,,,,,,
83090,15/04/2014,0000,,32,,8.2,4.5,26.3,67.75,,
83090,15/04/2014,1200,0,,22.6,,,,,,
83090,16/04/2014,0000,,32.2,,6.2,3.7,26.08,65.25,,
83090,16/04/2014,1200,0,,22,,,,,,
83090,17/04/2014,0000,,33.2,,8.3,3.8,26.92,62.5,0,
