Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82979,01/01/2014,0000,,31.4,,10.2,,27,61.75,,
82979,01/01/2014,1200,0,,22.5,,,,,,
82979,02/01/2014,0000,,32,,10.9,,27.08,55.25,,
82979,02/01/2014,1200,0,,22.3,,,,,,
82979,03/01/2014,0000,,31.8,,11.3,,27,56.75,,
82979,03/01/2014,1200,0,,22.7,,,,,,
82979,04/01/2014,0000,,33,,11.5,,27.32,62.75,,
82979,04/01/2014,1200,0,,23.1,,,,,,
82979,05/01/2014,0000,,32.6,,11.1,,27.32,60.5,,
82979,05/01/2014,1200,0,,22.9,,,,,,
82979,06/01/2014,0000,,31.6,,11.7,,26,65,,
82979,06/01/2014,1200,0,,21.7,,,,,,
82979,07/01/2014,0000,,32.4,,11.7,,27.2,53.5,,
82979,07/01/2014,1200,0,,22.9,,,,,,
82979,08/01/2014,0000,,32.1,,11.7,,27.7,55.75,,
82979,08/01/2014,1200,0,,23.7,,,,,,
82979,09/01/2014,0000,,32,,11.4,,27.32,66.25,,
82979,09/01/2014,1200,0,,23.3,,,,,,
82979,10/01/2014,0000,,30.4,,4.7,,26.16,70.25,,
82979,10/01/2014,1200,0,,22.7,,,,,,
82979,11/01/2014,0000,,32.2,,6.1,,27.68,63.25,,
82979,11/01/2014,1200,0,,23.1,,,,,,
82979,12/01/2014,0000,,31.6,,10.2,,27.36,64,,
82979,12/01/2014,1200,0,,23.9,,,,,,
82979,13/01/2014,0000,,30.6,,5.7,,26.8,68.5,,
82979,13/01/2014,1200,0,,23.7,,,,,,
82979,14/01/2014,0000,,31,,4.6,,27.28,60.5,,
82979,14/01/2014,1200,0,,24.7,,,,,,
82979,15/01/2014,0000,,31.8,,5.7,,26.8,64.25,,
82979,15/01/2014,1200,0,,22.7,,,,,,
82979,16/01/2014,0000,,33,,8.8,,28.4,56.75,,
82979,16/01/2014,1200,0,,23.9,,,,,,
82979,17/01/2014,0000,,33.9,,11.2,,27.48,66.5,,
82979,17/01/2014,1200,0,,21.8,,,,,,
82979,18/01/2014,0000,,33.9,,11.4,,28.02,67,,
82979,18/01/2014,1200,0,,22.3,,,,,,
82979,19/01/2014,0000,,32.8,,11.6,,28.32,65.5,,
82979,19/01/2014,1200,0,,24.1,,,,,,
82979,20/01/2014,0000,,33.2,,9.5,,28.36,61.75,,
82979,20/01/2014,1200,0,,23.7,,,,,,
82979,21/01/2014,0000,,32.4,,8.6,,27.84,62.25,,
82979,21/01/2014,1200,0,,23.9,,,,,,
82979,22/01/2014,0000,,33.6,,10.7,,28.08,62,,
82979,22/01/2014,1200,0,,23.3,,,,,,
82979,23/01/2014,0000,,33.4,,11.2,,28.12,55.75,,
82979,23/01/2014,1200,0,,24.3,,,,,,
82979,24/01/2014,0000,,32.8,,7.5,,28.04,59.5,,
82979,24/01/2014,1200,0,,23.3,,,,,,
82979,25/01/2014,0000,,32.8,,9.9,,27.8,51.75,,
82979,25/01/2014,1200,0,,23.9,,,,,,
82979,26/01/2014,0000,,33.4,,7.1,,27.64,57.75,,
82979,26/01/2014,1200,0,,22.5,,,,,,
82979,27/01/2014,0000,,33.4,,11.4,,28.52,55.25,,
82979,27/01/2014,1200,0,,24.5,,,,,,
82979,28/01/2014,0000,,32.8,,8.1,,27.96,58,,
82979,28/01/2014,1200,0,,24.5,,,,,,
82979,29/01/2014,0000,,32.8,,10.3,,27.76,55.75,,
82979,29/01/2014,1200,0,,24.1,,,,,,
82979,30/01/2014,0000,,32.8,,9.8,,28.08,66.25,,
82979,30/01/2014,1200,0,,24.5,,,,,,
82979,31/01/2014,0000,,32.8,,11,,28.16,58,,
82979,31/01/2014,1200,0,,23.5,,,,,,
82979,01/02/2014,0000,,32.8,,8.6,,28.08,62.25,,
82979,01/02/2014,1200,0,,24.5,,,,,,
82979,02/02/2014,0000,,33,,11.8,,28.44,57.5,,
82979,02/02/2014,1200,0,,23.7,,,,,,
82979,03/02/2014,0000,,33.2,,1.8,,28.32,58,,
82979,03/02/2014,1200,0,,24.3,,,,,,
82979,04/02/2014,0000,,33.8,,11,,27.8,61.5,,
82979,04/02/2014,1200,0,,23.3,,,,,,
82979,05/02/2014,0000,,31.8,,5.8,,27.96,60.75,,
82979,05/02/2014,1200,0,,23.7,,,,,,
82979,06/02/2014,0000,,33.8,,11.7,,27.84,49,,
82979,06/02/2014,1200,0,,23.9,,,,,,
82979,07/02/2014,0000,,32.4,,4.8,,28.08,59,,
82979,07/02/2014,1200,0,,23.9,,,,,,
82979,08/02/2014,0000,,32.6,,9.5,,28.44,55.25,,
82979,08/02/2014,1200,0,,24.7,,,,,,
82979,09/02/2014,0000,,32.6,,10.6,,27.84,67.25,,
82979,09/02/2014,1200,0,,23.9,,,,,,
82979,10/02/2014,0000,,33.8,,11.3,,29.36,49.5,,
82979,10/02/2014,1200,0,,24.3,,,,,,
82979,11/02/2014,0000,,34,,11.3,,28.76,56.75,,
82979,11/02/2014,1200,0,,24.9,,,,,,
82979,12/02/2014,0000,,32.4,,10.3,,28.4,59.25,,
82979,12/02/2014,1200,0,,24.5,,,,,,
82979,13/02/2014,0000,,33.2,,9,,28.68,60.25,,
82979,13/02/2014,1200,0,,25.1,,,,,,
82979,14/02/2014,0000,,32.8,,8.4,,28.78,55.5,,
82979,14/02/2014,1200,0,,25.4,,,,,,
82979,15/02/2014,0000,,31.4,,4,,26.4,75,,
82979,15/02/2014,1200,0,,24.3,,,,,,
82979,16/02/2014,0000,,32,,1.9,,28.12,72.25,,
82979,16/02/2014,1200,0,,23.7,,,,,,
82979,17/02/2014,0000,,28.9,,1.2,,23.88,87.75,,
82979,17/02/2014,1200,5.2,,20.9,,,,,,
82979,18/02/2014,0000,,31,,2.8,,25.92,76.5,,
82979,18/02/2014,1200,12,,20.7,,,,,,
82979,19/02/2014,0000,,31,,3.2,,24.84,79,,
82979,19/02/2014,1200,26,,20.7,,,,,,
82979,20/02/2014,0000,,28,,0.3,,25.32,77.75,,
82979,20/02/2014,1200,1.4,,21.9,,,,,,
82979,21/02/2014,0000,,31.6,,4.5,,26.52,68.5,,
82979,21/02/2014,1200,23.6,,21.7,,,,,,
82979,22/02/2014,0000,,31.8,,7.6,,27.36,63,,
82979,22/02/2014,1200,0,,24.3,,,,,,
82979,23/02/2014,0000,,32.2,,8.9,,27.04,66.25,,
82979,23/02/2014,1200,0,,22.1,,,,,,
82979,24/02/2014,0000,,32.6,,11.6,,27.92,62.5,,
82979,24/02/2014,1200,0,,23.3,,,,,,
82979,25/02/2014,0000,,31.6,,11,,27.68,66.25,,
82979,25/02/2014,1200,0,,24.1,,,,,,
82979,26/02/2014,0000,,31.8,,10,,27.6,65.75,,
