Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83229,01/01/2014,0000,,30,,8.3,3,25.9,81.25,1.166667,
83229,01/01/2014,1200,0,,22,,,,,,
83229,02/01/2014,0000,,29.8,,8.6,3,25.64,86,0.8,
83229,02/01/2014,1200,0,,21.9,,,,,,
83229,03/01/2014,0000,,30.4,,9,2.6,26.12,82.25,0.7,
83229,03/01/2014,1200,0,,21.8,,,,,,
83229,04/01/2014,0000,,30.4,,9.1,2.8,25.94,78,0.6,
83229,04/01/2014,1200,0,,21.9,,,,,,
83229,05/01/2014,0000,,30.5,,9.1,3.4,26.7,74.5,0.6,
83229,05/01/2014,1200,0,,22.5,,,,,,
83229,06/01/2014,0000,,29.5,,3.1,2.9,25.62,77.75,0.433333,
83229,06/01/2014,1200,0.2,,22.2,,,,,,
83229,07/01/2014,0000,,29.2,,6.3,2.4,25.24,86.75,0.266667,
83229,07/01/2014,1200,1.3,,22.4,,,,,,
83229,08/01/2014,0000,,29.1,,7.5,2.1,25.28,83.25,1.033333,
83229,08/01/2014,1200,1.3,,20.8,,,,,,
83229,09/01/2014,0000,,29,,4.6,2.1,25.16,80.5,0.633333,
83229,09/01/2014,1200,1.6,,20.8,,,,,,
83229,10/01/2014,0000,,26.9,,1.4,2.1,25.24,87.5,0.1,
83229,10/01/2014,1200,0.1,,22.5,,,,,,
83229,11/01/2014,0000,,29.7,,7.8,1.7,26.3,79,0.533333,
83229,11/01/2014,1200,3,,22.7,,,,,,
83229,12/01/2014,0000,,29.1,,7.7,1.9,25.22,85.25,0.533333,
83229,12/01/2014,1200,3.6,,21.3,,,,,,
83229,13/01/2014,0000,,30.1,,9.1,1.8,26.28,80.5,0.366667,
83229,13/01/2014,1200,0.8,,21.9,,,,,,
83229,14/01/2014,0000,,30.5,,8.2,2.2,26.44,84,0.1,
83229,14/01/2014,1200,0.4,,22.5,,,,,,
83229,15/01/2014,0000,,29.9,,6.2,2.1,26.28,79.5,0.633333,
83229,15/01/2014,1200,2.3,,22.3,,,,,,
83229,16/01/2014,0000,,29.7,,7.7,2.5,25.86,78,0.533333,
83229,16/01/2014,1200,0,,22.3,,,,,,
83229,17/01/2014,0000,,28.7,,6.4,2.4,25.48,83.75,0.8,
83229,17/01/2014,1200,1.3,,21.7,,,,,,
83229,18/01/2014,0000,,29,,6,1.3,25.78,85.25,0.633333,
83229,18/01/2014,1200,4.5,,22.3,,,,,,
83229,19/01/2014,0000,,28.5,,0.6,1.9,26.48,81.5,1.1,
83229,19/01/2014,1200,0.1,,23.1,,,,,,
83229,20/01/2014,0000,,30.9,,6.9,2.2,26.94,79.75,0.333333,
83229,20/01/2014,1200,2.4,,23.3,,,,,,
