Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83344,01/01/2014,0000,,28.5,,10.8,3.7,21.12,63.25,2.233333,
83344,01/01/2014,1200,0,,15.2,,,,,,
83344,02/01/2014,0000,,28.1,,9.8,5.3,21.16,75,2.166667,
83344,02/01/2014,1200,0,,15.2,,,,,,
83344,03/01/2014,0000,,28.3,,10.5,4.2,20.98,68.5,1.833333,
83344,03/01/2014,1200,0,,14.3,,,,,,
83344,04/01/2014,0000,,28.3,,11,4.1,21.44,68.25,2.166667,
83344,04/01/2014,1200,0,,15.2,,,,,,
83344,05/01/2014,0000,,26.9,,11,4.3,20.68,76,2.233333,
83344,05/01/2014,1200,0,,14.6,,,,,,
83344,06/01/2014,0000,,26.4,,11.2,4.2,20.58,75,3.166667,
83344,06/01/2014,1200,0,,13.8,,,,,,
83344,07/01/2014,0000,,24.7,,3.4,4.2,19.18,84.75,2.133333,
83344,07/01/2014,1200,0,,14,,,,,,
83344,08/01/2014,0000,,26.3,,8.1,1.5,20.5,81.75,2.6,
83344,08/01/2014,1200,1.4,,16.3,,,,,,
83344,09/01/2014,0000,,25.5,,4.9,3.1,20.16,86.25,0.766667,
83344,09/01/2014,1200,8.3,,16,,,,,,
83344,10/01/2014,0000,,25.5,,5.6,3.3,20.18,77.75,1.733333,
83344,10/01/2014,1200,2.2,,14.2,,,,,,
83344,11/01/2014,0000,,25.6,,3.3,3.1,20.34,84.75,1.966667,
83344,11/01/2014,1200,0,,16.7,,,,,,
83344,12/01/2014,0000,,26.5,,9.1,2.3,20.88,82.25,3,
83344,12/01/2014,1200,0.9,,15.8,,,,,,
83344,13/01/2014,0000,,27.3,,8.3,3.7,21.26,78.5,2.333333,
83344,13/01/2014,1200,0.4,,16.7,,,,,,
83344,14/01/2014,0000,,27.7,,4.9,3.4,21.16,83,1.766667,
83344,14/01/2014,1200,0,,16,,,,,,
83344,15/01/2014,0000,,25.7,,1.3,2.8,20.64,87,1.833333,
83344,15/01/2014,1200,0,,16,,,,,,
83344,16/01/2014,0000,,27.3,,9.1,2.4,21.28,79.75,2.433333,
83344,16/01/2014,1200,0,,15.8,,,,,,
83344,17/01/2014,0000,,27.9,,11.8,3.8,20.8,71.25,1.333333,
83344,17/01/2014,1200,0,,14.8,,,,,,
83344,18/01/2014,0000,,28.7,,9.8,4.2,21.98,69,1.166667,
83344,18/01/2014,1200,0,,16.7,,,,,,
83344,19/01/2014,0000,,27.5,,6.3,4.6,22.34,79.25,1.666667,
83344,19/01/2014,1200,0,,17.7,,,,,,
83344,20/01/2014,0000,,27.3,,2.6,2,21.82,90.75,1.9,
83344,20/01/2014,1200,0.2,,18.3,,,,,,
83344,21/01/2014,0000,,28.1,,7.3,2.4,20.52,81.25,1.8,
83344,21/01/2014,1200,31,,16.5,,,,,,
83344,22/01/2014,0000,,26.6,,5.1,3.1,20.46,86.75,0.766667,
83344,22/01/2014,1200,0.4,,15.2,,,,,,
83344,23/01/2014,0000,,28.4,,11.2,2.6,21.34,74,2.433333,
83344,23/01/2014,1200,0.4,,14.6,,,,,,
83344,24/01/2014,0000,,26.3,,7.4,4.9,19.86,66.25,1.7,
83344,24/01/2014,1200,0,,14.5,,,,,,
83344,25/01/2014,0000,,28.9,,9.3,4.3,21.36,73.25,2.1,
83344,25/01/2014,1200,0,,13.8,,,,,,
83344,26/01/2014,0000,,28.1,,11,4,21.36,68.75,2.866667,
83344,26/01/2014,1200,0,,14.8,,,,,,
