Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82784,01/01/2014,0000,,34.9,,11.4,5.2,27.02,57.25,0.2,
82784,01/01/2014,1200,0,,20,,,,,,
82784,02/01/2014,0000,,34,,11.7,4.2,26.5,60.25,0.1,
82784,02/01/2014,1200,0,,20.3,,,,,,
82784,03/01/2014,0000,,33.5,,9.2,6,26.24,67.5,0.633333,
82784,03/01/2014,1200,0,,21.5,,,,,,
82784,04/01/2014,0000,,33.8,,9.7,4.9,26.2,65,0,
82784,04/01/2014,1200,4,,21.3,,,,,,
82784,05/01/2014,0000,,34.5,,10.3,5.3,26.78,58.75,1.666667,
82784,05/01/2014,1200,0,,20.5,,,,,,
82784,06/01/2014,0000,,34,,7.5,6.7,27.46,58.75,1.133333,
82784,06/01/2014,1200,0,,22.8,,,,,,
82784,07/01/2014,0000,,31.8,,4.7,1.9,25.22,64.25,0.1,
82784,07/01/2014,1200,0,,21.7,,,,,,
82784,08/01/2014,0000,,33.2,,11.6,3.9,25.82,58.5,0,
82784,08/01/2014,1200,0,,21.1,,,,,,
82784,09/01/2014,0000,,33.8,,9.1,7.2,26.28,63.25,0.533333,
82784,09/01/2014,1200,0,,19.2,,,,,,
82784,10/01/2014,0000,,32.7,,2.9,5.7,25.52,67.5,0.666667,
82784,10/01/2014,1200,0,,19.2,,,,,,
82784,11/01/2014,0000,,34.8,,11.6,4.2,26.46,54.25,0.533333,
82784,11/01/2014,1200,1.3,,21.5,,,,,,
82784,12/01/2014,0000,,32.8,,4.8,8,25.82,69.25,0,
82784,12/01/2014,1200,0.8,,21.1,,,,,,
82784,13/01/2014,0000,,32.3,,6,4.3,25.76,73,0,
82784,13/01/2014,1200,10.2,,20.5,,,,,,
82784,14/01/2014,0000,,33.3,,8.4,4,27.16,62,0.533333,
82784,14/01/2014,1200,0.4,,22.5,,,,,,
82784,15/01/2014,0000,,33.8,,5.9,5.7,27.48,61.25,0.2,
82784,15/01/2014,1200,0,,23.1,,,,,,
82784,16/01/2014,0000,,35.1,,9.8,5.9,27.46,59.75,0.533333,
82784,16/01/2014,1200,0,,21.3,,,,,,
82784,17/01/2014,0000,,35,,8.7,6.2,27.18,66.75,1.066667,
82784,17/01/2014,1200,0,,22.5,,,,,,
82784,18/01/2014,0000,,36.1,,7.6,5.6,27.76,61.75,0,
82784,18/01/2014,1200,0,,22.5,,,,,,
82784,19/01/2014,0000,,31.5,,2.8,5,25.48,83.75,0,
82784,19/01/2014,1200,9.4,,21.9,,,,,,
82784,20/01/2014,0000,,31.3,,7.8,1.9,25.26,80.75,0.1,
82784,20/01/2014,1200,12.2,,21.5,,,,,,
82784,21/01/2014,0000,,31.9,,8.7,3.5,25.52,74,0.1,
82784,21/01/2014,1200,0.2,,21.3,,,,,,
82784,22/01/2014,0000,,31.6,,5.7,2.3,26.02,70.5,0,
82784,22/01/2014,1200,0,,20.2,,,,,,
82784,23/01/2014,0000,,33,,10.8,2,25.76,63.5,0.533333,
82784,23/01/2014,1200,0,,19.1,,,,,,
82784,24/01/2014,0000,,34.7,,7.5,1.8,26.2,67,0.533333,
82784,24/01/2014,1200,0,,20.3,,,,,,
82784,25/01/2014,0000,,33.9,,8.8,1.8,26.8,58.5,1,
82784,25/01/2014,1200,0,,21.1,,,,,,
82784,26/01/2014,0000,,33.9,,9.1,2,27.06,56.75,0.6,
82784,26/01/2014,1200,0,,22.6,,,,,,
82784,27/01/2014,0000,,34.5,,9.7,2.2,26.52,60,0.6,
82784,27/01/2014,1200,0.2,,21.7,,,,,,
82784,28/01/2014,0000,,33.3,,10.2,6.8,26.76,57.5,1.666667,
82784,28/01/2014,1200,1.6,,19,,,,,,
82784,29/01/2014,0000,,35,,10.9,7.7,27.36,56,1.366667,
82784,29/01/2014,1200,0,,20.9,,,,,,
82784,30/01/2014,0000,,33.5,,8.3,8.8,26.86,71,0.533333,
82784,30/01/2014,1200,0,,21.7,,,,,,
82784,31/01/2014,0000,,31.6,,6.2,5.1,25.12,71.75,0,
82784,31/01/2014,1200,16.9,,20.8,,,,,,
82784,01/02/2014,0000,,32.5,,10.4,3.9,26.08,75,0,
82784,01/02/2014,1200,0,,21.2,,,,,,
82784,02/02/2014,0000,,34,,11.3,5.5,26.88,82,0.35,
82784,02/02/2014,1200,0,,22.1,,,,,,
82784,03/02/2014,0000,,33.5,,8.1,5.1,27.08,75,0.15,
82784,03/02/2014,1200,0,,22.7,,,,,,
82784,04/02/2014,0000,,32.3,,8.7,6.4,26.24,82,0,
82784,04/02/2014,1200,9.5,,21.3,,,,,,
82784,05/02/2014,0000,,32.8,,6.3,3.8,27.2,67,0.8,
82784,05/02/2014,1200,0,,23.1,,,,,,
82784,06/02/2014,0000,,34,,11.1,3.8,26.52,75,0,
82784,06/02/2014,1200,0,,20.7,,,,,,
82784,07/02/2014,0000,,33.3,,5,4.2,25.44,90,0,
82784,07/02/2014,1200,0,,22.2,,,,,,
82784,08/02/2014,0000,,34.4,,8,3.8,26.88,74,0.8,
82784,08/02/2014,1200,5.2,,21.5,,,,,,
82784,09/02/2014,0000,,31.6,,3.2,2.6,25.58,86,0.15,
82784,09/02/2014,1200,37.8,,20.4,,,,,,
82784,10/02/2014,0000,,32.8,,8.8,2.2,25.94,88,0,
82784,10/02/2014,1200,10.1,,21.3,,,,,,
82784,11/02/2014,0000,,32.9,,7.2,1.8,26.6,85,0,
82784,11/02/2014,1200,11.4,,21.6,,,,,,
82784,12/02/2014,0000,,31.9,,7.5,1.2,26.18,83,0.15,
82784,12/02/2014,1200,6.6,,20.5,,,,,,
82784,13/02/2014,0000,,32.5,,7.8,1.1,26.42,83,0,
82784,13/02/2014,1200,0,,20.8,,,,,,
82784,14/02/2014,0000,,33.4,,2.2,0.8,25.72,90,0,
82784,14/02/2014,1200,9.8,,21.3,,,,,,
82784,15/02/2014,0000,,34.4,,3.8,4.2,25.94,83,0,
82784,15/02/2014,1200,0,,22.5,,,,,,
82784,16/02/2014,0000,,30.3,,2.4,5.8,24.62,90,0,
82784,16/02/2014,1200,0,,21.9,,,,,,
82784,17/02/2014,0000,,30.3,,1.3,3.3,23.9,95,0,
82784,17/02/2014,1200,101.2,,19.8,,,,,,
82784,18/02/2014,0000,,31.1,,10.2,3.7,25.66,84,0.8,
82784,18/02/2014,1200,2.9,,19.6,,,,,,
82784,19/02/2014,0000,,29.9,,6.3,1,25.04,89,0,
82784,19/02/2014,1200,2.6,,20.8,,,,,,
82784,20/02/2014,0000,,28.5,,0,1.3,23.98,90,0,
82784,20/02/2014,1200,0,,21.3,,,,,,
82784,21/02/2014,0000,,29.7,,1.1,2.4,24.86,86,0,
82784,21/02/2014,1200,0,,22.1,,,,,,
82784,22/02/2014,0000,,31.1,,5.2,3.8,25.36,85,0.8,
82784,22/02/2014,1200,0,,20,,,,,,
82784,23/02/2014,0000,,31.9,,7.8,4,26.06,82,0,
82784,23/02/2014,1200,0,,22.1,,,,,,
82784,24/02/2014,0000,,32.2,,10.1,4.1,25.76,79,0,
82784,24/02/2014,1200,0,,20.2,,,,,,
82784,25/02/2014,0000,,33.1,,10.8,3.1,26.48,69,0.4,
82784,25/02/2014,1200,0,,20,,,,,,
82784,26/02/2014,0000,,33.1,,9.7,1.9,25.58,76,0,
82784,26/02/2014,1200,0,,21.1,,,,,,
82784,27/02/2014,0000,,30,,1.3,0.9,24.26,79,0,
82784,27/02/2014,1200,40.9,,19.6,,,,,,
82784,28/02/2014,0000,,30.1,,1.3,0.8,25.08,79,0,
82784,28/02/2014,1200,2.1,,21,,,,,,
82784,01/03/2014,0000,,31.2,,5.1,6.3,25,86,0,
82784,01/03/2014,1200,0,,20.2,,,,,,
82784,02/03/2014,0000,,31.2,,4.5,1.2,25.04,87,0,
82784,02/03/2014,1200,0,,21.1,,,,,,
82784,03/03/2014,0000,,31.8,,6,1.3,25.22,83.5,0,
82784,03/03/2014,1200,11.1,,21.1,,,,,,
82784,04/03/2014,0000,,30.9,,3.8,1,24.54,87.5,0,
82784,04/03/2014,1200,85,,20,,,,,,
82784,05/03/2014,0000,,32.3,,9.3,2.4,25.72,81,0,
82784,05/03/2014,1200,8.6,,21.9,,,,,,
82784,06/03/2014,0000,,30.8,,0.7,1.2,25.36,85,0.533333,
82784,06/03/2014,1200,0,,22,,,,,,
82784,07/03/2014,0000,,28.7,,0.6,1.2,23.64,87,0.266667,
82784,07/03/2014,1200,0,,20,,,,,,
82784,08/03/2014,0000,,30.7,,8.7,0.8,24.48,86.75,0.2,
82784,08/03/2014,1200,0,,19.2,,,,,,
82784,09/03/2014,0000,,30.7,,4.5,0.8,24.56,85,0,
82784,09/03/2014,1200,0.4,,21.1,,,,,,
82784,10/03/2014,0000,,29.9,,6.3,0.6,24.04,86.25,0,
82784,10/03/2014,1200,39,,20.7,,,,,,
82784,11/03/2014,0000,,31.5,,7.7,1.6,24.68,76.75,0,
82784,11/03/2014,1200,24.4,,20.3,,,,,,
82784,12/03/2014,0000,,31,,7.6,1.4,24.86,79.75,0.533333,
82784,12/03/2014,1200,0,,20.4,,,,,,
82784,13/03/2014,0000,,31.4,,6.3,3,25.04,77.25,0.533333,
82784,13/03/2014,1200,0,,21.1,,,,,,
82784,14/03/2014,0000,,31.6,,10.9,3,24.82,76,0.8,
82784,14/03/2014,1200,0,,19.4,,,,,,
82784,15/03/2014,0000,,31.7,,3.5,3,25.16,83,0,
82784,15/03/2014,1200,0,,21.9,,,,,,
82784,16/03/2014,0000,,32.1,,8.7,2.1,25.48,79.25,0,
82784,16/03/2014,1200,14.6,,21.1,,,,,,
82784,17/03/2014,0000,,31.8,,6.4,1.8,25.1,84,0.533333,
82784,17/03/2014,1200,2.8,,21.3,,,,,,
