      Para o formato planilha XLS, <a href="http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html" target="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82397,01/01/2015,0000,,31.6,,9.7,3.9,27.36,76.25,2.8,
82397,01/01/2015,1200,0,,24.2,,,,,,
82397,02/01/2015,0000,,31.6,,10.7,3.7,27.18,71.5,2.4,
82397,02/01/2015,1200,0,,22.5,,,,,,
82397,03/01/2015,0000,,26.8,,0,4.2,24.42,95.5,2.033333,
82397,03/01/2015,1200,33.2,,22.7,,,,,,
82397,04/01/2015,0000,,29.3,,3,0.7,25.6,82.5,1.6,
82397,04/01/2015,1200,19.3,,22.9,,,,,,
82397,05/01/2015,0000,,31.2,,10.3,2.3,26.64,78.5,3.033333,
82397,05/01/2015,1200,0.1,,22.4,,,,,,
82397,06/01/2015,0000,,30.8,,6.1,3.6,27.26,80,2.733333,
82397,06/01/2015,1200,0,,24.7,,,,,,
82397,07/01/2015,0000,,30.2,,5.8,2.8,26.66,83,2.233333,
82397,07/01/2015,1200,8.7,,24.3,,,,,,
82397,08/01/2015,0000,,30.6,,9.5,3.3,26.94,77.5,3.666667,
82397,08/01/2015,1200,0.2,,24.7,,,,,,
82397,09/01/2015,0000,,31.4,,8.3,3.6,27.4,74.5,2.666667,
82397,09/01/2015,1200,0,,23.6,,,,,,
82397,10/01/2015,0000,,31.4,,10.8,4.5,27.94,74.75,3.233333,
82397,10/01/2015,1200,0,,25.3,,,,,,
82397,11/01/2015,0000,,30.2,,9.1,2.4,26.9,80.75,4.133333,
82397,11/01/2015,1200,2.2,,24.7,,,,,,
82397,12/01/2015,0000,,31.4,,10.5,3.9,27.78,75.75,3.166667,
82397,12/01/2015,1200,0,,24.9,,,,,,
82397,13/01/2015,0000,,31.4,,9.7,3.8,27.26,79.25,3.4,
82397,13/01/2015,1200,3.9,,24.5,,,,,,
82397,14/01/2015,0000,,32,,9.2,4.7,27.78,70.25,3.7,
82397,14/01/2015,1200,0,,24.9,,,,,,
