Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82588,01/01/2014,0000,,35.6,,10.5,9.7,28.3,72,2.95,
82588,01/01/2014,1200,0,,23.7,,,,,,
82588,02/01/2014,0000,,35.4,,10.7,7.6,27.76,75,2.65,
82588,02/01/2014,1200,0,,22.6,,,,,,
82588,03/01/2014,0000,,34.4,,8.3,9.1,27.58,76,3.55,
82588,03/01/2014,1200,0,,24.5,,,,,,
82588,04/01/2014,0000,,35,,10.3,7.8,27.82,74,2.9,
82588,04/01/2014,1200,0,,23.9,,,,,,
82588,05/01/2014,0000,,33.6,,3.9,9.4,27.6,70,3.9,
82588,05/01/2014,1200,0,,22.7,,,,,,
82588,06/01/2014,0000,,35.2,,6.7,6.9,27.94,80,2.95,
82588,06/01/2014,1200,0,,23.5,,,,,,
82588,07/01/2014,0000,,33,,0.7,6.9,26.9,78,2.5,
82588,07/01/2014,1200,0,,23.7,,,,,,
82588,08/01/2014,0000,,35.6,,8.7,6,27.94,69,2.8,
82588,08/01/2014,1200,0,,22.9,,,,,,
82588,09/01/2014,0000,,34.4,,8,8.9,27.38,77,2,
82588,09/01/2014,1200,0,,23.9,,,,,,
82588,10/01/2014,0000,,34.6,,8.6,7.8,28.14,75,3.95,
82588,10/01/2014,1200,0,,24.1,,,,,,
82588,11/01/2014,0000,,36.2,,11.1,9.2,28.3,74,3.6,
82588,11/01/2014,1200,0,,23.9,,,,,,
82588,12/01/2014,0000,,34.7,,7,9.9,27.96,72,3.45,
82588,12/01/2014,1200,0,,23.9,,,,,,
82588,13/01/2014,0000,,35,,9.3,7.7,27.86,82,3.35,
82588,13/01/2014,1200,0,,24.5,,,,,,
82588,14/01/2014,0000,,35.2,,9.5,7.8,28.36,73,3,
82588,14/01/2014,1200,2.3,,23.5,,,,,,
82588,15/01/2014,0000,,36.6,,10.2,8.5,28.98,72,3.1,
82588,15/01/2014,1200,0,,24.1,,,,,,
82588,16/01/2014,0000,,36,,9.8,9.3,28.42,78,2.8,
82588,16/01/2014,1200,0,,23.3,,,,,,
82588,17/01/2014,0000,,36,,9.3,8.7,28.34,78,4.5,
82588,17/01/2014,1200,0,,23.9,,,,,,
82588,18/01/2014,0000,,36.2,,10.2,9.3,28.74,77,2.35,
82588,18/01/2014,1200,0,,23.9,,,,,,
