Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82683,01/01/2014,0000,,34.2,,7.2,12.9,27.76,77,1.5,
82683,01/01/2014,1200,0,,22,,,,,,
82683,02/01/2014,0000,,34.9,,10.6,11.3,28.9,53,2,
82683,02/01/2014,1200,0,,22,,,,,,
82683,03/01/2014,0000,,33.3,,6.8,14,27.46,60,1.5,
82683,03/01/2014,1200,0,,21.9,,,,,,
82683,04/01/2014,0000,,34,,8.3,11,27.9,59,1,
82683,04/01/2014,1200,0,,22.1,,,,,,
82683,05/01/2014,0000,,34,,7.9,12.3,27.78,63,1.5,
82683,05/01/2014,1200,0,,22.2,,,,,,
82683,06/01/2014,0000,,31.9,,5.2,10.2,26.9,65,1.5,
82683,06/01/2014,1200,0,,21.6,,,,,,
82683,07/01/2014,0000,,27.1,,0,6.6,22.66,93,1,
82683,07/01/2014,1200,35.2,,19.3,,,,,,
82683,08/01/2014,0000,,32.2,,10.3,1.3,26.46,67,1,
82683,08/01/2014,1200,4,,19.2,,,,,,
82683,09/01/2014,0000,,32.2,,11.2,8,26.52,63,4.5,
82683,09/01/2014,1200,0,,20.2,,,,,,
82683,10/01/2014,0000,,30.9,,4.3,9.4,26.12,71,2.5,
82683,10/01/2014,1200,0,,21.2,,,,,,
82683,11/01/2014,0000,,33.4,,10.3,8.3,27.44,57,1.5,
82683,11/01/2014,1200,0,,22.1,,,,,,
82683,12/01/2014,0000,,32.5,,9.4,13.9,27.38,65,2.5,
82683,12/01/2014,1200,0,,21.8,,,,,,
82683,13/01/2014,0000,,31.5,,1.8,9.4,26.88,69,2.5,
82683,13/01/2014,1200,0.2,,22.1,,,,,,
82683,14/01/2014,0000,,32.4,,2.5,7.2,27.24,70,2,
82683,14/01/2014,1200,0,,22.2,,,,,,
82683,15/01/2014,0000,,33.6,,7.9,9.4,28.2,64,2,
82683,15/01/2014,1200,0,,22.7,,,,,,
82683,16/01/2014,0000,,33.2,,7.2,9.2,27.72,69,2,
82683,16/01/2014,1200,0.8,,21.8,,,,,,
82683,17/01/2014,0000,,33.7,,9.1,9.9,28,63,1.5,
82683,17/01/2014,1200,0,,22.2,,,,,,
82683,18/01/2014,0000,,34.1,,6.2,11.1,28.04,63,1,
82683,18/01/2014,1200,0,,22.3,,,,,,
82683,19/01/2014,0000,,31.1,,3.1,9.4,26.78,73,1.5,
82683,19/01/2014,1200,0,,22.7,,,,,,
82683,20/01/2014,0000,,28.9,,2.8,4.7,24.92,87,1,
82683,20/01/2014,1200,1,,21.9,,,,,,
82683,21/01/2014,0000,,32.3,,9.6,3.9,26.58,68,2,
82683,21/01/2014,1200,9,,21.9,,,,,,
82683,22/01/2014,0000,,33.2,,10.3,8.3,26.92,65,1,
82683,22/01/2014,1200,0,,19.8,,,,,,
82683,23/01/2014,0000,,34,,8.6,10,27.78,65,1,
82683,23/01/2014,1200,0,,21.9,,,,,,
82683,24/01/2014,0000,,31.4,,1.3,9.2,26.48,73,2,
82683,24/01/2014,1200,0.2,,21.8,,,,,,
82683,25/01/2014,0000,,32.4,,1.9,6.8,26.72,67,2,
82683,25/01/2014,1200,0,,22.4,,,,,,
82683,26/01/2014,0000,,32.2,,4.1,9.8,26.8,63,1.5,
82683,26/01/2014,1200,0,,22.2,,,,,,
82683,27/01/2014,0000,,30.6,,1,9.7,25.52,79,1,
82683,27/01/2014,1200,3.1,,21.1,,,,,,
82683,28/01/2014,0000,,32.9,,10.1,7.2,27,59,3,
82683,28/01/2014,1200,2,,21.6,,,,,,
82683,29/01/2014,0000,,34,,10.7,11.3,28.42,59,1.5,
82683,29/01/2014,1200,0,,21.9,,,,,,
82683,30/01/2014,0000,,31.4,,0.9,11.7,24.86,91,2,
82683,30/01/2014,1200,6.2,,22,,,,,,
82683,31/01/2014,0000,,30.6,,7,3.8,25.88,82,1.5,
82683,31/01/2014,1200,3,,21.8,,,,,,
