Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83379,01/01/2014,0000,,31.1,,8.4,4.4,25.34,66,0,
83379,01/01/2014,1200,2.2,,20.2,,,,,,
83379,02/01/2014,0000,,30.4,,10.2,5.2,24.74,71.75,0.68592,
83379,02/01/2014,1200,8.4,,19.7,,,,,,
83379,03/01/2014,0000,,31.2,,11.5,4.8,25.56,48.25,0.68592,
83379,03/01/2014,1200,0,,20.2,,,,,,
83379,04/01/2014,0000,,31.3,,11,9.4,25.32,48,2,
83379,04/01/2014,1200,0,,19.5,,,,,,
83379,05/01/2014,0000,,30.6,,11.3,10.2,25.2,48,1.3,
83379,05/01/2014,1200,0,,18.6,,,,,,
83379,06/01/2014,0000,,30.4,,10.2,9.7,24.46,59.25,1.6,
83379,06/01/2014,1200,0,,19.4,,,,,,
83379,07/01/2014,0000,,29.6,,10.8,7.3,24.3,56.75,1.766667,
83379,07/01/2014,1200,0,,19.4,,,,,,
83379,08/01/2014,0000,,29.5,,11.2,8.3,23.94,52.75,1.666667,
83379,08/01/2014,1200,0,,18.2,,,,,,
83379,09/01/2014,0000,,29.7,,11,8.5,24.66,51.75,1.133333,
83379,09/01/2014,1200,0,,19.2,,,,,,
83379,10/01/2014,0000,,29.1,,9,8.9,24.36,66.5,0.68592,
83379,10/01/2014,1200,0,,20.3,,,,,,
83379,11/01/2014,0000,,29.6,,8.9,5.8,23.3,67.5,0,
83379,11/01/2014,1200,0,,18.5,,,,,,
83379,12/01/2014,0000,,30.5,,8.7,5.5,24.6,62.5,1.447773,
83379,12/01/2014,1200,0,,19.2,,,,,,
83379,13/01/2014,0000,,31,,11.2,7.7,25.18,62,0.68592,
83379,13/01/2014,1200,0,,20.7,,,,,,
83379,14/01/2014,0000,,32.4,,9.9,7.4,25.56,55,1.009627,
83379,14/01/2014,1200,0,,20.2,,,,,,
83379,15/01/2014,0000,,31.6,,,7.8,24.48,64.5,0.666667,
83379,15/01/2014,1200,0,,19.5,,,,,,
83379,16/01/2014,0000,,30.6,,,5.9,23.34,72.5,0,
83379,16/01/2014,1200,9.1,,18.3,,,,,,
83379,17/01/2014,0000,,29.5,,3.7,4.8,22.38,81.25,1.009627,
83379,17/01/2014,1200,1.9,,19.6,,,,,,
83379,18/01/2014,0000,,26,,1.5,3.4,20.92,92.5,0,
83379,18/01/2014,1200,0.3,,18.4,,,,,,
83379,19/01/2014,0000,,26.1,,0.5,1.2,21.12,88.75,0.433333,
83379,19/01/2014,1200,47.3,,19.1,,,,,,
83379,20/01/2014,0000,,24.2,,1.7,1.7,21.48,85.25,0.68592,
83379,20/01/2014,1200,3.3,,19.2,,,,,,
83379,21/01/2014,0000,,28.9,,4.2,2.3,21.94,80.5,0.566667,
83379,21/01/2014,1200,0.3,,19.8,,,,,,
83379,22/01/2014,0000,,26.4,,0.6,3,21.42,84,0.34296,
83379,22/01/2014,1200,3.2,,18.4,,,,,,
83379,23/01/2014,0000,,27.9,,5.6,2.2,22.76,82.75,0,
83379,23/01/2014,1200,0.4,,18.3,,,,,,
83379,24/01/2014,0000,,28.6,,5.1,3,22.1,80.5,1.1,
83379,24/01/2014,1200,3.2,,18.5,,,,,,
83379,25/01/2014,0000,,26.6,,2.9,3,22.56,72,0.34296,
83379,25/01/2014,1200,1.2,,17.2,,,,,,
83379,26/01/2014,0000,,27.4,,5.6,4,22.7,76.5,0.809627,
83379,26/01/2014,1200,0,,18,,,,,,
83379,27/01/2014,0000,,29.5,,7.2,4,22.68,68,0.34296,
83379,27/01/2014,1200,2,,17.7,,,,,,
83379,28/01/2014,0000,,28.3,,9.5,5.2,23.06,61.75,0.833333,
83379,28/01/2014,1200,2,,18.3,,,,,,
83379,29/01/2014,0000,,28.9,,10.8,8,23.5,57,2.11444,
83379,29/01/2014,1200,0,,18.4,,,,,,
83379,30/01/2014,0000,,30,,8.3,9.8,24.6,60.75,2.166667,
83379,30/01/2014,1200,0,,21.1,,,,,,
83379,31/01/2014,0000,,29.4,,11,8.3,24.12,55.5,2.333333,
83379,31/01/2014,1200,0,,19.8,,,,,,
83379,01/02/2014,0000,,29.2,,10.2,9.6,23.42,51,1.933333,
83379,01/02/2014,1200,0,,17.5,,,,,,
83379,02/02/2014,0000,,29,,8.7,9.3,24.02,52,1.4,
83379,02/02/2014,1200,0,,17.6,,,,,,
83379,03/02/2014,0000,,29.7,,10,8.7,24.34,53,1.9,
83379,03/02/2014,1200,0,,18.5,,,,,,
83379,04/02/2014,0000,,29.8,,7,9.3,24.18,50.75,1.933333,
83379,04/02/2014,1200,0,,18.2,,,,,,
83379,05/02/2014,0000,,31.4,,10.5,9.2,25.38,55.5,2.1,
83379,05/02/2014,1200,0,,20.3,,,,,,
83379,06/02/2014,0000,,29.6,,11.1,10.6,24.04,56.25,1.166667,
83379,06/02/2014,1200,0,,19.7,,,,,,
83379,07/02/2014,0000,,30.4,,10.9,9.4,24.86,42,1,
83379,07/02/2014,1200,0,,19.6,,,,,,
83379,08/02/2014,0000,,30.3,,7.8,10.6,25.06,67.25,0.6,
83379,08/02/2014,1200,0,,21.2,,,,,,
83379,09/02/2014,0000,,28.8,,6.7,5.4,24.32,64,0.666667,
83379,09/02/2014,1200,3.4,,18.8,,,,,,
83379,10/02/2014,0000,,29.4,,3.9,6,24.94,49.5,1.9,
83379,10/02/2014,1200,0,,20.7,,,,,,
83379,11/02/2014,0000,,28.9,,7.5,10.1,24.42,56.25,1.466667,
83379,11/02/2014,1200,0,,20.2,,,,,,
83379,12/02/2014,0000,,28.9,,7.2,7.5,23.54,70.25,1.5,
83379,12/02/2014,1200,0,,19.3,,,,,,
83379,13/02/2014,0000,,27.4,,2.1,5.7,22.36,78.5,0.866667,
83379,13/02/2014,1200,0.1,,20,,,,,,
83379,14/02/2014,0000,,28.1,,3.1,3,22.02,84.5,1.066667,
83379,14/02/2014,1200,17.3,,19.2,,,,,,
83379,15/02/2014,0000,,28.6,,5.9,3.3,22.5,82.25,0.333333,
83379,15/02/2014,1200,13.4,,19.5,,,,,,
83379,16/02/2014,0000,,27.4,,3.7,3.1,21.98,89.25,0.333333,
83379,16/02/2014,1200,24.6,,19.7,,,,,,
83379,17/02/2014,0000,,27.8,,8.4,1.9,22.48,80,1.333333,
83379,17/02/2014,1200,2.5,,19.3,,,,,,
83379,18/02/2014,0000,,26,,1.7,3.4,21.16,86.25,1,
83379,18/02/2014,1200,29.3,,19.2,,,,,,
83379,19/02/2014,0000,,26.3,,2.5,2.4,21.28,87.75,0.333333,
83379,19/02/2014,1200,1.6,,19.3,,,,,,
83379,20/02/2014,0000,,24.6,,0.7,2.1,21.04,88.75,0.666667,
83379,20/02/2014,1200,15.4,,18.8,,,,,,
83379,21/02/2014,0000,,26,,1.9,1.5,21.52,88.75,0.333333,
83379,21/02/2014,1200,7.1,,19.4,,,,,,
83379,22/02/2014,0000,,26.4,,1.8,1.9,21.32,84.75,0.666667,
83379,22/02/2014,1200,3.2,,19.4,,,,,,
83379,23/02/2014,0000,,28.4,,7.3,3.5,22.64,77,0.666667,
83379,23/02/2014,1200,48.9,,18,,,,,,
83379,24/02/2014,0000,,29.8,,8.9,4.1,22.64,76.5,0.333333,
83379,24/02/2014,1200,1.5,,18.4,,,,,,
83379,25/02/2014,0000,,27.1,,2.5,4.1,22.46,77.5,0,
83379,25/02/2014,1200,16.7,,18.6,,,,,,
83379,26/02/2014,0000,,29.3,,10.4,3.3,23.96,60.75,1.666667,
83379,26/02/2014,1200,0,,19.2,,,,,,
83379,27/02/2014,0000,,30,,10.6,7.2,24.5,59.75,1,
83379,27/02/2014,1200,0,,18.3,,,,,,
83379,28/02/2014,0000,,28,,5.8,6.5,23.44,70,0,
83379,28/02/2014,1200,0,,20.2,,,,,,
83379,01/03/2014,0000,,27,,4.4,3.8,20.74,86.75,0.333333,
83379,01/03/2014,1200,3.8,,18.4,,,,,,
83379,02/03/2014,0000,,27.9,,7.5,2,21.94,83.5,1.666667,
83379,02/03/2014,1200,2.1,,18.2,,,,,,
83379,03/03/2014,0000,,26.5,,4.8,3.4,21.96,86,0.333333,
83379,03/03/2014,1200,7.4,,19.8,,,,,,
83379,04/03/2014,0000,,28.6,,5.6,2.7,23.22,77.75,0,
83379,04/03/2014,1200,6.9,,19.7,,,,,,
83379,05/03/2014,0000,,28.4,,4.7,3.2,23.78,77.25,0.9,
83379,05/03/2014,1200,0,,20.8,,,,,,
83379,06/03/2014,0000,,27.9,,2.9,3.4,23.68,78,0.333333,
83379,06/03/2014,1200,0,,20.6,,,,,,
83379,07/03/2014,0000,,26.5,,2.2,3.7,22.64,88.5,0.333333,
83379,07/03/2014,1200,69,,19.8,,,,,,
83379,08/03/2014,0000,,25.6,,3.2,1.8,20.94,87.75,0.333333,
83379,08/03/2014,1200,7.9,,19.1,,,,,,
83379,09/03/2014,0000,,27.2,,4.4,1.7,22.5,78.5,1.1,
83379,09/03/2014,1200,22.4,,18.1,,,,,,
83379,10/03/2014,0000,,27.5,,7.7,2.5,22.6,80,1,
83379,10/03/2014,1200,12.6,,18.1,,,,,,
83379,11/03/2014,0000,,28,,8.9,3.2,22.78,74.25,1.133333,
83379,11/03/2014,1200,0,,18.3,,,,,,
83379,12/03/2014,0000,,29.2,,6.8,4.2,23.94,67,0.933333,
83379,12/03/2014,1200,0,,19.8,,,,,,
83379,13/03/2014,0000,,29.8,,10.8,5.6,24.12,61.5,1.066667,
83379,13/03/2014,1200,0,,18.3,,,,,,
83379,14/03/2014,0000,,29.4,,7.4,7,23.14,69.75,1.233333,
83379,14/03/2014,1200,0,,18.6,,,,,,
83379,15/03/2014,0000,,29.2,,10.3,4.8,23.7,62,1.333333,
83379,15/03/2014,1200,35.4,,18.2,,,,,,
83379,16/03/2014,0000,,29,,8,6.6,24.22,63,1.166667,
83379,16/03/2014,1200,0,,20.1,,,,,,
83379,17/03/2014,0000,,28.8,,5.6,5.3,22.84,75,0.833333,
83379,17/03/2014,1200,0,,19.6,,,,,,
83379,18/03/2014,0000,,28.5,,4.2,3.7,22.88,78.25,0.333333,
83379,18/03/2014,1200,13.6,,19.5,,,,,,
83379,19/03/2014,0000,,29.1,,8.4,3.4,22.86,77,0,
83379,19/03/2014,1200,0.6,,18.6,,,,,,
83379,20/03/2014,0000,,29.4,,4.7,4.5,24.12,76,0,
83379,20/03/2014,1200,14.2,,19.2,,,,,,
83379,21/03/2014,0000,,28.2,,5.9,2.8,22.9,80.25,0,
83379,21/03/2014,1200,25.1,,18.2,,,,,,
83379,22/03/2014,0000,,30.2,,4.4,3.2,23.3,85.75,1.366667,
83379,22/03/2014,1200,0,,20,,,,,,
83379,23/03/2014,0000,,28.8,,6.5,3.3,23.38,79.25,1.066667,
83379,23/03/2014,1200,3.3,,18.6,,,,,,
83379,24/03/2014,0000,,23.7,,0,3.7,20.94,93,0.333333,
83379,24/03/2014,1200,3.4,,19.4,,,,,,
83379,25/03/2014,0000,,27.6,,4.7,1.4,23.16,79,0.566667,
83379,25/03/2014,1200,0.6,,19.7,,,,,,
83379,26/03/2014,0000,,27.1,,4.4,3.3,22.04,85.25,0.333333,
83379,26/03/2014,1200,3,,19.1,,,,,,
83379,27/03/2014,0000,,24,,0.2,1.8,20.86,91.25,0,
83379,27/03/2014,1200,21.1,,18.8,,,,,,
83379,28/03/2014,0000,,27.4,,4.1,1.1,21.9,85.25,1.9,
83379,28/03/2014,1200,6.6,,19.1,,,,,,
83379,29/03/2014,0000,,26.9,,5.5,1.8,22.42,82.75,1.866667,
83379,29/03/2014,1200,8.1,,19.6,,,,,,
83379,30/03/2014,0000,,27.4,,3.8,2.5,22.3,83.5,0.333333,
83379,30/03/2014,1200,0.4,,19.8,,,,,,
83379,31/03/2014,0000,,27.3,,3.5,2.1,22.82,78,0,
83379,31/03/2014,1200,19,,18.8,,,,,,
83379,01/04/2014,0000,,28.4,,4.6,3.5,23.56,83,0.333333,
83379,01/04/2014,1200,0,,20,,,,,,
83379,02/04/2014,0000,,29.8,,7.6,2.6,24.28,75.5,0.333333,
83379,02/04/2014,1200,5.1,,20.1,,,,,,
83379,03/04/2014,0000,,25,,0.8,3.8,21.6,87,0.333333,
83379,03/04/2014,1200,0,,19.2,,,,,,
83379,04/04/2014,0000,,29.8,,9.8,1.6,24.16,70.75,0.833333,
83379,04/04/2014,1200,1.8,,18.5,,,,,,
83379,05/04/2014,0000,,28.6,,9.4,4.6,23.92,83.25,1,
83379,05/04/2014,1200,0,,19.8,,,,,,
83379,06/04/2014,0000,,28,,6.5,3.4,23.5,80,0.9,
83379,06/04/2014,1200,7.6,,20.1,,,,,,
83379,07/04/2014,0000,,29.8,,9.9,2.6,24.8,70,0.766667,
83379,07/04/2014,1200,1.5,,19.4,,,,,,
83379,08/04/2014,0000,,28.7,,1.7,4.1,23.88,75.75,0.333333,
83379,08/04/2014,1200,51.4,,20,,,,,,
83379,09/04/2014,0000,,30.4,,9,3,25.22,72.5,0,
83379,09/04/2014,1200,0,,20.4,,,,,,
83379,10/04/2014,0000,,29.5,,6.8,4.2,23.62,78,1,
83379,10/04/2014,1200,0.2,,20.2,,,,,,
83379,11/04/2014,0000,,28.8,,9.9,2.4,23.88,75.25,0.666667,
83379,11/04/2014,1200,10.4,,19.4,,,,,,
83379,12/04/2014,0000,,27.3,,5.5,3.5,22.66,79.25,0,
83379,12/04/2014,1200,14.2,,19.5,,,,,,
83379,13/04/2014,0000,,28.9,,9.4,3.1,24.46,67.5,0.666667,
83379,13/04/2014,1200,5.6,,20.4,,,,,,
83379,14/04/2014,0000,,30,,9.8,4.9,24.44,71,0.333333,
83379,14/04/2014,1200,0,,19.8,,,,,,
83379,15/04/2014,0000,,29.5,,7.7,5.2,24.38,72,0.333333,
83379,15/04/2014,1200,0,,20,,,,,,
83379,16/04/2014,0000,,26.8,,2.3,4.9,21.5,91,0,
83379,16/04/2014,1200,45.6,,18.7,,,,,,
83379,17/04/2014,0000,,29.2,,7.9,1.4,23.08,77.75,0.333333,
83379,17/04/2014,1200,5,,18.8,,,,,,
83379,18/04/2014,0000,,28.5,,9.5,3.7,23.52,70.25,0,
83379,18/04/2014,1200,0,,19.3,,,,,,
83379,19/04/2014,0000,,29.7,,9.5,4.1,23.82,60,0.333333,
83379,19/04/2014,1200,0,,19.1,,,,,,
83379,20/04/2014,0000,,30.2,,10.6,6.4,24.52,66.5,0.666667,
83379,20/04/2014,1200,0,,20.2,,,,,,
83379,21/04/2014,0000,,29.1,,7.5,5.8,23.98,76.25,0.433333,
83379,21/04/2014,1200,0,,20.1,,,,,,
83379,22/04/2014,0000,,29.4,,10,4.1,23.7,73.5,1,
83379,22/04/2014,1200,0,,19.3,,,,,,
83379,23/04/2014,0000,,27.4,,2.2,4.8,22.28,84.5,0.933333,
83379,23/04/2014,1200,0,,20.4,,,,,,
83379,24/04/2014,0000,,28.7,,2.7,2.8,23.14,73.5,0.666667,
83379,24/04/2014,1200,0.2,,19.2,,,,,,
83379,25/04/2014,0000,,29.4,,5.3,3.5,22.48,81,0.333333,
83379,25/04/2014,1200,0,,19.7,,,,,,
83379,26/04/2014,0000,,28.8,,9.6,2.3,22.6,75.25,1.333333,
83379,26/04/2014,1200,3.5,,18.6,,,,,,
83379,27/04/2014,0000,,27.8,,8.3,4.5,22.66,75.25,0.666667,
83379,27/04/2014,1200,0,,18.3,,,,,,
83379,28/04/2014,0000,,26.6,,10.7,4.9,21.28,61.25,1,
83379,28/04/2014,1200,0,,17,,,,,,
83379,29/04/2014,0000,,24.9,,10.8,7.8,19.58,59,1.166667,
83379,29/04/2014,1200,0,,15.2,,,,,,
83379,30/04/2014,0000,,25.9,,10.8,7.9,19.66,56.5,1.166667,
83379,30/04/2014,1200,0,,15,,,,,,
83379,01/05/2014,0000,,26.6,,10.7,7.1,20,63,0.333333,
83379,01/05/2014,1200,0,,13.8,,,,,,
83379,02/05/2014,0000,,28.6,,9.7,5.4,21.42,52.75,0,
83379,02/05/2014,1200,0,,14.2,,,,,,
83379,03/05/2014,0000,,27.3,,8,7.3,20.58,59.25,0.333333,
83379,03/05/2014,1200,0,,15.2,,,,,,
