Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83423,01/01/2014,0000,,31.7,,,3.3,26.18,73.5,1.2,
83423,01/01/2014,1200,0,,21.6,,,,,,
83423,02/01/2014,0000,,32.4,,,4,26.88,64,1.166667,
83423,02/01/2014,1200,0,,21.4,,,,,,
83423,03/01/2014,0000,,34.8,,,4.7,28.04,49.25,0.433333,
83423,03/01/2014,1200,9.6,,20.5,,,,,,
83423,04/01/2014,0000,,34.9,,,8.1,28.42,40.25,1.266667,
83423,04/01/2014,1200,0,,20.7,,,,,,
83423,05/01/2014,0000,,34.4,,,9.8,27.78,40.75,1.366667,
83423,05/01/2014,1200,0,,20.2,,,,,,
83423,06/01/2014,0000,,32.8,,,10,25.92,58,0.633333,
83423,06/01/2014,1200,0,,20.3,,,,,,
83423,07/01/2014,0000,,32.1,,,5.5,24.9,73,1.366667,
83423,07/01/2014,1200,9.4,,20.7,,,,,,
83423,08/01/2014,0000,,32.8,,,4.5,26.78,47.75,1.3,
83423,08/01/2014,1200,9.6,,20.2,,,,,,
83423,09/01/2014,0000,,32.6,,,8,26.52,50,1.3,
83423,09/01/2014,1200,0,,20.6,,,,,,
83423,10/01/2014,0000,,32,,,7.7,24.98,60,1.2,
83423,10/01/2014,1200,0,,19.5,,,,,,
83423,11/01/2014,0000,,31.7,,,5.6,23.44,75.75,0.766667,
83423,11/01/2014,1200,11.3,,18.8,,,,,,
83423,12/01/2014,0000,,33,,,3.5,24.18,72.75,0.933333,
83423,12/01/2014,1200,13.3,,19.3,,,,,,
83423,13/01/2014,0000,,32.4,,,5.3,26.04,65.5,1.2,
83423,13/01/2014,1200,21.2,,19.8,,,,,,
83423,14/01/2014,0000,,33.6,,,5.5,27.7,53,2.133333,
83423,14/01/2014,1200,0,,21.1,,,,,,
83423,15/01/2014,0000,,32.7,,,6.9,26.28,53.75,1.3,
83423,15/01/2014,1200,2.8,,20.1,,,,,,
83423,16/01/2014,0000,,32.8,,,6.8,26.1,58.5,0.866667,
83423,16/01/2014,1200,0,,20.7,,,,,,
83423,17/01/2014,0000,,33,,,5.1,26.14,61.5,0.866667,
83423,17/01/2014,1200,8.3,,21,,,,,,
83423,18/01/2014,0000,,28.4,,,5.1,23.26,78.5,0.333333,
83423,18/01/2014,1200,3.7,,19.7,,,,,,
83423,19/01/2014,0000,,30.4,,,2.4,25.2,66,1.1,
83423,19/01/2014,1200,2.7,,20.3,,,,,,
83423,20/01/2014,0000,,26.7,,,4.1,22.92,82.25,1.133333,
83423,20/01/2014,1200,1.6,,20.7,,,,,,
83423,21/01/2014,0000,,30.4,,,2.3,24.2,67,1.166667,
83423,21/01/2014,1200,1.2,,20.1,,,,,,
83423,22/01/2014,0000,,29.1,,,4.3,24.34,65.75,0.766667,
83423,22/01/2014,1200,0,,20.8,,,,,,
83423,23/01/2014,0000,,31.4,,,4.5,25.32,65.75,1.166667,
83423,23/01/2014,1200,0,,21.1,,,,,,
83423,24/01/2014,0000,,31.4,,,4.7,23.28,73.25,1.233333,
83423,24/01/2014,1200,2.7,,19,,,,,,
83423,25/01/2014,0000,,28.8,,,3.5,24.06,71,0.8,
83423,25/01/2014,1200,32.2,,18.1,,,,,,
83423,26/01/2014,0000,,31.8,,,3.8,23.82,72,0.366667,
83423,26/01/2014,1200,6.4,,20.3,,,,,,
83423,27/01/2014,0000,,31.6,,,4,24.4,60.25,0.966667,
83423,27/01/2014,1200,7.6,,18.3,,,,,,
83423,28/01/2014,0000,,31.8,,,7,25.66,58.5,2.633333,
83423,28/01/2014,1200,0,,20.1,,,,,,
83423,29/01/2014,0000,,31.8,,,7,26.28,52.25,1.7,
83423,29/01/2014,1200,0,,20,,,,,,
83423,30/01/2014,0000,,33.9,,,8.1,27.18,55.75,2,
83423,30/01/2014,1200,0,,20.9,,,,,,
83423,31/01/2014,0000,,34.2,,,8.3,27.3,49.25,1.633333,
83423,31/01/2014,1200,0,,21.7,,,,,,
83423,01/02/2014,0000,,31.3,,,9.1,26.06,48.25,1.333333,
83423,01/02/2014,1200,0,,21.3,,,,,,
83423,02/02/2014,0000,,32.9,,,8,26.56,46.25,1.033333,
83423,02/02/2014,1200,0,,20.1,,,,,,
83423,03/02/2014,0000,,33.8,,,8.5,28.24,40.5,0.633333,
83423,03/02/2014,1200,0,,20.8,,,,,,
83423,04/02/2014,0000,,30.7,,,9.5,26.52,47.5,0.533333,
83423,04/02/2014,1200,0,,22.2,,,,,,
83423,05/02/2014,0000,,35.8,,,7.9,28.7,37.5,1.466667,
83423,05/02/2014,1200,0,,19.5,,,,,,
83423,06/02/2014,0000,,34.2,,,11.3,28.34,45,1.333333,
83423,06/02/2014,1200,0,,23.5,,,,,,
83423,07/02/2014,0000,,34.6,,,10.8,28.96,39,1.466667,
83423,07/02/2014,1200,0,,22.3,,,,,,
83423,08/02/2014,0000,,35,,,9.9,26.84,53.75,0.366667,
83423,08/02/2014,1200,0,,21.8,,,,,,
83423,09/02/2014,0000,,32.1,,,8,25.14,68.25,0.233333,
83423,09/02/2014,1200,0,,21.4,,,,,,
83423,10/02/2014,0000,,34,,,5,26.62,50,1.4,
83423,10/02/2014,1200,1.5,,20.5,,,,,,
83423,11/02/2014,0000,,32.5,,,6.5,25.72,59.5,1.2,
83423,11/02/2014,1200,0,,22.1,,,,,,
83423,12/02/2014,0000,,30.3,,,5.9,23.16,81,1.3,
83423,12/02/2014,1200,0.6,,19.9,,,,,,
83423,13/02/2014,0000,,31.3,,,3.1,23.62,73.5,0.5,
83423,13/02/2014,1200,24,,19.6,,,,,,
83423,14/02/2014,0000,,32.2,,,3.2,25.44,65,1.466667,
83423,14/02/2014,1200,2.1,,20.4,,,,,,
83423,15/02/2014,0000,,31.2,,,5.8,24.44,76.25,1.333333,
83423,15/02/2014,1200,0,,21.4,,,,,,
83423,16/02/2014,0000,,31.4,,,3.6,23.84,79.25,1.2,
83423,16/02/2014,1200,4,,20.4,,,,,,
83423,17/02/2014,0000,,31,,,3.4,24.2,76.75,1.3,
83423,17/02/2014,1200,47.8,,20,,,,,,
83423,18/02/2014,0000,,29.8,,,3,23.9,77,1.633333,
83423,18/02/2014,1200,17.6,,19.8,,,,,,
83423,19/02/2014,0000,,29,,,3.7,24.24,77.5,1.566667,
83423,19/02/2014,1200,0,,21.1,,,,,,
83423,20/02/2014,0000,,25.8,,,2.4,22.68,85,0.866667,
83423,20/02/2014,1200,15.3,,20.2,,,,,,
83423,21/02/2014,0000,,29.3,,,1,23.16,79.75,1.6,
83423,21/02/2014,1200,4.2,,20.3,,,,,,
83423,22/02/2014,0000,,28.8,,,3.3,22.62,91,0.5,
83423,22/02/2014,1200,20.9,,20.2,,,,,,
83423,23/02/2014,0000,,29.3,,,1.7,23.56,77,0.266667,
83423,23/02/2014,1200,41.2,,19.2,,,,,,
83423,24/02/2014,0000,,31.3,,,2.8,24.44,71.25,0.933333,
83423,24/02/2014,1200,0,,20.6,,,,,,
83423,25/02/2014,0000,,27.2,,,3.5,22.68,79,0.366667,
83423,25/02/2014,1200,8,,19.2,,,,,,
83423,26/02/2014,0000,,32.9,,,2.3,24.88,67.5,0.933333,
83423,26/02/2014,1200,0.6,,19.7,,,,,,
83423,27/02/2014,0000,,32.9,,,4.9,25.74,59,0.6,
83423,27/02/2014,1200,0,,19.2,,,,,,
83423,28/02/2014,0000,,29.8,,,6.1,23.8,76.25,0.666667,
83423,28/02/2014,1200,0,,20,,,,,,
83423,01/03/2014,0000,,25.7,,,3.1,22.94,85.5,0.8,
83423,01/03/2014,1200,3.1,,21,,,,,,
83423,02/03/2014,0000,,31.4,,,1.5,25.28,69,0.4,
83423,02/03/2014,1200,4.8,,19.6,,,,,,
83423,03/03/2014,0000,,31.6,,,4.2,24.62,71,1.133333,
83423,03/03/2014,1200,10.2,,20,,,,,,
83423,04/03/2014,0000,,30,,,3.3,23.94,83.25,1,
83423,04/03/2014,1200,2.7,,21.1,,,,,,
83423,05/03/2014,0000,,30.1,,,2.1,23.78,89.25,0,
83423,05/03/2014,1200,11.4,,20.6,,,,,,
83423,06/03/2014,0000,,29.8,,,1.5,23.64,89.5,0.866667,
83423,06/03/2014,1200,35.8,,19.6,,,,,,
83423,07/03/2014,0000,,28.2,,,1.5,22.62,91.5,0.7,
83423,07/03/2014,1200,53.4,,20.4,,,,,,
83423,08/03/2014,0000,,28.5,,,1.3,23.22,80.75,0.7,
83423,08/03/2014,1200,53.3,,19.3,,,,,,
83423,09/03/2014,0000,,30.6,,,2.2,24.96,73.5,1.1,
83423,09/03/2014,1200,2.5,,19.8,,,,,,
83423,10/03/2014,0000,,32.6,,,4.3,24.32,74.25,0.866667,
83423,10/03/2014,1200,0,,19.9,,,,,,
83423,11/03/2014,0000,,32.8,,,3.3,25.6,63.25,0.366667,
83423,11/03/2014,1200,21.4,,19.6,,,,,,
83423,12/03/2014,0000,,29.3,,,5,24.42,79.75,1.133333,
83423,12/03/2014,1200,16.2,,21,,,,,,
83423,13/03/2014,0000,,33,,,2.2,26.28,56.5,0.533333,
83423,13/03/2014,1200,1.8,,20,,,,,,
83423,14/03/2014,0000,,33.5,,,6.2,25.92,60.25,1.366667,
83423,14/03/2014,1200,0,,20.8,,,,,,
83423,15/03/2014,0000,,32.6,,,6.3,25.76,60.25,1.066667,
83423,15/03/2014,1200,0,,20.7,,,,,,
83423,16/03/2014,0000,,32.2,,,5.6,24.86,64.25,0.5,
83423,16/03/2014,1200,0,,18.8,,,,,,
83423,17/03/2014,0000,,33.8,,,5.4,24.5,68,0.8,
83423,17/03/2014,1200,0,,19.7,,,,,,
83423,18/03/2014,0000,,31.3,,,5.2,23.28,77.5,1.233333,
83423,18/03/2014,1200,24.9,,19.9,,,,,,
83423,19/03/2014,0000,,32.1,,,3,24.56,69.5,0.4,
83423,19/03/2014,1200,39.4,,18.8,,,,,,
83423,20/03/2014,0000,,31.6,,,4.6,25.64,72,1.066667,
83423,20/03/2014,1200,0,,20.6,,,,,,
83423,21/03/2014,0000,,32.8,,,4.5,26,69.5,0.466667,
83423,21/03/2014,1200,2,,21,,,,,,
83423,22/03/2014,0000,,27.4,,,4.2,23.98,72.75,1.6,
83423,22/03/2014,1200,0,,21.3,,,,,,
83423,23/03/2014,0000,,32.6,,,2.8,25.78,76.75,0.366667,
83423,23/03/2014,1200,0,,20.6,,,,,,
83423,24/03/2014,0000,,30.1,,,3.8,23.52,80.5,1.7,
83423,24/03/2014,1200,2.8,,20.4,,,,,,
83423,25/03/2014,0000,,31,,,3.4,23.9,78,1.2,
83423,25/03/2014,1200,16.7,,20.5,,,,,,
83423,26/03/2014,0000,,29.8,,,3.3,23.52,82.75,0.366667,
83423,26/03/2014,1200,28.6,,20.8,,,,,,
83423,27/03/2014,0000,,25.6,,,2.2,22.56,84.25,0.666667,
83423,27/03/2014,1200,16.1,,,,,,,,
83423,28/03/2014,0000,,29.4,,,1.6,23.88,81,0.533333,
83423,28/03/2014,1200,0.8,,20.1,,,,,,
83423,29/03/2014,0000,,28.8,,,2.3,23.34,81.5,0.833333,
83423,29/03/2014,1200,0.2,,20.7,,,,,,
83423,30/03/2014,0000,,30.1,,,2.5,24.08,77.75,0.766667,
83423,30/03/2014,1200,13,,20.2,,,,,,
83423,31/03/2014,0000,,31.6,,,3,24.7,77.25,0.4,
83423,31/03/2014,1200,0,,20.6,,,,,,
83423,01/04/2014,0000,,30.3,,,3.4,24.66,73.75,1.333333,
83423,01/04/2014,1200,0.8,,21.3,,,,,,
83423,02/04/2014,0000,,32.4,,,3.2,25.5,75.75,1.533333,
83423,02/04/2014,1200,2.5,,20.4,,,,,,
83423,03/04/2014,0000,,29.5,,,3.4,23.18,84,0.933333,
83423,03/04/2014,1200,46.6,,20,,,,,,
83423,04/04/2014,0000,,32,,,2.1,25,71.75,0.833333,
83423,04/04/2014,1200,0.3,,19.6,,,,,,
83423,05/04/2014,0000,,32.9,,,3.8,26.16,71.5,0.9,
83423,05/04/2014,1200,0,,21.5,,,,,,
83423,06/04/2014,0000,,31.9,,,4.9,26.2,69,0.933333,
83423,06/04/2014,1200,0,,22,,,,,,
83423,07/04/2014,0000,,33.5,,,4.2,26.28,66.5,1.2,
83423,07/04/2014,1200,0,,20.8,,,,,,
83423,08/04/2014,0000,,30.6,,,4.6,25.98,72.25,0.933333,
83423,08/04/2014,1200,3.2,,21.5,,,,,,
83423,09/04/2014,0000,,31.8,,,3.7,26.14,68.75,0.733333,
83423,09/04/2014,1200,0,,21.4,,,,,,
83423,10/04/2014,0000,,32.6,,,4,24.2,76.75,0.266667,
83423,10/04/2014,1200,4,,20,,,,,,
83423,11/04/2014,0000,,31.3,,,4,25.26,71.75,0.766667,
83423,11/04/2014,1200,116.8,,19.6,,,,,,
83423,12/04/2014,0000,,31.6,,,3.5,25.02,75.25,1.233333,
83423,12/04/2014,1200,0,,21.5,,,,,,
83423,13/04/2014,0000,,32.8,,,3.1,25.56,68.75,0.533333,
83423,13/04/2014,1200,24,,21.5,,,,,,
