Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83332,01/01/2014,0000,,32.9,,,4.8,26.98,62,0.333333,
83332,01/01/2014,1200,0,,20.6,,,,,,
83332,02/01/2014,0000,,32.9,,,6.9,27.42,53,0.333333,
83332,02/01/2014,1200,0,,21.7,,,,,,
83332,03/01/2014,0000,,32.6,,,10,27.06,47.75,0,
83332,03/01/2014,1200,0,,20.8,,,,,,
83332,04/01/2014,0000,,30.7,,,11.8,26.16,61,0.666667,
83332,04/01/2014,1200,0,,21.4,,,,,,
83332,05/01/2014,0000,,31.6,,,9.5,26.84,47,0.333333,
83332,05/01/2014,1200,0,,21.2,,,,,,
83332,06/01/2014,0000,,31.4,,,8.5,25.06,57.5,0,
83332,06/01/2014,1200,0,,20.4,,,,,,
83332,07/01/2014,0000,,30.4,,,5.3,25.5,53.5,1.666667,
83332,07/01/2014,1200,5.5,,19.2,,,,,,
83332,08/01/2014,0000,,31.3,,,10.3,25.5,56,1.333333,
83332,08/01/2014,1200,0,,20,,,,,,
83332,09/01/2014,0000,,30,,,12.5,24.88,67.25,0.333333,
83332,09/01/2014,1200,0,,20.2,,,,,,
83332,10/01/2014,0000,,31.6,,,6.5,25.58,61.75,0.666667,
83332,10/01/2014,1200,0.2,,20.6,,,,,,
83332,11/01/2014,0000,,30.8,,,5.8,24.04,75,0.333333,
83332,11/01/2014,1200,0,,20.2,,,,,,
83332,12/01/2014,0000,,30.9,,,4.5,25.82,57.25,0.333333,
83332,12/01/2014,1200,0.3,,19.8,,,,,,
83332,13/01/2014,0000,,32.9,,,9,26.84,49,0.333333,
83332,13/01/2014,1200,0,,22.2,,,,,,
83332,14/01/2014,0000,,32.7,,,10.2,26.82,55,1,
83332,14/01/2014,1200,0,,21,,,,,,
83332,15/01/2014,0000,,32.3,,,10,25.28,63.75,0.333333,
83332,15/01/2014,1200,0,,20.8,,,,,,
83332,16/01/2014,0000,,30.9,,,5,24.44,71.75,0,
83332,16/01/2014,1200,14.7,,18.8,,,,,,
83332,17/01/2014,0000,,30.5,,,3.3,22.5,77.75,1.333333,
83332,17/01/2014,1200,8.3,,17.8,,,,,,
83332,18/01/2014,0000,,27,,,3,22.24,83,0.333333,
83332,18/01/2014,1200,37.3,,17.8,,,,,,
83332,19/01/2014,0000,,28.4,,,2.7,23.02,81.25,0.333333,
83332,19/01/2014,1200,1.6,,19.8,,,,,,
83332,20/01/2014,0000,,22.5,,,2.8,20.96,95.75,0,
83332,20/01/2014,1200,23.1,,19.4,,,,,,
83332,21/01/2014,0000,,27.1,,,0.3,22.28,92,0,
83332,21/01/2014,1200,18.1,,19.4,,,,,,
83332,22/01/2014,0000,,29.1,,,1.3,22.48,85,0,
83332,22/01/2014,1200,4.7,,18.8,,,,,,
83332,23/01/2014,0000,,29.2,,,2.9,22.64,82.25,0.333333,
83332,23/01/2014,1200,29.8,,18.6,,,,,,
83332,24/01/2014,0000,,30.1,,,3.5,22.88,80.25,0,
83332,24/01/2014,1200,8.3,,18,,,,,,
83332,25/01/2014,0000,,27.7,,,3.8,23.4,77.5,0,
83332,25/01/2014,1200,0,,18.8,,,,,,
83332,26/01/2014,0000,,27.3,,,4.9,22.56,85.25,0,
83332,26/01/2014,1200,0,,19.5,,,,,,
83332,27/01/2014,0000,,29.2,,,2.1,24.86,54.5,2,
83332,27/01/2014,1200,0,,18.8,,,,,,
83332,28/01/2014,0000,,32.4,,,13.5,24.88,58.5,0.533333,
83332,28/01/2014,1200,0,,20.2,,,,,,
83332,29/01/2014,0000,,29.1,,,9.4,24.56,57.5,1,
83332,29/01/2014,1200,0,,20.4,,,,,,
83332,30/01/2014,0000,,31.2,,,8.9,25.6,53.75,1.333333,
83332,30/01/2014,1200,0,,20.6,,,,,,
83332,31/01/2014,0000,,30.4,,,11.3,25.22,54.5,0.333333,
83332,31/01/2014,1200,0,,21,,,,,,
83332,01/02/2014,0000,,31.9,,,10.3,25.76,52.25,0.666667,
83332,01/02/2014,1200,0,,20.4,,,,,,
83332,02/02/2014,0000,,30.5,,,10,25.92,56,0.333333,
83332,02/02/2014,1200,0,,21.2,,,,,,
83332,03/02/2014,0000,,31.3,,,9.8,25.64,54.5,1.266667,
83332,03/02/2014,1200,0,,21.2,,,,,,
83332,04/02/2014,0000,,32.2,,,10.1,26.16,56.25,1,
83332,04/02/2014,1200,0,,20.9,,,,,,
83332,05/02/2014,0000,,32.7,,,9.9,26.72,57.5,1.733333,
83332,05/02/2014,1200,0,,22.2,,,,,,
83332,06/02/2014,0000,,31.3,,,11,25.48,51.75,1,
83332,06/02/2014,1200,0,,20.8,,,,,,
83332,07/02/2014,0000,,31,,,13.2,25.68,59.75,0.666667,
83332,07/02/2014,1200,0,,21.6,,,,,,
83332,08/02/2014,0000,,30.5,,,10.3,26,65.25,1.333333,
83332,08/02/2014,1200,0,,22,,,,,,
83332,09/02/2014,0000,,30.5,,,6.2,25.04,59.25,2,
83332,09/02/2014,1200,1.3,,21.2,,,,,,
83332,10/02/2014,0000,,32.1,,,10.9,26.48,51,1.7,
83332,10/02/2014,1200,0,,22.2,,,,,,
