Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83470,16/02/2014,0000,,30.9,,2,4.5,22.66,81,1.666667,
83470,16/02/2014,1200,0,,19.6,,,,,,
83470,17/02/2014,0000,,29.8,,2.4,1.9,22.78,80.5,2.666667,
83470,17/02/2014,1200,48.8,,19.9,,,,,,
83470,18/02/2014,0000,,30.7,,1.5,4.1,23.62,79.25,3.666667,
83470,18/02/2014,1200,6.5,,19.1,,,,,,
83470,19/02/2014,0000,,28.7,,1.1,3.1,22.84,92.75,2.666667,
83470,19/02/2014,1200,27.6,,19.9,,,,,,
83470,20/02/2014,0000,,29,,3.3,1.5,23.06,84.5,2,
83470,20/02/2014,1200,5.4,,19.8,,,,,,
83470,21/02/2014,0000,,28.2,,0.7,2.5,22.72,93.25,2.666667,
83470,21/02/2014,1200,4.4,,20.1,,,,,,
83470,22/02/2014,0000,,25.9,,0,1,21.76,89.75,3.333333,
83470,22/02/2014,1200,14.4,,18.9,,,,,,
83470,23/02/2014,0000,,30.4,,2.5,1.2,23.28,77.5,3.333333,
83470,23/02/2014,1200,24,,18.6,,,,,,
83470,24/02/2014,0000,,28.7,,0,4.2,22.02,87.75,1.333333,
83470,24/02/2014,1200,0,,19.2,,,,,,
83470,25/02/2014,0000,,28.5,,1,2.8,22.1,78.75,1.666667,
83470,25/02/2014,1200,0.3,,18.4,,,,,,
83470,26/02/2014,0000,,32.3,,9.2,2.8,23.94,70.5,2.333333,
83470,26/02/2014,1200,0,,18.1,,,,,,
83470,27/02/2014,0000,,33.1,,10.5,3,24.98,66.25,2.666667,
83470,27/02/2014,1200,3,,18.9,,,,,,
83470,28/02/2014,0000,,32.5,,5,2.5,24.38,66.5,2.333333,
83470,28/02/2014,1200,0,,19.4,,,,,,
83470,01/03/2014,0000,,31.4,,6.2,2.4,23.52,76,2.34296,
83470,01/03/2014,1200,0,,19.5,,,,,,
83470,02/03/2014,0000,,30.5,,7.4,2.1,23.6,74.75,1.352587,
83470,02/03/2014,1200,36,,18.8,,,,,,
83470,03/03/2014,0000,,30.9,,8.4,3.5,23.58,77,1.666667,
83470,03/03/2014,1200,0,,20.3,,,,,,
83470,04/03/2014,0000,,29,,5.3,1.8,22.92,79,1,
83470,04/03/2014,1200,26.4,,19.7,,,,,,
83470,05/03/2014,0000,,31.9,,0,2.1,22.62,81.5,1.666667,
83470,05/03/2014,1200,5.1,,19.4,,,,,,
83470,06/03/2014,0000,,31.4,,4.1,1.7,24.78,76.5,1.009627,
83470,06/03/2014,1200,51.1,,19.4,,,,,,
83470,07/03/2014,0000,,29.2,,3.2,1.1,23.18,84.5,1.676293,
83470,07/03/2014,1200,8.8,,20.2,,,,,,
