Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82571,01/01/2014,0000,,,,10.7,4.6,,72.25,1.266667,
82571,01/01/2014,1200,0,,22.3,,,,,,
82571,02/01/2014,0000,,,,8,5.3,,71.5,1.233333,
82571,02/01/2014,1200,0,,23.6,,,,,,
82571,03/01/2014,0000,,,,2.4,5.5,,87.75,1.466667,
82571,03/01/2014,1200,18.8,,22,,,,,,
82571,04/01/2014,0000,,,,9.2,1.9,,82.75,2.666667,
82571,04/01/2014,1200,9.6,,21.7,,,,,,
82571,05/01/2014,0000,,,,8.7,3.6,,76.5,1.633333,
82571,05/01/2014,1200,0.5,,23.4,,,,,,
82571,06/01/2014,0000,,30.9,,10.9,4.6,26.76,70.25,1.833333,
82571,06/01/2014,1200,0,,22.3,,,,,,
82571,07/01/2014,0000,,,,4.6,5.7,,81,1.3,
82571,07/01/2014,1200,0,,22.4,,,,,,
82571,08/01/2014,0000,,,,7.2,3.2,,77.5,1.433333,
82571,08/01/2014,1200,0.6,,21.5,,,,,,
82571,09/01/2014,0000,,,,7.1,4,,72.75,2.9,
82571,09/01/2014,1200,0,,22.7,,,,,,
82571,10/01/2014,0000,,,,7.3,4.9,,71.75,1.8,
82571,10/01/2014,1200,0,,23.4,,,,,,
82571,11/01/2014,0000,,,,6.5,5.5,,82.75,1.366667,
82571,11/01/2014,1200,0,,23.3,,,,,,
82571,12/01/2014,0000,,,,0,2.9,,91.5,0.7,
82571,12/01/2014,1200,10.6,,23.3,,,,,,
82571,13/01/2014,0000,,,,0.7,1.6,,83.25,0.733333,
82571,13/01/2014,1200,0.1,,21.1,,,,,,
82571,14/01/2014,0000,,,,7.6,2.6,,76.75,1.6,
82571,14/01/2014,1200,0.3,,21.4,,,,,,
82571,15/01/2014,0000,,,,0,3.7,,94.75,0.966667,
82571,15/01/2014,1200,14.1,,21.2,,,,,,
82571,16/01/2014,0000,,,,6.9,0.7,,87.75,1.366667,
82571,16/01/2014,1200,0,,22.5,,,,,,
82571,17/01/2014,0000,,,,4.5,3.3,,85.75,1.6,
