Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82765,01/01/2014,0000,,33.8,,10.2,2.7,28.28,76,0.7,
82765,01/01/2014,1200,7.3,,22.7,,,,,,
82765,02/01/2014,0000,,34.4,,9.1,3.2,28.62,69.75,0.766667,
82765,02/01/2014,1200,0,,22.9,,,,,,
82765,03/01/2014,0000,,32.6,,5.5,3.7,26.54,78.5,2.1,
82765,03/01/2014,1200,0,,23.9,,,,,,
82765,04/01/2014,0000,,30.7,,6,2.4,25.92,87.5,0.433333,
82765,04/01/2014,1200,2.8,,22.9,,,,,,
82765,05/01/2014,0000,,32.5,,8,1.7,27.2,81.25,1,
82765,05/01/2014,1200,22,,22.9,,,,,,
82765,06/01/2014,0000,,34,,8.1,2.6,27.16,75.25,1.066667,
82765,06/01/2014,1200,0,,22.8,,,,,,
82765,07/01/2014,0000,,32.6,,5,3.2,27.34,77.5,0.766667,
82765,07/01/2014,1200,0.6,,23.3,,,,,,
82765,08/01/2014,0000,,33.6,,8.7,3,27.56,67.25,1.266667,
82765,08/01/2014,1200,0,,23.6,,,,,,
82765,09/01/2014,0000,,34.5,,7.5,4.4,27.2,80.75,1.833333,
82765,09/01/2014,1200,0,,22.5,,,,,,
82765,10/01/2014,0000,,31.3,,3.4,2.7,25.8,83,0.7,
82765,10/01/2014,1200,20.4,,21.9,,,,,,
82765,11/01/2014,0000,,32.9,,4.9,2.6,26.2,85,1.1,
82765,11/01/2014,1200,0.3,,23.3,,,,,,
82765,12/01/2014,0000,,28.7,,0.1,2,25.16,88,0.933333,
82765,12/01/2014,1200,8.4,,22.5,,,,,,
82765,13/01/2014,0000,,28.1,,0.5,1,25.28,84.75,1.2,
82765,13/01/2014,1200,7.2,,22.5,,,,,,
82765,14/01/2014,0000,,31.3,,1.5,1.8,25.1,89.25,0.666667,
82765,14/01/2014,1200,0,,23,,,,,,
82765,15/01/2014,0000,,29.9,,1.4,1.6,25.2,82.25,1.366667,
82765,15/01/2014,1200,0.9,,21.9,,,,,,
82765,16/01/2014,0000,,32.4,,6,2.1,26.62,76.25,0.666667,
82765,16/01/2014,1200,0,,23.1,,,,,,
82765,17/01/2014,0000,,31.6,,2.9,2.7,26.76,87.25,1.033333,
82765,17/01/2014,1200,0,,23.8,,,,,,
82765,18/01/2014,0000,,33.4,,7.5,1.7,27.54,78,0.433333,
82765,18/01/2014,1200,1,,22.7,,,,,,
82765,19/01/2014,0000,,33.4,,3.5,2.7,27.06,83,0.666667,
82765,19/01/2014,1200,0,,23.1,,,,,,
82765,20/01/2014,0000,,27.7,,0,2.3,25.76,88,2.433333,
82765,20/01/2014,1200,15.6,,24.3,,,,,,
82765,21/01/2014,0000,,29.7,,1.4,1.3,25.6,92,0.6,
82765,21/01/2014,1200,1,,23.3,,,,,,
82765,22/01/2014,0000,,32.1,,2.7,1,26.28,84.25,0.1,
82765,22/01/2014,1200,48,,21.3,,,,,,
82765,23/01/2014,0000,,32.4,,2.5,2,27.34,82,0.8,
