Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82476,01/01/2014,0000,,39,,9.9,,29.94,55,1.9,
82476,01/01/2014,1200,0,,23,,,,,,
82476,02/01/2014,0000,,37.3,,9.1,5.4,29.84,63,4.1,
82476,02/01/2014,1200,0,,25,,,,,,
82476,03/01/2014,0000,,35,,5.9,5,28.54,55,3.15,
82476,03/01/2014,1200,0,,24.8,,,,,,
82476,04/01/2014,0000,,36.8,,7.5,2.8,28.72,65,1.8,
82476,04/01/2014,1200,0.3,,23,,,,,,
82476,05/01/2014,0000,,36.1,,7.7,3.7,28.38,65,1.55,
82476,05/01/2014,1200,8.8,,23,,,,,,
82476,06/01/2014,0000,,37,,4.7,3.5,28.08,71,1.7,
82476,06/01/2014,1200,0,,23.2,,,,,,
82476,07/01/2014,0000,,34.3,,4.9,3,26.9,76,0.85,
82476,07/01/2014,1200,0,,21.7,,,,,,
82476,08/01/2014,0000,,35.7,,8.4,2.8,28.2,60,2,
82476,08/01/2014,1200,0,,21,,,,,,
82476,09/01/2014,0000,,36.3,,7.6,5.6,29.22,64,2.15,
82476,09/01/2014,1200,0,,23.7,,,,,,
82476,10/01/2014,0000,,33.7,,5.7,4.2,27.84,66,2.1,
82476,10/01/2014,1200,0,,23.5,,,,,,
82476,11/01/2014,0000,,35.3,,3.9,4.8,28.62,69,1.45,
82476,11/01/2014,1200,0.4,,24.1,,,,,,
82476,12/01/2014,0000,,32.8,,1,2.6,27.4,82,2.65,
82476,12/01/2014,1200,0,,23.3,,,,,,
82476,13/01/2014,0000,,32.8,,0.8,2.5,24.94,97,0.65,
82476,13/01/2014,1200,21.3,,21.4,,,,,,
82476,14/01/2014,0000,,32.4,,3.9,1.4,26.4,93,1.8,
82476,14/01/2014,1200,23.8,,21,,,,,,
82476,15/01/2014,0000,,29.2,,0.6,1.6,24.94,95,1.15,
82476,15/01/2014,1200,56.5,,21,,,,,,
82476,16/01/2014,0000,,33.3,,7.4,0.8,27.04,76,0.65,
82476,16/01/2014,1200,0,,22,,,,,,
82476,17/01/2014,0000,,33.7,,8.4,2.3,28.58,70,2.65,
82476,17/01/2014,1200,0,,24.2,,,,,,
82476,18/01/2014,0000,,33.7,,9.3,3.7,28.78,64,2.15,
82476,18/01/2014,1200,0,,24.3,,,,,,
82476,19/01/2014,0000,,33.5,,6.1,3.9,28.88,72,2.65,
82476,19/01/2014,1200,0,,24.9,,,,,,
82476,20/01/2014,0000,,32.1,,1.7,2.1,26.78,87,1.9,
82476,20/01/2014,1200,0.6,,24.1,,,,,,
82476,21/01/2014,0000,,32.6,,6.4,2.9,27.26,82,1.65,
82476,21/01/2014,1200,17.6,,24.8,,,,,,
82476,22/01/2014,0000,,33.5,,6.5,3.5,28,70,1.65,
