Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82382,01/01/2014,0000,,37.4,,10.5,9.5,29.48,57.75,2.866667,
82382,01/01/2014,1200,0,,23.6,,,,,,
82382,02/01/2014,0000,,36.7,,8.9,8.6,27.84,72.5,2.366667,
82382,02/01/2014,1200,0,,24.2,,,,,,
82382,03/01/2014,0000,,35.7,,9,7.5,28.34,66.75,3.4,
82382,03/01/2014,1200,17.7,,24.4,,,,,,
82382,04/01/2014,0000,,35.5,,7.8,8.4,28.42,65.25,2.733333,
82382,04/01/2014,1200,0,,24.6,,,,,,
82382,05/01/2014,0000,,35.6,,10.5,8.6,26.7,72.75,2.633333,
82382,05/01/2014,1200,0,,23,,,,,,
82382,06/01/2014,0000,,34.7,,5.2,5.8,26.78,75.25,2.066667,
82382,06/01/2014,1200,6,,22.7,,,,,,
82382,07/01/2014,0000,,32.1,,1.8,3.6,24.8,85.5,1.5,
82382,07/01/2014,1200,4.1,,22,,,,,,
82382,08/01/2014,0000,,33.2,,3.6,2.4,25.44,77.75,1.566667,
82382,08/01/2014,1200,0.5,,20.6,,,,,,
82382,09/01/2014,0000,,33.2,,5.6,3,25.68,86.25,2.9,
82382,09/01/2014,1200,0,,22.5,,,,,,
82382,10/01/2014,0000,,33.3,,5.3,2.8,25.64,81.5,2.566667,
82382,10/01/2014,1200,7.6,,22,,,,,,
82382,11/01/2014,0000,,33.6,,7.4,3.9,27.58,72.75,1.266667,
82382,11/01/2014,1200,4.4,,23,,,,,,
82382,12/01/2014,0000,,33.2,,2.1,4.6,25.62,81.75,0,
82382,12/01/2014,1200,0,,22.8,,,,,,
82382,13/01/2014,0000,,32.1,,4.6,2.7,24.78,83.5,0,
82382,13/01/2014,1200,15.4,,21.5,,,,,,
82382,14/01/2014,0000,,32.5,,4.8,3.8,25.02,84.5,0,
82382,14/01/2014,1200,75.7,,21.3,,,,,,
82382,15/01/2014,0000,,32.5,,4.3,3.2,24.1,84.25,0,
82382,15/01/2014,1200,0.5,,20.2,,,,,,
82382,16/01/2014,0000,,32.8,,6.2,2.4,25.7,85.25,0,
82382,16/01/2014,1200,40.4,,20.2,,,,,,
82382,17/01/2014,0000,,34,,8.6,3.1,27.58,77,0,
82382,17/01/2014,1200,6.6,,24.2,,,,,,
82382,18/01/2014,0000,,33.9,,10.7,4.9,27.78,75,0,
82382,18/01/2014,1200,0,,24,,,,,,
82382,19/01/2014,0000,,34.3,,6.8,4.7,27.88,76,0,
82382,19/01/2014,1200,0,,24.3,,,,,,
82382,20/01/2014,0000,,33.7,,6.8,3.7,27.76,75.25,0,
82382,20/01/2014,1200,1.6,,24.2,,,,,,
82382,21/01/2014,0000,,33.3,,8.5,5.2,27.8,70.75,0,
82382,21/01/2014,1200,0.2,,24.2,,,,,,
82382,22/01/2014,0000,,34.1,,8.1,5.3,27.76,72.5,0,
82382,22/01/2014,1200,0,,23.4,,,,,,
82382,23/01/2014,0000,,33.3,,4.4,4.7,27.52,77.5,0,
82382,23/01/2014,1200,0,,23.8,,,,,,
82382,24/01/2014,0000,,33.1,,5.4,4.1,26.5,81,0,
82382,24/01/2014,1200,0,,23.9,,,,,,
82382,25/01/2014,0000,,31.7,,1.4,4,24.36,89.25,0,
82382,25/01/2014,1200,2.2,,21.4,,,,,,
82382,26/01/2014,0000,,32.2,,6.6,1.9,24.38,84.5,0,
82382,26/01/2014,1200,19.4,,21.5,,,,,,
82382,27/01/2014,0000,,32.6,,5.9,3.3,24.76,85.75,0,
82382,27/01/2014,1200,7.1,,21.4,,,,,,
82382,28/01/2014,0000,,29.2,,1.9,2.7,25.74,83.25,0,
82382,28/01/2014,1200,11.6,,22,,,,,,
82382,29/01/2014,0000,,33.2,,9.4,2.2,26.32,80,0,
82382,29/01/2014,1200,0.1,,23.4,,,,,,
82382,30/01/2014,0000,,32,,3,3.9,25.98,84.75,0,
82382,30/01/2014,1200,6.4,,23,,,,,,
82382,31/01/2014,0000,,31.7,,6.3,1.9,25.32,86.25,0,
82382,31/01/2014,1200,78.1,,21.4,,,,,,
82382,01/02/2014,0000,,30.3,,0.4,2.6,25.56,87.25,0,
82382,01/02/2014,1200,45.6,,21.9,,,,,,
