Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82198,01/01/2014,0000,,35.5,,10,4.4,28.56,68,3.8,
82198,01/01/2014,1200,0,,24.8,,,,,,
82198,02/01/2014,0000,,31.7,,6.2,5.1,27.62,71.75,3.6,
82198,02/01/2014,1200,0,,24.4,,,,,,
82198,03/01/2014,0000,,31.5,,8.1,4.2,27.24,73.75,3.766667,
82198,03/01/2014,1200,0.3,,24.5,,,,,,
82198,04/01/2014,0000,,33,,5.8,3.4,27.76,71,3.233333,
82198,04/01/2014,1200,0.8,,24.3,,,,,,
82198,05/01/2014,0000,,33.7,,11,4.1,28.1,67.75,3.2,
82198,05/01/2014,1200,0,,23.6,,,,,,
82198,06/01/2014,0000,,31.8,,6.4,5.1,27.98,67.75,3.8,
82198,06/01/2014,1200,0,,25.7,,,,,,
82198,07/01/2014,0000,,31.8,,1.5,3.5,26.82,71.75,3.566667,
82198,07/01/2014,1200,0,,23.3,,,,,,
82198,08/01/2014,0000,,33.7,,8.1,3.1,28.52,70.25,2.266667,
82198,08/01/2014,1200,0,,23.8,,,,,,
82198,09/01/2014,0000,,29.5,,0,3.8,25.52,90,2.333333,
82198,09/01/2014,1200,0.5,,22.9,,,,,,
82198,10/01/2014,0000,,31.6,,4.5,0.8,26.52,83.25,2.9,
82198,10/01/2014,1200,34.4,,22.6,,,,,,
82198,11/01/2014,0000,,33.2,,7.3,3,28.16,74.5,3,
82198,11/01/2014,1200,0,,24.2,,,,,,
82198,12/01/2014,0000,,31.8,,3.1,3.4,27.88,77.25,3.233333,
82198,12/01/2014,1200,0,,25.2,,,,,,
82198,13/01/2014,0000,,31.5,,4.4,3,27.56,70.25,2.466667,
82198,13/01/2014,1200,0,,24.4,,,,,,
82198,14/01/2014,0000,,33.5,,9.2,4.4,27.68,73.25,2.7,
82198,14/01/2014,1200,0,,23.2,,,,,,
82198,15/01/2014,0000,,31.4,,5.2,4,27.1,82.75,2.233333,
82198,15/01/2014,1200,0,,24,,,,,,
