Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83442,01/01/2014,0000,,35.3,,,4.7,27.88,61.75,0.333333,
83442,01/01/2014,1200,0,,21.3,,,,,,
83442,02/01/2014,0000,,34.5,,,5,26.54,62.75,0.666667,
83442,02/01/2014,1200,0,,19.4,,,,,,
83442,03/01/2014,0000,,33.7,,,4.8,25.62,67.75,0.333333,
83442,03/01/2014,1200,0,,18.6,,,,,,
83442,04/01/2014,0000,,34.1,,,4.5,25.96,69.75,0.333333,
83442,04/01/2014,1200,0,,19.3,,,,,,
83442,05/01/2014,0000,,34.6,,,4.5,26.6,63.5,0.666667,
83442,05/01/2014,1200,0,,19.8,,,,,,
83442,06/01/2014,0000,,33.9,,,5.4,26.42,58.25,0.333333,
83442,06/01/2014,1200,0,,20.6,,,,,,
83442,07/01/2014,0000,,32.9,,0,5.8,25.66,62.5,0.666667,
83442,07/01/2014,1200,0,,18.8,,,,,,
83442,08/01/2014,0000,,33.5,,,4.7,26.2,65.25,1,
83442,08/01/2014,1200,0,,21.1,,,,,,
83442,09/01/2014,0000,,33.3,,,4.3,25.08,76.25,0.666667,
83442,09/01/2014,1200,0,,19.9,,,,,,
83442,10/01/2014,0000,,32.7,,,2.9,25.86,71,0.666667,
83442,10/01/2014,1200,0,,20.6,,,,,,
83442,11/01/2014,0000,,33.9,,,4.7,26.88,64.25,0.333333,
83442,11/01/2014,1200,0,,22,,,,,,
83442,12/01/2014,0000,,33.7,,,4.8,26.56,75,0.666667,
83442,12/01/2014,1200,0,,21.1,,,,,,
83442,13/01/2014,0000,,34.3,,,4.2,26.72,74.75,0.666667,
83442,13/01/2014,1200,0.7,,22.1,,,,,,
83442,14/01/2014,0000,,35.1,,,4.5,27.42,64.75,0.666667,
83442,14/01/2014,1200,4.2,,21.5,,,,,,
83442,15/01/2014,0000,,33.5,,,4.7,26.56,76.25,1,
83442,15/01/2014,1200,0,,21.7,,,,,,
83442,16/01/2014,0000,,35.1,,,4,27.64,66.5,0.333333,
83442,16/01/2014,1200,0,,22.9,,,,,,
83442,17/01/2014,0000,,35.1,,,5.1,27.14,63.75,1,
83442,17/01/2014,1200,0,,21.2,,,,,,
83442,18/01/2014,0000,,34.7,,,5.4,26.54,70,0.666667,
83442,18/01/2014,1200,0,,20.8,,,,,,
83442,19/01/2014,0000,,29.8,,,3.3,25.02,82.75,0,
83442,19/01/2014,1200,0.3,,21.4,,,,,,
83442,20/01/2014,0000,,31.1,,,2.2,24.6,86,0.333333,
83442,20/01/2014,1200,0.5,,21.7,,,,,,
83442,21/01/2014,0000,,32.1,,,2,26.08,78.75,0.333333,
83442,21/01/2014,1200,2.8,,21.6,,,,,,
83442,22/01/2014,0000,,35.3,,,3.1,28.2,59.75,0.666667,
83442,22/01/2014,1200,0,,22.3,,,,,,
83442,23/01/2014,0000,,36.5,,,5.3,28.52,59.25,1,
83442,23/01/2014,1200,0,,22.3,,,,,,
83442,24/01/2014,0000,,34.9,,,5.9,27.08,65.5,0.666667,
83442,24/01/2014,1200,0,,22.5,,,,,,
83442,25/01/2014,0000,,33.8,,,5.6,26.34,61,0.666667,
83442,25/01/2014,1200,0,,19.3,,,,,,
83442,26/01/2014,0000,,36.5,,,4.9,26.46,63.75,0.666667,
83442,26/01/2014,1200,0,,20,,,,,,
83442,27/01/2014,0000,,36.5,,,5.3,26.18,60.75,0.666667,
83442,27/01/2014,1200,0,,19,,,,,,
83442,28/01/2014,0000,,34.9,,,5.7,26.56,54.5,0.333333,
83442,28/01/2014,1200,2.5,,18.5,,,,,,
83442,29/01/2014,0000,,32.1,,,7.7,25.52,68.5,1,
83442,29/01/2014,1200,0,,19.1,,,,,,
83442,30/01/2014,0000,,34.3,,,4.7,25.98,67,1,
83442,30/01/2014,1200,2.6,,20.3,,,,,,
83442,31/01/2014,0000,,35.1,,,5.1,26.12,55.25,0.666667,
83442,31/01/2014,1200,0,,19.3,,,,,,
83442,01/02/2014,0000,,35.3,,,7.7,26.4,51.75,0.333333,
83442,01/02/2014,1200,0,,19.3,,,,,,
83442,02/02/2014,0000,,36.6,,,7.7,27.62,52.25,1,
83442,02/02/2014,1200,0,,17.9,,,,,,
83442,03/02/2014,0000,,34.9,,,8.3,27.12,53.25,0.666667,
83442,03/02/2014,1200,0,,20.3,,,,,,
83442,04/02/2014,0000,,35.7,,,6.7,27.28,59.5,0.666667,
83442,04/02/2014,1200,1.1,,20.5,,,,,,
83442,05/02/2014,0000,,35.1,,,6.5,26.82,62.25,0.333333,
83442,05/02/2014,1200,1.1,,21.5,,,,,,
83442,06/02/2014,0000,,37,,,6.7,27.34,54.5,0.666667,
83442,06/02/2014,1200,0,,20.1,,,,,,
83442,07/02/2014,0000,,36.2,,,7.4,27.46,45.75,1,
83442,07/02/2014,1200,0,,19.5,,,,,,
83442,08/02/2014,0000,,37.1,,,7.1,27.78,51.25,0.666667,
83442,08/02/2014,1200,0,,21.2,,,,,,
83442,09/02/2014,0000,,35.9,,,8,28.16,47.25,0.666667,
83442,09/02/2014,1200,0,,22,,,,,,
