Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83582,01/01/2014,0000,,33.3,,10.2,2.4,26.54,78.5,1.2,
83582,01/01/2014,1200,4.2,,23.2,,,,,,
83582,02/01/2014,0000,,34.3,,11.7,3.6,26.98,75,0.833333,
83582,02/01/2014,1200,0,,23,,,,,,
83582,03/01/2014,0000,,35.3,,12.3,4.6,26.5,71.75,0.833333,
83582,03/01/2014,1200,0,,21.8,,,,,,
83582,04/01/2014,0000,,34.1,,11.8,4.8,25.86,68.75,1.333333,
83582,04/01/2014,1200,0,,20,,,,,,
83582,05/01/2014,0000,,32.1,,11.3,5.5,24.78,69.25,1,
83582,05/01/2014,1200,0,,20,,,,,,
83582,06/01/2014,0000,,32.3,,11.6,3.3,23.58,77.25,0.833333,
83582,06/01/2014,1200,0,,18.8,,,,,,
83582,07/01/2014,0000,,31.5,,11,4.5,23.74,71.25,1.366667,
83582,07/01/2014,1200,0,,17.8,,,,,,
83582,08/01/2014,0000,,31.7,,10.9,4.5,23.66,70.5,1.366667,
83582,08/01/2014,1200,0,,17.6,,,,,,
83582,09/01/2014,0000,,32.9,,12.2,4.3,23.74,71,1.533333,
83582,09/01/2014,1200,0,,18,,,,,,
83582,10/01/2014,0000,,31.9,,11.5,5.2,23.38,76,1.533333,
83582,10/01/2014,1200,0,,19,,,,,,
83582,11/01/2014,0000,,31.7,,12.2,5,24.94,72.25,1.333333,
83582,11/01/2014,1200,9.4,,19.4,,,,,,
83582,12/01/2014,0000,,32.2,,11.5,5,25.12,68.75,1.333333,
83582,12/01/2014,1200,0,,20.2,,,,,,
83582,13/01/2014,0000,,33.3,,12.3,5.5,25.74,69.75,1.366667,
83582,13/01/2014,1200,0,,20,,,,,,
83582,14/01/2014,0000,,33.1,,12.1,5.8,25.18,68.5,1.166667,
83582,14/01/2014,1200,0,,20,,,,,,
83582,15/01/2014,0000,,34.7,,12,6.4,25.1,68.25,1.166667,
83582,15/01/2014,1200,0,,18.2,,,,,,
83582,16/01/2014,0000,,32.9,,6.2,5.8,24.46,72,1.866667,
83582,16/01/2014,1200,0,,20.8,,,,,,
83582,17/01/2014,0000,,29,,3.6,4,23.04,86.5,0.666667,
83582,17/01/2014,1200,1,,20,,,,,,
83582,18/01/2014,0000,,30,,1.8,2,21.76,93.5,1.166667,
83582,18/01/2014,1200,0,,19,,,,,,
83582,19/01/2014,0000,,31.9,,6.7,1.4,24.18,77.25,1,
83582,19/01/2014,1200,22.3,,20,,,,,,
83582,20/01/2014,0000,,32.9,,10.2,2.7,23.62,84,1.7,
83582,20/01/2014,1200,0,,20,,,,,,
83582,21/01/2014,0000,,27,,2.4,4.4,22.76,90.25,1,
83582,21/01/2014,1200,7.4,,20.6,,,,,,
