Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83689,01/01/2014,0000,,,,7.5,2.5,,79,0.833333,
83689,01/01/2014,1200,4.4,,18.3,,,,,,
83689,02/01/2014,0000,,,,7,3,,75,0.5,
83689,02/01/2014,1200,23,,18.4,,,,,,
83689,03/01/2014,0000,,,,10.1,3,,70.75,0.5,
83689,03/01/2014,1200,0,,18.4,,,,,,
83689,04/01/2014,0000,,,,8.9,3.9,,67.75,1.033333,
83689,04/01/2014,1200,0,,17.1,,,,,,
83689,05/01/2014,0000,,,,10.5,,,,,
83689,06/01/2014,0000,,,,7.6,,,82.25,1,
83689,06/01/2014,1200,0,,15.8,,,,,,
83689,07/01/2014,0000,,,,11,1.4,,69,0.666667,
83689,07/01/2014,1200,0,,15.4,,,,,,
83689,08/01/2014,0000,,,,11.1,1.7,,64.75,1.2,
83689,08/01/2014,1200,0,,15.3,,,,,,
83689,09/01/2014,0000,,,,7.4,2.6,,78.25,0.833333,
83689,09/01/2014,1200,0,,16.3,,,,,,
83689,10/01/2014,0000,,,,6.6,1.5,,81.5,0.833333,
83689,10/01/2014,1200,4.4,,17.3,,,,,,
83689,11/01/2014,0000,,,,11.3,1.6,,68.25,1.533333,
83689,11/01/2014,1200,0,,17.9,,,,,,
83689,12/01/2014,0000,,,,11.5,,,,,
83689,13/01/2014,0000,,,,10.2,,,65,1.533333,
83689,13/01/2014,1200,0,,15.5,,,,,,
83689,14/01/2014,0000,,,,11.8,2.7,,66,0.666667,
83689,14/01/2014,1200,0,,17,,,,,,
83689,15/01/2014,0000,,,,9.4,2.3,,62.25,0.833333,
83689,15/01/2014,1200,0,,14.1,,,,,,
83689,16/01/2014,0000,,,,9.8,5,,73.75,0.866667,
83689,16/01/2014,1200,0,,15.6,,,,,,
83689,17/01/2014,0000,,,,2.4,3.1,,97.5,0.666667,
83689,17/01/2014,1200,49.6,,16.1,,,,,,
83689,18/01/2014,0000,,,,1.5,1.7,,92.75,0.866667,
83689,18/01/2014,1200,25,,15.6,,,,,,
83689,19/01/2014,0000,,,,10.1,,,,,
83689,19/01/2014,1200,15.4,,,,,,,,
83689,20/01/2014,0000,,,,5.6,,,85,0.5,
83689,20/01/2014,1200,0,,14.7,,,,,,
83689,21/01/2014,0000,,,,8.3,1.2,,88.25,1.866667,
83689,21/01/2014,1200,1,,14.9,,,,,,
83689,22/01/2014,0000,,,,10.5,1.5,,79.25,1.033333,
83689,22/01/2014,1200,24.1,,15.5,,,,,,
83689,23/01/2014,0000,,,,10.5,2,,80.75,0.333333,
83689,23/01/2014,1200,0.6,,16.1,,,,,,
83689,24/01/2014,0000,,,,8.8,2,,82.25,1.7,
83689,24/01/2014,1200,24,,14.7,,,,,,
83689,25/01/2014,0000,,,,10.8,1.5,,77.25,0.666667,
83689,25/01/2014,1200,0,,17,,,,,,
83689,26/01/2014,0000,,,,10,,,,,
83689,27/01/2014,0000,,,,11.2,,,69.25,1.366667,
