Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83639,01/01/2014,0000,,34,,9.6,4.1,24.16,78,0.5,
83639,01/01/2014,1200,0,,19.2,,,,,,
83639,02/01/2014,0000,,31,,8.7,3.1,24.6,72.25,0.166667,
83639,02/01/2014,1200,32,,18.2,,,,,,
83639,03/01/2014,0000,,32.8,,13.1,4.1,23.72,70,0.333333,
83639,03/01/2014,1200,0,,17.6,,,,,,
83639,04/01/2014,0000,,31.6,,13,4.4,22.36,75,0.666667,
83639,04/01/2014,1200,0,,14.4,,,,,,
83639,05/01/2014,0000,,29.4,,11.4,4,22.36,68.25,0.333333,
83639,05/01/2014,1200,0,,17.4,,,,,,
83639,06/01/2014,0000,,29.4,,10.4,4.6,21.96,72.75,0.833333,
83639,06/01/2014,1200,0,,16.4,,,,,,
83639,07/01/2014,0000,,28.8,,9.5,4.1,21.24,73.25,0.666667,
83639,07/01/2014,1200,0,,17.6,,,,,,
83639,08/01/2014,0000,,29.8,,12.6,4.6,22.68,64.75,0.833333,
83639,08/01/2014,1200,0,,15.4,,,,,,
83639,09/01/2014,0000,,28.2,,4.6,5.3,21.92,87,0,
83639,09/01/2014,1200,0,,17.6,,,,,,
83639,10/01/2014,0000,,29.4,,4.7,1.5,22.68,77,0.166667,
83639,10/01/2014,1200,6,,16.6,,,,,,
83639,11/01/2014,0000,,30.4,,10.5,3.5,23.2,70.25,1,
83639,11/01/2014,1200,0,,19.8,,,,,,
83639,12/01/2014,0000,,30.4,,11.4,4.7,23.8,73,0.333333,
83639,12/01/2014,1200,0,,18.2,,,,,,
83639,13/01/2014,0000,,29.6,,8.2,4.7,22.92,71.75,0.666667,
83639,13/01/2014,1200,0,,20.2,,,,,,
83639,14/01/2014,0000,,30.2,,11.6,4.9,22.68,70,0.833333,
83639,14/01/2014,1200,0,,17,,,,,,
83639,15/01/2014,0000,,31.2,,12.7,4.4,22.88,68.25,0.833333,
83639,15/01/2014,1200,0,,16.2,,,,,,
83639,16/01/2014,0000,,31.8,,12.8,4.8,22.88,64.75,1.366667,
83639,16/01/2014,1200,0,,15.8,,,,,,
83639,17/01/2014,0000,,28.8,,7,4.9,22.02,77.25,1,
83639,17/01/2014,1200,0,,17.5,,,,,,
83639,18/01/2014,0000,,26.2,,0.1,3.2,20.88,88.25,0.166667,
83639,18/01/2014,1200,0.7,,18.6,,,,,,
83639,19/01/2014,0000,,27.8,,6.5,1.7,21.92,82.75,0,
83639,19/01/2014,1200,7.8,,18.4,,,,,,
83639,20/01/2014,0000,,29.6,,6.1,3.1,22.12,85.25,0.7,
83639,20/01/2014,1200,0,,17,,,,,,
83639,21/01/2014,0000,,29,,7.4,2.6,22.68,76.75,1.033333,
83639,21/01/2014,1200,13.5,,18.2,,,,,,
83639,22/01/2014,0000,,30.8,,7.3,3.9,23.12,84.75,0.5,
83639,22/01/2014,1200,0,,19.4,,,,,,
83639,23/01/2014,0000,,31.2,,7,2.3,21.6,89.25,1.066667,
83639,23/01/2014,1200,1.2,,17,,,,,,
83639,24/01/2014,0000,,30.6,,8.1,2.1,21.84,79.25,0.7,
83639,24/01/2014,1200,30.6,,15.6,,,,,,
83639,25/01/2014,0000,,30.8,,10.7,3.4,21.72,76.75,0.5,
83639,25/01/2014,1200,0,,16.8,,,,,,
83639,26/01/2014,0000,,29.4,,8.2,3.7,21.36,78,0.7,
83639,26/01/2014,1200,0,,16.8,,,,,,
83639,27/01/2014,0000,,30.6,,12.6,3.8,21.88,71.75,1.2,
83639,27/01/2014,1200,0,,16.6,,,,,,
83639,28/01/2014,0000,,31.4,,11.6,4.5,23.12,65.5,0.666667,
83639,28/01/2014,1200,0,,16,,,,,,
83639,29/01/2014,0000,,30.2,,10,5.6,22.4,75,0,
83639,29/01/2014,1200,0,,14.6,,,,,,
83639,30/01/2014,0000,,30.8,,8,3.7,23.08,72,0.333333,
83639,30/01/2014,1200,0,,19.4,,,,,,
