Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83514,01/01/2014,0000,,31,,7.1,12.4,24.8,84.25,1.166667,
83514,01/01/2014,1200,6.8,,21.2,,,,,,
83514,02/01/2014,0000,,32.1,,10.4,3.9,25.5,79.25,1,
83514,02/01/2014,1200,0,,21,,,,,,
83514,03/01/2014,0000,,33.4,,12.1,4,26.54,76,0,
83514,03/01/2014,1200,0,,22.4,,,,,,
83514,04/01/2014,0000,,34.1,,12.2,7.2,27,67.5,0.666667,
83514,04/01/2014,1200,0,,22.8,,,,,,
83514,05/01/2014,0000,,33,,12.4,8.3,26.7,64.75,1.033333,
83514,05/01/2014,1200,1.3,,21.1,,,,,,
83514,06/01/2014,0000,,33.3,,11.1,10.6,25.58,70.25,0.666667,
83514,06/01/2014,1200,0,,20.5,,,,,,
83514,07/01/2014,0000,,32.8,,11.6,8.4,25.58,65.25,1,
83514,07/01/2014,1200,0,,20,,,,,,
83514,08/01/2014,0000,,32,,11.6,6.9,25.1,70.75,0,
83514,08/01/2014,1200,0,,20,,,,,,
83514,09/01/2014,0000,,32,,8.4,7.2,24.58,68.25,0.333333,
83514,09/01/2014,1200,0,,20.2,,,,,,
83514,10/01/2014,0000,,32.7,,7.8,7.7,25.36,65.25,1.7,
83514,10/01/2014,1200,0,,20.4,,,,,,
83514,11/01/2014,0000,,31.9,,5,5.7,24.36,75,0.333333,
83514,11/01/2014,1200,0,,19.7,,,,,,
83514,12/01/2014,0000,,31.4,,6.2,4.2,24.24,77,1.566667,
83514,12/01/2014,1200,0,,19,,,,,,
83514,13/01/2014,0000,,31.1,,4.3,5.6,24.2,75.25,0.333333,
83514,13/01/2014,1200,0,,19.4,,,,,,
83514,14/01/2014,0000,,31.5,,6,4.7,24.56,74.75,2.233333,
83514,14/01/2014,1200,0,,20.4,,,,,,
83514,15/01/2014,0000,,32.9,,10.6,5,25.52,72,0,
83514,15/01/2014,1200,0,,22.2,,,,,,
83514,16/01/2014,0000,,33.1,,10.8,6.3,25.2,67.75,0.666667,
83514,16/01/2014,1200,0,,19.8,,,,,,
83514,17/01/2014,0000,,32.3,,7.1,6,24.08,81.25,0.866667,
83514,17/01/2014,1200,20.4,,19.8,,,,,,
83514,18/01/2014,0000,,30.4,,8.3,3.7,23.76,85.75,0.5,
83514,18/01/2014,1200,14.4,,20,,,,,,
83514,19/01/2014,0000,,32,,7.4,3.6,24.24,78.5,0.166667,
83514,19/01/2014,1200,0,,20,,,,,,
83514,20/01/2014,0000,,31.6,,11.5,4.3,23.92,76,0.333333,
83514,20/01/2014,1200,0.3,,18.9,,,,,,
83514,21/01/2014,0000,,29.2,,8.3,4.5,23.5,82.25,0.833333,
83514,21/01/2014,1200,0,,19.8,,,,,,
83514,22/01/2014,0000,,30.5,,7.3,5,24.2,99.25,0.833333,
83514,22/01/2014,1200,0,,21,,,,,,
83514,23/01/2014,0000,,33.5,,9.1,3.8,25.68,64.75,0,
83514,23/01/2014,1200,0,,19.8,,,,,,
83514,24/01/2014,0000,,32.2,,7.2,6,24.38,86.75,0.766667,
83514,24/01/2014,1200,0,,20,,,,,,
83514,25/01/2014,0000,,31.1,,10.5,3.4,23.96,81,1.033333,
83514,25/01/2014,1200,34.3,,18.8,,,,,,
83514,26/01/2014,0000,,31.8,,11.8,4.4,25.02,72.5,1.033333,
83514,26/01/2014,1200,0,,21,,,,,,
83514,27/01/2014,0000,,31.7,,4.3,8.3,23.22,86.5,0.5,
83514,27/01/2014,1200,0,,18.9,,,,,,
83514,28/01/2014,0000,,32.1,,11.3,4,24.08,71.25,0.5,
83514,28/01/2014,1200,26.4,,17,,,,,,
83514,29/01/2014,0000,,31.3,,11.5,9.2,24.24,67.75,0,
83514,29/01/2014,1200,0,,16.8,,,,,,
83514,30/01/2014,0000,,32.8,,12.5,8.5,25.66,61.75,0.666667,
83514,30/01/2014,1200,0,,19.6,,,,,,
83514,31/01/2014,0000,,32.3,,12.3,10.5,25.88,57.5,1.033333,
83514,31/01/2014,1200,0,,21.3,,,,,,
83514,01/02/2014,0000,,31.3,,12.5,10,24.72,58,2.233333,
83514,01/02/2014,1200,0,,19.5,,,,,,
83514,02/02/2014,0000,,32.1,,10.8,11.3,25.14,57.25,1.2,
83514,02/02/2014,1200,0,,19,,,,,,
83514,03/02/2014,0000,,32.8,,12.2,11.6,25.74,55.25,0.333333,
83514,03/02/2014,1200,0,,19.6,,,,,,
83514,04/02/2014,0000,,,,4.4,11.7,,64.75,0.666667,
83514,04/02/2014,1200,0,,21.4,,,,,,
83514,05/02/2014,0000,,,,10.8,8.9,,61.5,0.333333,
83514,05/02/2014,1200,0,,20.8,,,,,,
83514,06/02/2014,0000,,,,11.6,13.2,,63,1.166667,
83514,06/02/2014,1200,0,,22.2,,,,,,
83514,07/02/2014,0000,,,,12.2,14.8,,51.75,0.833333,
83514,07/02/2014,1200,0,,20.6,,,,,,
83514,08/02/2014,0000,,,,12,14,,56,0.833333,
83514,08/02/2014,1200,0,,21,,,,,,
83514,09/02/2014,0000,,,,10.1,12,,66.5,0.833333,
83514,09/02/2014,1200,0,,19.4,,,,,,
83514,10/02/2014,0000,,,,9.2,8.7,,56.5,0.333333,
83514,10/02/2014,1200,0,,18.9,,,,,,
83514,11/02/2014,0000,,,,6.6,11,,62,0.333333,
83514,11/02/2014,1200,0,,21.6,,,,,,
83514,12/02/2014,0000,,,,7.4,11,,59.75,0.5,
83514,12/02/2014,1200,0,,20.6,,,,,,
83514,13/02/2014,0000,,,,5.5,9.9,,75.25,1.4,
83514,13/02/2014,1200,0,,19.2,,,,,,
83514,14/02/2014,0000,,,,6,6.7,,79.75,0.666667,
83514,14/02/2014,1200,0.4,,20,,,,,,
83514,15/02/2014,0000,,,,2.6,4.7,,91,0.7,
83514,15/02/2014,1200,8.2,,20.8,,,,,,
83514,16/02/2014,0000,,,,5.6,2.7,,85.25,1.166667,
83514,16/02/2014,1200,31.5,,20.3,,,,,,
83514,17/02/2014,0000,,,,7.6,4.4,,77.5,1.366667,
83514,17/02/2014,1200,21.9,,20.1,,,,,,
83514,18/02/2014,0000,,,,4.3,5.3,,88,1.5,
83514,18/02/2014,1200,11.8,,19.6,,,,,,
83514,19/02/2014,0000,,,,10,3.4,,73.25,0.833333,
83514,19/02/2014,1200,28.7,,20.6,,,,,,
83514,20/02/2014,0000,,,,6.4,7.3,,81.5,1.533333,
83514,20/02/2014,1200,0,,20.6,,,,,,
83514,21/02/2014,0000,,,,2.2,4.8,,87.25,1.166667,
83514,21/02/2014,1200,5.8,,21.5,,,,,,
83514,22/02/2014,0000,,,,1.9,2.8,,88.25,0.5,
83514,22/02/2014,1200,2.6,,20.6,,,,,,
83514,23/02/2014,0000,,,,2.4,3,,85.5,1.033333,
83514,23/02/2014,1200,24.3,,20.3,,,,,,
83514,24/02/2014,0000,,,,3.1,4.2,,80.75,1.366667,
83514,24/02/2014,1200,0,,20.1,,,,,,
83514,25/02/2014,0000,,,,1.7,4.8,,81,0.833333,
83514,25/02/2014,1200,0.5,,19,,,,,,
83514,26/02/2014,0000,,,,6.6,4.4,,75.25,0.833333,
83514,26/02/2014,1200,0,,21,,,,,,
83514,27/02/2014,0000,,,,11.1,7.3,,68.5,0.166667,
83514,27/02/2014,1200,1.4,,19.2,,,,,,
83514,28/02/2014,0000,,,,6.8,7.9,,82,0,
83514,28/02/2014,1200,0,,21.2,,,,,,
83514,01/03/2014,0000,,,,7.1,4.9,,93.5,1.7,
83514,01/03/2014,1200,2,,19.5,,,,,,
83514,02/03/2014,0000,,,,10.9,3.4,,75.5,0.833333,
83514,02/03/2014,1200,32.2,,18.7,,,,,,
83514,03/03/2014,0000,,,,10.6,6.6,,71,1.166667,
83514,03/03/2014,1200,0,,21.2,,,,,,
83514,04/03/2014,0000,,,,3.3,8.6,,86,0.833333,
83514,04/03/2014,1200,0,,21.2,,,,,,
83514,05/03/2014,0000,,,,3,3.5,,82.75,0.666667,
83514,05/03/2014,1200,12,,21.2,,,,,,
83514,06/03/2014,0000,,,,8.1,4.2,,77.25,0,
83514,06/03/2014,1200,0,,20.4,,,,,,
83514,07/03/2014,0000,,,,2.3,4.8,,88.5,1.333333,
83514,07/03/2014,1200,2.2,,20.3,,,,,,
83514,08/03/2014,0000,,,,9.3,2.8,,79.75,0.5,
83514,08/03/2014,1200,28.8,,18.2,,,,,,
83514,09/03/2014,0000,,,,11.2,5,,67.25,0.833333,
83514,09/03/2014,1200,0,,18.5,,,,,,
83514,10/03/2014,0000,,,,4.6,6,,78.75,1.533333,
83514,10/03/2014,1200,0,,21,,,,,,
83514,11/03/2014,0000,,,,8.3,5.9,,70,0.733333,
83514,11/03/2014,1200,0,,19.8,,,,,,
83514,12/03/2014,0000,,,,6.5,7,,85.5,0,
83514,12/03/2014,1200,7.4,,21,,,,,,
83514,13/03/2014,0000,,,,4.7,3,,78.25,0,
83514,13/03/2014,1200,0,,20.8,,,,,,
83514,14/03/2014,0000,,,,9.5,4.9,,79.25,0.833333,
83514,14/03/2014,1200,0,,22.2,,,,,,
83514,15/03/2014,0000,,,,11.2,8,,68.75,2.066667,
83514,15/03/2014,1200,0,,20.3,,,,,,
83514,16/03/2014,0000,,,,11,7.1,,70,1,
83514,16/03/2014,1200,0,,19,,,,,,
83514,17/03/2014,0000,,,,11.1,7.7,,61,0.533333,
83514,17/03/2014,1200,0,,20.4,,,,,,
83514,18/03/2014,0000,,,,3.9,7.2,,78.25,0.333333,
83514,18/03/2014,1200,45,,19.2,,,,,,
83514,19/03/2014,0000,,,,11,3.8,,73,0.833333,
83514,19/03/2014,1200,0,,19.6,,,,,,
83514,20/03/2014,0000,,,,9.1,5.9,,67.25,1.366667,
83514,20/03/2014,1200,0,,20.2,,,,,,
83514,21/03/2014,0000,,,,5.7,4.4,,82.75,0.833333,
83514,21/03/2014,1200,24.4,,21,,,,,,
83514,22/03/2014,0000,,,,0,3.5,,90.25,1.533333,
83514,22/03/2014,1200,32.6,,20.2,,,,,,
83514,23/03/2014,0000,,,,8.3,1.4,,77.5,1.5,
83514,23/03/2014,1200,2.1,,20.8,,,,,,
83514,24/03/2014,0000,,,,10.5,4.7,,76.5,1.2,
83514,24/03/2014,1200,0,,20.2,,,,,,
83514,25/03/2014,0000,,,,10.2,5.1,,74.5,2.266667,
83514,25/03/2014,1200,0.2,,20.7,,,,,,
83514,26/03/2014,0000,,,,8.5,5.4,,77,2.166667,
83514,26/03/2014,1200,12,,20.8,,,,,,
83514,27/03/2014,0000,,,,0.1,5.3,,89.25,0,
83514,27/03/2014,1200,0,,21.4,,,,,,
83514,28/03/2014,0000,,,,8,1.8,,76.5,1.333333,
83514,28/03/2014,1200,0.8,,20.8,,,,,,
83514,29/03/2014,0000,,,,6.1,5.8,,77.25,0.833333,
83514,29/03/2014,1200,0,,21.7,,,,,,
83514,30/03/2014,0000,,,,2.9,5.2,,92.5,1.9,
83514,30/03/2014,1200,0,,20.2,,,,,,
83514,31/03/2014,0000,,,,7.8,1.1,,79.5,0.5,
83514,31/03/2014,1200,33.6,,20,,,,,,
83514,01/04/2014,0000,,,,9,3.6,,82.25,0.5,
83514,01/04/2014,1200,0,,21.4,,,,,,
83514,02/04/2014,0000,,,,8.2,3.4,,81.5,0.5,
83514,02/04/2014,1200,6.4,,21,,,,,,
83514,03/04/2014,0000,,,,9.1,8.4,,83,0.5,
83514,03/04/2014,1200,0,,20.3,,,,,,
83514,04/04/2014,0000,,,,10.5,3.6,,67.5,0.833333,
83514,04/04/2014,1200,0,,19.7,,,,,,
83514,05/04/2014,0000,,,,10.6,6,,74,1.733333,
83514,05/04/2014,1200,0,,21.5,,,,,,
83514,06/04/2014,0000,,,,11,6.5,,76,1.2,
83514,06/04/2014,1200,0,,21.2,,,,,,
83514,07/04/2014,0000,,,,8,5.9,,78.75,1,
83514,07/04/2014,1200,0,,21.3,,,,,,
83514,08/04/2014,0000,,,,4.6,4.6,,81.25,0.5,
83514,08/04/2014,1200,0,,20.2,,,,,,
83514,09/04/2014,0000,,,,8.3,4,,72,1.166667,
83514,09/04/2014,1200,0,,20.6,,,,,,
83514,10/04/2014,0000,,,,6.4,5,,85.25,1.533333,
83514,10/04/2014,1200,0,,20.2,,,,,,
83514,11/04/2014,0000,,,,9.1,3.5,,79.25,0.5,
83514,11/04/2014,1200,3.5,,20,,,,,,
83514,12/04/2014,0000,,,,6.1,3,,83.5,1.733333,
83514,12/04/2014,1200,0,,21.3,,,,,,
83514,13/04/2014,0000,,,,6.5,5.4,,81,0.833333,
83514,13/04/2014,1200,4.4,,20.1,,,,,,
83514,14/04/2014,0000,,,,5.9,1.5,,85,0.666667,
83514,14/04/2014,1200,3.8,,21,,,,,,
83514,15/04/2014,0000,,,,6.1,4,,80.5,1.333333,
83514,15/04/2014,1200,0,,21,,,,,,
83514,16/04/2014,0000,,,,4.8,3,,79,1.2,
83514,16/04/2014,1200,1,,19.6,,,,,,
83514,17/04/2014,0000,,,,9.9,3.5,,73,1,
83514,17/04/2014,1200,0,,20.6,,,,,,
83514,18/04/2014,0000,,,,10.8,4,,75.75,0.833333,
83514,18/04/2014,1200,0,,19.4,,,,,,
83514,19/04/2014,0000,,,,9.3,5,,79,0.833333,
