Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83635,01/01/2014,0000,,34.1,,10.6,2.9,26.5,62.25,2.333333,
83635,01/01/2014,1200,0,,20.9,,,,,,
83635,02/01/2014,0000,,34.7,,10.6,5.1,27.96,57.5,1.333333,
83635,02/01/2014,1200,2,,20.5,,,,,,
83635,03/01/2014,0000,,34.4,,11.7,5.4,27.04,51.25,1.333333,
83635,03/01/2014,1200,0,,20.1,,,,,,
83635,04/01/2014,0000,,35,,11.4,6.6,27.08,44.5,2.333333,
83635,04/01/2014,1200,0,,19.4,,,,,,
83635,05/01/2014,0000,,32.3,,11.3,8.4,25.66,47.5,2.333333,
83635,05/01/2014,1200,0,,17,,,,,,
83635,06/01/2014,0000,,32.6,,10.7,7.2,25.4,49.25,2.333333,
83635,06/01/2014,1200,0,,17,,,,,,
83635,07/01/2014,0000,,31.8,,10.1,7.6,25.18,49.25,2.666667,
83635,07/01/2014,1200,0,,17.9,,,,,,
83635,08/01/2014,0000,,32.2,,11.9,6.7,25.42,48,2,
83635,08/01/2014,1200,0,,17.6,,,,,,
83635,09/01/2014,0000,,33.1,,9,6.1,23.9,64.75,2,
83635,09/01/2014,1200,0,,17.4,,,,,,
83635,10/01/2014,0000,,31.5,,7.9,4.6,24.68,61.25,2.333333,
83635,10/01/2014,1200,12.9,,18.4,,,,,,
83635,11/01/2014,0000,,33,,12.6,4.5,25.72,57.75,2.333333,
83635,11/01/2014,1200,0,,18.4,,,,,,
83635,12/01/2014,0000,,33.5,,11.3,,,,,
83635,13/01/2014,0000,,33.2,,11.2,,26.9,46,2.333333,
83635,13/01/2014,1200,0,,19.7,,,,,,
83635,14/01/2014,0000,,33.4,,12,6.4,26.26,45,2,
83635,14/01/2014,1200,0,,17.6,,,,,,
83635,15/01/2014,0000,,34.1,,11.6,7.2,25.46,48,2,
83635,15/01/2014,1200,0,,16.1,,,,,,
83635,16/01/2014,0000,,34.3,,8.9,6.7,24.28,61.5,2,
83635,16/01/2014,1200,0,,17.1,,,,,,
83635,17/01/2014,0000,,30.8,,3.9,4.8,22.8,77.75,1.666667,
83635,17/01/2014,1200,9.4,,19.4,,,,,,
83635,18/01/2014,0000,,29.7,,3.5,2.8,21.98,85.25,2.333333,
83635,18/01/2014,1200,2.9,,18.4,,,,,,
83635,19/01/2014,0000,,32,,10.6,1.7,22.92,,2,
83635,19/01/2014,1200,90.5,,17.6,,,,,,
83635,20/01/2014,0000,,32.1,,10.7,3.3,22.88,76.25,2,
83635,20/01/2014,1200,13.9,,18,,,,,,
83635,21/01/2014,0000,,30.4,,6.5,3.1,23.58,72.25,2,
83635,21/01/2014,1200,13.6,,17.3,,,,,,
83635,22/01/2014,0000,,31,,7.1,3.1,23.84,,2.333333,
83635,22/01/2014,1200,6.4,,18.2,,,,,,
83635,23/01/2014,0000,,33,,7.2,3.3,23.28,73.75,1.666667,
83635,23/01/2014,1200,0,,19,,,,,,
83635,24/01/2014,0000,,31.1,,7,3.9,24.04,75.25,3.333333,
83635,24/01/2014,1200,0,,18.9,,,,,,
