Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83521,02/01/2014,0000,,,,9.8,5.8,,,0.75,
83521,02/01/2014,1200,0,,,,,,,,
83521,03/01/2014,0000,,,,10.3,5,,,1.25,
83521,03/01/2014,1200,0,,,,,,,,
83521,04/01/2014,0000,,,,10.2,5.2,,,1,
83521,04/01/2014,1200,0,,,,,,,,
83521,06/01/2014,0000,,,,9.5,13.8,,,1,
83521,06/01/2014,1200,0,,,,,,,,
83521,07/01/2014,0000,,,,9.5,6,,,0.75,
83521,07/01/2014,1200,0,,,,,,,,
83521,08/01/2014,0000,,,,8.2,6,,,0.5,
83521,08/01/2014,1200,2,,,,,,,,
83521,09/01/2014,0000,,,,5.8,5.1,,,1.25,
83521,09/01/2014,1200,0,,,,,,,,
83521,10/01/2014,0000,,,,5.2,3.9,,,0.5,
83521,10/01/2014,1200,5,,,,,,,,
83521,11/01/2014,0000,,,,4.8,4,,,0.5,
83521,11/01/2014,1200,6.2,,,,,,,,
83521,13/01/2014,0000,,,,2.4,6,,,0.5,
83521,13/01/2014,1200,17.2,,,,,,,,
83521,14/01/2014,0000,,,,3.1,3,,,1,
83521,14/01/2014,1200,0,,,,,,,,
83521,15/01/2014,0000,,,,7.1,2,,,0.5,
83521,15/01/2014,1200,0,,,,,,,,
83521,16/01/2014,0000,,,,8.6,5,,,0.75,
83521,16/01/2014,1200,38,,,,,,,,
83521,17/01/2014,0000,,,,7.3,5,,,0.25,
83521,17/01/2014,1200,0,,,,,,,,
83521,18/01/2014,0000,,,,5.3,3.5,,,0.5,
83521,18/01/2014,1200,24.4,,,,,,,,
83521,20/01/2014,0000,,,,8.7,7,,,0.5,
83521,20/01/2014,1200,2.4,,,,,,,,
83521,21/01/2014,0000,,,,7.9,3.5,,,2.05,
83521,21/01/2014,1200,6.8,,,,,,,,
83521,22/01/2014,0000,,,,6.5,4,,,1.25,
83521,22/01/2014,1200,0,,,,,,,,
83521,23/01/2014,0000,,,,9,3.6,,,0.75,
83521,23/01/2014,1200,1.4,,,,,,,,
83521,24/01/2014,0000,,,,7.2,5.4,,,1,
83521,24/01/2014,1200,0,,,,,,,,
83521,25/01/2014,0000,,,,7.7,3,,,1,
83521,25/01/2014,1200,5,,,,,,,,
83521,27/01/2014,0000,,,,4,8.5,,,1,
83521,27/01/2014,1200,0,,,,,,,,
83521,28/01/2014,0000,,,,9.5,2.5,,,1,
83521,28/01/2014,1200,16,,,,,,,,
83521,29/01/2014,0000,,,,9.9,5,,,0.75,
83521,29/01/2014,1200,1,,,,,,,,
83521,30/01/2014,0000,,,,9.7,6,,,0.75,
83521,30/01/2014,1200,0,,,,,,,,
83521,31/01/2014,0000,,,,,7,,,1,
83521,31/01/2014,1200,0,,,,,,,,
83521,01/02/2014,0000,,,,9.7,8.5,,,1.5,
83521,01/02/2014,1200,0,,19.2,,,,,,
83521,03/02/2014,0000,,,,9.2,8.5,,,1.25,
83521,03/02/2014,1200,0,,18,,,,,,
83521,04/02/2014,0000,,,,4.5,8,,,1.8,
83521,04/02/2014,1200,0,,20,,,,,,
83521,05/02/2014,0000,,,,9.9,7,,,0.5,
83521,05/02/2014,1200,0,,18.6,,,,,,
83521,06/02/2014,0000,,,,10.2,8,,,1.3,
83521,06/02/2014,1200,0,,22,,,,,,
83521,07/02/2014,0000,,,,10.4,7,,,1.5,
83521,07/02/2014,1200,0,,20.4,,,,,,
83521,08/02/2014,0000,,,,9.6,9,,,1.5,
83521,08/02/2014,1200,0,,19.2,,,,,,
83521,10/02/2014,0000,,,,8.1,15.5,,,1,
83521,10/02/2014,1200,0,,19.4,,,,,,
83521,11/02/2014,0000,,,,6.8,5.5,,,1.55,
83521,11/02/2014,1200,0,,21.6,,,,,,
83521,12/02/2014,0000,,,,7.6,7,,,0.75,
83521,12/02/2014,1200,0,,20.4,,,,,,
83521,13/02/2014,0000,,,,4.6,7,,,1.3,
83521,13/02/2014,1200,0,,21,,,,,,
83521,14/02/2014,0000,,,,5.5,6,,,1.8,
83521,14/02/2014,1200,1,,20.4,,,,,,
83521,15/02/2014,0000,,,,3.3,3.5,,,1,
83521,15/02/2014,1200,3.6,,22.4,,,,,,
83521,17/02/2014,0000,,,,6.2,6.5,,,1,
83521,17/02/2014,1200,30.4,,21.4,,,,,,
83521,18/02/2014,0000,,,,3.9,4.5,,,1,
83521,18/02/2014,1200,30,,20.4,,,,,,
83521,19/02/2014,0000,,,,7.2,2.5,,,1,
83521,19/02/2014,1200,8.4,,21,,,,,,
83521,20/02/2014,0000,,,,7.7,5,,,1.8,
83521,20/02/2014,1200,0,,21,,,,,,
83521,21/02/2014,0000,,,,2.6,4,,,0.5,
83521,21/02/2014,1200,12.6,,22.4,,,,,,
83521,22/02/2014,0000,,,,2.2,2,,,0,
83521,22/02/2014,1200,20,,21.4,,,,,,
83521,24/02/2014,0000,,,,2.9,6,,,1.25,
83521,24/02/2014,1200,0,,21.6,,,,,,
