Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83395,01/01/2014,0000,,35.1,,10.7,4.2,27.18,55.75,0,
83395,01/01/2014,1200,0,,19.8,,,,,,
83395,02/01/2014,0000,,34.1,,10.6,4.3,26.06,56.5,1,
83395,02/01/2014,1200,0,,19.8,,,,,,
83395,03/01/2014,0000,,33.7,,10.2,5,26.74,51.25,1,
83395,03/01/2014,1200,0,,18.8,,,,,,
83395,04/01/2014,0000,,32.7,,10.7,4.3,25.14,57,1.666667,
83395,04/01/2014,1200,0,,17.2,,,,,,
83395,05/01/2014,0000,,33.3,,10.2,5.2,26.58,52.25,3,
83395,05/01/2014,1200,0,,19.2,,,,,,
83395,06/01/2014,0000,,33.1,,11,5.2,26.7,47.25,3,
83395,06/01/2014,1200,0,,20,,,,,,
83395,07/01/2014,0000,,33.1,,11,6.7,25.98,52.5,2.666667,
83395,07/01/2014,1200,0,,19.6,,,,,,
83395,08/01/2014,0000,,32.9,,10.3,5.7,26.46,53.75,2.666667,
83395,08/01/2014,1200,0,,20.2,,,,,,
83395,09/01/2014,0000,,33.1,,7.6,6,24.7,74,2.666667,
83395,09/01/2014,1200,0,,20.4,,,,,,
83395,10/01/2014,0000,,32.3,,10.7,4,25.26,62,1.333333,
83395,10/01/2014,1200,21,,20.4,,,,,,
83395,11/01/2014,0000,,32.7,,10.9,4.6,26.38,61.5,0,
83395,11/01/2014,1200,0,,21.4,,,,,,
83395,12/01/2014,0000,,33.3,,9.9,4.6,26.62,61,2,
83395,12/01/2014,1200,0,,19.4,,,,,,
83395,13/01/2014,0000,,32.5,,7.8,4.2,24.82,72.5,1.333333,
83395,13/01/2014,1200,0,,20.2,,,,,,
83395,14/01/2014,0000,,33.3,,10.5,3.1,26.82,54.75,2.666667,
83395,14/01/2014,1200,1,,19.6,,,,,,
83395,15/01/2014,0000,,33.7,,10,4.6,26.66,64.25,0.666667,
83395,15/01/2014,1200,0,,20.4,,,,,,
83395,16/01/2014,0000,,33.9,,10.4,4,26.3,64.5,0.666667,
83395,16/01/2014,1200,0,,20.2,,,,,,
83395,17/01/2014,0000,,33.1,,8.5,4.1,26.78,58.25,0.666667,
83395,17/01/2014,1200,0,,20.2,,,,,,
83395,18/01/2014,0000,,32.7,,5.5,4.4,25.02,70,0.666667,
83395,18/01/2014,1200,0,,19.6,,,,,,
83395,19/01/2014,0000,,31.3,,1.7,3.9,23.86,79.75,1.333333,
83395,19/01/2014,1200,1.4,,21,,,,,,
83395,20/01/2014,0000,,31.3,,1.5,2.5,25.42,73.25,1,
83395,20/01/2014,1200,7.9,,21,,,,,,
83395,21/01/2014,0000,,31.5,,5.1,2.5,26.86,64.5,1,
83395,21/01/2014,1200,0,,22.2,,,,,,
83395,22/01/2014,0000,,33,,8.9,3.5,27.08,56,0.666667,
83395,22/01/2014,1200,0,,21.6,,,,,,
83395,23/01/2014,0000,,35.7,,10.3,5.6,27.98,50.5,0.666667,
83395,23/01/2014,1200,0,,20.4,,,,,,
83395,24/01/2014,0000,,33.7,,8.7,5.6,27.34,49,2.666667,
83395,24/01/2014,1200,0,,22.4,,,,,,
83395,25/01/2014,0000,,33.1,,8.9,5.9,25.9,53.5,1,
83395,25/01/2014,1200,0,,18.6,,,,,,
83395,26/01/2014,0000,,33.7,,10.3,5.2,25.46,61.75,2.333333,
83395,26/01/2014,1200,0,,18.4,,,,,,
83395,27/01/2014,0000,,33.9,,10.6,5.3,26.66,47.5,1.666667,
83395,27/01/2014,1200,0,,18.2,,,,,,
83395,28/01/2014,0000,,33.1,,10.7,7,26.3,50.5,2.333333,
83395,28/01/2014,1200,0,,19.4,,,,,,
83395,29/01/2014,0000,,30.7,,4.4,6.7,25.82,60.25,1,
83395,29/01/2014,1200,0,,20.8,,,,,,
83395,30/01/2014,0000,,33.5,,10.7,4.6,26.06,55.75,3,
83395,30/01/2014,1200,0,,19.6,,,,,,
83395,31/01/2014,0000,,32.5,,8.8,6.3,25.58,50.5,1.333333,
83395,31/01/2014,1200,0,,21.6,,,,,,
83395,01/02/2014,0000,,33.1,,10.2,6.5,25.9,47,2,
83395,01/02/2014,1200,0,,19.8,,,,,,
83395,02/02/2014,0000,,34.5,,11,6.6,26.86,42,2,
83395,02/02/2014,1200,0,,18.8,,,,,,
83395,03/02/2014,0000,,33.5,,10.5,7.2,26.78,47,2.333333,
83395,03/02/2014,1200,0,,21.8,,,,,,
83395,04/02/2014,0000,,35.7,,10.5,7.4,27.9,48.25,3,
83395,04/02/2014,1200,0,,21.8,,,,,,
83395,05/02/2014,0000,,33.7,,6.3,7,26.62,55.25,2,
83395,05/02/2014,1200,0,,22.6,,,,,,
83395,06/02/2014,0000,,32.7,,10.2,5.5,26.26,53.75,2.666667,
83395,06/02/2014,1200,0,,21.4,,,,,,
83395,07/02/2014,0000,,33.9,,10.4,5.9,26.26,53.75,1.666667,
83395,07/02/2014,1200,0,,20.6,,,,,,
83395,08/02/2014,0000,,34.9,,10.7,5.9,27.34,43.25,2.666667,
83395,08/02/2014,1200,0,,20,,,,,,
83395,09/02/2014,0000,,33.3,,9.5,7.1,26.18,54,2,
83395,09/02/2014,1200,0,,21,,,,,,
83395,10/02/2014,0000,,34.7,,9.7,5.7,27.26,50,3.666667,
83395,10/02/2014,1200,0,,20.2,,,,,,
83395,11/02/2014,0000,,32.9,,8.5,6.7,27.22,52.25,3,
83395,11/02/2014,1200,0,,20.4,,,,,,
83395,12/02/2014,0000,,34.3,,7.5,5.7,26.82,52,1,
83395,12/02/2014,1200,0,,20.6,,,,,,
83395,13/02/2014,0000,,34.7,,10.3,5.5,26.18,54,1.333333,
83395,13/02/2014,1200,0,,20.8,,,,,,
83395,14/02/2014,0000,,33.9,,8.6,5.3,26.3,53.75,0.666667,
83395,14/02/2014,1200,0,,18.8,,,,,,
83395,15/02/2014,0000,,36.4,,10.6,5.2,27.8,50,1,
83395,15/02/2014,1200,0,,19.4,,,,,,
83395,16/02/2014,0000,,33.1,,7.3,6.5,27.06,52,1.333333,
83395,16/02/2014,1200,0,,19.2,,,,,,
83395,17/02/2014,0000,,33.1,,8.4,5.6,25.74,64,0,
83395,17/02/2014,1200,0,,21.4,,,,,,
83395,18/02/2014,0000,,35.1,,8.8,4.6,26.82,61.75,1.333333,
83395,18/02/2014,1200,0,,20.2,,,,,,
83395,19/02/2014,0000,,28.9,,1.8,4.3,23.42,85.5,1.333333,
83395,19/02/2014,1200,31.4,,21.2,,,,,,
83395,20/02/2014,0000,,32.1,,9.1,1.9,25.82,60.25,1.333333,
83395,20/02/2014,1200,0,,21.2,,,,,,
83395,21/02/2014,0000,,32.5,,10.5,4.2,25.26,65.25,2,
83395,21/02/2014,1200,0,,19,,,,,,
83395,22/02/2014,0000,,32.9,,9,4.7,25.9,63.25,2,
83395,22/02/2014,1200,0,,20.8,,,,,,
83395,23/02/2014,0000,,33.3,,10.5,5.2,27.54,56.5,2.666667,
83395,23/02/2014,1200,0,,22,,,,,,
83395,24/02/2014,0000,,34.1,,10.8,5.5,27.7,55,4,
83395,24/02/2014,1200,0,,22.2,,,,,,
83395,25/02/2014,0000,,34.3,,9.1,5.7,26.86,57.25,2.333333,
83395,25/02/2014,1200,0,,21.6,,,,,,
83395,26/02/2014,0000,,32.9,,10.4,5.8,25.58,59.25,3,
83395,26/02/2014,1200,0,,21.2,,,,,,
83395,27/02/2014,0000,,34.7,,10.5,6,26.78,54.5,1.333333,
83395,27/02/2014,1200,0,,21.4,,,,,,
83395,28/02/2014,0000,,33.9,,7.6,6.2,24.58,75,3.333333,
83395,28/02/2014,1200,0,,20,,,,,,
83395,01/03/2014,0000,,32.5,,9.8,3.2,25.5,67,1,
83395,01/03/2014,1200,18.1,,18.8,,,,,,
