Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83386,01/01/2014,0000,,33.9,,11.7,3.7,26.58,67.25,1.3,
83386,01/01/2014,1200,0,,20.1,,,,,,
83386,02/01/2014,0000,,33.4,,11.9,3.9,26.14,64.5,2.133333,
83386,02/01/2014,1200,0,,20.7,,,,,,
83386,03/01/2014,0000,,32.8,,11.7,4.9,25.1,64.5,1.333333,
83386,03/01/2014,1200,0,,17.8,,,,,,
83386,04/01/2014,0000,,32.9,,11.8,4.4,24.6,65.25,1.6,
83386,04/01/2014,1200,0,,18.2,,,,,,
83386,05/01/2014,0000,,33.2,,11.6,4.6,24.8,65.25,1.7,
83386,05/01/2014,1200,0,,17.2,,,,,,
83386,06/01/2014,0000,,32.3,,12,4.5,24.78,69.5,1.433333,
83386,06/01/2014,1200,0,,18.3,,,,,,
83386,07/01/2014,0000,,31.6,,11.6,4.5,23.78,63.5,1.833333,
83386,07/01/2014,1200,0,,17.5,,,,,,
83386,08/01/2014,0000,,31.3,,11.7,4.7,24.24,68.25,2.1,
83386,08/01/2014,1200,0,,18.7,,,,,,
83386,09/01/2014,0000,,31.6,,10.6,4.4,23.84,73.5,2.433333,
83386,09/01/2014,1200,0,,18.6,,,,,,
83386,10/01/2014,0000,,31.3,,11.3,3,24.34,71.5,2.533333,
83386,10/01/2014,1200,12.6,,20,,,,,,
83386,11/01/2014,0000,,31.5,,10.4,3.6,24.86,72.5,1.366667,
83386,11/01/2014,1200,0,,18.2,,,,,,
83386,12/01/2014,0000,,30.9,,10.5,3.6,25.12,72,2.066667,
83386,12/01/2014,1200,0,,20.3,,,,,,
83386,13/01/2014,0000,,31.8,,11.4,3.9,25.7,63.75,3.233333,
83386,13/01/2014,1200,0,,20.9,,,,,,
83386,14/01/2014,0000,,32.3,,12.1,4.4,25.44,64,2.9,
83386,14/01/2014,1200,0,,19.7,,,,,,
83386,15/01/2014,0000,,33.5,,9.1,4.5,25.84,68.75,0.9,
83386,15/01/2014,1200,0,,19.4,,,,,,
83386,16/01/2014,0000,,33.8,,8.6,3.5,26.18,71,1.566667,
83386,16/01/2014,1200,0,,19.6,,,,,,
83386,17/01/2014,0000,,33,,7.1,3.4,26.1,70.5,2.066667,
83386,17/01/2014,1200,0,,19.8,,,,,,
83386,18/01/2014,0000,,31.4,,3.9,3.8,25.44,77.5,0.266667,
83386,18/01/2014,1200,0,,21.2,,,,,,
83386,19/01/2014,0000,,31.6,,3.8,2.7,23.8,81.75,0.7,
83386,19/01/2014,1200,0.1,,20.1,,,,,,
83386,20/01/2014,0000,,29.4,,0.3,2.3,24.02,86.25,0.8,
83386,20/01/2014,1200,31.4,,19.3,,,,,,
83386,21/01/2014,0000,,31.2,,4.6,1.6,24.4,79,0.966667,
83386,21/01/2014,1200,0,,21,,,,,,
83386,22/01/2014,0000,,30.7,,4.1,2.6,24.7,78,0.633333,
83386,22/01/2014,1200,3.1,,20.9,,,,,,
83386,23/01/2014,0000,,32.3,,9.2,2.3,25.82,71.75,0.633333,
83386,23/01/2014,1200,0,,20.8,,,,,,
83386,24/01/2014,0000,,31.9,,9,3.4,25.4,70.5,1.3,
83386,24/01/2014,1200,0,,20.1,,,,,,
83386,25/01/2014,0000,,30.6,,5.3,3.9,24,66.75,1.033333,
83386,25/01/2014,1200,0,,18.2,,,,,,
83386,26/01/2014,0000,,31.9,,8.5,3,25.06,62.5,2.4,
83386,26/01/2014,1200,0,,17.6,,,,,,
83386,27/01/2014,0000,,32.3,,11.4,3.6,24.88,66.25,1.5,
83386,27/01/2014,1200,2.6,,19.7,,,,,,
83386,28/01/2014,0000,,31.8,,11.8,5.3,24.86,61,2.033333,
