Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83481,01/01/2014,0000,,30.4,,,5.6,26.06,73.75,1.166667,
83481,01/01/2014,1200,0.1,,21.5,,,,,,
83481,02/01/2014,0000,,33.8,,,6.8,27.18,68,0.5,
83481,02/01/2014,1200,15.4,,21.7,,,,,,
83481,03/01/2014,0000,,33.4,,,9.2,27.3,53.75,0.833333,
83481,03/01/2014,1200,1.6,,22.5,,,,,,
83481,04/01/2014,0000,,34.4,,,,27.26,47.75,1,
83481,04/01/2014,1200,0,,22.3,,,,,,
83481,05/01/2014,0000,,32.6,,,13,26.94,49.75,1.733333,
83481,05/01/2014,1200,0,,22.5,,,,,,
83481,06/01/2014,0000,,32.4,,,11.7,26.66,53.5,2.233333,
83481,06/01/2014,1200,0,,21.3,,,,,,
83481,07/01/2014,0000,,30.2,,,12,24.9,58.75,2.266667,
83481,07/01/2014,1200,0.3,,20.5,,,,,,
83481,08/01/2014,0000,,31.4,,,10.5,25.26,60.5,1.7,
83481,08/01/2014,1200,0,,19.5,,,,,,
83481,09/01/2014,0000,,30.8,,,10.6,25.06,69.25,1.866667,
83481,09/01/2014,1200,0,,20.5,,,,,,
83481,10/01/2014,0000,,31.4,,,7.9,25.06,64.75,2.066667,
83481,10/01/2014,1200,4.4,,19.9,,,,,,
83481,11/01/2014,0000,,31.6,,,7.6,25.58,64.5,1.533333,
83481,11/01/2014,1200,0,,20.5,,,,,,
83481,12/01/2014,0000,,32.6,,,10.2,26.46,58.75,0.866667,
83481,12/01/2014,1200,0.3,,21.1,,,,,,
83481,13/01/2014,0000,,32.2,,,2.5,26.94,57,0.666667,
83481,13/01/2014,1200,0,,21.5,,,,,,
83481,14/01/2014,0000,,32.8,,,12,26.74,56,1.2,
83481,14/01/2014,1200,0,,21.5,,,,,,
83481,15/01/2014,0000,,33.6,,,12.1,27.18,58.5,0.833333,
83481,15/01/2014,1200,0,,21.5,,,,,,
83481,16/01/2014,0000,,31.8,,,13,26.38,61,0.666667,
83481,16/01/2014,1200,0,,21.7,,,,,,
83481,17/01/2014,0000,,26.2,,,10.3,22.74,91.5,1.2,
83481,17/01/2014,1200,15.6,,20.1,,,,,,
83481,18/01/2014,0000,,25.4,,,2.1,22.46,86.75,0.5,
83481,18/01/2014,1200,5.6,,20.3,,,,,,
83481,19/01/2014,0000,,30,,,2.5,23.94,73.25,2.066667,
83481,19/01/2014,1200,3.4,,19.3,,,,,,
83481,20/01/2014,0000,,28.8,,,4.9,22.38,86.5,1.533333,
83481,20/01/2014,1200,1,,19.1,,,,,,
83481,21/01/2014,0000,,28.2,,,3,21.94,85.25,1.533333,
83481,21/01/2014,1200,50.4,,19.1,,,,,,
83481,22/01/2014,0000,,30.6,,,3.4,25.34,72.75,1.166667,
83481,22/01/2014,1200,2.6,,19.3,,,,,,
83481,23/01/2014,0000,,31.2,,,7.3,25.22,72,0.666667,
83481,23/01/2014,1200,1.7,,19.1,,,,,,
83481,24/01/2014,0000,,32.6,,,7.3,24.66,70.5,1.333333,
83481,24/01/2014,1200,11.1,,20.9,,,,,,
83481,25/01/2014,0000,,29.6,,,6.7,24.58,67.25,1.366667,
83481,25/01/2014,1200,0.6,,18.9,,,,,,
83481,26/01/2014,0000,,31.6,,,8.2,25.42,60.75,1.2,
83481,26/01/2014,1200,0,,20.5,,,,,,
83481,27/01/2014,0000,,28.8,,,9.6,23.3,82,1.6,
83481,27/01/2014,1200,0,,20.1,,,,,,
83481,28/01/2014,0000,,30.2,,,4.9,24.26,59.5,1.366667,
83481,28/01/2014,1200,17.5,,19.5,,,,,,
83481,29/01/2014,0000,,31.8,,,11.2,24.82,66.5,1,
83481,29/01/2014,1200,0,,19.1,,,,,,
83481,30/01/2014,0000,,31.6,,,10.2,24.9,62,1.533333,
83481,30/01/2014,1200,0,,21.3,,,,,,
83481,31/01/2014,0000,,30.4,,,10.2,24.74,54.75,2.233333,
83481,31/01/2014,1200,0,,20.3,,,,,,
83481,01/02/2014,0000,,30.4,,,10.7,24.62,56,1.166667,
83481,01/02/2014,1200,0,,20.3,,,,,,
83481,02/02/2014,0000,,31.2,,,12.5,25.5,54.75,1.733333,
83481,02/02/2014,1200,0,,20.3,,,,,,
83481,03/02/2014,0000,,32.4,,,11.8,25.74,56.75,1.566667,
83481,03/02/2014,1200,0,,,,,,,,
83481,04/02/2014,0000,,32.6,,,13.5,26.82,52.75,1.366667,
83481,04/02/2014,1200,0,,21.5,,,,,,
83481,05/02/2014,0000,,32.8,,,9,26.74,56.75,1.566667,
83481,05/02/2014,1200,0,,22.7,,,,,,
83481,06/02/2014,0000,,31.6,,,11.8,25.5,53.5,2.066667,
83481,06/02/2014,1200,0,,19.9,,,,,,
83481,07/02/2014,0000,,31.8,,,12.7,25.66,56.75,1.166667,
83481,07/02/2014,1200,0,,20.5,,,,,,
83481,08/02/2014,0000,,32.8,,,12.2,26.26,54.5,1.9,
83481,08/02/2014,1200,0,,21.1,,,,,,
83481,09/02/2014,0000,,33,,,12.8,26.3,53.25,1.033333,
83481,09/02/2014,1200,0,,21.3,,,,,,
83481,10/02/2014,0000,,30.2,,,12.1,25.42,60.5,1.7,
83481,10/02/2014,1200,0,,20.9,,,,,,
83481,11/02/2014,0000,,31.6,,,10.4,25.94,62,1.366667,
83481,11/02/2014,1200,0,,21.7,,,,,,
83481,12/02/2014,0000,,31,,,10.9,25.66,60.5,1.2,
83481,12/02/2014,1200,0,,21.1,,,,,,
83481,13/02/2014,0000,,33,,,9,25.98,63.75,1.166667,
83481,13/02/2014,1200,0,,21.5,,,,,,
83481,14/02/2014,0000,,29.2,,,8.7,24.38,75,1,
83481,14/02/2014,1200,22.5,,19.7,,,,,,
83481,15/02/2014,0000,,32.8,,,5.2,25.14,70.75,1.366667,
83481,15/02/2014,1200,0.2,,20.9,,,,,,
83481,16/02/2014,0000,,30.6,,,6.2,24.18,77,0.666667,
83481,16/02/2014,1200,8.8,,19.9,,,,,,
83481,17/02/2014,0000,,31.6,,,5.6,24.54,76.5,1.166667,
83481,17/02/2014,1200,0.2,,20.9,,,,,,
83481,18/02/2014,0000,,30,,,6.3,23.34,86,1.366667,
83481,18/02/2014,1200,1.3,,20.9,,,,,,
83481,19/02/2014,0000,,28.8,,,4.2,23.62,78.75,1.533333,
83481,19/02/2014,1200,6,,19.5,,,,,,
83481,20/02/2014,0000,,29,,,4,25.06,75.75,1.533333,
83481,20/02/2014,1200,4,,,,,,,,
83481,21/02/2014,0000,,31,,,7.2,25.46,64.25,1.533333,
83481,21/02/2014,1200,0,,21.3,,,,,,
83481,22/02/2014,0000,,30.8,,,8.7,25.06,68,1,
83481,22/02/2014,1200,0,,20.5,,,,,,
83481,23/02/2014,0000,,31.6,,,8,25.46,63.5,1.366667,
83481,23/02/2014,1200,0,,21.1,,,,,,
83481,24/02/2014,0000,,32.2,,,10,25.82,72.5,1.033333,
