Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83483,01/01/2014,0000,,33.9,,6.9,3.7,,,,
83483,01/01/2014,1200,,,27.3,,,,,,
83483,02/01/2014,0000,,34.7,,6.9,3,27.68,69.25,1.6,
83483,02/01/2014,1200,0,,,,,,,,
83483,03/01/2014,0000,,33.3,,11.5,4.7,26.88,62,1.6,
83483,03/01/2014,1200,0,,20.3,,,,,,
83483,04/01/2014,0000,,33.2,,11.6,5.2,27.06,64,1.633333,
83483,04/01/2014,1200,0,,,,,,,,
83483,05/01/2014,0000,,32.6,,11.3,4.9,,,,
83483,05/01/2014,1200,0,,19.5,,,,,,
83483,06/01/2014,0000,,33.3,,11.2,4.8,26.6,58.5,2.433333,
83483,06/01/2014,1200,0,,19.5,,,,,,
83483,07/01/2014,0000,,31.7,,11.6,5.6,26,54.5,2.566667,
83483,07/01/2014,1200,0,,20.9,,,,,,
83483,08/01/2014,0000,,32.1,,11.3,5.8,26.12,58.5,2.366667,
83483,08/01/2014,1200,0,,20.3,,,,,,
83483,09/01/2014,0000,,32.9,,10.6,4.9,25.36,69.25,2.133333,
83483,09/01/2014,1200,0,,20.8,,,,,,
83483,10/01/2014,0000,,32.3,,10.5,4.4,26.7,60.75,2.666667,
83483,10/01/2014,1200,3,,21.9,,,,,,
83483,11/01/2014,0000,,32.1,,8.4,4.5,26.32,66.25,2.1,
83483,11/01/2014,1200,0,,20.5,,,,,,
83483,12/01/2014,0000,,32.9,,11.5,4,,,,
83483,12/01/2014,1200,0,,20.4,,,,,,
83483,13/01/2014,0000,,33.9,,11.4,5.2,27.86,57.5,2.633333,
83483,13/01/2014,1200,0,,21.3,,,,,,
83483,14/01/2014,0000,,33.7,,11.4,5.8,27.4,57.75,2.233333,
83483,14/01/2014,1200,0,,22.7,,,,,,
83483,15/01/2014,0000,,34.2,,11.5,5.2,27.52,61.75,1.433333,
83483,15/01/2014,1200,0,,20.7,,,,,,
83483,16/01/2014,0000,,33.3,,8.6,5.2,27.96,67.5,1.266667,
83483,16/01/2014,1200,0,,22.3,,,,,,
83483,17/01/2014,0000,,30.1,,2.1,4.3,24.32,78.5,2.9,
83483,17/01/2014,1200,0,,21.7,,,,,,
83483,18/01/2014,0000,,27.5,,0.3,2.1,24.28,81.5,0.7,
83483,18/01/2014,1200,1.9,,20.5,,,,,,
83483,19/01/2014,0000,,29.9,,3.9,2.2,,,,
83483,19/01/2014,1200,0.2,,21.5,,,,,,
83483,20/01/2014,0000,,29.7,,4.3,1.9,23.72,88,1.4,
83483,20/01/2014,1200,10.5,,21.3,,,,,,
83483,21/01/2014,0000,,29.7,,4.8,1.5,24.08,88.75,1.233333,
83483,21/01/2014,1200,17.8,,20.7,,,,,,
83483,22/01/2014,0000,,32.5,,10.7,1.9,26.02,75.75,0.7,
83483,22/01/2014,1200,2.3,,20.1,,,,,,
83483,23/01/2014,0000,,33.5,,11,3.3,25.52,74.75,1.433333,
83483,23/01/2014,1200,0,,21.7,,,,,,
83483,24/01/2014,0000,,33.1,,10.8,4,26.76,71.25,1.833333,
83483,24/01/2014,1200,0.8,,20,,,,,,
83483,25/01/2014,0000,,30.7,,5.2,4.1,25.56,73.75,1.233333,
83483,25/01/2014,1200,0,,22.1,,,,,,
83483,26/01/2014,0000,,33.3,,11,3.6,,,,
83483,26/01/2014,1200,0,,19.9,,,,,,
83483,27/01/2014,0000,,32.5,,11.1,4.5,25.4,72.5,1.966667,
83483,27/01/2014,1200,3.6,,21.5,,,,,,
83483,28/01/2014,0000,,32.2,,11.6,4,26.02,52.75,3.7,
83483,28/01/2014,1200,0,,19.9,,,,,,
83483,29/01/2014,0000,,32.5,,11.1,6.1,26.1,60.5,2.6,
83483,29/01/2014,1200,0,,19.4,,,,,,
83483,30/01/2014,0000,,32.7,,10.1,4.9,26.82,61.25,3.1,
83483,30/01/2014,1200,0,,22.9,,,,,,
83483,31/01/2014,0000,,32.9,,11.4,6.2,26.72,57,2.3,
83483,31/01/2014,1200,0,,22.1,,,,,,
83483,01/02/2014,0000,,31.2,,7.2,6.1,,,2.6,
83483,01/02/2014,1200,0,,,,,,,,
83483,02/02/2014,0000,,33.5,,11.6,5.4,,,,
83483,02/02/2014,1200,,,18.5,,,,,,
83483,03/02/2014,0000,,34.1,,11.1,5.8,27.16,52.25,3.166667,
83483,03/02/2014,1200,0,,19.1,,,,,,
83483,04/02/2014,0000,,34.6,,11.8,6.7,27.08,59.5,2.3,
83483,04/02/2014,1200,0,,20,,,,,,
