Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83441,01/01/2014,0000,,34.1,,11.8,3.4,25.78,78.75,1.566667,
83441,01/01/2014,1200,0,,20,,,,,,
83441,02/01/2014,0000,,32,,12,4,24.4,73.75,0.566667,
83441,02/01/2014,1200,0,,18.2,,,,,,
83441,03/01/2014,0000,,30.7,,8.2,3.9,23.7,78.75,1.2,
83441,03/01/2014,1200,0,,18,,,,,,
83441,04/01/2014,0000,,31.9,,12,3.1,25.66,77,1.2,
83441,04/01/2014,1200,0,,18.8,,,,,,
83441,05/01/2014,0000,,31.9,,10.5,3.6,25.26,73.75,0.9,
83441,05/01/2014,1200,0,,19.8,,,,,,
83441,06/01/2014,0000,,31.7,,11.9,4,25.54,61.25,1.966667,
83441,06/01/2014,1200,0,,19.4,,,,,,
83441,07/01/2014,0000,,30.3,,11.4,4.6,24.3,67.5,1.333333,
83441,07/01/2014,1200,0,,17.2,,,,,,
83441,08/01/2014,0000,,31.5,,9.3,5,25.3,71.5,1.9,
83441,08/01/2014,1200,0,,21.6,,,,,,
83441,09/01/2014,0000,,29.3,,4.4,5,23.18,87.75,1.2,
83441,09/01/2014,1200,0,,19.8,,,,,,
83441,10/01/2014,0000,,30.2,,11.5,2,25.32,86.75,2.133333,
83441,10/01/2014,1200,15.3,,20,,,,,,
83441,11/01/2014,0000,,30.7,,4.8,4,25.78,77.75,1.533333,
83441,11/01/2014,1200,0,,22.6,,,,,,
83441,12/01/2014,0000,,30.4,,6.5,3.4,24.94,83.75,0.8,
83441,12/01/2014,1200,0,,20,,,,,,
83441,13/01/2014,0000,,27.7,,4.9,3.2,23.98,90,0.533333,
83441,13/01/2014,1200,0.2,,21,,,,,,
83441,14/01/2014,0000,,31.4,,9.8,1.6,25.16,74.75,1.033333,
83441,14/01/2014,1200,3.6,,19.4,,,,,,
83441,15/01/2014,0000,,31.7,,3.9,3.7,25.98,78.5,1.333333,
83441,15/01/2014,1200,0,,22.2,,,,,,
83441,16/01/2014,0000,,32.4,,7.4,3.1,26.3,81.25,1.2,
83441,16/01/2014,1200,0,,22.3,,,,,,
83441,17/01/2014,0000,,32.1,,9.4,3.2,25.54,78.25,1.166667,
83441,17/01/2014,1200,0,,21.2,,,,,,
83441,18/01/2014,0000,,31.4,,5.6,3.2,24.76,78.5,1.233333,
83441,18/01/2014,1200,0,,18.2,,,,,,
83441,19/01/2014,0000,,29.3,,1.7,3.7,24.06,87.5,2.533333,
83441,19/01/2014,1200,0,,22.2,,,,,,
83441,20/01/2014,0000,,29.8,,0.8,2,25.24,81.75,0.833333,
83441,20/01/2014,1200,1.7,,21.6,,,,,,
83441,21/01/2014,0000,,30.9,,4.2,2.3,26.26,77,1.433333,
83441,21/01/2014,1200,0.2,,22.8,,,,,,
83441,22/01/2014,0000,,32.6,,10.4,3.3,26.76,72.75,1.533333,
83441,22/01/2014,1200,0,,22,,,,,,
83441,23/01/2014,0000,,33.9,,11.4,4.4,26.66,65.25,1.166667,
83441,23/01/2014,1200,0,,19.8,,,,,,
83441,24/01/2014,0000,,31.1,,8.5,5.8,24.82,75,1,
83441,24/01/2014,1200,0,,21.6,,,,,,
83441,25/01/2014,0000,,30.9,,8.3,3.5,23.82,80,0.533333,
83441,25/01/2014,1200,0,,16.8,,,,,,
83441,26/01/2014,0000,,32.9,,8,3.4,25.06,78.5,1.333333,
83441,26/01/2014,1200,0,,19.6,,,,,,
83441,27/01/2014,0000,,32.1,,11.5,3.3,24.82,71,1.866667,
83441,27/01/2014,1200,4.8,,18,,,,,,
83441,28/01/2014,0000,,30.7,,8.5,5.5,24.9,66.75,2.033333,
83441,28/01/2014,1200,0,,18.6,,,,,,
83441,29/01/2014,0000,,31.3,,6.3,4.9,24.82,71,2.5,
83441,29/01/2014,1200,0,,17.6,,,,,,
83441,30/01/2014,0000,,31.1,,8.9,4.2,25.38,67.75,2.033333,
83441,30/01/2014,1200,0,,21,,,,,,
83441,31/01/2014,0000,,31.3,,9,5.1,25.34,62.75,2.033333,
83441,31/01/2014,1200,0.5,,20,,,,,,
83441,01/02/2014,0000,,31.4,,7,5.3,24.32,71.5,2.133333,
83441,01/02/2014,1200,0,,17.4,,,,,,
83441,02/02/2014,0000,,33.5,,11.9,4.8,25.18,60,2.366667,
83441,02/02/2014,1200,0,,15,,,,,,
83441,03/02/2014,0000,,32.5,,11.9,7.2,26.18,64.5,2.066667,
83441,03/02/2014,1200,0,,20.2,,,,,,
83441,04/02/2014,0000,,32.7,,11.4,6.6,25.94,65,1.566667,
83441,04/02/2014,1200,0,,18,,,,,,
83441,05/02/2014,0000,,31.6,,5.3,5.8,25.12,78.5,2.2,
83441,05/02/2014,1200,0,,21.8,,,,,,
83441,06/02/2014,0000,,31.7,,7.5,4,24.82,72.5,1.366667,
83441,06/02/2014,1200,0.8,,18.6,,,,,,
83441,07/02/2014,0000,,31.6,,8.7,5,24.44,72.75,1.4,
83441,07/02/2014,1200,0,,18.4,,,,,,
83441,08/02/2014,0000,,33.1,,11.4,4.7,26.26,56.25,2.166667,
83441,08/02/2014,1200,0,,18.8,,,,,,
83441,09/02/2014,0000,,32.4,,8.5,6,25.56,67,1.633333,
83441,09/02/2014,1200,0,,20,,,,,,
83441,10/02/2014,0000,,33.3,,7.5,5.2,26.54,66.25,1.433333,
83441,10/02/2014,1200,0,,20.8,,,,,,
83441,11/02/2014,0000,,31.2,,5.4,6,26.2,63.5,1.5,
83441,11/02/2014,1200,0,,22,,,,,,
83441,12/02/2014,0000,,33.3,,9.2,4.7,26.18,63,1.2,
83441,12/02/2014,1200,0.2,,19.2,,,,,,
83441,13/02/2014,0000,,33.7,,8.5,5.7,25.46,67,1.3,
83441,13/02/2014,1200,0,,18,,,,,,
83441,14/02/2014,0000,,33.1,,7.6,5,25.3,70.75,1.533333,
83441,14/02/2014,1200,0,,19,,,,,,
83441,15/02/2014,0000,,33.9,,8.7,4.2,26.22,62.75,1.133333,
83441,15/02/2014,1200,0,,19.8,,,,,,
83441,16/02/2014,0000,,33.3,,7.8,5.8,26.86,64,1.5,
83441,16/02/2014,1200,0,,20,,,,,,
83441,17/02/2014,0000,,34.8,,8,5,26.92,64,1.866667,
83441,17/02/2014,1200,0,,19,,,,,,
83441,18/02/2014,0000,,33.1,,8.8,5.8,27.42,60.5,1.366667,
83441,18/02/2014,1200,0,,20,,,,,,
83441,19/02/2014,0000,,30.6,,2.4,5.2,24.92,81.75,1.333333,
83441,19/02/2014,1200,10.6,,21.2,,,,,,
