Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83586,01/01/2014,0000,,33.6,,7.8,1.5,25.54,73.5,0.833333,
83586,01/01/2014,1200,1.7,,18.3,,,,,,
83586,02/01/2014,0000,,33.6,,11,2.6,26.18,61.25,0.833333,
83586,02/01/2014,1200,0,,19.7,,,,,,
83586,03/01/2014,0000,,33.1,,11.2,4.1,25.22,50.75,1.033333,
83586,03/01/2014,1200,0,,16.5,,,,,,
83586,04/01/2014,0000,,33,,11.1,4.4,24.68,50.5,0.833333,
83586,04/01/2014,1200,0,,16.1,,,,,,
83586,05/01/2014,0000,,31.9,,11.4,5.4,23.88,55.5,1.533333,
83586,05/01/2014,1200,0,,16.5,,,,,,
83586,06/01/2014,0000,,30.8,,11.3,4.4,23.8,56.5,2.066667,
83586,06/01/2014,1200,0,,16,,,,,,
83586,07/01/2014,0000,,29.3,,11.2,4.4,22.34,59,3.566667,
83586,07/01/2014,1200,0,,16.1,,,,,,
83586,08/01/2014,0000,,30.6,,11.1,4.3,23.2,57.75,1.533333,
83586,08/01/2014,1200,0,,16.1,,,,,,
83586,09/01/2014,0000,,30.8,,9,4.2,22.92,68.75,1.9,
83586,09/01/2014,1200,0,,16.3,,,,,,
83586,10/01/2014,0000,,31,,7.5,3.4,24,67,0.833333,
83586,10/01/2014,1200,0,,16.3,,,,,,
83586,11/01/2014,0000,,31.4,,11,3.1,24.38,61,2.4,
83586,11/01/2014,1200,0,,17.2,,,,,,
83586,12/01/2014,0000,,31.6,,11.5,3.6,24.24,59.25,1.533333,
83586,12/01/2014,1200,0,,16.8,,,,,,
83586,13/01/2014,0000,,32,,11.5,5.7,24.8,56.5,2.566667,
83586,13/01/2014,1200,0,,18.1,,,,,,
83586,14/01/2014,0000,,31.6,,11.4,4.9,24.44,56.5,2.066667,
83586,14/01/2014,1200,0,,17.8,,,,,,
83586,15/01/2014,0000,,33,,11.5,4,24.4,52,1.533333,
83586,15/01/2014,1200,0,,15.5,,,,,,
83586,16/01/2014,0000,,33.6,,10.8,5.1,25,59,1.333333,
83586,16/01/2014,1200,0,,17.1,,,,,,
83586,17/01/2014,0000,,31.6,,5.6,4.1,23.46,75.25,1.866667,
83586,17/01/2014,1200,0,,18.2,,,,,,
83586,18/01/2014,0000,,27.6,,0.9,2.3,21.04,90.25,0.833333,
83586,18/01/2014,1200,3.4,,17.4,,,,,,
83586,19/01/2014,0000,,29.7,,5.9,1.1,22.48,75.25,0.5,
83586,19/01/2014,1200,38.8,,17,,,,,,
83586,20/01/2014,0000,,30.6,,7,1.9,22.72,87,2.9,
83586,20/01/2014,1200,0,,16.2,,,,,,
83586,21/01/2014,0000,,30,,3.6,1.6,22.82,74.75,0.833333,
83586,21/01/2014,1200,13.5,,17.3,,,,,,
83586,22/01/2014,0000,,32.4,,8.1,2,23.82,69.75,0.833333,
83586,22/01/2014,1200,2,,17,,,,,,
83586,23/01/2014,0000,,31.8,,8.2,2.9,24.18,73,1.166667,
83586,23/01/2014,1200,0,,16.7,,,,,,
83586,24/01/2014,0000,,32.4,,10.7,2.1,25.18,63.25,1.166667,
83586,24/01/2014,1200,0,,18.3,,,,,,
83586,25/01/2014,0000,,32.4,,10.5,3.5,24.46,61,1.533333,
83586,25/01/2014,1200,0,,17.4,,,,,,
83586,26/01/2014,0000,,31.6,,8.1,3.7,23.86,61.25,0.333333,
83586,26/01/2014,1200,0,,15.1,,,,,,
83586,27/01/2014,0000,,31,,9.4,3.5,23.72,63.75,1.366667,
83586,27/01/2014,1200,0,,17.3,,,,,,
83586,28/01/2014,0000,,30.9,,11.3,3.3,22.7,56.75,1.366667,
83586,28/01/2014,1200,0,,16,,,,,,
83586,29/01/2014,0000,,30,,10.2,4.5,22.5,64.75,3.266667,
83586,29/01/2014,1200,0,,15,,,,,,
83586,30/01/2014,0000,,30.8,,10.6,4,23.34,59.75,1.533333,
83586,30/01/2014,1200,0,,16.3,,,,,,
83586,31/01/2014,0000,,31.8,,11.2,3.8,23.4,54.25,1.533333,
83586,31/01/2014,1200,0,,15.9,,,,,,
83586,01/02/2014,0000,,30.6,,11.2,4.7,,60.5,1.566667,
83586,01/02/2014,1200,0,,,,,,,,
83586,02/02/2014,0000,,31.6,,11.3,3.9,,54.75,2.033333,
83586,02/02/2014,1200,0,,,,,,,,
83586,03/02/2014,0000,,31.4,,11.4,5.3,,54.75,3.066667,
83586,03/02/2014,1200,0,,,,,,,,
83586,04/02/2014,0000,,33,,11.4,4.8,,52.5,1.566667,
83586,04/02/2014,1200,0,,,,,,,,
83586,05/02/2014,0000,,31.4,,11.4,5.1,,56.75,1.866667,
83586,05/02/2014,1200,0,,,,,,,,
83586,06/02/2014,0000,,30.8,,11.2,4.9,,60.5,2.066667,
83586,06/02/2014,1200,0,,,,,,,,
83586,07/02/2014,0000,,31.2,,11.7,4.6,,57,2.4,
83586,07/02/2014,1200,0,,,,,,,,
83586,08/02/2014,0000,,31.9,,11.7,5.6,,52.75,1.866667,
83586,08/02/2014,1200,0,,,,,,,,
83586,09/02/2014,0000,,32,,11.4,5.1,,56,1.533333,
83586,09/02/2014,1200,0,,,,,,,,
83586,10/02/2014,0000,,31.6,,10.2,4.5,,65.5,2.733333,
83586,10/02/2014,1200,0,,,,,,,,
83586,11/02/2014,0000,,29.8,,5.3,4.4,,62.75,2.033333,
83586,11/02/2014,1200,0,,,,,,,,
83586,12/02/2014,0000,,31.4,,7.2,4.1,,59,1.7,
83586,12/02/2014,1200,0,,,,,,,,
83586,13/02/2014,0000,,32.6,,9.3,3.5,,53,1.2,
83586,13/02/2014,1200,0,,,,,,,,
83586,14/02/2014,0000,,34.8,,8,4.7,,63.25,1.366667,
83586,14/02/2014,1200,0,,,,,,,,
83586,15/02/2014,0000,,33.2,,9.1,3.9,,53,2.4,
83586,15/02/2014,1200,0,,,,,,,,
83586,16/02/2014,0000,,29.7,,2.4,5,,64.5,1.366667,
83586,16/02/2014,1200,0,,,,,,,,
83586,17/02/2014,0000,,29.6,,1,3.7,,73.75,1.9,
83586,17/02/2014,1200,0,,,,,,,,
83586,18/02/2014,0000,,30.6,,0.8,2.8,,70.25,0.333333,
83586,18/02/2014,1200,0,,,,,,,,
83586,19/02/2014,0000,,30.7,,6.4,2.6,,64,1.866667,
83586,19/02/2014,1200,0.4,,,,,,,,
83586,20/02/2014,0000,,32.1,,9.6,3.4,,57.5,1.2,
83586,20/02/2014,1200,0,,,,,,,,
83586,21/02/2014,0000,,32.4,,10.4,4.7,,55.5,2.233333,
83586,21/02/2014,1200,0,,,,,,,,
83586,22/02/2014,0000,,31.2,,7.4,5,,58,3.266667,
83586,22/02/2014,1200,0,,,,,,,,
83586,23/02/2014,0000,,33,,10.5,4.8,,55.75,3.1,
83586,23/02/2014,1200,0,,,,,,,,
83586,24/02/2014,0000,,33,,8.9,5.4,,56.5,3.1,
83586,24/02/2014,1200,0,,,,,,,,
83586,25/02/2014,0000,,33.2,,9.7,5.1,,57.5,2.233333,
83586,25/02/2014,1200,0,,,,,,,,
83586,26/02/2014,0000,,33.4,,10.7,4.3,,56,2.233333,
83586,26/02/2014,1200,0,,,,,,,,
83586,27/02/2014,0000,,34.1,,10,5.9,,56.25,0.5,
83586,27/02/2014,1200,0,,,,,,,,
83586,28/02/2014,0000,,35,,8.7,4.4,,64.5,1.7,
83586,28/02/2014,1200,0,,,,,,,,
83586,01/03/2014,0000,,30.4,,4.8,4.1,,82.5,0.666667,
83586,01/03/2014,1200,0,,,,,,,,
83586,02/03/2014,0000,,31.1,,7,2,,75,0.866667,
83586,02/03/2014,1200,7.4,,,,,,,,
83586,03/03/2014,0000,,30.2,,3.7,3,,70,0.333333,
83586,03/03/2014,1200,0.2,,,,,,,,
83586,04/03/2014,0000,,31,,9.7,3.4,,59.25,2.233333,
83586,04/03/2014,1200,0,,,,,,,,
83586,05/03/2014,0000,,31.7,,7.6,3.5,,60.75,2.4,
83586,05/03/2014,1200,0,,,,,,,,
83586,06/03/2014,0000,,29.6,,1.8,2.8,,66,1.033333,
83586,06/03/2014,1200,0,,,,,,,,
83586,07/03/2014,0000,,27.2,,0.2,2.3,,85,0.833333,
83586,07/03/2014,1200,25.9,,,,,,,,
83586,08/03/2014,0000,,26.4,,0,1.4,,89.75,0,
83586,08/03/2014,1200,1.2,,,,,,,,
83586,09/03/2014,0000,,30,,5.3,0.9,,81,1,
83586,09/03/2014,1200,3.1,,,,,,,,
83586,10/03/2014,0000,,31.7,,7.6,1.7,,71,1,
83586,10/03/2014,1200,2.7,,,,,,,,
