Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83577,01/01/2014,0000,,30.3,,5.3,1.7,25.14,81.25,0,
83577,01/01/2014,1200,8.9,,20.6,,,,,,
83577,02/01/2014,0000,,33.9,,9.7,2.3,25.7,69.75,1,
83577,02/01/2014,1200,1,,19.8,,,,,,
83577,03/01/2014,0000,,34.9,,9.8,4.5,26.54,71.75,0,
83577,03/01/2014,1200,0,,21,,,,,,
83577,04/01/2014,0000,,34.9,,9.3,3.8,25.98,64.5,0.666667,
83577,04/01/2014,1200,18.2,,19.4,,,,,,
83577,05/01/2014,0000,,34.9,,10.1,4.6,25.66,57.5,0.666667,
83577,05/01/2014,1200,0,,17.6,,,,,,
83577,06/01/2014,0000,,32.7,,10.4,7,26.42,52.25,2.666667,
83577,06/01/2014,1200,0,,18.8,,,,,,
83577,07/01/2014,0000,,33.1,,8,8.4,25.86,59.25,1.333333,
83577,07/01/2014,1200,0,,20.8,,,,,,
83577,08/01/2014,0000,,32.3,,10.5,5.9,25.78,57.25,1.333333,
83577,08/01/2014,1200,0,,19.6,,,,,,
83577,09/01/2014,0000,,33.3,,10.1,6.1,26.1,51.5,0.666667,
83577,09/01/2014,1200,0,,19.6,,,,,,
83577,10/01/2014,0000,,32.5,,8.5,6.2,23.9,67,2.333333,
83577,10/01/2014,1200,0.9,,18.6,,,,,,
83577,11/01/2014,0000,,32.7,,10.7,4.2,25.9,63.25,1.333333,
83577,11/01/2014,1200,7.3,,18.4,,,,,,
83577,12/01/2014,0000,,32.9,,9.1,5.2,24.66,71.25,2.666667,
83577,12/01/2014,1200,0,,20,,,,,,
83577,13/01/2014,0000,,31.3,,6.9,4.3,24.54,74.5,0.666667,
83577,13/01/2014,1200,6.7,,19.2,,,,,,
83577,14/01/2014,0000,,33.7,,9,3.1,24.9,71.75,1.333333,
83577,14/01/2014,1200,0.2,,20,,,,,,
83577,15/01/2014,0000,,32.7,,10,4.4,23.58,73.75,1.666667,
83577,15/01/2014,1200,9.4,,19,,,,,,
83577,16/01/2014,0000,,31.5,,6.4,3.8,24.42,66.5,0,
83577,16/01/2014,1200,10.4,,19,,,,,,
83577,17/01/2014,0000,,29.9,,4.5,4,23.66,75.25,0.733333,
83577,17/01/2014,1200,0,,20,,,,,,
83577,18/01/2014,0000,,30.7,,6.9,2.4,22.7,76.5,2.333333,
83577,18/01/2014,1200,0,,19.8,,,,,,
83577,19/01/2014,0000,,30.1,,9.4,2.7,23.42,74.25,0.333333,
83577,19/01/2014,1200,4.7,,18.6,,,,,,
83577,20/01/2014,0000,,32.3,,11.2,3.5,23.5,74.5,1.666667,
83577,20/01/2014,1200,0,,18.4,,,,,,
83577,21/01/2014,0000,,30.9,,9.5,4.4,23.74,75,1.333333,
83577,21/01/2014,1200,1.2,,18.6,,,,,,
83577,22/01/2014,0000,,31.5,,10.4,3.5,25.22,66,1.666667,
83577,22/01/2014,1200,10,,20,,,,,,
83577,23/01/2014,0000,,31.5,,6.1,3.7,23.62,81,0,
83577,23/01/2014,1200,18.2,,20.2,,,,,,
83577,24/01/2014,0000,,30.9,,6.2,2.8,23.06,83.75,2.333333,
83577,24/01/2014,1200,31.3,,19.2,,,,,,
83577,25/01/2014,0000,,31.3,,6.5,2.1,23.26,72,0.666667,
83577,25/01/2014,1200,28,,18,,,,,,
83577,26/01/2014,0000,,31.7,,11.2,3.6,24.62,64,1.333333,
83577,26/01/2014,1200,0,,18.6,,,,,,
83577,27/01/2014,0000,,31.7,,7.9,5.9,22.86,72.75,3,
83577,27/01/2014,1200,0,,18.8,,,,,,
83577,28/01/2014,0000,,30.9,,10.7,3.2,24.62,47,3,
83577,28/01/2014,1200,21.6,,16.8,,,,,,
83577,29/01/2014,0000,,31.3,,11.3,7,24.58,53.5,2,
83577,29/01/2014,1200,0,,16.4,,,,,,
83577,30/01/2014,0000,,32.5,,11.1,5.1,25.34,60.75,1.666667,
83577,30/01/2014,1200,0,,19,,,,,,
83577,31/01/2014,0000,,32.5,,10.4,5.1,26.18,46,3.333333,
83577,31/01/2014,1200,0,,20.2,,,,,,
83577,01/02/2014,0000,,31.5,,10.9,8.2,24.58,52,2.666667,
83577,01/02/2014,1200,0,,17.4,,,,,,
83577,02/02/2014,0000,,31.5,,10.9,8,24.98,47.5,2.666667,
83577,02/02/2014,1200,0,,17.6,,,,,,
83577,03/02/2014,0000,,32.3,,10.5,6,24.5,55.75,2.666667,
83577,03/02/2014,1200,0,,16.8,,,,,,
83577,04/02/2014,0000,,32.9,,10.2,6.4,25.1,57.25,2,
83577,04/02/2014,1200,0,,19.6,,,,,,
83577,05/02/2014,0000,,34.3,,9.3,6.2,25.3,56.25,2,
83577,05/02/2014,1200,0,,16,,,,,,
83577,06/02/2014,0000,,32.7,,11.3,6.7,26.66,39.75,4.666667,
83577,06/02/2014,1200,0,,20.6,,,,,,
83577,07/02/2014,0000,,33.1,,11.1,7.5,25.66,52.75,2.666667,
83577,07/02/2014,1200,0,,18,,,,,,
83577,08/02/2014,0000,,33.7,,10.1,6.6,25.26,54,1,
83577,08/02/2014,1200,0,,20.4,,,,,,
83577,09/02/2014,0000,,33.5,,10.8,6.3,25.58,50.75,2.333333,
83577,09/02/2014,1200,0,,18.2,,,,,,
83577,10/02/2014,0000,,33.5,,7.7,6,25.14,58.75,0,
83577,10/02/2014,1200,0,,18.4,,,,,,
83577,11/02/2014,0000,,33.7,,8.2,5.2,25.74,53.25,2.333333,
83577,11/02/2014,1200,0,,20,,,,,,
83577,12/02/2014,0000,,33.1,,9.9,7.5,25.58,54.75,1,
83577,12/02/2014,1200,0,,18.6,,,,,,
83577,13/02/2014,0000,,32.7,,7.4,5.5,23.98,73.25,1.333333,
83577,13/02/2014,1200,0,,19.4,,,,,,
83577,14/02/2014,0000,,30.5,,5.2,2.6,23.46,85.25,0,
83577,14/02/2014,1200,20,,19.4,,,,,,
83577,15/02/2014,0000,,28.5,,2.7,2,22.94,91.5,0.333333,
83577,15/02/2014,1200,2.2,,21,,,,,,
83577,16/02/2014,0000,,30.3,,4.7,1.1,24.3,76.25,0.666667,
83577,16/02/2014,1200,8.1,,19.6,,,,,,
83577,17/02/2014,0000,,30.5,,6.6,3,23.78,75.5,1.666667,
