Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83428,01/01/2014,0000,,34.3,,,1.6,28,64,2,
83428,01/01/2014,1200,0.8,,21.9,,,,,,
83428,02/01/2014,0000,,33.5,,,4.6,27.88,67,1.333333,
83428,02/01/2014,1200,0,,22.5,,,,,,
83428,03/01/2014,0000,,34.3,,,4.1,28.12,50.25,2,
83428,03/01/2014,1200,0,,21.5,,,,,,
83428,04/01/2014,0000,,34.7,,,6.5,27.72,50.5,1.666667,
83428,04/01/2014,1200,0,,20.5,,,,,,
83428,05/01/2014,0000,,34.1,,,5.4,27.32,49.75,1.333333,
83428,05/01/2014,1200,0,,19.9,,,,,,
83428,06/01/2014,0000,,33.9,,,6.9,27.24,47.75,2.666667,
83428,06/01/2014,1200,0,,18.9,,,,,,
83428,07/01/2014,0000,,33.1,,,6.7,27.24,51.75,1.333333,
83428,07/01/2014,1200,0,,20.9,,,,,,
83428,08/01/2014,0000,,32.9,,,6.4,26.64,52,1.666667,
83428,08/01/2014,1200,0,,19.3,,,,,,
83428,09/01/2014,0000,,33.3,,,5.9,27.04,52,2.333333,
83428,09/01/2014,1200,0,,20.1,,,,,,
83428,10/01/2014,0000,,32.9,,,6.5,26.36,66.25,3,
83428,10/01/2014,1200,0,,21.5,,,,,,
83428,11/01/2014,0000,,33.3,,,4.4,27.4,52.5,2.333333,
83428,11/01/2014,1200,0,,20.5,,,,,,
83428,12/01/2014,0000,,33.3,,,5.7,27.08,61.25,2,
83428,12/01/2014,1200,0,,21.7,,,,,,
83428,13/01/2014,0000,,34.9,,,5,28.2,53.5,1.333333,
83428,13/01/2014,1200,0,,20.9,,,,,,
83428,14/01/2014,0000,,34.3,,,5.9,28.16,52.5,1.666667,
83428,14/01/2014,1200,0,,21.7,,,,,,
83428,15/01/2014,0000,,35.1,,,6.6,28.56,50,1.333333,
83428,15/01/2014,1200,0,,20.9,,,,,,
83428,16/01/2014,0000,,33.9,,,6.8,27.2,63.5,2.666667,
83428,16/01/2014,1200,0,,21.9,,,,,,
83428,17/01/2014,0000,,28.5,,,5,25.16,75,3.333333,
83428,17/01/2014,1200,0,,22.5,,,,,,
83428,18/01/2014,0000,,27.1,,,2.6,22.92,83.5,1.333333,
83428,18/01/2014,1200,7.4,,20.7,,,,,,
83428,19/01/2014,0000,,29.5,,,1.5,23.76,89,2,
83428,19/01/2014,1200,1.1,,20.7,,,,,,
83428,20/01/2014,0000,,28.9,,,1.8,23.72,88,2,
83428,20/01/2014,1200,5.8,,20.5,,,,,,
83428,21/01/2014,0000,,29.3,,,1.4,23.52,82.25,0.666667,
83428,21/01/2014,1200,2.3,,20.9,,,,,,
83428,22/01/2014,0000,,30.1,,,2.2,25.56,74,2,
83428,22/01/2014,1200,0.1,,20.5,,,,,,
83428,23/01/2014,0000,,32.7,,,3.5,25.68,66.5,1.666667,
83428,23/01/2014,1200,0,,20.3,,,,,,
83428,24/01/2014,0000,,31.7,,,4.1,24.56,81.25,1.666667,
83428,24/01/2014,1200,0,,21.5,,,,,,
83428,25/01/2014,0000,,32.5,,,2.4,25.6,61.5,1.666667,
83428,25/01/2014,1200,4.6,,19.5,,,,,,
83428,26/01/2014,0000,,33.3,,,4.2,26.24,58,2.666667,
83428,26/01/2014,1200,0,,18.7,,,,,,
83428,27/01/2014,0000,,30.3,,,4.8,22.92,78,1.333333,
83428,27/01/2014,1200,24,,17.9,,,,,,
83428,28/01/2014,0000,,30.9,,,3.4,25.64,59.5,1.666667,
83428,28/01/2014,1200,0.3,,19.9,,,,,,
83428,29/01/2014,0000,,31.9,,,5,26,55.5,3,
83428,29/01/2014,1200,0,,19.1,,,,,,
83428,30/01/2014,0000,,32.8,,,5.9,26.94,56.25,2,
83428,30/01/2014,1200,0,,21.7,,,,,,
83428,31/01/2014,0000,,32.3,,,5.6,26.64,55,1.666667,
