Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83565,01/01/2014,0000,,33.6,,6.8,1.3,26.82,72,0.666667,
83565,01/01/2014,1200,4.4,,21.9,,,,,,
83565,02/01/2014,0000,,33.6,,7.5,5.3,26.54,76.5,2.333333,
83565,02/01/2014,1200,0,,22.1,,,,,,
83565,03/01/2014,0000,,35.8,,11.1,3.3,29.38,59,0.666667,
83565,03/01/2014,1200,7.6,,22.3,,,,,,
83565,04/01/2014,0000,,35,,8.3,6,28.14,65,1.666667,
83565,04/01/2014,1200,0,,21.9,,,,,,
83565,05/01/2014,0000,,33.6,,10.1,5.3,27.66,62.25,1,
83565,05/01/2014,1200,0,,22.1,,,,,,
83565,06/01/2014,0000,,35.2,,10.9,5.5,28.34,54.75,0.333333,
83565,06/01/2014,1200,1.2,,20.7,,,,,,
83565,07/01/2014,0000,,34,,5.1,6.7,25.98,80.25,0.666667,
83565,07/01/2014,1200,0,,21.3,,,,,,
83565,08/01/2014,0000,,32.6,,10,4.5,26.66,60,1.333333,
83565,08/01/2014,1200,42.2,,21.3,,,,,,
83565,09/01/2014,0000,,33,,11.4,5.5,27.34,60.25,1.333333,
83565,09/01/2014,1200,0,,21.3,,,,,,
83565,10/01/2014,0000,,34.8,,12.2,6.5,28.3,51.75,2.333333,
83565,10/01/2014,1200,0,,23.3,,,,,,
83565,11/01/2014,0000,,33.8,,8.5,7.4,27.54,59.75,1,
83565,11/01/2014,1200,0,,22.1,,,,,,
83565,12/01/2014,0000,,31.4,,4.9,6.2,25.18,80.75,1,
83565,12/01/2014,1200,0,,22.1,,,,,,
83565,13/01/2014,0000,,30.4,,3,2.9,23.86,75.75,1,
83565,13/01/2014,1200,20,,20.9,,,,,,
83565,14/01/2014,0000,,30.6,,7.5,3.2,23.18,82,1.333333,
83565,14/01/2014,1200,6.6,,19.9,,,,,,
83565,15/01/2014,0000,,32.2,,6.5,2.7,25.56,69.25,0.666667,
83565,15/01/2014,1200,11.4,,20.1,,,,,,
83565,16/01/2014,0000,,31.2,,5.4,4.2,25.02,76.75,1.333333,
83565,16/01/2014,1200,0,,21.3,,,,,,
83565,17/01/2014,0000,,33.4,,7.9,3.1,25.14,78.5,1.666667,
83565,17/01/2014,1200,7.2,,21.7,,,,,,
83565,18/01/2014,0000,,32,,9.2,3.7,26.62,68.25,0.666667,
83565,18/01/2014,1200,1.4,,21.5,,,,,,
83565,19/01/2014,0000,,32.8,,9.1,3.8,27.62,65.5,0.666667,
83565,19/01/2014,1200,0,,22.5,,,,,,
83565,20/01/2014,0000,,33,,11.6,4.9,27.98,62.25,0.666667,
83565,20/01/2014,1200,0,,22.5,,,,,,
83565,21/01/2014,0000,,32.4,,10,5.6,26.18,84.25,1.666667,
83565,21/01/2014,1200,3.8,,21.9,,,,,,
83565,22/01/2014,0000,,32.4,,7.8,3.1,26.46,73.25,1.333333,
83565,22/01/2014,1200,2.2,,22.7,,,,,,
83565,23/01/2014,0000,,33,,10.2,2.7,26.34,68,0.666667,
83565,23/01/2014,1200,7.6,,21.3,,,,,,
83565,24/01/2014,0000,,33.2,,10,4.3,26.02,73.5,1.666667,
83565,24/01/2014,1200,0,,22.1,,,,,,
83565,25/01/2014,0000,,29.4,,6.7,4.2,25.38,74,0.666667,
83565,25/01/2014,1200,12.8,,20.5,,,,,,
83565,26/01/2014,0000,,30.8,,6.8,3.3,24.12,71.25,0.666667,
83565,26/01/2014,1200,3.8,,18.7,,,,,,
83565,27/01/2014,0000,,32.8,,9.3,3.3,24.66,68.5,0.333333,
83565,27/01/2014,1200,0,,18.9,,,,,,
83565,28/01/2014,0000,,32.2,,11.8,4.1,26.42,60.25,2,
83565,28/01/2014,1200,0,,18.9,,,,,,
83565,29/01/2014,0000,,33,,11.7,5.8,27.54,54.5,1,
83565,29/01/2014,1200,0,,21.5,,,,,,
83565,30/01/2014,0000,,33.8,,11.3,7.3,28.34,53,1.333333,
83565,30/01/2014,1200,0,,21.9,,,,,,
83565,31/01/2014,0000,,35,,11.9,7.7,29.22,53.25,0.666667,
83565,31/01/2014,1200,0,,24.3,,,,,,
83565,01/02/2014,0000,,34.2,,12.1,7.9,28.78,47.75,2,
83565,01/02/2014,1200,0,,23.3,,,,,,
83565,02/02/2014,0000,,34.4,,12,9.3,28.5,43.25,1.333333,
83565,02/02/2014,1200,0,,21.9,,,,,,
83565,03/02/2014,0000,,35.8,,10,10,29.14,44.5,1.333333,
83565,03/02/2014,1200,0,,22.9,,,,,,
83565,04/02/2014,0000,,33.6,,3.3,9,28.18,48.5,1,
83565,04/02/2014,1200,0,,23.1,,,,,,
83565,05/02/2014,0000,,36.2,,11.8,8.6,29.7,43,1,
83565,05/02/2014,1200,0,,22.3,,,,,,
83565,06/02/2014,0000,,36.2,,11.6,10.5,30.42,44,0.666667,
83565,06/02/2014,1200,0,,23.7,,,,,,
83565,07/02/2014,0000,,36,,12,10.2,29.82,37.25,1.333333,
83565,07/02/2014,1200,0,,23.3,,,,,,
83565,08/02/2014,0000,,36.4,,11.9,10.9,29.38,49.25,0.333333,
83565,08/02/2014,1200,0,,23.1,,,,,,
83565,09/02/2014,0000,,36,,6.2,9.7,28.3,49.5,2,
83565,09/02/2014,1200,0,,23.3,,,,,,
83565,10/02/2014,0000,,36.6,,11.8,8,28.9,46.75,0.666667,
83565,10/02/2014,1200,0,,21.9,,,,,,
83565,11/02/2014,0000,,35.8,,8.2,9,28.54,48,2,
83565,11/02/2014,1200,0,,23.1,,,,,,
83565,12/02/2014,0000,,34.8,,7.4,9.4,25.26,73.25,1.333333,
83565,12/02/2014,1200,0,,19.9,,,,,,
83565,13/02/2014,0000,,31.6,,4.9,4.3,26.3,65.5,0.333333,
83565,13/02/2014,1200,52.8,,19.9,,,,,,
83565,14/02/2014,0000,,31.6,,4.4,4,25.14,90.5,1,
83565,14/02/2014,1200,3.2,,21.7,,,,,,
83565,15/02/2014,0000,,27.8,,4.2,2,24.2,81.75,0.666667,
83565,15/02/2014,1200,11.6,,20.9,,,,,,
83565,16/02/2014,0000,,30.6,,6.6,2.2,25.18,77.25,0.666667,
83565,16/02/2014,1200,21,,20.9,,,,,,
83565,17/02/2014,0000,,30,,7.6,3.8,25.74,77,2.666667,
83565,17/02/2014,1200,0,,22.5,,,,,,
83565,18/02/2014,0000,,30.2,,9.8,3.3,25.18,79.75,1.666667,
83565,18/02/2014,1200,0.6,,22.1,,,,,,
83565,19/02/2014,0000,,31.6,,9.5,4.1,24.78,84,2,
83565,19/02/2014,1200,0,,21.9,,,,,,
83565,20/02/2014,0000,,31.6,,7.6,4.8,26.38,70.5,2,
83565,20/02/2014,1200,6.8,,22.3,,,,,,
83565,21/02/2014,0000,,30,,3.2,5,24.18,83.5,1,
83565,21/02/2014,1200,0,,21.5,,,,,,
83565,22/02/2014,0000,,29.2,,1.8,1.7,23.32,84.5,1.666667,
83565,22/02/2014,1200,69.8,,20.9,,,,,,
83565,23/02/2014,0000,,27.6,,0.3,2.5,23.78,88,0.333333,
83565,23/02/2014,1200,0.8,,21.3,,,,,,
83565,24/02/2014,0000,,26.6,,0,1.8,23.3,89.25,0.666667,
83565,24/02/2014,1200,0.4,,21.9,,,,,,
83565,25/02/2014,0000,,29.4,,5.6,1.3,24.72,77,0.666667,
83565,25/02/2014,1200,4.2,,20.3,,,,,,
83565,26/02/2014,0000,,33.4,,9.7,3.3,24.3,76.25,0.666667,
83565,26/02/2014,1200,0,,20.9,,,,,,
83565,27/02/2014,0000,,33.6,,8.9,4.3,26.1,73.5,1,
83565,27/02/2014,1200,61.4,,20.9,,,,,,
83565,28/02/2014,0000,,30.2,,5.3,3.9,24.04,81.5,1,
83565,28/02/2014,1200,9.2,,20.3,,,,,,
83565,01/03/2014,0000,,31.6,,9.6,2.6,24.46,81,2,
83565,01/03/2014,1200,15,,20.1,,,,,,
83565,02/03/2014,0000,,31.4,,10,3,25.98,72.25,0.333333,
83565,02/03/2014,1200,0.2,,20.1,,,,,,
83565,03/03/2014,0000,,32.2,,8.1,4.2,27.26,65.5,2.333333,
83565,03/03/2014,1200,0,,22.7,,,,,,
83565,04/03/2014,0000,,32,,9,4.8,25.5,78.25,1.333333,
83565,04/03/2014,1200,0,,22.1,,,,,,
83565,05/03/2014,0000,,29,,4.2,3.2,25.3,86,1,
83565,05/03/2014,1200,0.4,,22.7,,,,,,
83565,06/03/2014,0000,,33,,10.2,1.8,27.46,69.5,0,
83565,06/03/2014,1200,1.4,,21.3,,,,,,
83565,07/03/2014,0000,,30,,7.3,4.2,23.1,88.25,1,
83565,07/03/2014,1200,23.6,,19.9,,,,,,
83565,08/03/2014,0000,,29.6,,6.4,1.8,24.32,75,0.666667,
83565,08/03/2014,1200,66.4,,19.9,,,,,,
83565,09/03/2014,0000,,32.4,,10.8,2.8,26.66,69.5,1,
83565,09/03/2014,1200,0,,19.7,,,,,,
83565,10/03/2014,0000,,28.8,,2,3.9,23.38,87.25,1.333333,
83565,10/03/2014,1200,0,,20.1,,,,,,
83565,11/03/2014,0000,,29.4,,4.2,2.2,24.12,77.5,0.666667,
83565,11/03/2014,1200,3.6,,19.7,,,,,,
83565,12/03/2014,0000,,28.2,,3.9,2.6,24.6,79.75,0.666667,
83565,12/03/2014,1200,5.4,,20.9,,,,,,
83565,13/03/2014,0000,,28.4,,3.9,2.8,24.52,84.5,1.333333,
83565,13/03/2014,1200,10.2,,20.1,,,,,,
83565,14/03/2014,0000,,33,,10.9,2.4,27.42,68.25,1,
83565,14/03/2014,1200,0,,21.7,,,,,,
83565,15/03/2014,0000,,33.2,,10.5,4.8,27.18,66.25,1.666667,
83565,15/03/2014,1200,0,,21.5,,,,,,
83565,16/03/2014,0000,,33.4,,11,4.9,27.34,64.75,0.666667,
83565,16/03/2014,1200,0,,20.9,,,,,,
83565,17/03/2014,0000,,33.8,,11.1,5.1,26.62,64.5,1,
83565,17/03/2014,1200,0,,21.9,,,,,,
83565,18/03/2014,0000,,32.4,,10.7,5.2,26.06,63.75,0.666667,
83565,18/03/2014,1200,0,,20.7,,,,,,
83565,19/03/2014,0000,,33,,7.8,5.6,27.3,63.75,1.333333,
83565,19/03/2014,1200,0,,21.3,,,,,,
83565,20/03/2014,0000,,33.6,,6.3,5,26.02,74.25,0,
83565,20/03/2014,1200,0,,22.7,,,,,,
83565,21/03/2014,0000,,31.8,,5.3,3.5,25.62,80.75,0.666667,
83565,21/03/2014,1200,0.6,,21.9,,,,,,
