Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83270,01/01/2014,0000,,33,,8.3,,25.94,81,0,
83270,01/01/2014,1200,2,,21.7,,,,,,
83270,02/01/2014,0000,,34.6,,10.5,,26.38,79.75,0,
83270,02/01/2014,1200,0.5,,21.1,,,,,,
83270,03/01/2014,0000,,34.2,,10.9,,26.8,85.5,0,
83270,03/01/2014,1200,7.9,,21,,,,,,
83270,04/01/2014,0000,,32,,5.6,,24.26,82.5,0,
83270,04/01/2014,1200,5.1,,19.9,,,,,,
83270,05/01/2014,0000,,32.9,,7,,25.6,89.75,0,
83270,05/01/2014,1200,0,,20.1,,,,,,
83270,06/01/2014,0000,,32,,8,,25.1,82.5,0,
83270,06/01/2014,1200,4.8,,19.9,,,,,,
83270,07/01/2014,0000,,32.4,,9.6,,25.04,80.5,0,
83270,07/01/2014,1200,0,,20.8,,,,,,
83270,08/01/2014,0000,,33.2,,6.2,,24.96,93.25,1.02888,
83270,08/01/2014,1200,2.2,,20.6,,,,,,
83270,09/01/2014,0000,,32.6,,9.2,,24.64,79.5,0,
83270,09/01/2014,1200,2.2,,18.8,,,,,,
83270,10/01/2014,0000,,33,,7.3,,24.52,80.25,0,
83270,10/01/2014,1200,0,,20,,,,,,
83270,11/01/2014,0000,,32,,8.9,,25.14,75.25,0,
83270,11/01/2014,1200,0.5,,19.9,,,,,,
83270,12/01/2014,0000,,30.5,,7,,24.44,80.5,0,
83270,12/01/2014,1200,0,,20.1,,,,,,
83270,13/01/2014,0000,,32.2,,7,,24.54,84.5,0,
83270,13/01/2014,1200,0,,20.1,,,,,,
83270,14/01/2014,0000,,31.7,,4.6,,24.08,91,0,
83270,14/01/2014,1200,0.4,,19.9,,,,,,
83270,15/01/2014,0000,,29.8,,5.3,,23.42,89.5,0,
83270,15/01/2014,1200,24.2,,19.3,,,,,,
83270,16/01/2014,0000,,32.8,,8.1,,24.86,83.5,0,
83270,16/01/2014,1200,0.8,,20.9,,,,,,
83270,17/01/2014,0000,,33.8,,10.7,,26.16,82,0,
83270,17/01/2014,1200,1.6,,21.2,,,,,,
83270,18/01/2014,0000,,28.4,,1.9,,24.4,92,0,
83270,18/01/2014,1200,0,,21.8,,,,,,
83270,19/01/2014,0000,,31.6,,3.8,,24.96,92.75,0,
83270,19/01/2014,1200,0,,22.4,,,,,,
83270,20/01/2014,0000,,31.2,,6.7,,23.88,88,0,
83270,20/01/2014,1200,14.2,,21,,,,,,
83270,21/01/2014,0000,,29.7,,2.9,,24.12,87.75,0.8574,
83270,21/01/2014,1200,50.9,,20.3,,,,,,
83270,22/01/2014,0000,,30.2,,1.5,,23.78,86.5,0,
83270,22/01/2014,1200,24.8,,20.7,,,,,,
83270,23/01/2014,0000,,33.2,,7.8,,24.5,86.75,0,
83270,23/01/2014,1200,1.3,,21,,,,,,
83270,24/01/2014,0000,,29.4,,5.2,,23.5,88.25,0,
83270,24/01/2014,1200,41.2,,21.1,,,,,,
83270,25/01/2014,0000,,30.3,,4.3,,23.9,89.25,0,
83270,25/01/2014,1200,0,,20.8,,,,,,
83270,26/01/2014,0000,,25.6,,0,,22.06,93.5,0,
83270,26/01/2014,1200,3.8,,20.1,,,,,,
83270,27/01/2014,0000,,27.8,,3.2,,23.02,86.75,0,
83270,27/01/2014,1200,12.3,,19.5,,,,,,
