Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83364,01/01/2014,0000,,33.2,,4.9,,26.9,90,1.02888,
83364,01/01/2014,1200,0,,24.5,,,,,,
83364,02/01/2014,0000,,35.2,,9.3,,28.36,78,0.51444,
83364,02/01/2014,1200,9.8,,23.1,,,,,,
83364,03/01/2014,0000,,35.6,,7,,27.52,75.75,0.17148,
83364,03/01/2014,1200,0,,23.7,,,,,,
83364,04/01/2014,0000,,30.6,,5.2,,26.22,91.75,0.34296,
83364,04/01/2014,1200,0.8,,22.6,,,,,,
83364,05/01/2014,0000,,34.7,,8.6,,27.16,79.5,0.34296,
83364,05/01/2014,1200,18,,21.7,,,,,,
83364,06/01/2014,0000,,34.9,,4.1,,26.24,89,0.51444,
83364,06/01/2014,1200,0,,24.3,,,,,,
83364,07/01/2014,0000,,,,,,,,0.51444,
83364,07/01/2014,1200,37.5,,22.7,,,,,,
83364,08/01/2014,0000,,34.4,,,,25.74,83.25,0.51444,
83364,08/01/2014,1200,0.5,,22.6,,,,,,
83364,09/01/2014,0000,,33.6,,9.3,,26.26,84.25,0.17148,
83364,09/01/2014,1200,25.7,,22.2,,,,,,
83364,10/01/2014,0000,,33.4,,3.6,,26.54,76.25,0.68592,
83364,10/01/2014,1200,0.5,,23.2,,,,,,
83364,11/01/2014,0000,,33,,4.4,,26.22,90.25,0.34296,
83364,11/01/2014,1200,0,,23.3,,,,,,
83364,12/01/2014,0000,,31,,6.1,,25.14,87.5,0.17148,
83364,12/01/2014,1200,3.3,,22.7,,,,,,
83364,13/01/2014,0000,,31.4,,3.8,,25.94,81.5,0.17148,
83364,13/01/2014,1200,0.5,,23.2,,,,,,
83364,14/01/2014,0000,,32.8,,2.9,,25.34,89.5,1.37184,
83364,14/01/2014,1200,0,,22.6,,,,,,
83364,15/01/2014,0000,,33.6,,6.2,,25.98,85.25,0.17148,
83364,15/01/2014,1200,0,,22.3,,,,,,
83364,16/01/2014,0000,,34,,7.4,,27.06,86,0.51444,
83364,16/01/2014,1200,1.8,,22.2,,,,,,
83364,17/01/2014,0000,,32.9,,4.2,,26.62,93,0.25722,
83364,17/01/2014,1200,0.2,,24.3,,,,,,
83364,18/01/2014,0000,,31.4,,1.9,,27,87,0.25722,
83364,18/01/2014,1200,0,,23.3,,,,,,
83364,19/01/2014,0000,,31.6,,1.5,,26.22,91,0.51444,
83364,19/01/2014,1200,0,,23.7,,,,,,
83364,20/01/2014,0000,,31.6,,2.6,,25.8,91,0.34296,
83364,20/01/2014,1200,0,,23.1,,,,,,
83364,21/01/2014,0000,,32,,6.1,,25.62,94,0.51444,
83364,21/01/2014,1200,31,,23.3,,,,,,
83364,22/01/2014,0000,,31.5,,1.8,,25.3,96,0.51444,
83364,22/01/2014,1200,13.1,,23.4,,,,,,
83364,23/01/2014,0000,,30.9,,2.3,,25.96,78.75,0.8574,
83364,23/01/2014,1200,22.4,,22.3,,,,,,
83364,24/01/2014,0000,,30,,1.4,,,83,1.2861,
83364,25/01/2014,0000,,33.6,,4.9,,26.64,83.25,0.8574,
83364,25/01/2014,1200,0.7,,23.2,,,,,,
83364,26/01/2014,0000,,29.2,,2.3,,25.66,88,0.8574,
83364,26/01/2014,1200,22.6,,23.1,,,,,,
83364,27/01/2014,0000,,32.9,,7.2,,26.9,74.75,0.17148,
83364,27/01/2014,1200,1.4,,22,,,,,,
83364,28/01/2014,0000,,33.4,,7.8,,26.56,72.75,0.17148,
83364,28/01/2014,1200,0,,22,,,,,,
83364,29/01/2014,0000,,33,,8.5,,25.88,75.5,0.17148,
83364,29/01/2014,1200,0,,21.2,,,,,,
83364,30/01/2014,0000,,34,,8,,26.54,74.75,1.02888,
83364,30/01/2014,1200,5.6,,21.8,,,,,,
83364,31/01/2014,0000,,33.6,,5,,25.92,83.5,0.34296,
83364,31/01/2014,1200,0,,22.4,,,,,,
83364,01/02/2014,0000,,34,,7.6,,25.74,81,0,
83364,01/02/2014,1200,0,,21.5,,,,,,
83364,02/02/2014,0000,,34.4,,8.3,,,77,0.25722,
83364,03/02/2014,0000,,34.4,,3.6,,26.24,86.75,0,
83364,03/02/2014,1200,0,,23.3,,,,,,
83364,04/02/2014,0000,,,,2,,,84,0,
83364,04/02/2014,1200,30.6,,20.5,,,,,,
83364,05/02/2014,0000,,34.2,,6,,26.22,81.75,0.17148,
83364,05/02/2014,1200,0.3,,22.8,,,,,,
83364,06/02/2014,0000,,34.7,,7.6,,27.32,81.75,0.17148,
83364,06/02/2014,1200,0,,22.6,,,,,,
83364,07/02/2014,0000,,33,,9.8,,25.78,84.75,0.17148,
83364,07/02/2014,1200,0.4,,23.5,,,,,,
83364,08/02/2014,0000,,34.1,,5.5,,26.58,80,0.68592,
83364,08/02/2014,1200,3.8,,23.2,,,,,,
83364,09/02/2014,0000,,34.8,,10.2,,27.74,77.75,0.34296,
83364,09/02/2014,1200,0,,24.5,,,,,,
83364,10/02/2014,0000,,,,,,,,0.51444,
83364,10/02/2014,1200,0.5,,24,,,,,,
83364,11/02/2014,0000,,33.2,,5.2,,25.46,86.5,0.17148,
83364,11/02/2014,1200,0,,22.9,,,,,,
83364,12/02/2014,0000,,33.5,,8.8,,27.24,76,0.34296,
83364,12/02/2014,1200,5.7,,22.7,,,,,,
83364,13/02/2014,0000,,29.7,,1.9,,25.52,87.25,0.34296,
83364,13/02/2014,1200,10.6,,22.9,,,,,,
83364,14/02/2014,0000,,32.2,,7.2,,26,86.75,0,
83364,14/02/2014,1200,26,,23,,,,,,
83364,15/02/2014,0000,,31.4,,3.6,,26.14,88.75,0.17148,
83364,15/02/2014,1200,0,,24.1,,,,,,
83364,16/02/2014,0000,,31.3,,3.2,,26.36,88.25,0.17148,
83364,16/02/2014,1200,13.6,,23.4,,,,,,
83364,17/02/2014,0000,,31.6,,3.6,,26.32,94,0.34296,
83364,17/02/2014,1200,4.4,,24.4,,,,,,
83364,18/02/2014,0000,,30.1,,0.8,,26.16,88.75,0.17148,
83364,18/02/2014,1200,13,,23.7,,,,,,
83364,19/02/2014,0000,,28.6,,0.2,,25.54,92,1.37184,
83364,19/02/2014,1200,0,,24.2,,,,,,
83364,20/02/2014,0000,,28.9,,0,,25.16,95,0.51444,
83364,20/02/2014,1200,0.3,,23.8,,,,,,
83364,21/02/2014,0000,,30.6,,3.4,,26.76,81.75,1.02888,
83364,21/02/2014,1200,29.5,,23.3,,,,,,
83364,22/02/2014,0000,,,,,,,,1.02888,
83364,22/02/2014,1200,29.5,,23,,,,,,
83364,23/02/2014,0000,,25.9,,0,,24.1,95.5,0.51444,
83364,23/02/2014,1200,40.6,,22.9,,,,,,
83364,24/02/2014,0000,,29.8,,3.9,,25.6,88.25,0.68592,
83364,24/02/2014,1200,4.3,,22.9,,,,,,
83364,25/02/2014,0000,,32.5,,2.7,,26.28,86.5,0.17148,
83364,25/02/2014,1200,0,,23.9,,,,,,
83364,26/02/2014,0000,,32.5,,4.4,,26.36,83.75,0.17148,
83364,26/02/2014,1200,16.6,,23,,,,,,
83364,27/02/2014,0000,,32.2,,6.4,,26.68,86.5,0.34296,
83364,27/02/2014,1200,0,,23.8,,,,,,
83364,28/02/2014,0000,,31.8,,6.6,,27.04,84.75,0.17148,
83364,28/02/2014,1200,0,,23.5,,,,,,
83364,01/03/2014,0000,,29.7,,2.8,,25.4,93.75,0,
83364,01/03/2014,1200,0,,23.9,,,,,,
83364,02/03/2014,0000,,33.1,,6.3,,27.74,81.25,0,
83364,02/03/2014,1200,0,,22.7,,,,,,
83364,03/03/2014,0000,,31.8,,2.3,,27.64,89,0.34296,
