Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82191,01/01/2014,0000,,33.6,,9.4,2.5,27.6,76,1.4,
82191,01/01/2014,1200,0,,22.8,,,,,,
82191,02/01/2014,0000,,32.7,,6.1,2.3,27.38,78,1.666667,
82191,02/01/2014,1200,0,,24.6,,,,,,
82191,03/01/2014,0000,,32.8,,8,1.9,27.54,76.5,1.833333,
82191,03/01/2014,1200,3.5,,22.9,,,,,,
82191,04/01/2014,0000,,32.2,,5.3,2.2,26.86,85.25,0.366667,
82191,04/01/2014,1200,0,,23.5,,,,,,
82191,05/01/2014,0000,,33,,9.5,1.3,26.44,80,1.4,
82191,05/01/2014,1200,13.6,,22.4,,,,,,
82191,06/01/2014,0000,,32.4,,7.1,1.6,26.6,88,0.7,
82191,06/01/2014,1200,5.9,,22.4,,,,,,
82191,07/01/2014,0000,,31.6,,6.6,1.2,26.28,84,1.3,
82191,07/01/2014,1200,18.8,,23.5,,,,,,
82191,08/01/2014,0000,,32.3,,5.7,1.1,26.22,86.75,0.4,
82191,08/01/2014,1200,0.2,,23.5,,,,,,
82191,09/01/2014,0000,,31.3,,2.7,1.4,25.64,86,1.1,
82191,09/01/2014,1200,7.1,,22.7,,,,,,
82191,10/01/2014,0000,,31,,3,1.4,25.18,88.5,0.333333,
82191,10/01/2014,1200,26.8,,21.8,,,,,,
82191,11/01/2014,0000,,32.5,,6.2,1.2,27,81.25,1.266667,
82191,11/01/2014,1200,9.8,,22.7,,,,,,
82191,12/01/2014,0000,,27,,0,1.7,24.12,92.75,0,
82191,12/01/2014,1200,75.5,,22.6,,,,,,
82191,13/01/2014,0000,,31.6,,6.2,0.2,26.32,87.5,0.866667,
82191,13/01/2014,1200,27.2,,22.6,,,,,,
82191,14/01/2014,0000,,32.8,,6.1,1.5,26.68,85.25,1.133333,
82191,14/01/2014,1200,21.6,,24.3,,,,,,
82191,15/01/2014,0000,,31.5,,4.4,1.7,26.28,87.75,0.8,
82191,15/01/2014,1200,3.2,,22.9,,,,,,
82191,16/01/2014,0000,,31.8,,5.1,1.3,26.24,88.75,0.6,
82191,16/01/2014,1200,19.6,,22.7,,,,,,
82191,17/01/2014,0000,,33.2,,8.3,1.2,27.84,75.5,2.433333,
82191,17/01/2014,1200,59.4,,23.4,,,,,,
82191,18/01/2014,0000,,33.6,,8.5,2,28.38,77.25,1.633333,
82191,18/01/2014,1200,0.2,,24.4,,,,,,
82191,19/01/2014,0000,,32.1,,7.2,2.6,27.48,83.25,1.266667,
82191,19/01/2014,1200,0,,24.3,,,,,,
82191,20/01/2014,0000,,31.1,,5,1.7,27.22,88.25,0.333333,
82191,20/01/2014,1200,4.6,,24.9,,,,,,
82191,21/01/2014,0000,,32.7,,7.7,1.7,27,83.25,0.933333,
82191,21/01/2014,1200,13.8,,23.5,,,,,,
82191,22/01/2014,0000,,33.7,,10.1,1.4,27.8,78,1.4,
82191,22/01/2014,1200,10.3,,22.6,,,,,,
82191,23/01/2014,0000,,33.7,,8.2,2.6,26.96,83.75,1.5,
82191,23/01/2014,1200,1,,23.1,,,,,,
82191,24/01/2014,0000,,31.7,,1.8,1.8,26.2,89.25,0.666667,
82191,24/01/2014,1200,45,,23.8,,,,,,
82191,25/01/2014,0000,,26.6,,0,0.6,24.24,91.25,0.1,
82191,25/01/2014,1200,17.9,,22,,,,,,
82191,26/01/2014,0000,,30.5,,3.8,0.7,26.1,82,1.266667,
82191,26/01/2014,1200,1.3,,22.9,,,,,,
82191,27/01/2014,0000,,28.8,,0,1.7,25.96,90,0.433333,
82191,27/01/2014,1200,0,,23.8,,,,,,
