Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82562,01/01/2014,0000,,34.3,,,3,28.96,68,0.7,
82562,01/01/2014,1200,0,,23,,,,,,
82562,02/01/2014,0000,,32.9,,,3.6,27.84,78.25,1.233333,
82562,02/01/2014,1200,0.2,,23,,,,,,
82562,03/01/2014,0000,,32.7,,,2.1,25.66,79,1.333333,
82562,03/01/2014,1200,18.7,,20.8,,,,,,
82562,04/01/2014,0000,,31.7,,,2.1,26.7,82.75,1.466667,
82562,04/01/2014,1200,2.2,,22.2,,,,,,
82562,05/01/2014,0000,,32.8,,,2.5,27.86,75.5,1.366667,
82562,05/01/2014,1200,2.6,,22.9,,,,,,
82562,06/01/2014,0000,,33,,,1.7,27.84,74.25,1.566667,
82562,06/01/2014,1200,0,,23.3,,,,,,
82562,07/01/2014,0000,,31,,,2.5,25.96,80,1.166667,
82562,07/01/2014,1200,24.2,,21.2,,,,,,
82562,08/01/2014,0000,,32.9,,,1.9,26.74,79.25,1.066667,
82562,08/01/2014,1200,0,,23.8,,,,,,
82562,09/01/2014,0000,,30.1,,,2.4,25.48,83.25,1.533333,
82562,09/01/2014,1200,1.4,,21.7,,,,,,
82562,10/01/2014,0000,,30.3,,,1.4,26.14,80.25,0.966667,
82562,10/01/2014,1200,11.5,,22,,,,,,
82562,11/01/2014,0000,,32.2,,,1.8,26.78,80.25,0.633333,
82562,11/01/2014,1200,8.8,,21.3,,,,,,
82562,12/01/2014,0000,,27.8,,,2,24.76,85.25,0.933333,
82562,12/01/2014,1200,31.7,,21.2,,,,,,
82562,13/01/2014,0000,,31.7,,,1.6,26.8,80.25,0.933333,
82562,13/01/2014,1200,0,,21.8,,,,,,
82562,14/01/2014,0000,,31.9,,,1.5,26.94,80,0.866667,
82562,14/01/2014,1200,1.9,,22,,,,,,
82562,15/01/2014,0000,,28.2,,,2.4,24.24,87.5,1.2,
82562,15/01/2014,1200,8.6,,21.4,,,,,,
82562,16/01/2014,0000,,32.3,,,0.7,27.12,73.75,1.066667,
82562,16/01/2014,1200,2.6,,21.4,,,,,,
82562,17/01/2014,0000,,32,,,2.7,27.46,83.25,1.6,
82562,17/01/2014,1200,0,,24.6,,,,,,
82562,18/01/2014,0000,,32.5,,,1.8,27.9,79.25,1.133333,
82562,18/01/2014,1200,3.6,,23.3,,,,,,
82562,19/01/2014,0000,,32.7,,,2.3,27.88,80.5,1.8,
82562,19/01/2014,1200,0,,23.8,,,,,,
82562,20/01/2014,0000,,31.8,,,2.4,27.3,79.5,1.633333,
82562,20/01/2014,1200,0,,23.8,,,,,,
82562,21/01/2014,0000,,27.8,,,2.2,24.28,93.5,1,
82562,21/01/2014,1200,47.6,,21.4,,,,,,
82562,22/01/2014,0000,,31.2,,,0.3,25.06,86,1.633333,
82562,22/01/2014,1200,0.8,,21.5,,,,,,
82562,23/01/2014,0000,,32.7,,,1.4,27.36,77.25,1.166667,
82562,23/01/2014,1200,5.3,,22.2,,,,,,
82562,24/01/2014,0000,,31.2,,,2.3,25.94,82.5,2.766667,
82562,24/01/2014,1200,0,,23.2,,,,,,
82562,25/01/2014,0000,,28.7,,,1.9,24.9,84.5,1.233333,
82562,25/01/2014,1200,6.4,,21.6,,,,,,
82562,26/01/2014,0000,,30.5,,,1.3,24.58,80.75,1.733333,
82562,26/01/2014,1200,3.5,,20.6,,,,,,
82562,27/01/2014,0000,,30.2,,,1.6,23.5,85.75,1.433333,
82562,27/01/2014,1200,25.8,,20.5,,,,,,
82562,28/01/2014,0000,,25.7,,,1,23.5,90,0.966667,
82562,28/01/2014,1200,28.2,,20.5,,,,,,
82562,29/01/2014,0000,,32.3,,,0.6,25.68,83.75,0.833333,
82562,29/01/2014,1200,0,,21.5,,,,,,
