Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82145,02/01/2014,0000,,32.2,,10,4,27.96,78.25,1.15,
82145,02/01/2014,1200,0,,24.6,,,,,,
82145,17/01/2014,0000,,31.9,,9,,,82.25,0.766667,
82145,17/01/2014,1200,2,,,,,,,,
82145,18/01/2014,0000,,32.1,,10,4,27.8,78.75,2,
82145,18/01/2014,1200,0,,24.5,,,,,,
82145,19/01/2014,0000,,30.8,,8.1,4.2,26.88,83,1.333333,
82145,19/01/2014,1200,0,,24,,,,,,
82145,20/01/2014,0000,,30.6,,7.2,4,26.92,85,0.666667,
82145,20/01/2014,1200,5.4,,24.4,,,,,,
82145,21/01/2014,0000,,31.3,,9.7,2.9,27.1,78.75,1.4,
82145,21/01/2014,1200,0,,23.8,,,,,,
82145,22/01/2014,0000,,32.1,,10.2,4.6,27.16,77.25,1.466667,
82145,22/01/2014,1200,0,,22.5,,,,,,
82145,23/01/2014,0000,,33.1,,8,4.8,27.78,80.75,1.2,
82145,23/01/2014,1200,0,,23.6,,,,,,
82145,24/01/2014,0000,,31.1,,0.9,4,26.62,89.25,0,
82145,24/01/2014,1200,0,,24.4,,,,,,
82145,25/01/2014,0000,,28.8,,1.8,2.2,24.58,89.25,1.066667,
82145,25/01/2014,1200,11.5,,20.7,,,,,,
82145,26/01/2014,0000,,28.4,,1.4,1.9,25.32,87.75,0,
82145,26/01/2014,1200,3.3,,23.2,,,,,,
82145,27/01/2014,0000,,29.6,,1.4,2.2,25.1,86.5,1.4,
82145,27/01/2014,1200,2.7,,22.1,,,,,,
82145,28/01/2014,0000,,30.4,,3.5,2.5,25.94,83.25,1,
82145,28/01/2014,1200,0.5,,22.1,,,,,,
82145,29/01/2014,0000,,29,,3.2,2.8,25.34,91.75,0.733333,
82145,29/01/2014,1200,0,,22.9,,,,,,
82145,30/01/2014,0000,,30.8,,5.3,1.6,26.04,87.75,0.733333,
82145,30/01/2014,1200,14.6,,23.2,,,,,,
82145,31/01/2014,0000,,30.8,,4.3,3.1,26.16,86.75,0,
82145,31/01/2014,1200,0,,24,,,,,,
82145,01/02/2014,0000,,27.6,,0,2.2,25.4,95,0,
82145,01/02/2014,1200,14.3,,24,,,,,,
82145,02/02/2014,0000,,31,,6.5,0.7,26.64,87.5,0.666667,
82145,02/02/2014,1200,5.1,,24.2,,,,,,
82145,03/02/2014,0000,,28,,1,2.6,25.76,92,0,
82145,03/02/2014,1200,0,,24.4,,,,,,
82145,04/02/2014,0000,,30.6,,4.9,0.8,26.28,95.5,0,
82145,04/02/2014,1200,21.8,,24,,,,,,
82145,05/02/2014,0000,,30.6,,5,1.4,25.56,95.25,0,
82145,05/02/2014,1200,16.8,,23.6,,,,,,
82145,06/02/2014,0000,,26.4,,0,1.5,24.68,96.5,0.333333,
82145,06/02/2014,1200,19.5,,23.4,,,,,,
82145,07/02/2014,0000,,31,,7.5,0.5,26.32,84.75,0.566667,
82145,07/02/2014,1200,37.2,,23.2,,,,,,
82145,08/02/2014,0000,,30,,4.7,3,26.26,88,0.933333,
82145,08/02/2014,1200,5.2,,23.5,,,,,,
82145,09/02/2014,0000,,30,,4.7,2.5,26.4,88,0.333333,
82145,09/02/2014,1200,3.2,,23.8,,,,,,
82145,10/02/2014,0000,,30.8,,6.8,0.8,26.4,89,1.733333,
82145,10/02/2014,1200,0,,24,,,,,,
82145,11/02/2014,0000,,30.2,,3.4,2.9,26.2,92.5,0.333333,
82145,11/02/2014,1200,0.4,,23.4,,,,,,
82145,12/02/2014,0000,,29,,2.4,1.4,25.96,89.75,0.733333,
82145,12/02/2014,1200,26.8,,23.4,,,,,,
82145,13/02/2014,0000,,28.4,,0.5,1.3,24.88,93.5,0,
82145,13/02/2014,1200,57.4,,23.8,,,,,,
82145,14/02/2014,0000,,29.4,,1.6,0.8,25.32,92.5,0,
82145,14/02/2014,1200,14.5,,23.8,,,,,,
82145,15/02/2014,0000,,27.6,,2.3,1.4,25.48,91,0.866667,
82145,15/02/2014,1200,8.4,,23.6,,,,,,
82145,16/02/2014,0000,,28.6,,1.1,1.1,25.08,91.25,0.466667,
82145,16/02/2014,1200,43,,23.6,,,,,,
82145,17/02/2014,0000,,28.2,,1.2,1.5,24.88,96.5,0,
82145,17/02/2014,1200,3,,23.6,,,,,,
82145,18/02/2014,0000,,27.2,,0,0.7,24.48,96.75,0,
82145,18/02/2014,1200,54.2,,23.2,,,,,,
82145,19/02/2014,0000,,30.6,,3.8,0.6,26,90,1.1,
82145,19/02/2014,1200,38,,23.4,,,,,,
82145,20/02/2014,0000,,28.8,,0.3,1.5,25.02,93.25,0.666667,
82145,20/02/2014,1200,23.3,,22.9,,,,,,
82145,21/02/2014,0000,,29.2,,1.5,1.5,25.6,89.5,0.8,
82145,21/02/2014,1200,1.9,,23.6,,,,,,
82145,22/02/2014,0000,,30,,3.1,1.3,26.24,91.5,0,
82145,22/02/2014,1200,8.4,,23.2,,,,,,
82145,23/02/2014,0000,,32.1,,6.1,1.5,27.34,84.25,1.266667,
82145,23/02/2014,1200,8.4,,23.8,,,,,,
82145,24/02/2014,0000,,32.1,,6.4,3.1,27.38,85,0.866667,
82145,24/02/2014,1200,0,,24.4,,,,,,
82145,25/02/2014,0000,,30.8,,5.6,3.1,26.92,85,1.2,
82145,25/02/2014,1200,0,,24,,,,,,
82145,26/02/2014,0000,,31.1,,7,2.6,27.06,84.75,1.133333,
82145,26/02/2014,1200,4,,24.2,,,,,,
82145,27/02/2014,0000,,31.1,,5.9,2.7,26.6,85.75,0.933333,
82145,27/02/2014,1200,30.4,,22.5,,,,,,
82145,28/02/2014,0000,,31.1,,4.4,2.7,26.74,83.5,0.733333,
82145,28/02/2014,1200,0,,24.4,,,,,,
82145,01/03/2014,0000,,31.3,,4,2.5,26.98,89.75,0.866667,
82145,01/03/2014,1200,7.6,,24.4,,,,,,
82145,02/03/2014,0000,,28.2,,2.4,2.2,25.76,92.75,0.666667,
82145,02/03/2014,1200,0.1,,24.4,,,,,,
82145,03/03/2014,0000,,30,,2.3,0.8,26.04,91.5,0.4,
82145,03/03/2014,1200,37,,24.2,,,,,,
82145,04/03/2014,0000,,28.4,,0.9,1.2,25.24,93.75,0.4,
82145,04/03/2014,1200,18.7,,23.6,,,,,,
82145,05/03/2014,0000,,27.8,,2.4,0.9,25.48,94.75,0,
82145,05/03/2014,1200,3.4,,24,,,,,,
82145,06/03/2014,0000,,29.8,,3.3,0.6,26.08,91.25,0.333333,
82145,06/03/2014,1200,24.7,,23.4,,,,,,
82145,07/03/2014,0000,,30,,8.9,1.7,26.24,86.25,0.533333,
82145,07/03/2014,1200,0,,23.8,,,,,,
82145,08/03/2014,0000,,29,,3.2,2.4,26.28,90.75,1,
82145,08/03/2014,1200,0,,24.4,,,,,,
82145,09/03/2014,0000,,26,,0,1.1,24.44,94.75,0.333333,
82145,09/03/2014,1200,23.5,,23.4,,,,,,
82145,10/03/2014,0000,,29.4,,2,0.5,25.82,91.75,0.6,
82145,10/03/2014,1200,13.9,,22.9,,,,,,
82145,11/03/2014,0000,,29.4,,3.5,1.3,25.88,93.5,0.666667,
82145,11/03/2014,1200,22,,24,,,,,,
82145,12/03/2014,0000,,30.2,,3.2,1.5,26.02,86.5,0.8,
82145,12/03/2014,1200,2.1,,22.3,,,,,,
82145,13/03/2014,0000,,31.5,,5.6,3.1,26.54,88.75,1.066667,
82145,13/03/2014,1200,1,,23.4,,,,,,
82145,14/03/2014,0000,,27.8,,0.7,2.2,24.9,94,0.333333,
82145,14/03/2014,1200,37.2,,22.7,,,,,,
82145,15/03/2014,0000,,31.7,,2.9,1,25.72,90,0.666667,
82145,15/03/2014,1200,6.5,,22.7,,,,,,
82145,16/03/2014,0000,,27,,0,3,24.44,93.75,0,
82145,16/03/2014,1200,7.5,,23.2,,,,,,
82145,17/03/2014,0000,,30.4,,5.3,1.2,26.06,87.25,0.866667,
82145,17/03/2014,1200,1,,22.7,,,,,,
82145,18/03/2014,0000,,30.4,,3.7,1.7,26.44,90,0.466667,
82145,18/03/2014,1200,3,,24,,,,,,
82145,19/03/2014,0000,,30.2,,1.1,1.4,26.84,84.5,1,
82145,19/03/2014,1200,2.4,,24.2,,,,,,
82145,20/03/2014,0000,,29.4,,1.5,1.9,25.72,94.25,0.333333,
82145,20/03/2014,1200,22.8,,24,,,,,,
82145,21/03/2014,0000,,30,,3.7,1.2,26.4,91.25,1,
82145,21/03/2014,1200,26.4,,23.8,,,,,,
82145,22/03/2014,0000,,31.1,,6.7,1.7,26.98,85.25,1.5,
82145,22/03/2014,1200,10.8,,24.2,,,,,,
82145,23/03/2014,0000,,30,,3.1,2.3,26.48,88.5,0.733333,
82145,23/03/2014,1200,0.3,,24.6,,,,,,
82145,24/03/2014,0000,,31.3,,3.4,1.8,26.82,85.25,0.666667,
82145,24/03/2014,1200,1.2,,23.8,,,,,,
82145,25/03/2014,0000,,30,,3.8,2.3,26.36,88.75,0,
82145,25/03/2014,1200,0,,24.2,,,,,,
82145,26/03/2014,0000,,30.8,,7,1.3,26.68,86.5,0.666667,
82145,26/03/2014,1200,9.4,,24.2,,,,,,
82145,27/03/2014,0000,,31.3,,9.8,2.2,26.86,84.5,0.866667,
82145,27/03/2014,1200,0,,23.2,,,,,,
82145,28/03/2014,0000,,30.8,,5.5,2.8,26.24,91.5,0,
82145,28/03/2014,1200,0,,23.4,,,,,,
82145,29/03/2014,0000,,29,,2.8,1.6,25.76,93.75,0,
82145,29/03/2014,1200,34.3,,23.8,,,,,,
82145,30/03/2014,0000,,31.3,,5.1,1,26.66,85.5,0.833333,
82145,30/03/2014,1200,6.2,,23.4,,,,,,
82145,31/03/2014,0000,,29,,0.8,2.2,25.24,96,0.666667,
82145,31/03/2014,1200,0.2,,24,,,,,,
82145,01/04/2014,0000,,29,,2.6,3,25.28,93.25,0.666667,
82145,01/04/2014,1200,50.6,,22.6,,,,,,
82145,02/04/2014,0000,,29.6,,1.7,0.8,25.88,91,0.333333,
82145,02/04/2014,1200,14.3,,23.2,,,,,,
82145,03/04/2014,0000,,30.6,,4.5,1.4,25.32,88.5,0.666667,
82145,03/04/2014,1200,36.8,,22.8,,,,,,
82145,04/04/2014,0000,,27,,0.3,1.5,24.76,91.5,0.666667,
82145,04/04/2014,1200,3.8,,22.2,,,,,,
82145,05/04/2014,0000,,30.8,,9.9,1,26.34,86.25,0.733333,
82145,05/04/2014,1200,5.1,,22.1,,,,,,
82145,06/04/2014,0000,,31.4,,7.1,2.7,26.84,85.5,0.666667,
82145,06/04/2014,1200,0,,23.2,,,,,,
82145,07/04/2014,0000,,31.6,,7.6,2.7,27.24,85.25,0.733333,
82145,07/04/2014,1200,0.4,,23.8,,,,,,
82145,08/04/2014,0000,,28.4,,1.7,2.3,25.96,91.5,0.666667,
82145,08/04/2014,1200,5.4,,23.2,,,,,,
82145,09/04/2014,0000,,27.4,,0,0.7,25.28,96.75,0,
82145,09/04/2014,1200,22.3,,22.8,,,,,,
82145,10/04/2014,0000,,27.8,,0.2,0.4,25.08,94.5,0.666667,
82145,10/04/2014,1200,66.7,,23.4,,,,,,
82145,11/04/2014,0000,,27.6,,1.1,1.1,24.42,94.75,0.333333,
82145,11/04/2014,1200,24.2,,22.9,,,,,,
82145,12/04/2014,0000,,30.6,,5.9,0.4,26.28,89,0.4,
82145,12/04/2014,1200,10.3,,23.4,,,,,,
82145,13/04/2014,0000,,29.8,,5.5,1.5,26.16,91,0.666667,
82145,13/04/2014,1200,1.7,,23.2,,,,,,
82145,14/04/2014,0000,,31.6,,9.6,1.2,26.84,85.5,0.8,
82145,14/04/2014,1200,5.3,,23.6,,,,,,
82145,15/04/2014,0000,,31.2,,5.5,3.3,25.66,91.75,0.333333,
82145,15/04/2014,1200,0,,22.5,,,,,,
82145,16/04/2014,0000,,31.4,,7.3,1.8,26.7,87.75,0.333333,
82145,16/04/2014,1200,20.4,,22.9,,,,,,
82145,17/04/2014,0000,,30,,3.9,2.4,25.88,91,0,
82145,17/04/2014,1200,1.6,,23.8,,,,,,
82145,18/04/2014,0000,,28.4,,2.4,1,25.72,94.75,0,
82145,18/04/2014,1200,16,,24,,,,,,
82145,19/04/2014,0000,,30.2,,6,0.7,25.88,90.5,0.6,
82145,19/04/2014,1200,14.8,,24,,,,,,
82145,20/04/2014,0000,,30.6,,6.9,1.4,26.08,88,1,
82145,20/04/2014,1200,8,,23.4,,,,,,
82145,21/04/2014,0000,,31,,4.2,2.2,25.8,93,0.333333,
82145,21/04/2014,1200,16.2,,23.2,,,,,,
82145,22/04/2014,0000,,29.4,,4.5,1.4,26.36,89.75,0.833333,
82145,22/04/2014,1200,14.2,,23.4,,,,,,
82145,23/04/2014,0000,,31.3,,6.7,1.5,26.62,87.75,1.1,
82145,23/04/2014,1200,4.6,,24,,,,,,
82145,24/04/2014,0000,,31.5,,5.6,4.3,26.86,91.25,0.6,
82145,24/04/2014,1200,4,,23.6,,,,,,
82145,25/04/2014,0000,,30.6,,6.1,1.6,26.68,87.75,0.933333,
82145,25/04/2014,1200,26,,24,,,,,,
82145,26/04/2014,0000,,27.6,,0.5,3,25.44,95.25,0.6,
82145,26/04/2014,1200,8,,24.4,,,,,,
82145,27/04/2014,0000,,27.2,,0.5,0,25.2,98.25,0,
82145,27/04/2014,1200,20.2,,24.2,,,,,,
82145,28/04/2014,0000,,29.2,,3.7,0.2,24.74,91,0.333333,
82145,28/04/2014,1200,30.8,,22.7,,,,,,
82145,29/04/2014,0000,,30.6,,7.4,1.1,26.02,89.75,1,
82145,29/04/2014,1200,0.7,,22.9,,,,,,
82145,30/04/2014,0000,,30.4,,4.7,1.9,26.12,98.25,0.333333,
82145,30/04/2014,1200,0,,23.2,,,,,,
82145,01/05/2014,0000,,27.8,,0,1.2,24.86,94.25,0,
82145,01/05/2014,1200,26.7,,21.9,,,,,,
82145,02/05/2014,0000,,29.2,,0.5,0.9,25.42,94,0.733333,
82145,02/05/2014,1200,25.4,,22.7,,,,,,
82145,03/05/2014,0000,,31.2,,9.4,0.9,26.66,88.25,0.733333,
82145,03/05/2014,1200,10.2,,22.9,,,,,,
82145,04/05/2014,0000,,31.4,,5.7,2,26.74,89.75,0.6,
82145,04/05/2014,1200,0.2,,22.9,,,,,,
82145,05/05/2014,0000,,31.5,,4.7,1.7,26.18,89.75,0.866667,
82145,05/05/2014,1200,0.9,,23.2,,,,,,
82145,06/05/2014,0000,,30.8,,5.5,1.5,25.74,91,0.933333,
82145,06/05/2014,1200,32.8,,22.7,,,,,,
82145,07/05/2014,0000,,29.6,,1.8,0.9,25.6,95.75,0,
82145,07/05/2014,1200,34.8,,23.4,,,,,,
82145,08/05/2014,0000,,30,,4.2,0.8,25.84,92.25,0.6,
82145,08/05/2014,1200,8.8,,23.2,,,,,,
82145,09/05/2014,0000,,31.2,,7,0.3,26.36,92,0.6,
82145,09/05/2014,1200,17.4,,23.8,,,,,,
82145,10/05/2014,0000,,27.2,,0,1.6,24.72,94.25,0.533333,
82145,10/05/2014,1200,27.9,,22.8,,,,,,
82145,11/05/2014,0000,,29.8,,1.9,0.6,25.34,91,0.533333,
82145,11/05/2014,1200,5.2,,21.9,,,,,,
82145,12/05/2014,0000,,29,,0.7,0.8,24.78,95.25,0.2,
82145,12/05/2014,1200,10.4,,22.7,,,,,,
