Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82792,01/01/2014,0000,,31.8,,9.6,8.1,25.4,55,5.05,
82792,01/01/2014,1200,0,,19.2,,,,,,
82792,02/01/2014,0000,,32,,11.6,8.2,24.96,64,6.45,
82792,02/01/2014,1200,0,,18.6,,,,,,
82792,03/01/2014,0000,,31.2,,11.6,7.3,24.96,57,4.85,
82792,03/01/2014,1200,0,,19,,,,,,
82792,04/01/2014,0000,,33.2,,11.7,7.9,25.6,30,3.7,
82792,04/01/2014,1200,0,,17.6,,,,,,
82792,05/01/2014,0000,,32,,9.5,7.8,26.28,29,4.3,
82792,05/01/2014,1200,0,,20.6,,,,,,
82792,06/01/2014,0000,,30.4,,5.8,6.1,24.08,38,3.15,
82792,06/01/2014,1200,0,,19.6,,,,,,
82792,07/01/2014,0000,,29,,2.8,3.9,23.92,33,3.15,
82792,07/01/2014,1200,2.2,,18.4,,,,,,
82792,08/01/2014,0000,,31.8,,11.2,5.1,25.6,30,3.7,
82792,08/01/2014,1200,0,,19.8,,,,,,
82792,09/01/2014,0000,,30.6,,7.6,5.3,24.52,33,3.55,
82792,09/01/2014,1200,0,,19,,,,,,
82792,10/01/2014,0000,,31.4,,6.2,6,25.48,33,4.55,
82792,10/01/2014,1200,0.4,,20,,,,,,
82792,11/01/2014,0000,,32.4,,8.7,6.4,24.4,33,4.3,
82792,11/01/2014,1200,0,,17.2,,,,,,
82792,12/01/2014,0000,,31,,5.5,5.9,24.96,70,3.9,
82792,12/01/2014,1200,0.2,,19.6,,,,,,
82792,13/01/2014,0000,,31.8,,10.1,4.2,25.56,66,3.55,
82792,13/01/2014,1200,0,,18.8,,,,,,
82792,14/01/2014,0000,,33.2,,6.9,5.1,24.92,77,3.3,
82792,14/01/2014,1200,0,,18.8,,,,,,
82792,15/01/2014,0000,,31.8,,9.7,3.5,25.24,60,3.5,
82792,15/01/2014,1200,0.2,,18.6,,,,,,
82792,16/01/2014,0000,,32.6,,7.6,5.2,25.94,62,4.05,
82792,16/01/2014,1200,0,,18.5,,,,,,
82792,17/01/2014,0000,,33.2,,10.3,4.9,26.44,63,4.3,
82792,17/01/2014,1200,0,,19.6,,,,,,
82792,18/01/2014,0000,,34,,10.6,4.9,26.72,64,4.3,
82792,18/01/2014,1200,0,,19.6,,,,,,
82792,19/01/2014,0000,,33.6,,9.2,5.1,26.48,65,4.8,
82792,19/01/2014,1200,0,,19.8,,,,,,
82792,20/01/2014,0000,,33,,11.4,5.1,26.12,60,5.8,
82792,20/01/2014,1200,0,,19.8,,,,,,
82792,21/01/2014,0000,,32.2,,7.9,5.6,25.4,59,5.95,
82792,21/01/2014,1200,0,,18.8,,,,,,
82792,22/01/2014,0000,,32.6,,10.3,6.3,25.68,51,4,
82792,22/01/2014,1200,0,,18.4,,,,,,
82792,23/01/2014,0000,,34.2,,9.6,7.7,26.48,57,5.25,
82792,23/01/2014,1200,0,,18.8,,,,,,
82792,24/01/2014,0000,,34.6,,10.8,6.8,26.44,54,4.15,
82792,24/01/2014,1200,0,,18.8,,,,,,
82792,25/01/2014,0000,,33.4,,11.3,7.7,25.24,59,3.3,
82792,25/01/2014,1200,0,,17.8,,,,,,
82792,26/01/2014,0000,,32.8,,9.8,6.8,26.16,58,4.15,
82792,26/01/2014,1200,0,,19,,,,,,
82792,27/01/2014,0000,,33,,8.3,6.2,25.64,63,3.3,
82792,27/01/2014,1200,0,,20.6,,,,,,
82792,28/01/2014,0000,,32.4,,10.3,6.2,25.6,54,3.3,
82792,28/01/2014,1200,0,,18.4,,,,,,
82792,29/01/2014,0000,,32.6,,10,5.8,25.96,58,4.05,
82792,29/01/2014,1200,0,,18,,,,,,
82792,30/01/2014,0000,,33.2,,5.6,6.8,25,82,2.85,
82792,30/01/2014,1200,0,,19.6,,,,,,
82792,31/01/2014,0000,,32.2,,8.1,3.5,25.32,66,4.3,
82792,31/01/2014,1200,18.8,,18.8,,,,,,
82792,01/02/2014,0000,,33.4,,9.5,5.4,26.24,55.5,3.466667,
82792,01/02/2014,1200,0,,19,,,,,,
82792,02/02/2014,0000,,33.8,,11.1,5.7,25.84,60.5,3.633333,
82792,02/02/2014,1200,0,,19,,,,,,
82792,03/02/2014,0000,,32.6,,5.9,7.9,24.8,68.75,3.766667,
82792,03/02/2014,1200,0,,20,,,,,,
82792,04/02/2014,0000,,31.4,,10.8,3.9,24.96,64.25,2.7,
82792,04/02/2014,1200,21.4,,18.6,,,,,,
82792,05/02/2014,0000,,31.6,,8.9,4.8,25.28,56.25,3.566667,
82792,05/02/2014,1200,0,,18.4,,,,,,
82792,06/02/2014,0000,,30.8,,1.1,5.7,23.24,86.25,2.733333,
82792,06/02/2014,1200,0,,18,,,,,,
82792,07/02/2014,0000,,30.2,,8.2,0.8,24.24,68,2.6,
82792,07/02/2014,1200,11.8,,19.4,,,,,,
82792,08/02/2014,0000,,32.8,,7.3,3,24.96,69.75,3.433333,
82792,08/02/2014,1200,0,,18.6,,,,,,
82792,09/02/2014,0000,,30.6,,4.4,3.7,24.92,69.25,2.033333,
82792,09/02/2014,1200,0,,19.8,,,,,,
82792,10/02/2014,0000,,31.4,,6.8,3.3,25.04,67.5,2.733333,
82792,10/02/2014,1200,0,,19.6,,,,,,
82792,11/02/2014,0000,,31.2,,7.4,3.5,24.64,65.5,3.166667,
82792,11/02/2014,1200,0,,19.8,,,,,,
82792,12/02/2014,0000,,31.2,,6.9,3.5,24.6,65.25,3.233333,
82792,12/02/2014,1200,0,,18.4,,,,,,
82792,13/02/2014,0000,,32.8,,8.3,4.5,25.68,58.5,3.7,
82792,13/02/2014,1200,0,,18.6,,,,,,
82792,14/02/2014,0000,,32.2,,4.8,7.3,25.28,63.75,3.2,
82792,14/02/2014,1200,0,,20.4,,,,,,
82792,15/02/2014,0000,,31.8,,1.2,4.2,25.16,66.5,3.6,
82792,15/02/2014,1200,0,,20.6,,,,,,
82792,16/02/2014,0000,,30.8,,6.5,3.7,24.52,74,3.733333,
82792,16/02/2014,1200,0,,20.2,,,,,,
82792,17/02/2014,0000,,30.8,,6.3,2.3,24,78,2.866667,
82792,17/02/2014,1200,14.4,,20,,,,,,
82792,18/02/2014,0000,,31.4,,5,1.8,24.84,67.25,3.566667,
82792,18/02/2014,1200,6,,19,,,,,,
82792,19/02/2014,0000,,31,,7.6,3.5,25.04,63.75,4.6,
