Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82791,01/01/2014,0000,,35.9,,10.9,8.8,28.96,49.5,4.7,
82791,01/01/2014,1200,0,,23.6,,,,,,
82791,02/01/2014,0000,,36.3,,10,11.1,28.92,51.25,4.733333,
82791,02/01/2014,1200,0,,23,,,,,,
82791,03/01/2014,0000,,36.3,,11.4,9.9,29.08,46.5,4.033333,
82791,03/01/2014,1200,0,,23.6,,,,,,
82791,04/01/2014,0000,,36.9,,11.5,10.9,29.4,47.75,2.166667,
82791,04/01/2014,1200,0,,23,,,,,,
82791,05/01/2014,0000,,36.7,,7.5,8.1,29.24,46.75,2.866667,
82791,05/01/2014,1200,0,,22.4,,,,,,
82791,06/01/2014,0000,,37.5,,4.3,8.7,28.68,59.75,3.3,
82791,06/01/2014,1200,0,,23.8,,,,,,
82791,07/01/2014,0000,,33.6,,1.7,5.9,28.14,50,3.433333,
82791,07/01/2014,1200,0,,23.2,,,,,,
82791,08/01/2014,0000,,35.9,,10.8,9.1,29.32,47,3.133333,
82791,08/01/2014,1200,0,,23.4,,,,,,
82791,09/01/2014,0000,,35.5,,7.6,9.1,27.68,62,3.133333,
82791,09/01/2014,1200,0,,23.6,,,,,,
82791,10/01/2014,0000,,33.8,,3.5,5.1,28.14,56.5,3.266667,
82791,10/01/2014,1200,4.1,,23,,,,,,
82791,11/01/2014,0000,,34.8,,11,7.6,28.1,55,4.133333,
82791,11/01/2014,1200,0,,22.8,,,,,,
82791,12/01/2014,0000,,34.8,,7.2,8.8,28.62,56.75,3.666667,
82791,12/01/2014,1200,0,,23.4,,,,,,
82791,13/01/2014,0000,,34.6,,5.5,8,28.42,61,2.9,
82791,13/01/2014,1200,0,,23,,,,,,
82791,14/01/2014,0000,,35.7,,9.3,6.9,29.04,54.5,4.766667,
82791,14/01/2014,1200,0,,23.4,,,,,,
82791,15/01/2014,0000,,36.3,,11.1,10.5,30.04,48.25,3.3,
82791,15/01/2014,1200,0,,23.8,,,,,,
82791,16/01/2014,0000,,36.7,,9,9.5,29.82,50.5,2.233333,
82791,16/01/2014,1200,0,,23.2,,,,,,
82791,17/01/2014,0000,,36.6,,9.4,9.9,30.38,52,1.966667,
82791,17/01/2014,1200,0,,24,,,,,,
82791,18/01/2014,0000,,38.5,,10.8,8,30.66,54.75,2.466667,
82791,18/01/2014,1200,0,,24.2,,,,,,
82791,19/01/2014,0000,,37.6,,7.4,9,30.18,56,3.4,
82791,19/01/2014,1200,0,,24.2,,,,,,
82791,20/01/2014,0000,,36.1,,9.2,8.5,29.24,56,3.5,
82791,20/01/2014,1200,0,,24.5,,,,,,
82791,21/01/2014,0000,,36.3,,7.6,9,29.2,50.5,3.633333,
82791,21/01/2014,1200,0,,23.4,,,,,,
82791,22/01/2014,0000,,36.5,,9.5,10.1,29.36,44.25,4.066667,
82791,22/01/2014,1200,0,,23,,,,,,
82791,23/01/2014,0000,,37.3,,8.5,11.8,29.88,49.5,4.4,
82791,23/01/2014,1200,0,,23.4,,,,,,
82791,24/01/2014,0000,,37.5,,10.5,10.8,29.8,46,5.133333,
82791,24/01/2014,1200,0,,23.6,,,,,,
82791,25/01/2014,0000,,36.3,,9.4,13,29.16,50,3.5,
82791,25/01/2014,1200,0,,23.2,,,,,,
82791,26/01/2014,0000,,37.1,,9.1,10.8,28.32,61.75,2.9,
82791,26/01/2014,1200,0,,23.6,,,,,,
82791,27/01/2014,0000,,36.9,,8.7,8.1,29.02,54.5,4.366667,
82791,27/01/2014,1200,2.1,,23.3,,,,,,
82791,28/01/2014,0000,,36.3,,10.8,11.6,29.64,45.5,4.866667,
82791,28/01/2014,1200,0,,23.4,,,,,,
82791,29/01/2014,0000,,36.7,,10.5,13.7,29.96,48,4.466667,
82791,29/01/2014,1200,0,,23.2,,,,,,
82791,30/01/2014,0000,,32.2,,0.9,10.6,27.14,73.25,2.733333,
82791,30/01/2014,1200,0,,24.2,,,,,,
82791,31/01/2014,0000,,35.3,,7.4,3.2,29.48,49.25,3.2,
82791,31/01/2014,1200,6,,22.6,,,,,,
82791,01/02/2014,0000,,37.3,,8.9,8.4,30.48,47.25,3.133333,
82791,01/02/2014,1200,0,,24,,,,,,
82791,02/02/2014,0000,,36.7,,10.7,10.9,28.96,57.25,2.9,
82791,02/02/2014,1200,0,,23.8,,,,,,
82791,03/02/2014,0000,,36.5,,8.1,10.7,28.28,61.25,3.633333,
82791,03/02/2014,1200,0,,24.5,,,,,,
82791,04/02/2014,0000,,36.7,,10.4,9,29.32,51.75,4.466667,
82791,04/02/2014,1200,0,,24,,,,,,
82791,05/02/2014,0000,,34.8,,10.7,11.9,28.94,50,4.733333,
82791,05/02/2014,1200,0,,23.2,,,,,,
82791,06/02/2014,0000,,31.4,,3.8,11.4,26.24,76.5,3.033333,
82791,06/02/2014,1200,0,,22.6,,,,,,
82791,07/02/2014,0000,,34.6,,11.2,4.7,28.06,61.25,4.233333,
82791,07/02/2014,1200,3.8,,22.4,,,,,,
82791,08/02/2014,0000,,36.3,,10.2,9.7,28.6,59.25,3.466667,
82791,08/02/2014,1200,0,,23.6,,,,,,
82791,09/02/2014,0000,,35,,4,10.1,28.44,58.25,4.066667,
82791,09/02/2014,1200,0,,23.8,,,,,,
82791,10/02/2014,0000,,36.3,,8.2,8,29.22,54.75,3.733333,
82791,10/02/2014,1200,0,,24,,,,,,
