Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82689,01/01/2014,0000,,34.8,,9.4,8.4,27,74.5,1.366667,
82689,01/01/2014,1200,0,,21.2,,,,,,
82689,02/01/2014,0000,,34.6,,11.4,7.1,26.14,68,1.6,
82689,02/01/2014,1200,0,,20.3,,,,,,
82689,03/01/2014,0000,,34.6,,11.3,7.9,27.32,69.5,1.5,
82689,03/01/2014,1200,0,,22,,,,,,
82689,04/01/2014,0000,,35.8,,11.6,7.6,27.78,65.5,1.4,
82689,04/01/2014,1200,0,,21,,,,,,
82689,05/01/2014,0000,,33.8,,9.1,7.4,27.18,74.75,1.7,
82689,05/01/2014,1200,1.6,,24,,,,,,
82689,06/01/2014,0000,,33.6,,7.9,6.4,27.28,71.25,1.466667,
82689,06/01/2014,1200,0.3,,22,,,,,,
82689,07/01/2014,0000,,31.9,,0.8,6.9,25.94,72.5,1.6,
82689,07/01/2014,1200,0,,22.9,,,,,,
82689,08/01/2014,0000,,35.2,,11.3,7.8,27.62,57.75,1.6,
82689,08/01/2014,1200,0,,22.2,,,,,,
82689,09/01/2014,0000,,35,,11.5,8.1,27.48,66.75,2.033333,
82689,09/01/2014,1200,0,,23,,,,,,
82689,10/01/2014,0000,,33.8,,5.5,9.2,28.06,71.25,2.433333,
82689,10/01/2014,1200,0,,24.1,,,,,,
82689,11/01/2014,0000,,37,,11.5,9.2,28.52,52,3.033333,
82689,11/01/2014,1200,0,,19.4,,,,,,
82689,12/01/2014,0000,,33.8,,8.6,10.8,28.04,65.75,1.533333,
82689,12/01/2014,1200,0,,24,,,,,,
82689,13/01/2014,0000,,34.3,,7.9,8.7,27.56,73.5,1.766667,
82689,13/01/2014,1200,0,,23.8,,,,,,
82689,14/01/2014,0000,,35.4,,9.3,8.2,29.18,57,1.833333,
82689,14/01/2014,1200,0,,24.4,,,,,,
82689,15/01/2014,0000,,36,,9.5,10.5,28.72,64,1.266667,
82689,15/01/2014,1200,0,,25,,,,,,
82689,16/01/2014,0000,,33.7,,6.6,9.1,27.02,71.25,1.666667,
82689,16/01/2014,1200,1.3,,22.2,,,,,,
82689,17/01/2014,0000,,36.4,,10.8,8.1,27.48,65.25,2.033333,
82689,17/01/2014,1200,0,,22.2,,,,,,
82689,18/01/2014,0000,,37.6,,10.7,10,30.28,58.25,1.333333,
82689,18/01/2014,1200,0,,24.8,,,,,,
82689,19/01/2014,0000,,35.5,,7.9,9.6,29.52,67.25,1.5,
82689,19/01/2014,1200,1.6,,24.9,,,,,,
82689,20/01/2014,0000,,33.7,,9.2,5.4,26.88,78.75,1.8,
82689,20/01/2014,1200,53.9,,22.2,,,,,,
82689,21/01/2014,0000,,34.1,,8.7,6.2,26.42,74,1.633333,
82689,21/01/2014,1200,0,,22,,,,,,
82689,22/01/2014,0000,,33.8,,8.3,5.9,26.54,75.25,1.666667,
82689,22/01/2014,1200,0,,20.7,,,,,,
82689,23/01/2014,0000,,35,,11.3,7.2,26.4,70.75,1.633333,
82689,23/01/2014,1200,0,,20.6,,,,,,
82689,24/01/2014,0000,,35.8,,10.7,9,27.94,65.25,1.266667,
82689,24/01/2014,1200,0,,23.4,,,,,,
82689,25/01/2014,0000,,34.9,,11.4,8.4,27.34,59.75,2.3,
82689,25/01/2014,1200,0,,20.2,,,,,,
82689,26/01/2014,0000,,35.2,,11,9,28.48,61.75,1.633333,
82689,26/01/2014,1200,0,,22,,,,,,
82689,27/01/2014,0000,,35.6,,10.2,9.4,28.1,70.25,1.6,
82689,27/01/2014,1200,0,,23.4,,,,,,
82689,28/01/2014,0000,,34.2,,10.1,10,27.84,62.25,1.733333,
82689,28/01/2014,1200,0,,22.4,,,,,,
82689,29/01/2014,0000,,35.6,,10.6,10.6,27.48,60.25,3.433333,
82689,29/01/2014,1200,0,,19.4,,,,,,
82689,30/01/2014,0000,,33.6,,6.1,7.3,26.74,79.5,1.166667,
82689,30/01/2014,1200,1.7,,22.8,,,,,,
82689,31/01/2014,0000,,33.4,,10.3,4.8,27.8,74.5,1.733333,
82689,31/01/2014,1200,3.9,,23.4,,,,,,
82689,01/02/2014,0000,,35.6,,9.8,9.2,29.36,65,1.333333,
82689,01/02/2014,1200,0,,24.8,,,,,,
82689,02/02/2014,0000,,36,,11.4,10.8,28.68,65.75,1.966667,
82689,02/02/2014,1200,0,,25.4,,,,,,
82689,03/02/2014,0000,,35.1,,9.2,7.3,28.66,64.5,2.6,
82689,03/02/2014,1200,4.7,,23,,,,,,
82689,04/02/2014,0000,,34.6,,7.8,8.3,27.6,71.75,1.6,
82689,04/02/2014,1200,0.2,,23.1,,,,,,
82689,05/02/2014,0000,,35.2,,10.1,8.9,28.36,64.75,1.933333,
82689,05/02/2014,1200,0,,24,,,,,,
82689,06/02/2014,0000,,34.4,,11.3,10.2,27.72,63.5,2.166667,
82689,06/02/2014,1200,0,,20.8,,,,,,
82689,07/02/2014,0000,,34.6,,11.2,8.9,27.68,66.25,2.533333,
82689,07/02/2014,1200,8.1,,22.6,,,,,,
82689,08/02/2014,0000,,35.6,,10.6,7.6,28.4,66.5,2.133333,
82689,08/02/2014,1200,1.3,,22.4,,,,,,
82689,09/02/2014,0000,,33.2,,7.5,5.9,26.84,81.5,0.966667,
82689,09/02/2014,1200,8.3,,23.2,,,,,,
82689,10/02/2014,0000,,33.7,,9.9,6.2,27.54,69.25,2.066667,
82689,10/02/2014,1200,1.2,,23.2,,,,,,
82689,11/02/2014,0000,,33.8,,9.6,4.8,27.48,75.5,2.233333,
82689,11/02/2014,1200,18.4,,22.6,,,,,,
82689,12/02/2014,0000,,33.8,,9.1,5.3,27.38,81,1.266667,
82689,12/02/2014,1200,6.4,,23.3,,,,,,
82689,13/02/2014,0000,,34.2,,11.1,5.3,27.22,75.25,1.866667,
82689,13/02/2014,1200,0,,22.6,,,,,,
82689,14/02/2014,0000,,32.6,,5,6.2,26.68,81,1.666667,
82689,14/02/2014,1200,0.5,,22.6,,,,,,
82689,15/02/2014,0000,,33.2,,8.3,8.4,27.62,73.5,2.566667,
82689,15/02/2014,1200,0,,24.1,,,,,,
82689,16/02/2014,0000,,32.2,,3.5,6.2,26.32,82.25,1.633333,
82689,16/02/2014,1200,0,,23,,,,,,
82689,17/02/2014,0000,,28.2,,2.3,3.5,24.04,93.75,0.366667,
82689,17/02/2014,1200,47.4,,21.8,,,,,,
82689,18/02/2014,0000,,33,,11,2.3,26.68,67,2.8,
82689,18/02/2014,1200,0,,21,,,,,,
82689,19/02/2014,0000,,31.9,,9.9,3.9,26.14,85.25,1.766667,
82689,19/02/2014,1200,13.5,,22.8,,,,,,
82689,20/02/2014,0000,,32.2,,4.9,5.3,26.74,87.5,1.3,
82689,20/02/2014,1200,0,,23.2,,,,,,
82689,21/02/2014,0000,,30.8,,3,5,26,86.5,0.7,
82689,21/02/2014,1200,0,,22.8,,,,,,
82689,22/02/2014,0000,,31.8,,6.1,3.6,26.32,74,1.8,
82689,22/02/2014,1200,0,,21.4,,,,,,
82689,23/02/2014,0000,,32.5,,7.8,5.4,26.42,82.75,1.4,
82689,23/02/2014,1200,0,,23,,,,,,
82689,24/02/2014,0000,,33,,9.7,5.1,26.24,78.75,1.833333,
82689,24/02/2014,1200,0,,20.9,,,,,,
82689,25/02/2014,0000,,34,,11,5.2,26.5,75.75,1.9,
82689,25/02/2014,1200,0,,21,,,,,,
82689,26/02/2014,0000,,35,,11.4,6.9,28.12,62.5,2.366667,
82689,26/02/2014,1200,0,,22,,,,,,
82689,27/02/2014,0000,,32.5,,8.1,7,26.5,86.5,1.466667,
82689,27/02/2014,1200,32.1,,22.8,,,,,,
82689,28/02/2014,0000,,32,,6.2,4.9,26.54,79.5,1.5,
