Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82890,01/01/2014,0000,,31.2,,10.4,6.9,24.56,76,3.8,
82890,01/01/2014,1200,0,,19.7,,,,,,
82890,02/01/2014,0000,,32,,11.4,6,24.6,67.25,3.4,
82890,02/01/2014,1200,0,,19.3,,,,,,
82890,03/01/2014,0000,,31.4,,11.2,6.5,24.44,67,5.433333,
82890,03/01/2014,1200,0,,19.1,,,,,,
82890,04/01/2014,0000,,32,,11.8,8,24.76,70,4.466667,
82890,04/01/2014,1200,0,,17.7,,,,,,
82890,05/01/2014,0000,,31.4,,10.3,7.8,24.6,66.25,5.166667,
82890,05/01/2014,1200,0,,18.5,,,,,,
82890,06/01/2014,0000,,29.6,,7.9,6.8,23.72,72.75,4.133333,
82890,06/01/2014,1200,0,,20.1,,,,,,
82890,07/01/2014,0000,,30.2,,5.8,5.8,23.8,70,4.533333,
82890,07/01/2014,1200,0,,19.1,,,,,,
82890,08/01/2014,0000,,31,,8.1,6.7,23.68,76.75,3.833333,
82890,08/01/2014,1200,0,,18.5,,,,,,
82890,09/01/2014,0000,,31,,7.3,6.1,24.48,74.5,4.333333,
82890,09/01/2014,1200,0,,19.5,,,,,,
82890,10/01/2014,0000,,30.4,,4.4,5.3,25,73.5,3.8,
82890,10/01/2014,1200,0,,21.3,,,,,,
82890,11/01/2014,0000,,31.6,,8.2,5.2,24.16,77.25,5.366667,
82890,11/01/2014,1200,0,,18.1,,,,,,
82890,12/01/2014,0000,,31,,8.6,5.7,24.6,77.5,5.5,
82890,12/01/2014,1200,0,,20.3,,,,,,
82890,13/01/2014,0000,,32.2,,10,7.3,25.04,72.5,5.1,
82890,13/01/2014,1200,0,,20.3,,,,,,
82890,14/01/2014,0000,,30.6,,7.7,7.2,24.44,79.25,3.8,
82890,14/01/2014,1200,0,,20.5,,,,,,
82890,15/01/2014,0000,,30.8,,8.5,5.6,24.52,73.25,3.533333,
82890,15/01/2014,1200,0.2,,19.7,,,,,,
82890,16/01/2014,0000,,32.2,,10.2,6.9,24.96,67.75,2.9,
82890,16/01/2014,1200,0,,17.9,,,,,,
82890,17/01/2014,0000,,33.6,,9.3,6.4,26.32,66.75,2.366667,
82890,17/01/2014,1200,0,,19.7,,,,,,
82890,18/01/2014,0000,,34.4,,10.2,6,26.4,78,2.9,
82890,18/01/2014,1200,0,,21.1,,,,,,
82890,19/01/2014,0000,,33.6,,8.8,6.5,26.04,69.25,3.5,
82890,19/01/2014,1200,0.1,,21.1,,,,,,
82890,20/01/2014,0000,,34.4,,11.3,6.7,26.36,60.75,3.7,
82890,20/01/2014,1200,0,,20.3,,,,,,
82890,21/01/2014,0000,,32.8,,8.9,8.2,25.12,69,5.233333,
82890,21/01/2014,1200,0,,18.7,,,,,,
82890,22/01/2014,0000,,33.4,,9.7,8.4,25.12,63.75,3.333333,
82890,22/01/2014,1200,0,,18.9,,,,,,
82890,23/01/2014,0000,,34,,10.7,8.9,25.72,69.5,4.633333,
82890,23/01/2014,1200,0,,18.7,,,,,,
82890,24/01/2014,0000,,34.2,,10.2,9,25.52,64.75,3.633333,
82890,24/01/2014,1200,0,,19.3,,,,,,
82890,25/01/2014,0000,,33,,10.8,8.8,25.12,70.75,4.133333,
82890,25/01/2014,1200,0,,19.7,,,,,,
82890,26/01/2014,0000,,32.6,,9.9,7.2,25.52,71.75,4.466667,
82890,26/01/2014,1200,0,,20.9,,,,,,
82890,27/01/2014,0000,,31.8,,5.9,7.5,24.96,70.75,5.7,
82890,27/01/2014,1200,0,,21.7,,,,,,
82890,28/01/2014,0000,,32.2,,7.5,7.1,24.24,73.25,4.4,
82890,28/01/2014,1200,0.5,,19.5,,,,,,
82890,29/01/2014,0000,,31.6,,9.4,6.8,24.92,73.75,4.933333,
82890,29/01/2014,1200,0,,19.3,,,,,,
82890,30/01/2014,0000,,29.4,,4.4,6.7,24,78.75,4.466667,
82890,30/01/2014,1200,0,,20.5,,,,,,
82890,31/01/2014,0000,,31.6,,10.2,3.2,24.72,75.75,5.266667,
82890,31/01/2014,1200,2.2,,20.1,,,,,,
82890,01/02/2014,0000,,32,,11.1,7.8,25.2,71.75,5.2,
82890,01/02/2014,1200,0,,19.5,,,,,,
