Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82900,01/01/2014,0000,,30.6,,7,3.7,27.66,76.75,2.9,
82900,01/01/2014,1200,0,,25.6,,,,,,
82900,02/01/2014,0000,,31,,8.7,4.4,27.28,74.25,2.5,
82900,02/01/2014,1200,0,,23.6,,,,,,
82900,03/01/2014,0000,,31.1,,9.8,4.6,27.02,72.75,2.666667,
82900,03/01/2014,1200,0,,23.4,,,,,,
82900,04/01/2014,0000,,30.9,,5.7,3.7,26.4,71,2.233333,
82900,04/01/2014,1200,0,,20.9,,,,,,
82900,05/01/2014,0000,,30,,1.2,3.6,26.22,77.75,1.833333,
82900,05/01/2014,1200,0,,21.6,,,,,,
82900,06/01/2014,0000,,29.4,,1.6,2.3,25.66,76.5,1.6,
82900,06/01/2014,1200,13.9,,22.2,,,,,,
82900,07/01/2014,0000,,30,,5.5,3.2,26.02,74.75,2.4,
82900,07/01/2014,1200,0,,22,,,,,,
82900,08/01/2014,0000,,30.4,,,4.4,,,3.15,
82900,08/01/2014,1200,0,,,,,,,,
82900,09/01/2014,0000,,30.2,,0,4.4,24.9,86.25,0,
82900,09/01/2014,1200,1,,21.6,,,,,,
82900,10/01/2014,0000,,30,,6.4,0.5,25.96,78.25,2,
82900,10/01/2014,1200,31.6,,22,,,,,,
82900,11/01/2014,0000,,29.4,,2.7,3,24.62,88.25,1.5,
82900,11/01/2014,1200,0,,21,,,,,,
82900,12/01/2014,0000,,29.2,,2.9,1,25.32,82,1.133333,
82900,12/01/2014,1200,18.3,,22.6,,,,,,
82900,13/01/2014,0000,,30,,6,1.7,26.62,76,1.966667,
82900,13/01/2014,1200,5.1,,22.6,,,,,,
82900,14/01/2014,0000,,29.9,,2.1,3.3,26.52,79.25,1.466667,
82900,14/01/2014,1200,0,,22.2,,,,,,
82900,15/01/2014,0000,,30,,8.2,2.5,26.16,76.25,2.566667,
82900,15/01/2014,1200,6.8,,22.4,,,,,,
82900,16/01/2014,0000,,31,,6.9,3.5,26.48,71,1.966667,
82900,16/01/2014,1200,0,,21.8,,,,,,
82900,17/01/2014,0000,,30.8,,5.1,3.2,27,73.75,1.433333,
82900,17/01/2014,1200,0,,22.6,,,,,,
82900,18/01/2014,0000,,31.2,,6.4,2.9,27.4,72.75,2.933333,
82900,18/01/2014,1200,7.2,,23,,,,,,
82900,19/01/2014,0000,,30.8,,7.4,2.7,26.96,73.25,2.133333,
82900,19/01/2014,1200,2,,24,,,,,,
82900,20/01/2014,0000,,31.7,,8.9,3.2,27.5,65,2.666667,
82900,20/01/2014,1200,0,,23.8,,,,,,
82900,21/01/2014,0000,,31.2,,7.7,3.6,26.7,66.25,1.9,
82900,21/01/2014,1200,0,,20.4,,,,,,
82900,22/01/2014,0000,,31.4,,8.4,3.6,26.9,66.5,2.9,
82900,22/01/2014,1200,0,,23.2,,,,,,
82900,23/01/2014,0000,,30.4,,8.3,4.5,26.82,69,2.766667,
82900,23/01/2014,1200,2.6,,23.2,,,,,,
82900,24/01/2014,0000,,30.6,,9.1,3.5,26.56,69.25,1.9,
82900,24/01/2014,1200,0,,22.2,,,,,,
82900,25/01/2014,0000,,29.8,,3,3.6,25.42,75,1.166667,
82900,25/01/2014,1200,0,,22,,,,,,
82900,26/01/2014,0000,,30,,7.5,0.9,25.52,74.75,1.966667,
82900,26/01/2014,1200,8,,22.6,,,,,,
82900,27/01/2014,0000,,30,,2.2,2.5,26.38,71.75,2.766667,
82900,27/01/2014,1200,5.6,,21.2,,,,,,
82900,28/01/2014,0000,,31.2,,10.2,4,27.38,67.25,2.233333,
82900,28/01/2014,1200,0,,24.4,,,,,,
82900,29/01/2014,0000,,30.6,,7.4,3.6,27.54,70.25,3.166667,
82900,29/01/2014,1200,0.6,,23.6,,,,,,
82900,30/01/2014,0000,,30.2,,7.4,4.2,27.06,71.25,3.3,
82900,30/01/2014,1200,6.2,,23.8,,,,,,
82900,31/01/2014,0000,,30.4,,9.1,3.6,27.02,68.75,3.033333,
82900,31/01/2014,1200,0,,23.4,,,,,,
82900,01/02/2014,0000,,30.8,,8.4,3.4,26.8,69.25,2.5,
82900,01/02/2014,1200,0,,21.6,,,,,,
82900,02/02/2014,0000,,28.9,,0.9,3.2,25.7,80,2.233333,
82900,02/02/2014,1200,6,,24,,,,,,
82900,03/02/2014,0000,,29.4,,0.6,1.1,25.46,79.75,2.366667,
82900,03/02/2014,1200,11.6,,20.8,,,,,,
82900,04/02/2014,0000,,30.4,,7.2,1.3,25.6,76,1.333333,
82900,04/02/2014,1200,0.8,,22.5,,,,,,
82900,05/02/2014,0000,,30.8,,7.7,2.5,25.9,72.75,0.833333,
82900,05/02/2014,1200,0,,21.1,,,,,,
82900,06/02/2014,0000,,30.6,,1,3.3,25.7,85.25,1.566667,
82900,06/02/2014,1200,6,,22.6,,,,,,
82900,07/02/2014,0000,,28.6,,1.1,1.8,25.1,90.75,1.333333,
82900,07/02/2014,1200,35.4,,22.4,,,,,,
82900,08/02/2014,0000,,30.4,,3.9,0.7,26.86,79,2.466667,
82900,08/02/2014,1200,13,,23.2,,,,,,
82900,09/02/2014,0000,,28.7,,0,2.2,24.88,87,0.833333,
82900,09/02/2014,1200,24.3,,22.5,,,,,,
82900,10/02/2014,0000,,30,,2.8,0.9,26.24,84.5,0.9,
82900,10/02/2014,1200,12.4,,23,,,,,,
82900,11/02/2014,0000,,30.8,,7.3,2,27.38,73.5,2.133333,
82900,11/02/2014,1200,0.4,,23.8,,,,,,
82900,12/02/2014,0000,,28.3,,0,2.6,25.8,82.75,0.733333,
82900,12/02/2014,1200,0.2,,22.6,,,,,,
82900,13/02/2014,0000,,30.6,,6.7,1.3,26.58,76.25,2.233333,
82900,13/02/2014,1200,3,,21.1,,,,,,
82900,14/02/2014,0000,,30.8,,3.5,2.5,27.02,78,1.133333,
82900,14/02/2014,1200,16.6,,22.8,,,,,,
82900,15/02/2014,0000,,31.2,,3.2,1.8,27.3,75.25,1.366667,
82900,15/02/2014,1200,0,,23,,,,,,
