Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82975,01/01/2014,0000,,36.2,,8.5,,,48,2.5722,
82975,01/02/2014,0000,,36.2,,8.5,0,31.44,48,0.5,
82975,01/02/2014,1200,0,,20.7,,,,,,
82975,02/02/2014,0000,,37,,8.9,6.1,32,44,0.5,
82975,02/02/2014,1200,0,,20.9,,,,,,
82975,03/02/2014,0000,,36.4,,9.4,6.7,31.78,45,0.5,
82975,03/02/2014,1200,0,,21.1,,,,,,
82975,04/02/2014,0000,,37.2,,8,6.9,31.78,47,0.5,
82975,04/02/2014,1200,10,,20.3,,,,,,
82975,05/02/2014,0000,,36.5,,6.5,7,31.6,48,0.5,
82975,05/02/2014,1200,0,,20.7,,,,,,
82975,06/02/2014,0000,,36.8,,7.2,6.4,31.76,46,0.5,
82975,06/02/2014,1200,2,,20.6,,,,,,
82975,07/02/2014,0000,,34.3,,3.8,6.7,30.06,57,0.5,
82975,07/02/2014,1200,18,,20.1,,,,,,
82975,08/02/2014,0000,,34.1,,6.5,5.9,29.82,54,0.5,
82975,08/02/2014,1200,4,,19.8,,,,,,
82975,09/02/2014,0000,,36.2,,6.3,5.7,31.4,48,0.5,
82975,09/02/2014,1200,0,,20.4,,,,,,
82975,10/02/2014,0000,,36.3,,9.4,6.3,31.32,46,0.5,
82975,10/02/2014,1200,0,,20,,,,,,
82975,11/02/2014,0000,,35.5,,6,6.8,31.18,46,0.5,
82975,11/02/2014,1200,0,,20.6,,,,,,
82975,12/02/2014,0000,,33.5,,3.7,6.4,29.76,53,0.6,
82975,12/02/2014,1200,0,,20.3,,,,,,
82975,13/02/2014,0000,,36.5,,10,5.6,31.62,44,0.5,
82975,13/02/2014,1200,0,,20.5,,,,,,
82975,14/02/2014,0000,,36.5,,1.3,6.5,31.04,56,0.6,
82975,14/02/2014,1200,0,,20.3,,,,,,
82975,15/02/2014,0000,,30.4,,3.2,6.3,28.08,67,0.5,
82975,15/02/2014,1200,0,,20.7,,,,,,
82975,16/02/2014,0000,,30.2,,0.9,5,27.78,71,0.5,
82975,16/02/2014,1200,29,,20.4,,,,,,
82975,17/02/2014,0000,,32.5,,3.1,4.8,29.02,66,0.5,
82975,17/02/2014,1200,0,,20,,,,,,
82975,18/02/2014,0000,,31.2,,5.1,5.2,28.48,66,0.5,
82975,18/02/2014,1200,0,,20.4,,,,,,
82975,19/02/2014,0000,,32,,1.2,4.6,28.78,61,0.6,
82975,19/02/2014,1200,32,,20.1,,,,,,
82975,20/02/2014,0000,,30.2,,0,4.9,28.1,73,0.6,
82975,20/02/2014,1200,0,,20.5,,,,,,
82975,21/02/2014,0000,,33.2,,0,4.3,29.64,62,0.5,
82975,21/02/2014,1200,34.9,,20,,,,,,
82975,22/02/2014,0000,,34.5,,3.1,5,30.46,55,0.5,
82975,22/02/2014,1200,2.1,,20.1,,,,,,
82975,23/02/2014,0000,,34.2,,0,5.4,30.4,55,0.5,
82975,23/02/2014,1200,0,,20.4,,,,,,
82975,24/02/2014,0000,,34.9,,10.3,5.2,30.9,51,0.5,
82975,24/02/2014,1200,0,,20.7,,,,,,
82975,25/02/2014,0000,,34.4,,4.4,5.8,30.52,55,0.5,
82975,25/02/2014,1200,0,,20.5,,,,,,
82975,26/02/2014,0000,,33.2,,7.2,5.3,29.44,59,0.5,
82975,26/02/2014,1200,0,,20,,,,,,
82975,27/02/2014,0000,,33.5,,0.7,4.9,29.58,56,0.5,
82975,27/02/2014,1200,0,,19.8,,,,,,
82975,28/02/2014,0000,,34.2,,6.1,5.2,30.14,55,0.5,
82975,28/02/2014,1200,0,,20,,,,,,
82975,01/03/2014,0000,,30.2,,2.3,5.1,27.4,72,0.5,
