Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82976,01/01/2014,0000,,31.8,,11.4,4.5,24.64,59,1.35,
82976,01/01/2014,1200,0,,16.8,,,,,,
82976,02/01/2014,0000,,32.2,,11.9,5,24.84,67,2,
82976,02/01/2014,1200,0,,16.8,,,,,,
82976,03/01/2014,0000,,30.6,,11.4,5,24.4,65,2,
82976,03/01/2014,1200,0,,16.8,,,,,,
82976,04/01/2014,0000,,31.4,,11.6,5,25.12,66,2,
82976,04/01/2014,1200,0,,17.6,,,,,,
82976,05/01/2014,0000,,31.8,,11.8,4.5,24.8,61,1.35,
82976,05/01/2014,1200,0,,17.4,,,,,,
82976,06/01/2014,0000,,32.4,,1.2,5,24.36,60,2,
82976,06/01/2014,1200,0,,15.8,,,,,,
82976,07/01/2014,0000,,31.8,,11.8,5,24.08,65,1.35,
82976,07/01/2014,1200,0,,15.6,,,,,,
82976,08/01/2014,0000,,31.8,,11.8,5.5,24.52,67,1.35,
82976,08/01/2014,1200,0,,15.8,,,,,,
82976,09/01/2014,0000,,32.8,,11.4,5,24.88,67,1.35,
82976,09/01/2014,1200,0,,15.6,,,,,,
82976,10/01/2014,0000,,29.2,,4.1,5,24.48,72,2,
82976,10/01/2014,1200,0,,18.2,,,,,,
82976,11/01/2014,0000,,31.4,,6,4,25.88,68,1.35,
82976,11/01/2014,1200,0,,20.2,,,,,,
82976,12/01/2014,0000,,31.8,,6.4,4.5,25.08,73,2,
82976,12/01/2014,1200,0,,19.8,,,,,,
82976,13/01/2014,0000,,30.6,,4.2,4,25.12,65,1.35,
82976,13/01/2014,1200,0,,19.4,,,,,,
82976,14/01/2014,0000,,31.2,,3.9,4,25.4,69,1.35,
82976,14/01/2014,1200,0,,19.2,,,,,,
82976,15/01/2014,0000,,31.4,,3.8,3,24.6,68,1.35,
82976,15/01/2014,1200,0,,17.6,,,,,,
82976,16/01/2014,0000,,34.2,,9.5,4.5,26.64,63,1.35,
82976,16/01/2014,1200,0,,17.8,,,,,,
82976,17/01/2014,0000,,34.2,,10.7,5,26.24,62,2,
82976,17/01/2014,1200,0,,18.6,,,,,,
82976,18/01/2014,0000,,34.4,,11.5,5,26.92,,0.7,
82976,18/01/2014,1200,0,,19.2,,,,,,
82976,19/01/2014,0000,,34.2,,7.8,4.5,26.6,72,1.35,
82976,19/01/2014,1200,0,,18.8,,,,,,
82976,20/01/2014,0000,,34.2,,8.9,6,27,70,2.65,
82976,20/01/2014,1200,0,,20.8,,,,,,
82976,21/01/2014,0000,,32.8,,5.2,5,25.64,75,1.35,
82976,21/01/2014,1200,0,,20.4,,,,,,
82976,22/01/2014,0000,,34.2,,10.8,5,26.72,58,2,
82976,22/01/2014,1200,0,,19.4,,,,,,
82976,23/01/2014,0000,,34.2,,10.9,5,27.24,49,1.35,
82976,23/01/2014,1200,0,,18.2,,,,,,
82976,24/01/2014,0000,,32.4,,6.2,5.5,26.16,63,0.85,
82976,24/01/2014,1200,0,,19.8,,,,,,
82976,25/01/2014,0000,,32.8,,8.5,5,25.16,78,1.35,
82976,25/01/2014,1200,0,,19.4,,,,,,
82976,26/01/2014,0000,,31.8,,4.9,5,25.2,66,0.7,
82976,26/01/2014,1200,0,,19.2,,,,,,
82976,27/01/2014,0000,,33.6,,9.9,4,24.8,76,1.35,
82976,27/01/2014,1200,1,,19.4,,,,,,
82976,28/01/2014,0000,,31.4,,2.8,4,25.12,64,2,
82976,28/01/2014,1200,0.4,,19.2,,,,,,
82976,29/01/2014,0000,,34.2,,8.2,5,26.96,58,2,
82976,29/01/2014,1200,0,,20.4,,,,,,
82976,30/01/2014,0000,,34.2,,9.2,5,26.84,,1.35,
82976,30/01/2014,1200,0,,18.4,,,,,,
82976,31/01/2014,0000,,34.2,,7.4,5.5,26.72,61,1.35,
82976,31/01/2014,1200,0,,19.8,,,,,,
82976,01/02/2014,0000,,33.8,,7,6,27.12,59,2.65,
82976,01/02/2014,1200,0,,19.4,,,,,,
82976,02/02/2014,0000,,34.6,,11.2,6,27,61,1.35,
82976,02/02/2014,1200,0,,19.4,,,,,,
82976,03/02/2014,0000,,35.2,,9.8,6,27.52,60,1.35,
82976,03/02/2014,1200,0,,18.8,,,,,,
82976,04/02/2014,0000,,34.8,,9.2,6,26.84,57,1.35,
82976,04/02/2014,1200,0,,19.8,,,,,,
82976,05/02/2014,0000,,34.2,,6.4,5.5,26.76,64,1.35,
82976,05/02/2014,1200,0,,19.8,,,,,,
82976,06/02/2014,0000,,34.6,,10.5,6,27.28,51,2,
82976,06/02/2014,1200,0,,20.6,,,,,,
82976,07/02/2014,0000,,33.6,,4.8,6,26.92,60,2,
82976,07/02/2014,1200,0,,20.4,,,,,,
82976,08/02/2014,0000,,31.8,,5.8,5,25.64,74,1.35,
82976,08/02/2014,1200,0,,20.8,,,,,,
82976,09/02/2014,0000,,34.2,,6.9,4.5,26.56,59,1.35,
82976,09/02/2014,1200,3,,19.4,,,,,,
82976,10/02/2014,0000,,34.8,,9.3,4,27.48,55,1.35,
82976,10/02/2014,1200,0,,20.4,,,,,,
82976,11/02/2014,0000,,35.2,,9.2,5,28,57,1.35,
82976,11/02/2014,1200,0,,20.8,,,,,,
82976,12/02/2014,0000,,34.6,,6.6,6,26.68,55,2,
82976,12/02/2014,1200,0,,19.6,,,,,,
82976,13/02/2014,0000,,35.4,,10.2,6,27.32,63,2,
82976,13/02/2014,1200,0,,19.2,,,,,,
82976,14/02/2014,0000,,31.2,,0.5,6,24.4,80,0.7,
82976,14/02/2014,1200,0,,21,,,,,,
82976,15/02/2014,0000,,29.8,,1.2,5.5,23.12,92,0.7,
82976,15/02/2014,1200,0.6,,19.2,,,,,,
82976,16/02/2014,0000,,26.2,,0,3,21.92,94,0.7,
82976,16/02/2014,1200,11,,19.2,,,,,,
82976,17/02/2014,0000,,27.8,,1.2,3,22.88,88,0.7,
82976,17/02/2014,1200,7.8,,19.8,,,,,,
82976,18/02/2014,0000,,29.2,,2.4,3,24,80,1.5,
82976,18/02/2014,1200,0,,19.4,,,,,,
82976,19/02/2014,0000,,28.4,,0,3,22.8,90,0.7,
82976,19/02/2014,1200,1,,19.2,,,,,,
82976,20/02/2014,0000,,25.2,,0,1,22.6,89,0.7,
82976,20/02/2014,1200,77.2,,19,,,,,,
82976,21/02/2014,0000,,26.2,,0,2,22.6,88,1.35,
82976,21/02/2014,1200,9.2,,18.6,,,,,,
82976,22/02/2014,0000,,29.4,,4.2,1.5,24.24,79,1.35,
82976,22/02/2014,1200,0.8,,19.8,,,,,,
82976,23/02/2014,0000,,30.4,,6.2,3,24.88,77,1.35,
82976,23/02/2014,1200,0,,19.2,,,,,,
82976,24/02/2014,0000,,31.8,,10.8,4,25.6,72,1.35,
82976,24/02/2014,1200,0,,19.8,,,,,,
82976,25/02/2014,0000,,30.4,,7.2,5,25.12,74,0.7,
82976,25/02/2014,1200,0,,19.4,,,,,,
82976,26/02/2014,0000,,31.6,,6.4,5,25.16,78,0.7,
82976,26/02/2014,1200,0,,19.2,,,,,,
82976,27/02/2014,0000,,29.8,,2.6,5,24.76,72,0.7,
82976,27/02/2014,1200,0,,19.6,,,,,,
82976,28/02/2014,0000,,31.2,,8.4,5,25.8,71,0.7,
82976,28/02/2014,1200,0,,19.8,,,,,,
82976,01/03/2014,0000,,29.8,,4.4,4,22.96,91,0.7,
82976,01/03/2014,1200,16.2,,18.2,,,,,,
