Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82287,01/01/2014,0000,,35.9,,10.1,10.4,,,6.366667,
82287,01/01/2014,1200,0,,24.3,,,,,,
82287,02/01/2014,0000,,32.8,,9.4,8.9,,,5.8,
82287,02/01/2014,1200,0,,24.7,,,,,,
82287,03/01/2014,0000,,32.9,,9.5,6.5,,,6.233333,
82287,03/01/2014,1200,0,,24.2,,,,,,
82287,04/01/2014,0000,,32.1,,9,7.7,,,5.533333,
82287,04/01/2014,1200,0,,24.3,,,,,,
82287,05/01/2014,0000,,33.2,,9.2,6.3,,,4.633333,
82287,05/01/2014,1200,0,,23.9,,,,,,
82287,06/01/2014,0000,,32.4,,4.8,6.6,,,3.133333,
82287,06/01/2014,1200,0,,24.2,,,,,,
82287,07/01/2014,0000,,31,,2.3,3.7,,,1.933333,
82287,07/01/2014,1200,4.4,,21.7,,,,,,
82287,08/01/2014,0000,,30.4,,3.2,2.5,,,2.766667,
82287,08/01/2014,1200,33.3,,21.2,,,,,,
82287,09/01/2014,0000,,29.9,,2.6,2.4,,,4.3,
82287,09/01/2014,1200,0.9,,23.4,,,,,,
82287,10/01/2014,0000,,32.5,,6.4,3.5,,,4.2,
82287,10/01/2014,1200,1.4,,23.6,,,,,,
82287,11/01/2014,0000,,33.3,,10,5,,,4.366667,
82287,11/01/2014,1200,0.3,,24.1,,,,,,
82287,12/01/2014,0000,,32.2,,5,6.5,,,3.833333,
82287,12/01/2014,1200,0,,23.8,,,,,,
82287,13/01/2014,0000,,31.1,,7.3,3.6,,,3.4,
82287,13/01/2014,1200,1.2,,23.8,,,,,,
82287,14/01/2014,0000,,32.3,,7.8,4.1,,,4.166667,
82287,14/01/2014,1200,0,,23.2,,,,,,
82287,15/01/2014,0000,,33,,5,4.3,,,4.8,
82287,15/01/2014,1200,0,,24.1,,,,,,
82287,16/01/2014,0000,,32.2,,6.8,4,,,3.966667,
82287,16/01/2014,1200,0.5,,23.4,,,,,,
82287,17/01/2014,0000,,32.4,,8.6,4,,,4.733333,
82287,17/01/2014,1200,0,,25,,,,,,
82287,18/01/2014,0000,,31.9,,8,5,,,4.866667,
82287,18/01/2014,1200,0.1,,24,,,,,,
82287,19/01/2014,0000,,31.5,,8.3,3.9,,,5.166667,
82287,19/01/2014,1200,2.9,,24.3,,,,,,
82287,20/01/2014,0000,,32.1,,7.9,8.1,,,5.7,
82287,20/01/2014,1200,0,,24,,,,,,
82287,21/01/2014,0000,,34.1,,9.9,3.4,,,5.4,
82287,21/01/2014,1200,0,,23.9,,,,,,
82287,22/01/2014,0000,,33.5,,9.8,6.4,,,5.066667,
82287,22/01/2014,1200,0,,23.3,,,,,,
82287,23/01/2014,0000,,33,,7.8,5,,,3.866667,
82287,23/01/2014,1200,0,,23,,,,,,
82287,24/01/2014,0000,,33.2,,7.8,5.3,,,5.566667,
82287,24/01/2014,1200,0,,24.1,,,,,,
82287,25/01/2014,0000,,32.7,,2.1,7.3,,,3.766667,
82287,25/01/2014,1200,0,,24,,,,,,
82287,26/01/2014,0000,,32,,3.9,5,,,3.366667,
82287,26/01/2014,1200,0.7,,23.5,,,,,,
82287,27/01/2014,0000,,31,,2.9,3.1,,,3.633333,
82287,27/01/2014,1200,1.2,,22.9,,,,,,
82287,28/01/2014,0000,,32,,2,3.4,,,1.533333,
82287,28/01/2014,1200,14.5,,23.5,,,,,,
82287,29/01/2014,0000,,32.8,,,2.9,,,4.2,
82287,29/01/2014,1200,4,,24.8,,,,,,
82287,30/01/2014,0000,,30.7,,,3.9,,,2.1,
82287,30/01/2014,1200,5.5,,22.9,,,,,,
82287,31/01/2014,0000,,30.3,,,3.1,,,4.033333,
82287,31/01/2014,1200,0,,24.2,,,,,,
82287,01/02/2014,0000,,31.7,,,2.5,,,2.933333,
82287,01/02/2014,1200,1.8,,24.2,,,,,,
82287,02/02/2014,0000,,31.5,,,3.7,,,1.533333,
82287,02/02/2014,1200,0,,23.5,,,,,,
82287,03/02/2014,0000,,31,,,1.3,,,3.566667,
82287,03/02/2014,1200,44.2,,23.2,,,,,,
82287,04/02/2014,0000,,32,,,3.8,,,4,
82287,04/02/2014,1200,0,,24,,,,,,
82287,05/02/2014,0000,,32.3,,,4.5,,,3.233333,
82287,05/02/2014,1200,0,,23,,,,,,
82287,06/02/2014,0000,,31.4,,,4.2,,,4.733333,
82287,06/02/2014,1200,0,,23,,,,,,
82287,07/02/2014,0000,,31.3,,4,4.7,,,3.333333,
82287,07/02/2014,1200,0,,23.6,,,,,,
82287,08/02/2014,0000,,33.2,,7.2,3.1,,,3.7,
82287,08/02/2014,1200,0.4,,23.3,,,,,,
82287,09/02/2014,0000,,32.2,,8.5,3.6,,,3,
82287,09/02/2014,1200,4.8,,23.5,,,,,,
82287,10/02/2014,0000,,32.9,,8.9,3.3,,,5.4,
82287,10/02/2014,1200,1,,24.2,,,,,,
82287,11/02/2014,0000,,33.5,,7.9,4.6,,,5.1,
82287,11/02/2014,1200,0,,24.6,,,,,,
82287,12/02/2014,0000,,33.5,,7.6,4.9,,,3.033333,
82287,12/02/2014,1200,0,,24,,,,,,
82287,13/02/2014,0000,,33.1,,0,4,,,3.833333,
82287,13/02/2014,1200,18.2,,24,,,,,,
82287,14/02/2014,0000,,30.4,,5.2,1.5,,,2.633333,
82287,14/02/2014,1200,8.6,,23.2,,,,,,
82287,15/02/2014,0000,,30.6,,2.6,2.7,,,3.7,
82287,15/02/2014,1200,0,,24,,,,,,
82287,16/02/2014,0000,,30.6,,1.4,2.7,,,2.833333,
82287,16/02/2014,1200,4.2,,24,,,,,,
82287,17/02/2014,0000,,30.6,,4.8,1.6,,,2.8,
82287,17/02/2014,1200,16.2,,22.1,,,,,,
82287,18/02/2014,0000,,31,,6.7,3.3,,,4.1,
82287,18/02/2014,1200,0,,23.3,,,,,,
82287,19/02/2014,0000,,32.1,,5.5,3,,,4.4,
82287,19/02/2014,1200,0,,23.3,,,,,,
82287,20/02/2014,0000,,31.1,,3.9,3.7,,,1.933333,
82287,20/02/2014,1200,10,,23.4,,,,,,
82287,21/02/2014,0000,,33.2,,9.9,2.9,,,3.666667,
82287,21/02/2014,1200,12.3,,23.6,,,,,,
82287,22/02/2014,0000,,32.6,,9.5,5.6,,,3.166667,
82287,22/02/2014,1200,0,,23.3,,,,,,
82287,23/02/2014,0000,,32.3,,8.8,5,,,3.9,
82287,23/02/2014,1200,0,,22.4,,,,,,
82287,24/02/2014,0000,,33.2,,9.8,4.6,,,4.2,
82287,24/02/2014,1200,0,,23.3,,,,,,
82287,25/02/2014,0000,,33.5,,9.4,5.4,,,3.566667,
