Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82870,01/01/2014,0000,,36,,10.9,8,28.88,54.25,1,
82870,01/01/2014,1200,0,,21.4,,,,,,
82870,02/01/2014,0000,,35.6,,10.8,7.4,28.6,54.5,2.333333,
82870,02/01/2014,1200,0,,21,,,,,,
82870,03/01/2014,0000,,34,,10.9,6.2,27.76,57.75,2.333333,
82870,03/01/2014,1200,0,,19.8,,,,,,
82870,04/01/2014,0000,,34.6,,11.4,6.4,28.16,57.5,1,
82870,04/01/2014,1200,0,,21.6,,,,,,
82870,05/01/2014,0000,,35,,11.8,7,28.48,51.75,1.666667,
82870,05/01/2014,1200,0,,20,,,,,,
82870,06/01/2014,0000,,35.4,,11.5,7.8,27.64,53,3,
82870,06/01/2014,1200,0,,20.2,,,,,,
82870,07/01/2014,0000,,35.8,,12.1,7.7,28.36,50.25,3.666667,
82870,07/01/2014,1200,0,,18.4,,,,,,
82870,08/01/2014,0000,,36.4,,11,8,27.92,48.5,2.333333,
82870,08/01/2014,1200,0,,18.6,,,,,,
82870,09/01/2014,0000,,35,,11.9,8,27.68,52.25,1.666667,
82870,09/01/2014,1200,0,,19.2,,,,,,
82870,10/01/2014,0000,,31.2,,0.3,7.4,26.24,69.5,1,
82870,10/01/2014,1200,0,,20.6,,,,,,
82870,11/01/2014,0000,,33.2,,3.6,3.8,27.2,74.25,2.333333,
82870,11/01/2014,1200,0,,22.2,,,,,,
82870,12/01/2014,0000,,35.4,,9.7,5,28.6,53,4.333333,
82870,12/01/2014,1200,0,,22.4,,,,,,
82870,13/01/2014,0000,,34.4,,5.2,7.4,28.6,51.75,2.333333,
82870,13/01/2014,1200,0,,21.8,,,,,,
82870,14/01/2014,0000,,34,,5.2,7,28.84,51.75,4.333333,
82870,14/01/2014,1200,0,,22.4,,,,,,
82870,15/01/2014,0000,,33.6,,4.4,7.4,27.84,61.25,2.333333,
82870,15/01/2014,1200,0,,22.2,,,,,,
82870,16/01/2014,0000,,37,,8.2,5.6,27.72,61,2.333333,
82870,16/01/2014,1200,0,,20.8,,,,,,
82870,17/01/2014,0000,,31.4,,5.8,7.6,26.24,75.25,3,
82870,17/01/2014,1200,0,,22.2,,,,,,
82870,18/01/2014,0000,,35.6,,10,3.6,28.64,60.75,2.333333,
82870,18/01/2014,1200,0,,22.2,,,,,,
82870,19/01/2014,0000,,31.4,,1.4,5.8,26.68,79.75,1,
82870,19/01/2014,1200,3.4,,23,,,,,,
82870,20/01/2014,0000,,32.8,,4,2.2,26.84,,1.666667,
82870,20/01/2014,1200,0,,23.2,,,,,,
82870,21/01/2014,0000,,29,,1.4,3.2,25.48,82.75,1.666667,
82870,21/01/2014,1200,0,,22.2,,,,,,
82870,22/01/2014,0000,,34.4,,8.7,1.4,27.36,65.75,2.333333,
82870,22/01/2014,1200,9.5,,21,,,,,,
82870,23/01/2014,0000,,35,,8.1,5.8,27.88,61.5,1.666667,
82870,23/01/2014,1200,0,,22,,,,,,
82870,24/01/2014,0000,,35.4,,1.6,6,27.64,67.75,3,
82870,24/01/2014,1200,0,,22.4,,,,,,
82870,25/01/2014,0000,,32.8,,5.5,5.4,25.48,87.25,1,
82870,25/01/2014,1200,0,,21.8,,,,,,
82870,26/01/2014,0000,,31.4,,4,2.4,26.32,72.5,1,
82870,26/01/2014,1200,2.9,,21.6,,,,,,
82870,27/01/2014,0000,,33.4,,8.2,3.9,27.12,64.25,3.666667,
82870,27/01/2014,1200,0,,21.4,,,,,,
82870,28/01/2014,0000,,29.4,,0,6.1,25.68,72.25,1,
82870,28/01/2014,1200,4.6,,22.2,,,,,,
82870,29/01/2014,0000,,35.6,,6.2,3.8,28.48,54,1.666667,
82870,29/01/2014,1200,0,,20.6,,,,,,
82870,30/01/2014,0000,,35.2,,6.5,8,27.64,64,1,
82870,30/01/2014,1200,0,,20,,,,,,
82870,31/01/2014,0000,,31.6,,2.8,7,26.52,77.25,1.666667,
82870,31/01/2014,1200,0,,23.4,,,,,,
82870,01/02/2014,0000,,35.2,,8,3,28.44,57.5,1.666667,
82870,01/02/2014,1200,0,,21.4,,,,,,
82870,02/02/2014,0000,,36.4,,9.9,6.5,29.36,55,1.666667,
82870,02/02/2014,1200,2,,22.6,,,,,,
82870,03/02/2014,0000,,35.6,,8.8,8.5,28.48,59,3.666667,
82870,03/02/2014,1200,0,,21,,,,,,
82870,04/02/2014,0000,,35,,5.2,7.2,27.76,63.5,1.666667,
82870,04/02/2014,1200,0,,21.8,,,,,,
82870,05/02/2014,0000,,35.4,,6.6,5.6,27.48,73.25,1.666667,
82870,05/02/2014,1200,1.2,,21.8,,,,,,
82870,06/02/2014,0000,,36,,8.1,5.2,28.72,51.75,3.666667,
82870,06/02/2014,1200,0,,22.4,,,,,,
82870,07/02/2014,0000,,34.8,,7.3,8.4,27.12,68.5,1.666667,
82870,07/02/2014,1200,5.8,,22.4,,,,,,
82870,08/02/2014,0000,,35.2,,6.8,5.7,27.24,73.75,2.333333,
82870,08/02/2014,1200,0,,22.2,,,,,,
82870,09/02/2014,0000,,34.2,,7.4,4.9,27.08,69.5,2.333333,
82870,09/02/2014,1200,3.5,,22.4,,,,,,
82870,10/02/2014,0000,,37,,10,6,29.72,53.25,3,
82870,10/02/2014,1200,0,,22.6,,,,,,
82870,11/02/2014,0000,,36,,6.4,9.6,29.64,52.25,3.666667,
82870,11/02/2014,1200,0,,23.2,,,,,,
82870,12/02/2014,0000,,36.2,,6.1,8.4,29.96,51.25,3.666667,
82870,12/02/2014,1200,0,,23.4,,,,,,
82870,13/02/2014,0000,,34.6,,7.6,7.8,27.64,67.25,3,
82870,13/02/2014,1200,0,,23.4,,,,,,
82870,14/02/2014,0000,,28.8,,0.2,5.6,24.04,90.75,1,
82870,14/02/2014,1200,0,,21.4,,,,,,
82870,15/02/2014,0000,,27.8,,0.4,1,23.44,93.75,1,
82870,15/02/2014,1200,19.8,,21,,,,,,
82870,16/02/2014,0000,,33.4,,0,0.9,24.88,89.75,1.666667,
82870,16/02/2014,1200,6.8,,21.4,,,,,,
82870,17/02/2014,0000,,33.4,,8.5,1.5,25.52,88.25,2.333333,
82870,17/02/2014,1200,0,,21.8,,,,,,
82870,18/02/2014,0000,,32,,5.2,2.3,25.36,80.75,1.666667,
82870,18/02/2014,1200,2,,22.4,,,,,,
82870,19/02/2014,0000,,28.8,,3.3,3,24.04,93.75,1,
82870,19/02/2014,1200,22.6,,21.8,,,,,,
82870,20/02/2014,0000,,25.6,,0,0.6,23.8,92,1,
82870,20/02/2014,1200,63.7,,22.2,,,,,,
82870,21/02/2014,0000,,34,,2.7,1,26.48,76.25,2.333333,
