Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83783,01/01/2014,0000,,,,,1.1,,95.25,2.3,
83783,01/01/2014,1200,23.8,,21.2,,,,,,
83783,02/01/2014,0000,,,,,1.3,,93,3.1,
83783,02/01/2014,1200,28.5,,20.8,,,,,,
83783,03/01/2014,0000,,,,,2.4,,94,3.066667,
83783,03/01/2014,1200,1,,20.8,,,,,,
83783,04/01/2014,0000,,,,,3.3,,93.5,2.6,
83783,04/01/2014,1200,11,,20.6,,,,,,
83783,05/01/2014,0000,,,,,3.2,,94.25,2.466667,
83783,05/01/2014,1200,7,,22.2,,,,,,
83783,06/01/2014,0000,,,,,4.3,,95,5.2,
83783,06/01/2014,1200,0,,19.6,,,,,,
83783,07/01/2014,0000,,,,,4,,92.75,2.033333,
83783,07/01/2014,1200,45.4,,17.7,,,,,,
83783,08/01/2014,0000,,,,,3.2,,89.75,2.066667,
83783,08/01/2014,1200,2.5,,17.5,,,,,,
83783,09/01/2014,0000,,,,,3.5,,94.25,2.133333,
83783,09/01/2014,1200,0,,19.2,,,,,,
83783,10/01/2014,0000,,,,,2.8,,89.25,1.966667,
83783,10/01/2014,1200,0,,19.2,,,,,,
83783,11/01/2014,0000,,,,,4.4,,86.5,3.3,
83783,11/01/2014,1200,0,,18.5,,,,,,
83783,12/01/2014,0000,,,,,5,,95.75,2.966667,
83783,12/01/2014,1200,5.2,,18.8,,,,,,
83783,13/01/2014,0000,,,,,1.6,,97,2.866667,
83783,13/01/2014,1200,14.3,,18.2,,,,,,
83783,14/01/2014,0000,,,,,1.1,,95,2.066667,
83783,14/01/2014,1200,25.3,,17.2,,,,,,
83783,15/01/2014,0000,,,,,1.5,,94.75,2.133333,
83783,15/01/2014,1200,3.3,,17.3,,,,,,
83783,16/01/2014,0000,,,,,1.6,,96.25,1.8,
83783,16/01/2014,1200,7.3,,18.2,,,,,,
83783,17/01/2014,0000,,,,,0.8,,93,1.566667,
83783,17/01/2014,1200,26.4,,16.5,,,,,,
83783,18/01/2014,0000,,,,,2.9,,91.75,1.833333,
83783,18/01/2014,1200,0,,18.6,,,,,,
83783,19/01/2014,0000,,,,,3,,91.75,1.533333,
83783,19/01/2014,1200,0,,18.6,,,,,,
83783,20/01/2014,0000,,,,,3.9,,88,1.8,
83783,20/01/2014,1200,0,,17.7,,,,,,
83783,21/01/2014,0000,,,,,5.3,,87.75,2.733333,
83783,21/01/2014,1200,0,,16.3,,,,,,
83783,22/01/2014,0000,,,,,4.4,,90,2.466667,
83783,22/01/2014,1200,0,,21.2,,,,,,
83783,23/01/2014,0000,,,,,4.2,,94,2.566667,
83783,23/01/2014,1200,0,,21.4,,,,,,
83783,24/01/2014,0000,,,,,3.6,,94.75,2,
83783,24/01/2014,1200,0,,21.1,,,,,,
83783,25/01/2014,0000,,,,,2.1,,94,2.366667,
83783,25/01/2014,1200,4.5,,20,,,,,,
83783,26/01/2014,0000,,,,,1.9,,93,1.8,
83783,26/01/2014,1200,1.8,,19.2,,,,,,
83783,27/01/2014,0000,,,,,2.4,,92.25,1.5,
83783,27/01/2014,1200,12.4,,17.7,,,,,,
83783,28/01/2014,0000,,,,,3.7,,87,2,
83783,28/01/2014,1200,0,,18.6,,,,,,
83783,29/01/2014,0000,,,,,4.2,,87.5,2.533333,
83783,29/01/2014,1200,0,,19,,,,,,
83783,30/01/2014,0000,,,,,4.6,,86.75,2.066667,
83783,30/01/2014,1200,0,,17,,,,,,
83783,31/01/2014,0000,,,,,5.2,,86.25,1.766667,
83783,31/01/2014,1200,0,,19.4,,,,,,
83783,01/02/2014,0000,,,,,5.8,,89.25,1.733333,
83783,01/02/2014,1200,0,,19.4,,,,,,
83783,02/02/2014,0000,,,,,4.4,,90.25,2.066667,
83783,02/02/2014,1200,0.4,,19.6,,,,,,
83783,03/02/2014,0000,,,,,5.4,,81.25,3.133333,
83783,03/02/2014,1200,0,,19,,,,,,
83783,04/02/2014,0000,,,,,5.3,,85.25,1.233333,
83783,04/02/2014,1200,0,,18.6,,,,,,
83783,05/02/2014,0000,,,,,7.9,,83.5,2.366667,
83783,05/02/2014,1200,0,,19,,,,,,
83783,06/02/2014,0000,,,,,3.1,,86.25,2.6,
83783,06/02/2014,1200,0,,19.2,,,,,,
83783,07/02/2014,0000,,,,,9.5,,82.75,2.366667,
83783,07/02/2014,1200,0,,20,,,,,,
83783,08/02/2014,0000,,,,,7.9,,83.25,1.966667,
83783,08/02/2014,1200,0,,18.8,,,,,,
83783,09/02/2014,0000,,,,,10.2,,83,2.166667,
83783,09/02/2014,1200,0,,21.7,,,,,,
83783,10/02/2014,0000,,,,,8.4,,79.5,1.766667,
83783,10/02/2014,1200,0,,18.6,,,,,,
83783,11/02/2014,0000,,,,,9,,85.25,4.166667,
83783,11/02/2014,1200,0,,18.7,,,,,,
83783,12/02/2014,0000,,,,,7.6,,92.25,1.3,
83783,12/02/2014,1200,0,,18.8,,,,,,
83783,13/02/2014,0000,,,,,2.7,,89.5,1.7,
83783,13/02/2014,1200,1.2,,18.5,,,,,,
83783,14/02/2014,0000,,,,,3.4,,93.5,3.766667,
83783,14/02/2014,1200,9.4,,20.4,,,,,,
83783,15/02/2014,0000,,,,,2.6,,88.75,3.666667,
83783,15/02/2014,1200,13.3,,18.4,,,,,,
83783,16/02/2014,0000,,,,,7.2,,69,3.633333,
83783,16/02/2014,1200,0,,17.5,,,,,,
83783,17/02/2014,0000,,,,,6.5,,83.75,6.066667,
83783,17/02/2014,1200,0,,17.6,,,,,,
83783,18/02/2014,0000,,,,,7.7,,87.75,4.1,
83783,18/02/2014,1200,0,,19.1,,,,,,
83783,19/02/2014,0000,,,,,8.1,,86.75,3.466667,
83783,19/02/2014,1200,0,,17.7,,,,,,
83783,20/02/2014,0000,,,,,7.8,,90,3.7,
83783,20/02/2014,1200,0,,19.2,,,,,,
83783,21/02/2014,0000,,,,,5.6,,95,2.033333,
83783,21/02/2014,1200,35.2,,19.6,,,,,,
83783,22/02/2014,0000,,,,,3.2,,96.75,2.966667,
83783,22/02/2014,1200,0.7,,19.7,,,,,,
83783,23/02/2014,0000,,,,,1.9,,94.25,3.733333,
83783,23/02/2014,1200,69.4,,19.5,,,,,,
83783,24/02/2014,0000,,,,,2.4,,98.25,4.366667,
83783,24/02/2014,1200,2.6,,20.2,,,,,,
83783,25/02/2014,0000,,,,,0.6,,90,2.2,
83783,25/02/2014,1200,28.6,,18,,,,,,
83783,26/02/2014,0000,,,,,3.2,,92,2.866667,
83783,26/02/2014,1200,0,,19,,,,,,
83783,27/02/2014,0000,,,,,3.7,,94.25,1.8,
83783,27/02/2014,1200,10.3,,20.4,,,,,,
83783,28/02/2014,0000,,,,,3.5,,84.25,3.3,
83783,28/02/2014,1200,0.4,,17.1,,,,,,
83783,01/03/2014,0000,,,,,6.4,,82.5,2.233333,
83783,01/03/2014,1200,0,,12.7,,,,,,
83783,02/03/2014,0000,,,,,8.4,,85,3.7,
83783,02/03/2014,1200,0,,12.5,,,,,,
83783,03/03/2014,0000,,,,,5.8,,93.5,3.866667,
83783,03/03/2014,1200,30.8,,17.3,,,,,,
83783,04/03/2014,0000,,,,,3,,93.25,3.133333,
83783,04/03/2014,1200,0.3,,20,,,,,,
83783,05/03/2014,0000,,,,,4.4,,93.5,1,
83783,05/03/2014,1200,2.7,,19.7,,,,,,
83783,06/03/2014,0000,,,,,0.9,,86.75,1.1,
83783,06/03/2014,1200,0,,19,,,,,,
83783,07/03/2014,0000,,,,,6.5,,94,1.033333,
83783,07/03/2014,1200,0,,15.7,,,,,,
83783,08/03/2014,0000,,,,,3.5,,88.25,1.5,
83783,08/03/2014,1200,0,,15.3,,,,,,
83783,09/03/2014,0000,,,,,4.6,,85.75,1.366667,
83783,09/03/2014,1200,0,,15.6,,,,,,
83783,10/03/2014,0000,,,,,5.2,,88.75,2.566667,
83783,10/03/2014,1200,0,,17.4,,,,,,
83783,11/03/2014,0000,,,,,4.1,,90.25,2.333333,
83783,11/03/2014,1200,13,,17.6,,,,,,
83783,12/03/2014,0000,,,,,3.8,,94.75,2.266667,
83783,12/03/2014,1200,0,,20.1,,,,,,
83783,13/03/2014,0000,,,,,1.5,,91.5,1.966667,
83783,13/03/2014,1200,0,,18.4,,,,,,
83783,14/03/2014,0000,,,,,3,,88,2.666667,
