Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83844,01/01/2014,0000,,34.7,,,8.6,28.76,80.25,,
83844,01/01/2014,1200,0,,26.3,,,,,,
83844,02/01/2014,0000,,37.1,,,4.3,30.64,65.5,,
83844,02/01/2014,1200,66.2,,24.5,,,,,,
83844,03/01/2014,0000,,36.3,,,5.2,28.74,79.5,,
83844,03/01/2014,1200,0,,25.8,,,,,,
83844,04/01/2014,0000,,25.6,,,3.3,21.74,96.5,,
83844,04/01/2014,1200,16.2,,20.3,,,,,,
83844,05/01/2014,0000,,25.6,,,1,23.26,87.5,,
83844,05/01/2014,1200,3.8,,20.5,,,,,,
83844,06/01/2014,0000,,28.4,,,0.5,25,90.75,,
83844,06/01/2014,1200,1.2,,22.3,,,,,,
83844,07/01/2014,0000,,29.4,,,0.7,26.4,81.25,,
83844,07/01/2014,1200,2.5,,23.5,,,,,,
83844,08/01/2014,0000,,32.6,,,0.9,25.72,80.25,,
83844,08/01/2014,1200,0,,23,,,,,,
83844,09/01/2014,0000,,29.7,,,1,26.1,79.25,,
83844,09/01/2014,1200,6.2,,22,,,,,,
83844,10/01/2014,0000,,31.8,,,0.8,27.64,78.5,,
83844,10/01/2014,1200,0,,23.3,,,,,,
83844,11/01/2014,0000,,32.8,,,1,26.96,73.5,,
83844,11/01/2014,1200,0,,24.6,,,,,,
83844,12/01/2014,0000,,28.8,,,1,25.6,86,,
83844,12/01/2014,1200,6,,23.7,,,,,,
83844,13/01/2014,0000,,30,,,0.3,25.54,86.5,,
83844,13/01/2014,1200,18,,23.3,,,,,,
83844,14/01/2014,0000,,32,,,0.5,26.52,80,,
83844,14/01/2014,1200,2,,23.3,,,,,,
83844,15/01/2014,0000,,31.8,,,0.7,25.56,77.5,,
83844,15/01/2014,1200,3.6,,22.1,,,,,,
83844,16/01/2014,0000,,30,,,0.7,24.84,87.25,,
83844,16/01/2014,1200,12.8,,22.3,,,,,,
83844,17/01/2014,0000,,30.4,,,0.2,26,80,,
83844,17/01/2014,1200,2,,22.2,,,,,,
83844,18/01/2014,0000,,30.4,,,0.8,26.04,76.75,,
83844,18/01/2014,1200,0,,22.2,,,,,,
83844,19/01/2014,0000,,31.6,,,0.5,26.36,79.25,,
83844,19/01/2014,1200,0,,22.5,,,,,,
83844,20/01/2014,0000,,31.7,,,0.7,26.52,72.25,,
83844,20/01/2014,1200,0,,22.3,,,,,,
83844,21/01/2014,0000,,31.4,,,0.8,27.52,79.5,,
83844,21/01/2014,1200,0,,23.3,,,,,,
83844,22/01/2014,0000,,36.1,,,1,29.98,77,,
83844,22/01/2014,1200,0.6,,26.2,,,,,,
83844,23/01/2014,0000,,34.8,,,1,28.58,79,,
83844,23/01/2014,1200,0,,25.3,,,,,,
83844,24/01/2014,0000,,35,,,1,29.12,77.25,,
83844,24/01/2014,1200,2.7,,24.4,,,,,,
83844,25/01/2014,0000,,29.9,,,4.6,26.58,83.75,,
83844,25/01/2014,1200,13.2,,24.6,,,,,,
83844,26/01/2014,0000,,29.9,,,4,26.16,84.75,,
83844,26/01/2014,1200,58.8,,22.7,,,,,,
83844,27/01/2014,0000,,32.3,,,2.5,28.12,79.75,,
83844,27/01/2014,1200,0.7,,25.3,,,,,,
83844,28/01/2014,0000,,32.4,,,4.5,28.04,78.25,,
83844,28/01/2014,1200,0,,24.8,,,,,,
83844,29/01/2014,0000,,33.9,,,4.9,29.24,76.5,,
83844,29/01/2014,1200,0,,25.5,,,,,,
83844,30/01/2014,0000,,32.4,,,4.5,28.76,76.75,,
83844,30/01/2014,1200,0,,25.3,,,,,,
83844,31/01/2014,0000,,33.1,,,3.6,28.98,79.25,,
83844,31/01/2014,1200,0,,26.3,,,,,,
83844,01/02/2014,0000,,35.2,,,2.7,29.96,69.25,,
83844,01/02/2014,1200,0,,26.1,,,,,,
83844,02/02/2014,0000,,33.5,,,2.6,28.64,79.75,,
83844,02/02/2014,1200,0,,24,,,,,,
83844,03/02/2014,0000,,33.5,,,2.7,29.4,78.25,,
83844,03/02/2014,1200,0,,26.9,,,,,,
83844,04/02/2014,0000,,34.5,,,2,29.56,77.5,,
83844,04/02/2014,1200,0,,25.7,,,,,,
83844,05/02/2014,0000,,33.8,,,5,29.26,80,,
83844,05/02/2014,1200,0,,26.3,,,,,,
83844,06/02/2014,0000,,33.7,,,4,28.76,75.75,,
83844,06/02/2014,1200,0,,25.5,,,,,,
83844,07/02/2014,0000,,34.9,,,4,29.44,75.75,,
83844,07/02/2014,1200,0,,25.3,,,,,,
83844,08/02/2014,0000,,35.1,,,5,30.1,76.25,,
83844,08/02/2014,1200,0,,27.2,,,,,,
83844,09/02/2014,0000,,35,,,3,29.62,71.25,,
83844,09/02/2014,1200,0,,24.9,,,,,,
83844,10/02/2014,0000,,34.1,,,3.2,29.22,77.25,,
83844,10/02/2014,1200,0,,26,,,,,,
83844,11/02/2014,0000,,32.8,,,2.3,29,67.25,,
83844,11/02/2014,1200,0,,24.5,,,,,,
83844,12/02/2014,0000,,34.8,,,6.2,29.1,73.75,,
83844,12/02/2014,1200,0,,24,,,,,,
83844,13/02/2014,0000,,33,,,5.3,28.46,73,,
83844,13/02/2014,1200,0.4,,25.5,,,,,,
83844,14/02/2014,0000,,30.6,,,4.5,24.7,88.5,,
83844,14/02/2014,1200,0,,21.5,,,,,,
83844,15/02/2014,0000,,22.7,,,2,21.94,95,,
83844,15/02/2014,1200,101.7,,20.7,,,,,,
83844,16/02/2014,0000,,24.4,,,1.7,22.46,93.25,,
83844,16/02/2014,1200,55,,20.8,,,,,,
83844,17/02/2014,0000,,27.4,,,1.5,24.42,83.5,,
83844,17/02/2014,1200,22.9,,20.7,,,,,,
83844,18/02/2014,0000,,27.8,,,1.3,24.72,79.75,,
83844,18/02/2014,1200,20.8,,22.2,,,,,,
83844,19/02/2014,0000,,28.4,,,1,24.22,80.75,,
83844,19/02/2014,1200,0,,20.5,,,,,,
83844,20/02/2014,0000,,29.2,,,1.5,25.06,78,,
83844,20/02/2014,1200,0,,20.5,,,,,,
83844,21/02/2014,0000,,30.4,,,1,26.14,80.25,,
83844,21/02/2014,1200,0,,22.7,,,,,,
83844,22/02/2014,0000,,29.8,,,0.8,26.42,86.25,,
83844,22/02/2014,1200,0,,23.7,,,,,,
83844,23/02/2014,0000,,30.2,,,0.7,27.18,82.25,,
83844,23/02/2014,1200,0,,24.7,,,,,,
83844,24/02/2014,0000,,32.6,,,0.7,26.9,76.25,,
83844,24/02/2014,1200,3,,24,,,,,,
83844,25/02/2014,0000,,33.5,,,5.5,26.94,81.25,,
83844,25/02/2014,1200,0,,23.5,,,,,,
83844,26/02/2014,0000,,32,,,3.7,26.92,83.5,,
83844,26/02/2014,1200,14,,23.3,,,,,,
83844,27/02/2014,0000,,32.6,,,3.3,26.8,90.5,,
83844,27/02/2014,1200,0,,24.7,,,,,,
83844,28/02/2014,0000,,26,,,1.4,23.24,92,,
83844,28/02/2014,1200,19.9,,21.6,,,,,,
83844,01/03/2014,0000,,28.6,,,1,25.02,83.75,,
83844,01/03/2014,1200,4.4,,22,,,,,,
83844,02/03/2014,0000,,27.8,,,0.6,24.68,78.75,,
83844,02/03/2014,1200,3.4,,22.3,,,,,,
83844,03/03/2014,0000,,27.8,,,2,24.94,81.75,,
83844,03/03/2014,1200,1.1,,22.5,,,,,,
83844,04/03/2014,0000,,28.7,,,0.7,25.4,85.75,,
83844,04/03/2014,1200,0,,22.7,,,,,,
83844,05/03/2014,0000,,26.8,,,1,24.22,89.25,,
83844,05/03/2014,1200,42.4,,21.7,,,,,,
83844,06/03/2014,0000,,31.4,,,1.8,26.3,76.75,,
83844,06/03/2014,1200,2.4,,22.3,,,,,,
83844,07/03/2014,0000,,28.6,,,3,25.46,75.25,,
83844,07/03/2014,1200,0,,22.1,,,,,,
83844,08/03/2014,0000,,29.2,,,4.2,24.96,76,,
83844,08/03/2014,1200,0,,21,,,,,,
83844,09/03/2014,0000,,29.4,,,4.4,25.02,83.5,,
83844,09/03/2014,1200,2.2,,21.3,,,,,,
83844,10/03/2014,0000,,31.1,,,3.6,26.76,84,,
83844,10/03/2014,1200,0,,23.3,,,,,,
83844,11/03/2014,0000,,26.4,,,3.5,23.9,92.5,,
83844,11/03/2014,1200,3.2,,22.7,,,,,,
83844,12/03/2014,0000,,25.2,,,1.3,23.74,93.75,,
83844,12/03/2014,1200,14.6,,22.5,,,,,,
83844,13/03/2014,0000,,23.8,,,0.7,23.08,97.5,,
83844,13/03/2014,1200,41.8,,22,,,,,,
83844,14/03/2014,0000,,29.5,,,1.5,25.9,83.75,,
83844,14/03/2014,1200,54.1,,22.4,,,,,,
83844,15/03/2014,0000,,33.6,,,2,27.74,86,,
83844,15/03/2014,1200,0,,22.7,,,,,,
83844,16/03/2014,0000,,30.4,,,2,26.98,84.75,,
83844,16/03/2014,1200,0,,24.9,,,,,,
83844,17/03/2014,0000,,34.5,,,2,27.48,79,,
83844,17/03/2014,1200,0,,24.1,,,,,,
83844,18/03/2014,0000,,31.4,,,2.2,25.8,81.75,,
83844,18/03/2014,1200,18.1,,23.1,,,,,,
83844,19/03/2014,0000,,30.4,,,1.3,26.84,83.75,,
83844,19/03/2014,1200,1.1,,24.7,,,,,,
83844,20/03/2014,0000,,30.5,,,1.5,26.04,88.5,,
83844,20/03/2014,1200,1,,24.4,,,,,,
83844,21/03/2014,0000,,27.4,,,2.2,25.48,90.5,,
83844,21/03/2014,1200,0.8,,24.1,,,,,,
83844,22/03/2014,0000,,26.6,,,1.1,23.94,86,,
83844,22/03/2014,1200,3.8,,22.9,,,,,,
83844,23/03/2014,0000,,23.6,,,1.1,20.76,77,,
83844,23/03/2014,1200,1.4,,18.3,,,,,,
83844,24/03/2014,0000,,26.4,,,1.1,23.26,74.75,,
83844,24/03/2014,1200,0.9,,19.5,,,,,,
83844,25/03/2014,0000,,27.2,,,1,23.02,85.5,,
83844,25/03/2014,1200,1.1,,20.1,,,,,,
83844,26/03/2014,0000,,26.8,,,1,23.54,83,,
83844,26/03/2014,1200,0.2,,20.1,,,,,,
83844,27/03/2014,0000,,28,,,0.8,24.1,86.5,,
83844,27/03/2014,1200,24.6,,20.7,,,,,,
83844,28/03/2014,0000,,28.8,,,1,24.4,86.75,,
83844,28/03/2014,1200,0.6,,21.4,,,,,,
83844,29/03/2014,0000,,29.2,,,0.7,25.46,84,,
83844,29/03/2014,1200,1.2,,21.9,,,,,,
83844,30/03/2014,0000,,27.2,,,1,24.98,87.25,,
83844,30/03/2014,1200,0,,22.5,,,,,,
83844,31/03/2014,0000,,29.2,,,0.3,25.42,91.5,,
83844,31/03/2014,1200,11.6,,22.9,,,,,,
83844,01/04/2014,0000,,29.6,,,0.7,25.96,86.75,,
83844,01/04/2014,1200,0.2,,24,,,,,,
83844,02/04/2014,0000,,27.9,,,0.8,24.88,82.5,,
83844,02/04/2014,1200,1.4,,23.6,,,,,,
83844,03/04/2014,0000,,26,,,0.7,24.04,90.25,,
83844,03/04/2014,1200,19.3,,22.3,,,,,,
83844,04/04/2014,0000,,27.4,,,0.8,24.4,84.75,,
83844,04/04/2014,1200,49.3,,21.9,,,,,,
83844,05/04/2014,0000,,29,,,0.8,24.4,84,,
83844,05/04/2014,1200,2.2,,21.1,,,,,,
83844,06/04/2014,0000,,29.8,,,0.8,24.36,82.75,,
83844,06/04/2014,1200,0,,20.9,,,,,,
83844,07/04/2014,0000,,29.4,,,0.7,24.62,84.5,,
83844,07/04/2014,1200,0,,20.9,,,,,,
83844,08/04/2014,0000,,29.6,,,0.5,25.5,82,,
83844,08/04/2014,1200,0,,22.9,,,,,,
83844,09/04/2014,0000,,26,,,1,23.9,87.75,,
83844,09/04/2014,1200,3.6,,21.9,,,,,,
83844,10/04/2014,0000,,28.4,,,1.5,24.22,84.25,,
83844,10/04/2014,1200,0,,21.7,,,,,,
83844,11/04/2014,0000,,28.1,,,1.7,24.8,87,,
83844,11/04/2014,1200,0,,22.3,,,,,,
83844,12/04/2014,0000,,30.2,,,2.3,25.78,90,,
83844,12/04/2014,1200,0,,23.3,,,,,,
83844,13/04/2014,0000,,25.3,,,3,22.98,77.75,,
83844,13/04/2014,1200,8.2,,22,,,,,,
83844,14/04/2014,0000,,22.6,,,1,19.04,88.75,,
83844,14/04/2014,1200,4.9,,17.9,,,,,,
83844,15/04/2014,0000,,20.2,,,1.5,18.96,95.25,,
83844,15/04/2014,1200,4,,17.6,,,,,,
83844,16/04/2014,0000,,25,,,0.2,21.58,94.5,,
83844,16/04/2014,1200,20.6,,18.6,,,,,,
83844,17/04/2014,0000,,27.3,,,1,23.38,85.5,,
83844,17/04/2014,1200,0.3,,20.1,,,,,,
83844,18/04/2014,0000,,28.9,,,2,24.06,85.5,,
83844,18/04/2014,1200,0,,20.9,,,,,,
83844,19/04/2014,0000,,27.8,,,2.4,23.54,90.5,,
83844,19/04/2014,1200,0,,21.6,,,,,,
83844,20/04/2014,0000,,26.4,,,2,22.94,87.5,,
83844,20/04/2014,1200,20.6,,21.1,,,,,,
83844,21/04/2014,0000,,25,,,2.6,22.3,86.25,,
83844,21/04/2014,1200,2,,20.3,,,,,,
83844,22/04/2014,0000,,26.4,,,1.5,22.62,89.75,,
83844,22/04/2014,1200,0,,21.3,,,,,,
83844,23/04/2014,0000,,23.1,,,1,20.94,86.25,,
83844,23/04/2014,1200,15.1,,20,,,,,,
83844,24/04/2014,0000,,24,,,2.5,20.66,93.5,,
83844,24/04/2014,1200,0.8,,19.1,,,,,,
83844,25/04/2014,0000,,23.4,,,1.6,20.5,84.5,,
83844,25/04/2014,1200,1,,18.1,,,,,,
83844,26/04/2014,0000,,23.4,,,1.4,20.3,78.75,,
83844,26/04/2014,1200,18.8,,18.1,,,,,,
83844,27/04/2014,0000,,22.8,,,4.5,18.84,90.5,,
83844,27/04/2014,1200,0,,17,,,,,,
83844,28/04/2014,0000,,24.6,,,1.5,20.36,74.25,,
83844,28/04/2014,1200,19.4,,16.9,,,,,,
83844,29/04/2014,0000,,24.7,,,2.8,20.08,81.5,,
83844,29/04/2014,1200,0,,16.5,,,,,,
83844,30/04/2014,0000,,23.4,,,3,19.74,86,,
83844,30/04/2014,1200,0,,16.3,,,,,,
83844,01/05/2014,0000,,28.2,,,1.8,23.86,65,,
83844,01/05/2014,1200,0,,17.8,,,,,,
83844,02/05/2014,0000,,26.6,,,6.1,22.12,73.5,,
83844,02/05/2014,1200,0,,18.2,,,,,,
83844,03/05/2014,0000,,27.5,,,3.5,23.2,76.75,,
83844,03/05/2014,1200,0,,19.8,,,,,,
83844,04/05/2014,0000,,28.4,,,2.6,22.68,84.5,,
83844,04/05/2014,1200,0,,19.4,,,,,,
83844,05/05/2014,0000,,25.4,,,2.9,22.48,86.75,,
83844,05/05/2014,1200,0,,19.4,,,,,,
83844,06/05/2014,0000,,28,,,1.1,23.1,86,,
